╔══════════════════════════════════════════════════════════════╗
║  DPC-GNN Multi-Tissue Solid Mechanics Training Pipeline    ║
║  Physics: Neo-Hookean Hyperelastic | GNN: AntisymmetricMP  ║
╚══════════════════════════════════════════════════════════════╝

  GPU: NVIDIA GeForce RTX 5090
  VRAM: 33.7 GB
  PyTorch: 2.8.0+cu128

======================================================================
  TISSUE: BONE | E=10000000 Pa (10000.0 kPa) | ν=0.3
  Beam: 10cm x 2cm x 2cm
  Mesh: 22x7x7 | Device: cuda | Epochs: 3000
  Expected tip δ: 0.6990 mm | Scale: 6.99e-04
======================================================================
  Nodes: 1472 | Tets: 5390 | Edges: 20904
  Params: 161,731

     Ep |         Loss |         E_el |         E_gr |   J_min |  u_tip(mm) |    Err% |        lr
  ----------------------------------------------------------------------------------------
      1 | -7.454292e-03 | 2.172883e-06 | -7.456465e-03 |  0.9995 |     0.0011 |   99.8% |  2.00e-05
      2 | -7.454998e-03 | 1.557709e-06 | -7.456556e-03 |  0.9996 |     0.0012 |   99.8% |  4.00e-05
      3 | -7.455538e-03 | 1.199493e-06 | -7.456738e-03 |  0.9997 |     0.0015 |   99.8% |  6.00e-05
      4 | -7.454738e-03 | 2.273088e-06 | -7.457010e-03 |  0.9999 |     0.0019 |   99.7% |  8.00e-05
      5 | -7.455264e-03 | 2.097484e-06 | -7.457362e-03 |  1.0000 |     0.0024 |   99.7% |  1.00e-04
     25 | -7.459274e-03 | 3.501208e-06 | -7.462775e-03 |  0.9998 |     0.0159 |   97.7% |  5.00e-04
     50 | -7.477274e-03 | 1.863200e-05 | -7.495906e-03 |  0.9986 |     0.1025 |   85.3% |  1.00e-03
     75 | -7.490648e-03 | 2.813236e-05 | -7.518780e-03 |  0.9982 |     0.1877 |   73.1% |  1.00e-03
    100 | -7.500140e-03 | 4.895559e-05 | -7.549096e-03 |  0.9980 |     0.2892 |   58.6% |  9.99e-04
    125 | -7.523900e-03 | 4.697580e-05 | -7.570876e-03 |  0.9974 |     0.3575 |   48.9% |  9.98e-04
    150 | -7.510327e-03 | 8.408367e-05 | -7.594410e-03 |  0.9975 |     0.4407 |   37.0% |  9.97e-04
    175 | -7.537115e-03 | 5.878993e-05 | -7.595905e-03 |  0.9977 |     0.4421 |   36.8% |  9.96e-04
    200 | -7.542141e-03 | 7.249928e-05 | -7.614640e-03 |  0.9972 |     0.5093 |   27.1% |  9.94e-04
    225 | -7.509189e-03 | 6.905531e-05 | -7.578244e-03 |  0.9979 |     0.3944 |   43.6% |  9.92e-04
    250 | -7.541534e-03 | 7.137367e-05 | -7.612907e-03 |  0.9978 |     0.5067 |   27.5% |  9.89e-04
    275 | -7.546208e-03 | 8.057919e-05 | -7.626787e-03 |  0.9974 |     0.5545 |   20.7% |  9.86e-04
    300 | -7.548322e-03 | 8.639200e-05 | -7.634713e-03 |  0.9973 |     0.5861 |   16.1% |  9.83e-04
    325 | -7.548354e-03 | 9.080071e-05 | -7.639154e-03 |  0.9973 |     0.5982 |   14.4% |  9.80e-04
    350 | -7.549329e-03 | 8.924214e-05 | -7.638571e-03 |  0.9975 |     0.5967 |   14.6% |  9.76e-04
    375 | -7.549401e-03 | 9.115720e-05 | -7.640558e-03 |  0.9977 |     0.6056 |   13.4% |  9.72e-04
    400 | -7.549431e-03 | 9.228269e-05 | -7.641714e-03 |  0.9976 |     0.6080 |   13.0% |  9.67e-04
    425 | -7.552315e-03 | 8.772510e-05 | -7.640040e-03 |  0.9978 |     0.6036 |   13.6% |  9.62e-04
    450 | -7.550880e-03 | 9.614275e-05 | -7.647023e-03 |  0.9977 |     0.6271 |   10.3% |  9.57e-04
    475 | -7.551020e-03 | 9.658351e-05 | -7.647603e-03 |  0.9977 |     0.6288 |   10.0% |  9.52e-04
    500 | -7.551367e-03 | 9.377685e-05 | -7.645144e-03 |  0.9978 |     0.6185 |   11.5% |  9.46e-04
    525 | -7.552387e-03 | 9.587909e-05 | -7.648266e-03 |  0.9977 |     0.6315 |    9.7% |  9.40e-04
    550 | -7.551661e-03 | 9.458879e-05 | -7.646250e-03 |  0.9977 |     0.6239 |   10.7% |  9.34e-04
    575 | -7.551558e-03 | 9.454772e-05 | -7.646106e-03 |  0.9979 |     0.6248 |   10.6% |  9.27e-04
    600 | -7.551673e-03 | 9.438732e-05 | -7.646061e-03 |  0.9977 |     0.6238 |   10.8% |  9.20e-04
    625 | -7.551709e-03 | 9.434344e-05 | -7.646052e-03 |  0.9977 |     0.6234 |   10.8% |  9.13e-04
    650 | -7.550221e-03 | 9.630385e-05 | -7.646525e-03 |  0.9979 |     0.6261 |   10.4% |  9.05e-04
    675 | -7.550306e-03 | 9.794566e-05 | -7.648251e-03 |  0.9977 |     0.6313 |    9.7% |  8.98e-04
    700 | -7.553262e-03 | 9.413703e-05 | -7.647399e-03 |  0.9978 |     0.6290 |   10.0% |  8.90e-04
    725 | -7.553215e-03 | 9.331704e-05 | -7.646532e-03 |  0.9979 |     0.6254 |   10.5% |  8.81e-04
    750 | -7.550242e-03 | 9.782874e-05 | -7.648071e-03 |  0.9977 |     0.6301 |    9.8% |  8.73e-04
    775 | -7.552516e-03 | 9.567985e-05 | -7.648196e-03 |  0.9979 |     0.6323 |    9.5% |  8.64e-04
    800 | -7.553355e-03 | 9.405905e-05 | -7.647414e-03 |  0.9978 |     0.6285 |   10.1% |  8.55e-04
    825 | -7.550963e-03 | 9.734031e-05 | -7.648303e-03 |  0.9977 |     0.6308 |    9.7% |  8.46e-04
    850 | -7.553102e-03 | 9.560010e-05 | -7.648703e-03 |  0.9978 |     0.6339 |    9.3% |  8.36e-04
    875 | -7.553067e-03 | 9.466976e-05 | -7.647737e-03 |  0.9978 |     0.6303 |    9.8% |  8.26e-04
    900 | -7.552792e-03 | 9.602368e-05 | -7.648815e-03 |  0.9977 |     0.6337 |    9.3% |  8.17e-04
    925 | -7.551660e-03 | 9.722529e-05 | -7.648885e-03 |  0.9977 |     0.6333 |    9.4% |  8.06e-04
    950 | -7.549844e-03 | 9.877828e-05 | -7.648623e-03 |  0.9976 |     0.6323 |    9.5% |  7.96e-04
    975 | -7.553290e-03 | 9.594758e-05 | -7.649237e-03 |  0.9978 |     0.6360 |    9.0% |  7.85e-04
   1000 | -7.551857e-03 | 9.668850e-05 | -7.648545e-03 |  0.9978 |     0.6337 |    9.3% |  7.75e-04
   1025 | -7.552383e-03 | 9.773600e-05 | -7.650118e-03 |  0.9977 |     0.6382 |    8.7% |  7.64e-04
   1050 | -7.552074e-03 | 9.752487e-05 | -7.649599e-03 |  0.9977 |     0.6359 |    9.0% |  7.52e-04
   1075 | -7.551001e-03 | 9.876355e-05 | -7.649764e-03 |  0.9977 |     0.6365 |    8.9% |  7.41e-04
