╔══════════════════════════════════════════════════════════════╗
║  DPC-GNN Multi-Tissue Solid Mechanics Training Pipeline    ║
║  Physics: Neo-Hookean Hyperelastic | GNN: AntisymmetricMP  ║
╚══════════════════════════════════════════════════════════════╝

  GPU: NVIDIA GeForce RTX 5090
  VRAM: 33.7 GB
  PyTorch: 2.8.0+cu128

======================================================================
  TISSUE: BONE | E=10000000 Pa (10000.0 kPa) | ν=0.3
  Beam: 10cm x 2cm x 2cm
  Mesh: 22x7x7 | Device: cuda | Epochs: 3000
  Expected tip δ: 0.6990 mm | Scale: 6.99e-04
======================================================================
  Nodes: 1472 | Tets: 5390 | Edges: 20904
  Params: 161,731

     Ep |         Loss |         E_el |         E_gr |   J_min |  u_tip(mm) |    Err% |        lr
  ----------------------------------------------------------------------------------------
      1 | -7.449611e-03 | 6.939993e-06 | -7.456551e-03 |  1.0000 |     0.0011 |   99.8% |  2.00e-05
      2 | -7.449273e-03 | 7.402626e-06 | -7.456675e-03 |  0.9999 |     0.0013 |   99.8% |  4.00e-05
      3 | -7.450402e-03 | 6.517101e-06 | -7.456919e-03 |  0.9998 |     0.0016 |   99.8% |  6.00e-05
      4 | -7.453749e-03 | 3.457493e-06 | -7.457206e-03 |  0.9998 |     0.0021 |   99.7% |  8.00e-05
      5 | -7.456454e-03 | 9.744522e-07 | -7.457429e-03 |  0.9999 |     0.0026 |   99.6% |  1.00e-04
     25 | -7.464505e-03 | 8.315045e-06 | -7.472820e-03 |  0.9993 |     0.0398 |   94.3% |  5.00e-04
     50 | -7.482563e-03 | 2.123506e-05 | -7.503798e-03 |  0.9984 |     0.1239 |   82.3% |  1.00e-03
     75 | -7.497036e-03 | 3.448135e-05 | -7.531517e-03 |  0.9979 |     0.2233 |   68.1% |  1.00e-03
    100 | -7.509729e-03 | 5.552053e-05 | -7.565250e-03 |  0.9978 |     0.3396 |   51.4% |  9.99e-04
    125 | -7.532929e-03 | 5.865384e-05 | -7.591583e-03 |  0.9978 |     0.4217 |   39.7% |  9.98e-04
    150 | -7.527798e-03 | 6.327149e-05 | -7.591069e-03 |  0.9977 |     0.4340 |   37.9% |  9.97e-04
    175 | -7.540962e-03 | 7.347755e-05 | -7.614439e-03 |  0.9975 |     0.5060 |   27.6% |  9.96e-04
    200 | -7.502242e-03 | 8.938632e-05 | -7.591628e-03 |  0.9976 |     0.4432 |   36.6% |  9.94e-04
    225 | -7.542277e-03 | 7.762368e-05 | -7.619901e-03 |  0.9978 |     0.5241 |   25.0% |  9.92e-04
    250 | -7.546110e-03 | 8.120309e-05 | -7.627313e-03 |  0.9976 |     0.5533 |   20.8% |  9.89e-04
    275 | -7.548409e-03 | 8.658227e-05 | -7.634991e-03 |  0.9976 |     0.5844 |   16.4% |  9.86e-04
    300 | -7.539346e-03 | 7.726312e-05 | -7.616609e-03 |  0.9975 |     0.5195 |   25.7% |  9.83e-04
    325 | -7.550520e-03 | 8.856331e-05 | -7.639083e-03 |  0.9978 |     0.5975 |   14.5% |  9.80e-04
    350 | -7.551675e-03 | 9.201714e-05 | -7.643692e-03 |  0.9978 |     0.6168 |   11.8% |  9.76e-04
    375 | -7.547257e-03 | 9.106220e-05 | -7.638320e-03 |  0.9977 |     0.5973 |   14.5% |  9.72e-04
    400 | -7.552363e-03 | 9.255222e-05 | -7.644915e-03 |  0.9978 |     0.6211 |   11.1% |  9.67e-04
    425 | -7.551320e-03 | 9.142314e-05 | -7.642744e-03 |  0.9978 |     0.6132 |   12.3% |  9.62e-04
    450 | -7.550879e-03 | 9.639592e-05 | -7.647275e-03 |  0.9977 |     0.6282 |   10.1% |  9.57e-04
    475 | -7.548531e-03 | 9.600214e-05 | -7.644533e-03 |  0.9979 |     0.6204 |   11.2% |  9.52e-04
    500 | -7.550195e-03 | 9.703280e-05 | -7.647228e-03 |  0.9977 |     0.6277 |   10.2% |  9.46e-04
    525 | -7.551336e-03 | 9.094796e-05 | -7.642284e-03 |  0.9980 |     0.6135 |   12.2% |  9.40e-04
    550 | -7.552993e-03 | 9.454660e-05 | -7.647540e-03 |  0.9978 |     0.6297 |    9.9% |  9.34e-04
    575 | -7.545144e-03 | 9.719239e-05 | -7.642337e-03 |  0.9980 |     0.6135 |   12.2% |  9.27e-04
    600 | -7.553351e-03 | 9.444384e-05 | -7.647795e-03 |  0.9978 |     0.6306 |    9.8% |  9.20e-04
    625 | -7.553150e-03 | 9.607233e-05 | -7.649222e-03 |  0.9978 |     0.6358 |    9.0% |  9.13e-04
    650 | -7.549234e-03 | 9.615077e-05 | -7.645384e-03 |  0.9977 |     0.6212 |   11.1% |  9.05e-04
    675 | -7.553653e-03 | 9.514797e-05 | -7.648801e-03 |  0.9978 |     0.6338 |    9.3% |  8.98e-04
    700 | -7.552722e-03 | 9.691425e-05 | -7.649636e-03 |  0.9978 |     0.6374 |    8.8% |  8.90e-04
    725 | -7.553280e-03 | 9.453492e-05 | -7.647815e-03 |  0.9978 |     0.6290 |   10.0% |  8.81e-04
    750 | -7.552471e-03 | 9.726457e-05 | -7.649736e-03 |  0.9977 |     0.6370 |    8.9% |  8.73e-04
    775 | -7.548454e-03 | 9.472768e-05 | -7.643182e-03 |  0.9980 |     0.6162 |   11.8% |  8.64e-04
    800 | -7.553513e-03 | 9.539681e-05 | -7.648910e-03 |  0.9977 |     0.6346 |    9.2% |  8.55e-04
    825 | -7.552736e-03 | 9.777982e-05 | -7.650516e-03 |  0.9977 |     0.6399 |    8.5% |  8.46e-04
    850 | -7.553132e-03 | 9.451626e-05 | -7.647648e-03 |  0.9978 |     0.6303 |    9.8% |  8.36e-04
    875 | -7.552429e-03 | 9.675465e-05 | -7.649184e-03 |  0.9977 |     0.6348 |    9.2% |  8.26e-04
    900 | -7.553253e-03 | 9.606668e-05 | -7.649320e-03 |  0.9978 |     0.6362 |    9.0% |  8.17e-04
    925 | -7.553658e-03 | 9.497665e-05 | -7.648635e-03 |  0.9978 |     0.6336 |    9.4% |  8.06e-04
    950 | -7.551265e-03 | 9.841615e-05 | -7.649682e-03 |  0.9977 |     0.6361 |    9.0% |  7.96e-04
    975 | -7.553192e-03 | 9.688843e-05 | -7.650080e-03 |  0.9978 |     0.6390 |    8.6% |  7.85e-04
   1000 | -7.553160e-03 | 9.666664e-05 | -7.649826e-03 |  0.9977 |     0.6377 |    8.8% |  7.75e-04
   1025 | -7.551838e-03 | 9.816451e-05 | -7.650003e-03 |  0.9977 |     0.6373 |    8.8% |  7.64e-04
   1050 | -7.552936e-03 | 9.730014e-05 | -7.650236e-03 |  0.9977 |     0.6395 |    8.5% |  7.52e-04
   1075 | -7.553466e-03 | 9.454735e-05 | -7.648014e-03 |  0.9978 |     0.6321 |    9.6% |  7.41e-04
   1100 | -7.552929e-03 | 9.801954e-05 | -7.650948e-03 |  0.9977 |     0.6413 |    8.3% |  7.30e-04
   1125 | -7.553202e-03 | 9.762184e-05 | -7.650823e-03 |  0.9977 |     0.6415 |    8.2% |  7.18e-04
   1150 | -7.552742e-03 | 9.790770e-05 | -7.650649e-03 |  0.9978 |     0.6395 |    8.5% |  7.06e-04
   1175 | -7.552792e-03 | 9.847515e-05 | -7.651268e-03 |  0.9977 |     0.6427 |    8.0% |  6.94e-04
   1200 | -7.552188e-03 | 9.858035e-05 | -7.650768e-03 |  0.9977 |     0.6405 |    8.4% |  6.82e-04
   1225 | -7.552641e-03 | 9.832549e-05 | -7.650966e-03 |  0.9977 |     0.6417 |    8.2% |  6.70e-04
   1250 | -7.551998e-03 | 9.935557e-05 | -7.651353e-03 |  0.9977 |     0.6428 |    8.0% |  6.58e-04
   1275 | -7.554103e-03 | 9.672183e-05 | -7.650825e-03 |  0.9977 |     0.6409 |    8.3% |  6.46e-04
   1300 | -7.553388e-03 | 9.810099e-05 | -7.651489e-03 |  0.9977 |     0.6436 |    7.9% |  6.33e-04
   1325 | -7.553849e-03 | 9.751132e-05 | -7.651361e-03 |  0.9977 |     0.6434 |    8.0% |  6.21e-04
   1350 | -7.553736e-03 | 9.730925e-05 | -7.651045e-03 |  0.9977 |     0.6417 |    8.2% |  6.08e-04
   1375 | -7.553838e-03 | 9.767246e-05 | -7.651511e-03 |  0.9977 |     0.6438 |    7.9% |  5.95e-04
   1400 | -7.553934e-03 | 9.784238e-05 | -7.651776e-03 |  0.9977 |     0.6447 |    7.8% |  5.82e-04
   1425 | -7.553902e-03 | 9.617978e-05 | -7.650081e-03 |  0.9977 |     0.6389 |    8.6% |  5.70e-04
   1450 | -7.554119e-03 | 9.758977e-05 | -7.651709e-03 |  0.9977 |     0.6444 |    7.8% |  5.57e-04
   1475 | -7.553495e-03 | 9.841364e-05 | -7.651908e-03 |  0.9977 |     0.6451 |    7.7% |  5.44e-04
   1500 | -7.553624e-03 | 9.833444e-05 | -7.651958e-03 |  0.9977 |     0.6453 |    7.7% |  5.31e-04
   1525 | -7.553680e-03 | 9.831510e-05 | -7.651995e-03 |  0.9977 |     0.6455 |    7.7% |  5.18e-04
   1550 | -7.553766e-03 | 9.826315e-05 | -7.652028e-03 |  0.9977 |     0.6456 |    7.6% |  5.05e-04
   1575 | -7.553438e-03 | 9.863572e-05 | -7.652074e-03 |  0.9977 |     0.6457 |    7.6% |  4.92e-04
   1600 | -7.553455e-03 | 9.793621e-05 | -7.651391e-03 |  0.9977 |     0.6432 |    8.0% |  4.79e-04
   1625 | -7.554114e-03 | 9.786457e-05 | -7.651979e-03 |  0.9977 |     0.6454 |    7.7% |  4.66e-04
   1650 | -7.553703e-03 | 9.840869e-05 | -7.652112e-03 |  0.9977 |     0.6458 |    7.6% |  4.53e-04
   1675 | -7.553617e-03 | 9.852607e-05 | -7.652143e-03 |  0.9977 |     0.6460 |    7.6% |  4.40e-04
   1700 | -7.553785e-03 | 9.838940e-05 | -7.652175e-03 |  0.9977 |     0.6461 |    7.6% |  4.28e-04
   1725 | -7.554026e-03 | 9.817176e-05 | -7.652198e-03 |  0.9977 |     0.6462 |    7.5% |  4.15e-04
   1750 | -7.553840e-03 | 9.837917e-05 | -7.652219e-03 |  0.9977 |     0.6463 |    7.5% |  4.02e-04
   1775 | -7.553821e-03 | 9.841991e-05 | -7.652241e-03 |  0.9977 |     0.6464 |    7.5% |  3.89e-04
   1800 | -7.553817e-03 | 9.844466e-05 | -7.652261e-03 |  0.9977 |     0.6464 |    7.5% |  3.77e-04
   1825 | -7.553623e-03 | 9.865787e-05 | -7.652281e-03 |  0.9977 |     0.6465 |    7.5% |  3.64e-04
   1850 | -7.553561e-03 | 9.873696e-05 | -7.652298e-03 |  0.9977 |     0.6466 |    7.5% |  3.52e-04
   1875 | -7.554023e-03 | 9.829114e-05 | -7.652314e-03 |  0.9977 |     0.6466 |    7.5% |  3.40e-04
   1900 | -7.553955e-03 | 9.837480e-05 | -7.652330e-03 |  0.9977 |     0.6467 |    7.5% |  3.28e-04
   1925 | -7.553951e-03 | 9.839261e-05 | -7.652344e-03 |  0.9977 |     0.6467 |    7.5% |  3.16e-04
   1950 | -7.553816e-03 | 9.854508e-05 | -7.652361e-03 |  0.9977 |     0.6468 |    7.5% |  3.04e-04
   1975 | -7.553765e-03 | 9.861081e-05 | -7.652376e-03 |  0.9977 |     0.6468 |    7.5% |  2.92e-04
   2000 | -7.553684e-03 | 9.870532e-05 | -7.652389e-03 |  0.9977 |     0.6469 |    7.5% |  2.80e-04
   2025 | -7.553989e-03 | 9.841118e-05 | -7.652400e-03 |  0.9977 |     0.6469 |    7.4% |  2.69e-04
   2050 | -7.553760e-03 | 9.865107e-05 | -7.652411e-03 |  0.9977 |     0.6470 |    7.4% |  2.57e-04
   2075 | -7.554102e-03 | 9.832181e-05 | -7.652423e-03 |  0.9977 |     0.6470 |    7.4% |  2.46e-04
   2100 | -7.554005e-03 | 9.843109e-05 | -7.652436e-03 |  0.9977 |     0.6471 |    7.4% |  2.35e-04
   2125 | -7.553987e-03 | 9.845904e-05 | -7.652446e-03 |  0.9977 |     0.6471 |    7.4% |  2.25e-04
   2150 | -7.554109e-03 | 9.834718e-05 | -7.652456e-03 |  0.9977 |     0.6471 |    7.4% |  2.14e-04
   2175 | -7.553932e-03 | 9.853238e-05 | -7.652464e-03 |  0.9977 |     0.6472 |    7.4% |  2.04e-04
   2200 | -7.554153e-03 | 9.832169e-05 | -7.652475e-03 |  0.9977 |     0.6472 |    7.4% |  1.93e-04
   2225 | -7.553761e-03 | 9.872151e-05 | -7.652483e-03 |  0.9977 |     0.6472 |    7.4% |  1.84e-04
   2250 | -7.553909e-03 | 9.857711e-05 | -7.652487e-03 |  0.9977 |     0.6472 |    7.4% |  1.74e-04
   2275 | -7.553971e-03 | 9.852539e-05 | -7.652497e-03 |  0.9976 |     0.6473 |    7.4% |  1.64e-04
   2300 | -7.553863e-03 | 9.863902e-05 | -7.652503e-03 |  0.9976 |     0.6473 |    7.4% |  1.55e-04
   2325 | -7.553952e-03 | 9.855554e-05 | -7.652508e-03 |  0.9976 |     0.6473 |    7.4% |  1.46e-04
   2350 | -7.554024e-03 | 9.849039e-05 | -7.652515e-03 |  0.9976 |     0.6473 |    7.4% |  1.37e-04
   2375 | -7.553668e-03 | 9.885003e-05 | -7.652518e-03 |  0.9976 |     0.6473 |    7.4% |  1.29e-04
   2400 | -7.554011e-03 | 9.851189e-05 | -7.652523e-03 |  0.9976 |     0.6474 |    7.4% |  1.20e-04
   2425 | -7.554054e-03 | 9.847466e-05 | -7.652529e-03 |  0.9976 |     0.6474 |    7.4% |  1.12e-04
   2450 | -7.553881e-03 | 9.865068e-05 | -7.652532e-03 |  0.9976 |     0.6474 |    7.4% |  1.05e-04
   2475 | -7.554228e-03 | 9.830584e-05 | -7.652534e-03 |  0.9976 |     0.6474 |    7.4% |  9.71e-05
   2500 | -7.553881e-03 | 9.865705e-05 | -7.652538e-03 |  0.9976 |     0.6474 |    7.4% |  8.99e-05
   2525 | -7.553887e-03 | 9.865490e-05 | -7.652542e-03 |  0.9976 |     0.6474 |    7.4% |  8.29e-05
   2550 | -7.553684e-03 | 9.886076e-05 | -7.652544e-03 |  0.9976 |     0.6474 |    7.4% |  7.63e-05
   2575 | -7.553841e-03 | 9.870570e-05 | -7.652546e-03 |  0.9976 |     0.6475 |    7.4% |  7.00e-05
   2600 | -7.553806e-03 | 9.874277e-05 | -7.652548e-03 |  0.9976 |     0.6475 |    7.4% |  6.40e-05
   2625 | -7.553733e-03 | 9.881642e-05 | -7.652550e-03 |  0.9976 |     0.6475 |    7.4% |  5.82e-05
   2650 | -7.553748e-03 | 9.880471e-05 | -7.652553e-03 |  0.9976 |     0.6475 |    7.4% |  5.28e-05
   2675 | -7.553849e-03 | 9.870554e-05 | -7.652555e-03 |  0.9976 |     0.6475 |    7.4% |  4.77e-05
   2700 | -7.553939e-03 | 9.861644e-05 | -7.652556e-03 |  0.9976 |     0.6475 |    7.4% |  4.29e-05
   2725 | -7.553937e-03 | 9.862163e-05 | -7.652558e-03 |  0.9976 |     0.6475 |    7.4% |  3.84e-05
   2750 | -7.553971e-03 | 9.858779e-05 | -7.652559e-03 |  0.9976 |     0.6475 |    7.4% |  3.42e-05
   2775 | -7.553982e-03 | 9.857828e-05 | -7.652560e-03 |  0.9976 |     0.6475 |    7.4% |  3.04e-05
   2800 | -7.554026e-03 | 9.853433e-05 | -7.652561e-03 |  0.9976 |     0.6475 |    7.4% |  2.69e-05
   2825 | -7.553903e-03 | 9.865890e-05 | -7.652562e-03 |  0.9976 |     0.6475 |    7.4% |  2.37e-05
   2850 | -7.553860e-03 | 9.870292e-05 | -7.652563e-03 |  0.9976 |     0.6475 |    7.4% |  2.08e-05
   2875 | -7.554012e-03 | 9.855135e-05 | -7.652563e-03 |  0.9976 |     0.6475 |    7.4% |  1.83e-05
   2900 | -7.553968e-03 | 9.859634e-05 | -7.652564e-03 |  0.9976 |     0.6475 |    7.4% |  1.61e-05
   2925 | -7.554049e-03 | 9.851709e-05 | -7.652566e-03 |  0.9976 |     0.6475 |    7.4% |  1.42e-05
   2950 | -7.553861e-03 | 9.870433e-05 | -7.652566e-03 |  0.9976 |     0.6475 |    7.4% |  1.27e-05
   2975 | -7.554031e-03 | 9.853541e-05 | -7.652567e-03 |  0.9976 |     0.6475 |    7.4% |  1.15e-05
   3000 | -7.553887e-03 | 9.868101e-05 | -7.652568e-03 |  0.9976 |     0.6475 |    7.4% |  1.07e-05

  ======================================================================
  ✅ BONE COMPLETE
  Best error: 7.36% (epoch 3000) | Best loss: -7.554490e-03 (epoch 1610)
  Tip displacement: 0.6475 mm (expected: 0.6990 mm)
  Relative error: 7.36%
  J range: [0.997638, 1.002376]
  Training time: 99.4s (1.7min)
  ======================================================================

