╔══════════════════════════════════════════════════════════════╗
║  DPC-GNN Multi-Tissue Solid Mechanics Training Pipeline    ║
║  Physics: Neo-Hookean Hyperelastic | GNN: AntisymmetricMP  ║
╚══════════════════════════════════════════════════════════════╝

  GPU: NVIDIA GeForce RTX 5090
  VRAM: 33.7 GB
  PyTorch: 2.8.0+cu128

======================================================================
  TISSUE: BONE | E=10000000 Pa (10000.0 kPa) | ν=0.3
  Beam: 10cm x 2cm x 2cm
  Mesh: 22x7x7 | Device: cuda | Epochs: 3000
  Expected tip δ: 0.6990 mm | Scale: 6.99e-04
======================================================================
  Nodes: 1472 | Tets: 5390 | Edges: 20904
  Params: 161,731

     Ep |         Loss |         E_el |         E_gr |   J_min |  u_tip(mm) |    Err% |        lr
  ----------------------------------------------------------------------------------------
      1 | -7.454148e-03 | 1.304076e-06 | -7.455452e-03 |  0.9997 |    -0.0002 |  100.0% |  2.00e-05
      2 | -7.454303e-03 | 1.348445e-06 | -7.455652e-03 |  0.9998 |     0.0000 |  100.0% |  4.00e-05
      3 | -7.454364e-03 | 1.680674e-06 | -7.456044e-03 |  0.9999 |     0.0006 |   99.9% |  6.00e-05
      4 | -7.454447e-03 | 2.160748e-06 | -7.456607e-03 |  1.0000 |     0.0013 |   99.8% |  8.00e-05
      5 | -7.454604e-03 | 2.670666e-06 | -7.457275e-03 |  1.0000 |     0.0022 |   99.7% |  1.00e-04
     25 | -7.457979e-03 | 6.238956e-06 | -7.464218e-03 |  0.9996 |     0.0187 |   97.3% |  5.00e-04
     50 | -7.474621e-03 | 1.915543e-05 | -7.493777e-03 |  0.9989 |     0.0916 |   86.9% |  1.00e-03
     75 | -7.492039e-03 | 2.343700e-05 | -7.515477e-03 |  0.9982 |     0.1741 |   75.1% |  1.00e-03
    100 | -7.511256e-03 | 3.386827e-05 | -7.545125e-03 |  0.9983 |     0.2774 |   60.3% |  9.99e-04
    125 | -7.501485e-03 | 2.444329e-05 | -7.525929e-03 |  0.9982 |     0.2087 |   70.1% |  9.98e-04
    150 | -7.526681e-03 | 4.772995e-05 | -7.574411e-03 |  0.9982 |     0.3746 |   46.4% |  9.97e-04
    175 | -7.537084e-03 | 6.371802e-05 | -7.600802e-03 |  0.9977 |     0.4586 |   34.4% |  9.96e-04
    200 | -7.539263e-03 | 6.279584e-05 | -7.602059e-03 |  0.9977 |     0.4651 |   33.5% |  9.94e-04
    225 | -7.543272e-03 | 7.753576e-05 | -7.620808e-03 |  0.9978 |     0.5310 |   24.0% |  9.92e-04
    250 | -7.543609e-03 | 8.633338e-05 | -7.629942e-03 |  0.9976 |     0.5650 |   19.2% |  9.89e-04
    275 | -7.545969e-03 | 8.400575e-05 | -7.629975e-03 |  0.9979 |     0.5659 |   19.0% |  9.86e-04
    300 | -7.548367e-03 | 8.939565e-05 | -7.637763e-03 |  0.9977 |     0.5946 |   14.9% |  9.83e-04
    325 | -7.549554e-03 | 8.946888e-05 | -7.639023e-03 |  0.9978 |     0.5984 |   14.4% |  9.80e-04
    350 | -7.548690e-03 | 9.094641e-05 | -7.639636e-03 |  0.9978 |     0.6017 |   13.9% |  9.76e-04
    375 | -7.549859e-03 | 9.324575e-05 | -7.643105e-03 |  0.9976 |     0.6141 |   12.1% |  9.72e-04
    400 | -7.551941e-03 | 9.160973e-05 | -7.643551e-03 |  0.9978 |     0.6166 |   11.8% |  9.67e-04
    425 | -7.550708e-03 | 9.549301e-05 | -7.646201e-03 |  0.9978 |     0.6257 |   10.5% |  9.62e-04
    450 | -7.550977e-03 | 9.439881e-05 | -7.645376e-03 |  0.9978 |     0.6205 |   11.2% |  9.57e-04
    475 | -7.552498e-03 | 9.498929e-05 | -7.647487e-03 |  0.9978 |     0.6300 |    9.9% |  9.52e-04
    500 | -7.552992e-03 | 9.276438e-05 | -7.645756e-03 |  0.9978 |     0.6234 |   10.8% |  9.46e-04
    525 | -7.552708e-03 | 9.373190e-05 | -7.646441e-03 |  0.9977 |     0.6251 |   10.6% |  9.40e-04
    550 | -7.550633e-03 | 9.733169e-05 | -7.647964e-03 |  0.9976 |     0.6305 |    9.8% |  9.34e-04
    575 | -7.553370e-03 | 9.407062e-05 | -7.647441e-03 |  0.9978 |     0.6290 |   10.0% |  9.27e-04
    600 | -7.552718e-03 | 9.425810e-05 | -7.646976e-03 |  0.9977 |     0.6272 |   10.3% |  9.20e-04
    625 | -7.549315e-03 | 9.874570e-05 | -7.648061e-03 |  0.9976 |     0.6305 |    9.8% |  9.13e-04
    650 | -7.552232e-03 | 9.641825e-05 | -7.648651e-03 |  0.9978 |     0.6341 |    9.3% |  9.05e-04
    675 | -7.552594e-03 | 9.527173e-05 | -7.647865e-03 |  0.9977 |     0.6306 |    9.8% |  8.98e-04
    700 | -7.553479e-03 | 9.392152e-05 | -7.647401e-03 |  0.9977 |     0.6289 |   10.0% |  8.90e-04
    725 | -7.551330e-03 | 9.648525e-05 | -7.647816e-03 |  0.9978 |     0.6312 |    9.7% |  8.81e-04
    750 | -7.551105e-03 | 9.824234e-05 | -7.649348e-03 |  0.9976 |     0.6353 |    9.1% |  8.73e-04
    775 | -7.553666e-03 | 9.527801e-05 | -7.648944e-03 |  0.9977 |     0.6348 |    9.2% |  8.64e-04
