╔══════════════════════════════════════════════════════════════╗
║  DPC-GNN Multi-Tissue Solid Mechanics Training Pipeline    ║
║  Physics: Neo-Hookean Hyperelastic | GNN: AntisymmetricMP  ║
╚══════════════════════════════════════════════════════════════╝

  GPU: NVIDIA GeForce RTX 5090
  VRAM: 33.7 GB
  PyTorch: 2.8.0+cu128

======================================================================
  TISSUE: BONE | E=10000000 Pa (10000.0 kPa) | ν=0.3
  Beam: 10cm x 2cm x 2cm
  Mesh: 22x7x7 | Device: cuda | Epochs: 3000
  Expected tip δ: 0.6990 mm | Scale: 6.99e-04
======================================================================
  Nodes: 1472 | Tets: 5390 | Edges: 20904
  Params: 161,731

     Ep |         Loss |         E_el |         E_gr |   J_min |  u_tip(mm) |    Err% |        lr
  ----------------------------------------------------------------------------------------
      1 | -7.455307e-03 | 7.016528e-07 | -7.456009e-03 |  1.0000 |     0.0008 |   99.9% |  2.00e-05
      2 | -7.454361e-03 | 1.779672e-06 | -7.456141e-03 |  0.9999 |     0.0009 |   99.9% |  4.00e-05
      3 | -7.455045e-03 | 1.361116e-06 | -7.456406e-03 |  0.9999 |     0.0013 |   99.8% |  6.00e-05
      4 | -7.453968e-03 | 2.837355e-06 | -7.456806e-03 |  1.0000 |     0.0018 |   99.7% |  8.00e-05
      5 | -7.454336e-03 | 2.977255e-06 | -7.457313e-03 |  1.0000 |     0.0025 |   99.6% |  1.00e-04
     25 | -7.462887e-03 | 2.903627e-06 | -7.465790e-03 |  0.9997 |     0.0235 |   96.6% |  5.00e-04
     50 | -7.464452e-03 | 4.620194e-05 | -7.510654e-03 |  0.9984 |     0.1343 |   80.8% |  1.00e-03
     75 | -7.486790e-03 | 4.082222e-05 | -7.527613e-03 |  0.9980 |     0.2133 |   69.5% |  1.00e-03
    100 | -7.510205e-03 | 4.184630e-05 | -7.552051e-03 |  0.9979 |     0.2985 |   57.3% |  9.99e-04
    125 | -7.519041e-03 | 4.553614e-05 | -7.564577e-03 |  0.9982 |     0.3361 |   51.9% |  9.98e-04
    150 | -7.522170e-03 | 5.521476e-05 | -7.577385e-03 |  0.9977 |     0.3868 |   44.7% |  9.97e-04
    175 | -7.536629e-03 | 6.171545e-05 | -7.598344e-03 |  0.9977 |     0.4515 |   35.4% |  9.96e-04
    200 | -7.541870e-03 | 7.355296e-05 | -7.615423e-03 |  0.9973 |     0.5065 |   27.5% |  9.94e-04
    225 | -7.540257e-03 | 7.368338e-05 | -7.613940e-03 |  0.9973 |     0.4997 |   28.5% |  9.92e-04
    250 | -7.544721e-03 | 8.065876e-05 | -7.625380e-03 |  0.9973 |     0.5449 |   22.0% |  9.89e-04
    275 | -7.535197e-03 | 8.974499e-05 | -7.624942e-03 |  0.9975 |     0.5520 |   21.0% |  9.86e-04
    300 | -7.547999e-03 | 8.628273e-05 | -7.634282e-03 |  0.9975 |     0.5808 |   16.9% |  9.83e-04
    325 | -7.547552e-03 | 9.188275e-05 | -7.639435e-03 |  0.9974 |     0.5987 |   14.3% |  9.80e-04
    350 | -7.548220e-03 | 8.428363e-05 | -7.632504e-03 |  0.9976 |     0.5700 |   18.5% |  9.76e-04
    375 | -7.550146e-03 | 8.931107e-05 | -7.639457e-03 |  0.9976 |     0.5992 |   14.3% |  9.72e-04
    400 | -7.551458e-03 | 9.324370e-05 | -7.644702e-03 |  0.9976 |     0.6188 |   11.5% |  9.67e-04
