╔══════════════════════════════════════════════════════════════╗
║  DPC-GNN Multi-Tissue Solid Mechanics Training Pipeline    ║
║  Physics: Neo-Hookean Hyperelastic | GNN: AntisymmetricMP  ║
╚══════════════════════════════════════════════════════════════╝

  GPU: NVIDIA GeForce RTX 5090
  VRAM: 33.7 GB
  PyTorch: 2.8.0+cu128

======================================================================
  TISSUE: BONE | E=10000000 Pa (10000.0 kPa) | ν=0.3
  Beam: 10cm x 2cm x 2cm
  Mesh: 22x7x7 | Device: cuda | Epochs: 3000
  Expected tip δ: 0.6990 mm | Scale: 6.99e-04
======================================================================
  Nodes: 1472 | Tets: 5390 | Edges: 20904
  Params: 161,731

     Ep |         Loss |         E_el |         E_gr |   J_min |  u_tip(mm) |    Err% |        lr
  ----------------------------------------------------------------------------------------
      1 | -7.450561e-03 | 5.902347e-06 | -7.456463e-03 |  0.9999 |     0.0013 |   99.8% |  2.00e-05
      2 | -7.450558e-03 | 6.052401e-06 | -7.456610e-03 |  0.9999 |     0.0015 |   99.8% |  4.00e-05
      3 | -7.451321e-03 | 5.569844e-06 | -7.456891e-03 |  0.9999 |     0.0019 |   99.7% |  6.00e-05
      4 | -7.452589e-03 | 4.673323e-06 | -7.457262e-03 |  0.9999 |     0.0024 |   99.7% |  8.00e-05
      5 | -7.454189e-03 | 3.469709e-06 | -7.457659e-03 |  0.9999 |     0.0030 |   99.6% |  1.00e-04
     25 | -7.464705e-03 | 7.904529e-06 | -7.472609e-03 |  0.9992 |     0.0423 |   94.0% |  5.00e-04
     50 | -7.480500e-03 | 1.934949e-05 | -7.499849e-03 |  0.9986 |     0.1189 |   83.0% |  1.00e-03
     75 | -7.481720e-03 | 3.102249e-05 | -7.512743e-03 |  0.9985 |     0.1762 |   74.8% |  1.00e-03
    100 | -7.509617e-03 | 3.740171e-05 | -7.547019e-03 |  0.9979 |     0.2787 |   60.1% |  9.99e-04
    125 | -7.517006e-03 | 5.299951e-05 | -7.570006e-03 |  0.9978 |     0.3575 |   48.9% |  9.98e-04
    150 | -7.523461e-03 | 5.236355e-05 | -7.575824e-03 |  0.9973 |     0.3696 |   47.1% |  9.97e-04
    175 | -7.538456e-03 | 6.368069e-05 | -7.602136e-03 |  0.9972 |     0.4611 |   34.0% |  9.96e-04
    200 | -7.518499e-03 | 6.263022e-05 | -7.581129e-03 |  0.9978 |     0.4011 |   42.6% |  9.94e-04
    225 | -7.542383e-03 | 7.160171e-05 | -7.613985e-03 |  0.9976 |     0.5080 |   27.3% |  9.92e-04
    250 | -7.546552e-03 | 8.087862e-05 | -7.627431e-03 |  0.9973 |     0.5536 |   20.8% |  9.89e-04
    275 | -7.483937e-03 | 1.452262e-04 | -7.629164e-03 |  0.9974 |     0.5678 |   18.8% |  9.86e-04
    300 | -7.546257e-03 | 7.548968e-05 | -7.621747e-03 |  0.9982 |     0.5385 |   23.0% |  9.83e-04
    325 | -7.549384e-03 | 8.723346e-05 | -7.636617e-03 |  0.9976 |     0.5860 |   16.2% |  9.80e-04
    350 | -7.545782e-03 | 9.644647e-05 | -7.642228e-03 |  0.9976 |     0.6110 |   12.6% |  9.76e-04
    375 | -7.552075e-03 | 9.331381e-05 | -7.645389e-03 |  0.9977 |     0.6220 |   11.0% |  9.72e-04
    400 | -7.548246e-03 | 9.150473e-05 | -7.639751e-03 |  0.9977 |     0.5993 |   14.3% |  9.67e-04
    425 | -7.552797e-03 | 9.283217e-05 | -7.645630e-03 |  0.9977 |     0.6226 |   10.9% |  9.62e-04
    450 | -7.551689e-03 | 9.221074e-05 | -7.643900e-03 |  0.9978 |     0.6174 |   11.7% |  9.57e-04
    475 | -7.541122e-03 | 1.055999e-04 | -7.646722e-03 |  0.9975 |     0.6249 |   10.6% |  9.52e-04
    500 | -7.553129e-03 | 9.343432e-05 | -7.646563e-03 |  0.9978 |     0.6241 |   10.7% |  9.46e-04
    525 | -7.553048e-03 | 9.536395e-05 | -7.648412e-03 |  0.9977 |     0.6326 |    9.5% |  9.40e-04
    550 | -7.551825e-03 | 8.957832e-05 | -7.641403e-03 |  0.9978 |     0.6078 |   13.0% |  9.34e-04
    575 | -7.553519e-03 | 9.371508e-05 | -7.647234e-03 |  0.9977 |     0.6286 |   10.1% |  9.27e-04
    600 | -7.549766e-03 | 9.740794e-05 | -7.647174e-03 |  0.9978 |     0.6292 |   10.0% |  9.20e-04
    625 | -7.551868e-03 | 9.673752e-05 | -7.648605e-03 |  0.9977 |     0.6322 |    9.6% |  9.13e-04
    650 | -7.552497e-03 | 9.219655e-05 | -7.644693e-03 |  0.9979 |     0.6206 |   11.2% |  9.05e-04
    675 | -7.552976e-03 | 9.584380e-05 | -7.648820e-03 |  0.9977 |     0.6335 |    9.4% |  8.98e-04
    700 | -7.546159e-03 | 8.818090e-05 | -7.634340e-03 |  0.9975 |     0.5826 |   16.6% |  8.90e-04
    725 | -7.552676e-03 | 9.640704e-05 | -7.649084e-03 |  0.9979 |     0.6338 |    9.3% |  8.81e-04
    750 | -7.553321e-03 | 9.647625e-05 | -7.649797e-03 |  0.9977 |     0.6377 |    8.8% |  8.73e-04
    775 | -7.553782e-03 | 9.649823e-05 | -7.650280e-03 |  0.9977 |     0.6394 |    8.5% |  8.64e-04
    800 | -7.544639e-03 | 9.832004e-05 | -7.642959e-03 |  0.9979 |     0.6156 |   11.9% |  8.55e-04
    825 | -7.552820e-03 | 9.636076e-05 | -7.649180e-03 |  0.9978 |     0.6338 |    9.3% |  8.46e-04
    850 | -7.552964e-03 | 9.738738e-05 | -7.650352e-03 |  0.9977 |     0.6395 |    8.5% |  8.36e-04
    875 | -7.552840e-03 | 9.778803e-05 | -7.650628e-03 |  0.9977 |     0.6405 |    8.4% |  8.26e-04
    900 | -7.553027e-03 | 9.481471e-05 | -7.647842e-03 |  0.9978 |     0.6300 |    9.9% |  8.17e-04
    925 | -7.552923e-03 | 9.719793e-05 | -7.650121e-03 |  0.9977 |     0.6387 |    8.6% |  8.06e-04
    950 | -7.544857e-03 | 1.010871e-04 | -7.645944e-03 |  0.9979 |     0.6259 |   10.5% |  7.96e-04
    975 | -7.553593e-03 | 9.619984e-05 | -7.649793e-03 |  0.9977 |     0.6370 |    8.9% |  7.85e-04
   1000 | -7.553669e-03 | 9.723204e-05 | -7.650901e-03 |  0.9977 |     0.6414 |    8.2% |  7.75e-04
   1025 | -7.551810e-03 | 9.910129e-05 | -7.650911e-03 |  0.9977 |     0.6412 |    8.3% |  7.64e-04
   1050 | -7.553726e-03 | 9.613685e-05 | -7.649862e-03 |  0.9977 |     0.6370 |    8.9% |  7.52e-04
   1075 | -7.553100e-03 | 9.797843e-05 | -7.651079e-03 |  0.9977 |     0.6418 |    8.2% |  7.41e-04
   1100 | -7.552953e-03 | 9.705807e-05 | -7.650011e-03 |  0.9977 |     0.6377 |    8.8% |  7.30e-04
   1125 | -7.553230e-03 | 9.670240e-05 | -7.649932e-03 |  0.9977 |     0.6383 |    8.7% |  7.18e-04
   1150 | -7.553084e-03 | 9.617962e-05 | -7.649263e-03 |  0.9977 |     0.6358 |    9.0% |  7.06e-04
   1175 | -7.553513e-03 | 9.733916e-05 | -7.650852e-03 |  0.9977 |     0.6416 |    8.2% |  6.94e-04
   1200 | -7.553931e-03 | 9.684911e-05 | -7.650780e-03 |  0.9977 |     0.6410 |    8.3% |  6.82e-04
   1225 | -7.550713e-03 | 9.803585e-05 | -7.648748e-03 |  0.9978 |     0.6352 |    9.1% |  6.70e-04
   1250 | -7.553757e-03 | 9.727775e-05 | -7.651034e-03 |  0.9977 |     0.6420 |    8.1% |  6.58e-04
   1275 | -7.553897e-03 | 9.780894e-05 | -7.651706e-03 |  0.9977 |     0.6444 |    7.8% |  6.46e-04
   1300 | -7.553655e-03 | 9.610470e-05 | -7.649759e-03 |  0.9977 |     0.6382 |    8.7% |  6.33e-04
   1325 | -7.553293e-03 | 9.835417e-05 | -7.651648e-03 |  0.9977 |     0.6439 |    7.9% |  6.21e-04
   1350 | -7.553775e-03 | 9.807237e-05 | -7.651848e-03 |  0.9977 |     0.6450 |    7.7% |  6.08e-04
   1375 | -7.553131e-03 | 9.479147e-05 | -7.647922e-03 |  0.9978 |     0.6322 |    9.6% |  5.95e-04
   1400 | -7.553493e-03 | 9.816660e-05 | -7.651660e-03 |  0.9977 |     0.6440 |    7.9% |  5.82e-04
