╔══════════════════════════════════════════════════════════════╗
║  DPC-GNN Multi-Tissue Solid Mechanics Training Pipeline    ║
║  Physics: Neo-Hookean Hyperelastic | GNN: AntisymmetricMP  ║
╚══════════════════════════════════════════════════════════════╝

  GPU: NVIDIA GeForce RTX 5090
  VRAM: 33.7 GB
  PyTorch: 2.8.0+cu128

======================================================================
  TISSUE: BONE | E=10000000 Pa (10000.0 kPa) | ν=0.3
  Beam: 10cm x 2cm x 2cm
  Mesh: 22x7x7 | Device: cuda | Epochs: 3000
  Expected tip δ: 0.6990 mm | Scale: 6.99e-04
======================================================================
  Nodes: 1472 | Tets: 5390 | Edges: 20904
  Params: 161,731

     Ep |         Loss |         E_el |         E_gr |   J_min |  u_tip(mm) |    Err% |        lr
  ----------------------------------------------------------------------------------------
      1 | -7.450819e-03 | 4.492659e-06 | -7.455312e-03 |  0.9998 |    -0.0002 |  100.0% |  2.00e-05
      2 | -7.451580e-03 | 3.903669e-06 | -7.455484e-03 |  0.9998 |     0.0000 |  100.0% |  4.00e-05
      3 | -7.452401e-03 | 3.422336e-06 | -7.455823e-03 |  0.9999 |     0.0005 |   99.9% |  6.00e-05
      4 | -7.453057e-03 | 3.255614e-06 | -7.456312e-03 |  1.0000 |     0.0011 |   99.8% |  8.00e-05
      5 | -7.454375e-03 | 2.551895e-06 | -7.456927e-03 |  1.0000 |     0.0020 |   99.7% |  1.00e-04
     25 | -7.459738e-03 | 3.407109e-06 | -7.463145e-03 |  0.9997 |     0.0171 |   97.6% |  5.00e-04
     50 | -7.478300e-03 | 2.359944e-05 | -7.501899e-03 |  0.9983 |     0.1220 |   82.5% |  1.00e-03
     75 | -7.492681e-03 | 3.699521e-05 | -7.529677e-03 |  0.9981 |     0.2225 |   68.2% |  1.00e-03
    100 | -7.517538e-03 | 3.810157e-05 | -7.555639e-03 |  0.9979 |     0.3155 |   54.9% |  9.99e-04
    125 | -7.528801e-03 | 5.351158e-05 | -7.582312e-03 |  0.9982 |     0.3914 |   44.0% |  9.98e-04
    150 | -7.535821e-03 | 6.738100e-05 | -7.603202e-03 |  0.9980 |     0.4656 |   33.4% |  9.97e-04
    175 | -7.537008e-03 | 7.675233e-05 | -7.613760e-03 |  0.9978 |     0.5018 |   28.2% |  9.96e-04
    200 | -7.539852e-03 | 7.732141e-05 | -7.617173e-03 |  0.9978 |     0.5178 |   25.9% |  9.94e-04
    225 | -7.546534e-03 | 8.280161e-05 | -7.629336e-03 |  0.9978 |     0.5620 |   19.6% |  9.92e-04
    250 | -7.543969e-03 | 8.128279e-05 | -7.625252e-03 |  0.9982 |     0.5460 |   21.9% |  9.89e-04
