╔══════════════════════════════════════════════════════════════╗
║  DPC-GNN Multi-Tissue Solid Mechanics Training Pipeline    ║
║  Physics: Neo-Hookean Hyperelastic | GNN: AntisymmetricMP  ║
╚══════════════════════════════════════════════════════════════╝

  GPU: NVIDIA GeForce RTX 5090
  VRAM: 33.7 GB
  PyTorch: 2.8.0+cu128

======================================================================
  TISSUE: BONE | E=10000000 Pa (10000.0 kPa) | ν=0.3
  Beam: 10cm x 2cm x 2cm
  Mesh: 22x7x7 | Device: cuda | Epochs: 3000
  Expected tip δ: 0.6990 mm | Scale: 6.99e-04
======================================================================
  Nodes: 1472 | Tets: 5390 | Edges: 20904
  Params: 161,731

     Ep |         Loss |         E_el |         E_gr |   J_min |  u_tip(mm) |    Err% |        lr
  ----------------------------------------------------------------------------------------
      1 | -7.452166e-03 | 3.387432e-06 | -7.455553e-03 |  1.0000 |    -0.0001 |  100.0% |  2.00e-05
      2 | -7.452827e-03 | 2.902148e-06 | -7.455729e-03 |  1.0000 |     0.0001 |  100.0% |  4.00e-05
      3 | -7.453709e-03 | 2.371695e-06 | -7.456081e-03 |  0.9999 |     0.0006 |   99.9% |  6.00e-05
      4 | -7.454217e-03 | 2.374257e-06 | -7.456591e-03 |  0.9998 |     0.0013 |   99.8% |  8.00e-05
      5 | -7.453885e-03 | 3.321386e-06 | -7.457207e-03 |  0.9997 |     0.0021 |   99.7% |  1.00e-04
     25 | -7.457716e-03 | 3.687356e-06 | -7.461404e-03 |  0.9998 |     0.0119 |   98.3% |  5.00e-04
     50 | -7.474731e-03 | 1.681024e-05 | -7.491541e-03 |  0.9988 |     0.0902 |   87.1% |  1.00e-03
     75 | -7.491443e-03 | 1.924966e-05 | -7.510692e-03 |  0.9982 |     0.1669 |   76.1% |  1.00e-03
    100 | -7.495887e-03 | 3.609101e-05 | -7.531978e-03 |  0.9979 |     0.2390 |   65.8% |  9.99e-04
    125 | -7.522407e-03 | 4.728758e-05 | -7.569694e-03 |  0.9982 |     0.3611 |   48.3% |  9.98e-04
    150 | -7.530602e-03 | 5.892703e-05 | -7.589529e-03 |  0.9973 |     0.4118 |   41.1% |  9.97e-04
    175 | -7.538059e-03 | 6.868886e-05 | -7.606748e-03 |  0.9973 |     0.4792 |   31.4% |  9.96e-04
    200 | -7.538137e-03 | 6.711357e-05 | -7.605251e-03 |  0.9975 |     0.4739 |   32.2% |  9.94e-04
    225 | -7.542470e-03 | 7.693221e-05 | -7.619402e-03 |  0.9974 |     0.5253 |   24.8% |  9.92e-04
    250 | -7.536769e-03 | 9.184617e-05 | -7.628615e-03 |  0.9974 |     0.5615 |   19.7% |  9.89e-04
    275 | -7.547412e-03 | 8.103166e-05 | -7.628444e-03 |  0.9976 |     0.5591 |   20.0% |  9.86e-04
    300 | -7.546153e-03 | 9.093155e-05 | -7.637084e-03 |  0.9976 |     0.5929 |   15.2% |  9.83e-04
    325 | -7.551081e-03 | 8.670434e-05 | -7.637785e-03 |  0.9978 |     0.5949 |   14.9% |  9.80e-04
    350 | -7.550547e-03 | 8.421361e-05 | -7.634760e-03 |  0.9978 |     0.5858 |   16.2% |  9.76e-04
    375 | -7.548870e-03 | 9.422583e-05 | -7.643095e-03 |  0.9977 |     0.6151 |   12.0% |  9.72e-04
    400 | -7.550485e-03 | 9.222423e-05 | -7.642709e-03 |  0.9979 |     0.6131 |   12.3% |  9.67e-04
    425 | -7.549946e-03 | 8.819374e-05 | -7.638140e-03 |  0.9975 |     0.5977 |   14.5% |  9.62e-04
    450 | -7.552838e-03 | 9.196173e-05 | -7.644800e-03 |  0.9977 |     0.6207 |   11.2% |  9.57e-04
    475 | -7.552139e-03 | 9.252758e-05 | -7.644667e-03 |  0.9978 |     0.6200 |   11.3% |  9.52e-04
    500 | -7.549979e-03 | 9.594247e-05 | -7.645922e-03 |  0.9976 |     0.6237 |   10.8% |  9.46e-04
    525 | -7.551538e-03 | 9.289291e-05 | -7.644431e-03 |  0.9978 |     0.6193 |   11.4% |  9.40e-04
    550 | -7.552786e-03 | 9.328884e-05 | -7.646075e-03 |  0.9977 |     0.6247 |   10.6% |  9.34e-04
    575 | -7.551599e-03 | 9.393740e-05 | -7.645536e-03 |  0.9978 |     0.6221 |   11.0% |  9.27e-04
    600 | -7.551773e-03 | 9.709698e-05 | -7.648869e-03 |  0.9977 |     0.6343 |    9.2% |  9.20e-04
    625 | -7.553227e-03 | 9.468709e-05 | -7.647914e-03 |  0.9976 |     0.6291 |   10.0% |  9.13e-04
    650 | -7.552805e-03 | 9.428403e-05 | -7.647089e-03 |  0.9977 |     0.6265 |   10.4% |  9.05e-04
