╔══════════════════════════════════════════════════════════════╗
║  DPC-GNN Multi-Tissue Solid Mechanics Training Pipeline    ║
║  Physics: Neo-Hookean Hyperelastic | GNN: AntisymmetricMP  ║
╚══════════════════════════════════════════════════════════════╝

  GPU: NVIDIA GeForce RTX 5090
  VRAM: 33.7 GB
  PyTorch: 2.8.0+cu128

======================================================================
  TISSUE: BONE | E=10000000 Pa (10000.0 kPa) | ν=0.3
  Beam: 10cm x 2cm x 2cm
  Mesh: 22x7x7 | Device: cuda | Epochs: 3000
  Expected tip δ: 0.6990 mm | Scale: 6.99e-04
======================================================================
  Nodes: 1472 | Tets: 5390 | Edges: 20904
  Params: 161,731

     Ep |         Loss |         E_el |         E_gr |   J_min |  u_tip(mm) |    Err% |        lr
  ----------------------------------------------------------------------------------------
      1 | -7.455342e-03 | 4.433497e-07 | -7.455785e-03 |  1.0000 |     0.0001 |  100.0% |  2.00e-05
      2 | -7.455671e-03 | 2.642732e-07 | -7.455936e-03 |  1.0000 |     0.0003 |  100.0% |  4.00e-05
      3 | -7.453422e-03 | 2.812822e-06 | -7.456235e-03 |  0.9999 |     0.0007 |   99.9% |  6.00e-05
      4 | -7.453020e-03 | 3.646817e-06 | -7.456666e-03 |  0.9999 |     0.0014 |   99.8% |  8.00e-05
      5 | -7.452961e-03 | 4.229443e-06 | -7.457191e-03 |  1.0000 |     0.0022 |   99.7% |  1.00e-04
     25 | -7.462522e-03 | 4.774602e-06 | -7.467297e-03 |  0.9996 |     0.0284 |   95.9% |  5.00e-04
     50 | -7.479975e-03 | 2.117397e-05 | -7.501149e-03 |  0.9986 |     0.1167 |   83.3% |  1.00e-03
     75 | -7.491870e-03 | 3.490452e-05 | -7.526775e-03 |  0.9983 |     0.2117 |   69.7% |  1.00e-03
    100 | -7.500427e-03 | 5.547931e-05 | -7.555907e-03 |  0.9981 |     0.3069 |   56.1% |  9.99e-04
    125 | -7.519786e-03 | 5.710026e-05 | -7.576887e-03 |  0.9976 |     0.3886 |   44.4% |  9.98e-04
    150 | -7.513008e-03 | 8.998960e-05 | -7.602998e-03 |  0.9976 |     0.4635 |   33.7% |  9.97e-04
    175 | -7.539704e-03 | 7.639971e-05 | -7.616104e-03 |  0.9974 |     0.5118 |   26.8% |  9.96e-04
    200 | -7.540565e-03 | 8.012183e-05 | -7.620687e-03 |  0.9974 |     0.5329 |   23.8% |  9.94e-04
    225 | -7.537968e-03 | 8.149339e-05 | -7.619462e-03 |  0.9975 |     0.5312 |   24.0% |  9.92e-04
    250 | -7.547537e-03 | 8.585526e-05 | -7.633393e-03 |  0.9975 |     0.5777 |   17.4% |  9.89e-04
    275 | -7.547354e-03 | 8.369121e-05 | -7.631046e-03 |  0.9975 |     0.5681 |   18.7% |  9.86e-04
    300 | -7.549211e-03 | 9.231250e-05 | -7.641524e-03 |  0.9976 |     0.6076 |   13.1% |  9.83e-04
    325 | -7.551053e-03 | 9.273406e-05 | -7.643787e-03 |  0.9978 |     0.6155 |   11.9% |  9.80e-04
    350 | -7.549648e-03 | 8.362500e-05 | -7.633273e-03 |  0.9982 |     0.5803 |   17.0% |  9.76e-04
    375 | -7.551032e-03 | 9.411159e-05 | -7.645143e-03 |  0.9978 |     0.6203 |   11.3% |  9.72e-04
    400 | -7.552353e-03 | 9.393871e-05 | -7.646292e-03 |  0.9978 |     0.6244 |   10.7% |  9.67e-04
    425 | -7.539535e-03 | 1.071889e-04 | -7.646724e-03 |  0.9976 |     0.6257 |   10.5% |  9.62e-04
    450 | -7.552097e-03 | 9.267982e-05 | -7.644776e-03 |  0.9979 |     0.6161 |   11.9% |  9.57e-04
    475 | -7.552031e-03 | 9.576948e-05 | -7.647800e-03 |  0.9977 |     0.6295 |    9.9% |  9.52e-04
    500 | -7.552233e-03 | 9.619599e-05 | -7.648429e-03 |  0.9977 |     0.6318 |    9.6% |  9.46e-04
    525 | -7.551071e-03 | 9.348621e-05 | -7.644557e-03 |  0.9978 |     0.6173 |   11.7% |  9.40e-04
    550 | -7.551888e-03 | 9.691536e-05 | -7.648803e-03 |  0.9977 |     0.6333 |    9.4% |  9.34e-04
    575 | -7.550612e-03 | 9.809407e-05 | -7.648706e-03 |  0.9977 |     0.6321 |    9.6% |  9.27e-04
    600 | -7.552411e-03 | 9.540714e-05 | -7.647818e-03 |  0.9978 |     0.6287 |   10.1% |  9.20e-04
    625 | -7.549036e-03 | 9.900377e-05 | -7.648040e-03 |  0.9977 |     0.6298 |    9.9% |  9.13e-04
    650 | -7.552336e-03 | 9.567370e-05 | -7.648010e-03 |  0.9978 |     0.6310 |    9.7% |  9.05e-04
    675 | -7.553550e-03 | 9.268484e-05 | -7.646235e-03 |  0.9978 |     0.6244 |   10.7% |  8.98e-04
    700 | -7.551175e-03 | 9.594704e-05 | -7.647122e-03 |  0.9977 |     0.6269 |   10.3% |  8.90e-04
    725 | -7.551492e-03 | 9.682338e-05 | -7.648316e-03 |  0.9978 |     0.6319 |    9.6% |  8.81e-04
    750 | -7.551667e-03 | 9.800361e-05 | -7.649670e-03 |  0.9977 |     0.6360 |    9.0% |  8.73e-04
    775 | -7.553827e-03 | 9.469732e-05 | -7.648524e-03 |  0.9978 |     0.6322 |    9.6% |  8.64e-04
    800 | -7.553291e-03 | 9.480034e-05 | -7.648091e-03 |  0.9978 |     0.6309 |    9.7% |  8.55e-04
    825 | -7.551914e-03 | 9.725695e-05 | -7.649171e-03 |  0.9977 |     0.6349 |    9.2% |  8.46e-04
    850 | -7.550601e-03 | 9.952393e-05 | -7.650125e-03 |  0.9977 |     0.6366 |    8.9% |  8.36e-04
    875 | -7.554315e-03 | 9.548614e-05 | -7.649801e-03 |  0.9978 |     0.6358 |    9.0% |  8.26e-04
    900 | -7.553539e-03 | 9.419073e-05 | -7.647729e-03 |  0.9978 |     0.6306 |    9.8% |  8.17e-04
    925 | -7.551932e-03 | 9.863445e-05 | -7.650566e-03 |  0.9977 |     0.6391 |    8.6% |  8.06e-04
    950 | -7.554050e-03 | 9.553415e-05 | -7.649584e-03 |  0.9978 |     0.6356 |    9.1% |  7.96e-04
    975 | -7.553865e-03 | 9.680176e-05 | -7.650667e-03 |  0.9977 |     0.6403 |    8.4% |  7.85e-04
   1000 | -7.553777e-03 | 9.407258e-05 | -7.647850e-03 |  0.9977 |     0.6295 |    9.9% |  7.75e-04
   1025 | -7.553116e-03 | 9.770418e-05 | -7.650821e-03 |  0.9977 |     0.6407 |    8.3% |  7.64e-04
   1050 | -7.553328e-03 | 9.779961e-05 | -7.651127e-03 |  0.9977 |     0.6419 |    8.2% |  7.52e-04
   1075 | -7.552204e-03 | 9.408063e-05 | -7.646285e-03 |  0.9977 |     0.6248 |   10.6% |  7.41e-04
   1100 | -7.553901e-03 | 9.666214e-05 | -7.650563e-03 |  0.9977 |     0.6396 |    8.5% |  7.30e-04
   1125 | -7.553358e-03 | 9.794792e-05 | -7.651306e-03 |  0.9977 |     0.6425 |    8.1% |  7.18e-04
   1150 | -7.552751e-03 | 9.755262e-05 | -7.650304e-03 |  0.9977 |     0.6398 |    8.5% |  7.06e-04
   1175 | -7.552994e-03 | 9.761802e-05 | -7.650612e-03 |  0.9977 |     0.6398 |    8.5% |  6.94e-04
   1200 | -7.553870e-03 | 9.740931e-05 | -7.651279e-03 |  0.9977 |     0.6426 |    8.1% |  6.82e-04
   1225 | -7.547217e-03 | 1.022535e-04 | -7.649471e-03 |  0.9976 |     0.6359 |    9.0% |  6.70e-04
   1250 | -7.554322e-03 | 9.612945e-05 | -7.650451e-03 |  0.9977 |     0.6396 |    8.5% |  6.58e-04
   1275 | -7.554129e-03 | 9.716651e-05 | -7.651296e-03 |  0.9977 |     0.6428 |    8.0% |  6.46e-04
   1300 | -7.553913e-03 | 9.772132e-05 | -7.651635e-03 |  0.9977 |     0.6439 |    7.9% |  6.33e-04
   1325 | -7.554274e-03 | 9.736486e-05 | -7.651638e-03 |  0.9977 |     0.6441 |    7.9% |  6.21e-04
   1350 | -7.553165e-03 | 9.683553e-05 | -7.650001e-03 |  0.9976 |     0.6372 |    8.8% |  6.08e-04
   1375 | -7.554028e-03 | 9.775115e-05 | -7.651779e-03 |  0.9977 |     0.6442 |    7.8% |  5.95e-04
   1400 | -7.554247e-03 | 9.756611e-05 | -7.651813e-03 |  0.9976 |     0.6445 |    7.8% |  5.82e-04
   1425 | -7.553684e-03 | 9.823689e-05 | -7.651920e-03 |  0.9976 |     0.6449 |    7.7% |  5.70e-04
   1450 | -7.554264e-03 | 9.558248e-05 | -7.649847e-03 |  0.9977 |     0.6378 |    8.8% |  5.57e-04
   1475 | -7.554406e-03 | 9.723466e-05 | -7.651641e-03 |  0.9976 |     0.6439 |    7.9% |  5.44e-04
   1500 | -7.554299e-03 | 9.760272e-05 | -7.651902e-03 |  0.9976 |     0.6449 |    7.7% |  5.31e-04
   1525 | -7.554271e-03 | 9.770055e-05 | -7.651972e-03 |  0.9976 |     0.6452 |    7.7% |  5.18e-04
   1550 | -7.553672e-03 | 9.688622e-05 | -7.650559e-03 |  0.9976 |     0.6403 |    8.4% |  5.05e-04
   1575 | -7.553991e-03 | 9.789949e-05 | -7.651891e-03 |  0.9976 |     0.6448 |    7.7% |  4.92e-04
   1600 | -7.553820e-03 | 9.826946e-05 | -7.652089e-03 |  0.9976 |     0.6456 |    7.6% |  4.79e-04
   1625 | -7.553999e-03 | 9.814792e-05 | -7.652147e-03 |  0.9976 |     0.6458 |    7.6% |  4.66e-04
   1650 | -7.554111e-03 | 9.805703e-05 | -7.652168e-03 |  0.9976 |     0.6459 |    7.6% |  4.53e-04
   1675 | -7.553399e-03 | 9.883013e-05 | -7.652229e-03 |  0.9976 |     0.6460 |    7.6% |  4.40e-04
