╔══════════════════════════════════════════════════════════════╗
║  DPC-GNN Multi-Tissue Solid Mechanics Training Pipeline    ║
║  Physics: Neo-Hookean Hyperelastic | GNN: AntisymmetricMP  ║
╚══════════════════════════════════════════════════════════════╝

  GPU: NVIDIA GeForce RTX 5090
  VRAM: 33.7 GB
  PyTorch: 2.8.0+cu128

======================================================================
  TISSUE: BONE | E=10000000 Pa (10000.0 kPa) | ν=0.3
  Beam: 10cm x 2cm x 2cm
  Mesh: 22x7x7 | Device: cuda | Epochs: 3000
  Expected tip δ: 0.6990 mm | Scale: 6.99e-04
======================================================================
  Nodes: 1472 | Tets: 5390 | Edges: 20904
  Params: 161,731

     Ep |         Loss |         E_el |         E_gr |   J_min |  u_tip(mm) |    Err% |        lr
  ----------------------------------------------------------------------------------------
      1 | -7.453947e-03 | 1.224296e-06 | -7.455171e-03 |  0.9999 |    -0.0007 |   99.9% |  2.00e-05
      2 | -7.454603e-03 | 7.457256e-07 | -7.455349e-03 |  1.0000 |    -0.0005 |   99.9% |  4.00e-05
      3 | -7.455202e-03 | 5.055397e-07 | -7.455708e-03 |  0.9999 |    -0.0000 |  100.0% |  6.00e-05
      4 | -7.455428e-03 | 8.050480e-07 | -7.456233e-03 |  0.9999 |     0.0007 |   99.9% |  8.00e-05
      5 | -7.452509e-03 | 4.384638e-06 | -7.456894e-03 |  0.9999 |     0.0016 |   99.8% |  1.00e-04
     25 | -7.459087e-03 | 2.125449e-06 | -7.461213e-03 |  0.9998 |     0.0119 |   98.3% |  5.00e-04
     50 | -7.469160e-03 | 1.689057e-05 | -7.486051e-03 |  0.9982 |     0.0760 |   89.1% |  1.00e-03
     75 | -7.485185e-03 | 2.203109e-05 | -7.507216e-03 |  0.9980 |     0.1458 |   79.1% |  1.00e-03
    100 | -7.496628e-03 | 3.030799e-05 | -7.526936e-03 |  0.9980 |     0.2226 |   68.2% |  9.99e-04
    125 | -7.457744e-03 | 1.003693e-04 | -7.558113e-03 |  0.9978 |     0.3263 |   53.3% |  9.98e-04
    150 | -7.523273e-03 | 4.883689e-05 | -7.572110e-03 |  0.9977 |     0.3638 |   48.0% |  9.97e-04
    175 | -7.531251e-03 | 6.958000e-05 | -7.600831e-03 |  0.9975 |     0.4539 |   35.1% |  9.96e-04
    200 | -7.538203e-03 | 6.794406e-05 | -7.606147e-03 |  0.9977 |     0.4775 |   31.7% |  9.94e-04
    225 | -7.531643e-03 | 8.835913e-05 | -7.620002e-03 |  0.9975 |     0.5266 |   24.7% |  9.92e-04
    250 | -7.545820e-03 | 7.801819e-05 | -7.623838e-03 |  0.9977 |     0.5391 |   22.9% |  9.89e-04
    275 | -7.539168e-03 | 9.279227e-05 | -7.631960e-03 |  0.9977 |     0.5718 |   18.2% |  9.86e-04
    300 | -7.546805e-03 | 8.737875e-05 | -7.634183e-03 |  0.9978 |     0.5789 |   17.2% |  9.83e-04
