╔══════════════════════════════════════════════════════════════╗
║  DPC-GNN Multi-Tissue Solid Mechanics Training Pipeline    ║
║  Physics: Neo-Hookean Hyperelastic | GNN: AntisymmetricMP  ║
╚══════════════════════════════════════════════════════════════╝

  GPU: NVIDIA GeForce RTX 5090
  VRAM: 33.7 GB
  PyTorch: 2.8.0+cu128

======================================================================
  TISSUE: BONE | E=10000000 Pa (10000.0 kPa) | ν=0.3
  Beam: 10cm x 2cm x 2cm
  Mesh: 22x7x7 | Device: cuda | Epochs: 3000
  Expected tip δ: 0.6990 mm | Scale: 6.99e-04
======================================================================
  Nodes: 1472 | Tets: 5390 | Edges: 20904
  Params: 161,731

     Ep |         Loss |         E_el |         E_gr |   J_min |  u_tip(mm) |    Err% |        lr
  ----------------------------------------------------------------------------------------
      1 | -7.450597e-03 | 6.306632e-06 | -7.456904e-03 |  0.9999 |     0.0016 |   99.8% |  2.00e-05
      2 | -7.450649e-03 | 6.334240e-06 | -7.456983e-03 |  0.9999 |     0.0018 |   99.7% |  4.00e-05
      3 | -7.451902e-03 | 5.231651e-06 | -7.457133e-03 |  0.9998 |     0.0020 |   99.7% |  6.00e-05
      4 | -7.455406e-03 | 1.916038e-06 | -7.457322e-03 |  0.9999 |     0.0024 |   99.7% |  8.00e-05
      5 | -7.455742e-03 | 1.755527e-06 | -7.457497e-03 |  0.9999 |     0.0028 |   99.6% |  1.00e-04
     25 | -7.465159e-03 | 8.353567e-06 | -7.473512e-03 |  0.9992 |     0.0437 |   93.7% |  5.00e-04
     50 | -7.481814e-03 | 2.150435e-05 | -7.503319e-03 |  0.9979 |     0.1284 |   81.6% |  1.00e-03
     75 | -7.497281e-03 | 2.828647e-05 | -7.525568e-03 |  0.9980 |     0.2041 |   70.8% |  1.00e-03
    100 | -7.482908e-03 | 7.237372e-05 | -7.555281e-03 |  0.9976 |     0.3113 |   55.5% |  9.99e-04
    125 | -7.529367e-03 | 4.985812e-05 | -7.579225e-03 |  0.9979 |     0.3870 |   44.6% |  9.98e-04
    150 | -7.529290e-03 | 5.813066e-05 | -7.587421e-03 |  0.9976 |     0.4157 |   40.5% |  9.97e-04
    175 | -7.540278e-03 | 7.032954e-05 | -7.610607e-03 |  0.9974 |     0.4935 |   29.4% |  9.96e-04
    200 | -7.544708e-03 | 7.347237e-05 | -7.618180e-03 |  0.9974 |     0.5223 |   25.3% |  9.94e-04
    225 | -7.523317e-03 | 1.022573e-04 | -7.625574e-03 |  0.9976 |     0.5513 |   21.1% |  9.92e-04
    250 | -7.546086e-03 | 8.321478e-05 | -7.629300e-03 |  0.9979 |     0.5619 |   19.6% |  9.89e-04
    275 | -7.549027e-03 | 8.936544e-05 | -7.638393e-03 |  0.9976 |     0.5968 |   14.6% |  9.86e-04
    300 | -7.547019e-03 | 8.787638e-05 | -7.634895e-03 |  0.9979 |     0.5836 |   16.5% |  9.83e-04
    325 | -7.548890e-03 | 9.484851e-05 | -7.643738e-03 |  0.9977 |     0.6159 |   11.9% |  9.80e-04
    350 | -7.550005e-03 | 8.652081e-05 | -7.636526e-03 |  0.9978 |     0.5915 |   15.4% |  9.76e-04
    375 | -7.550472e-03 | 9.357966e-05 | -7.644052e-03 |  0.9979 |     0.6179 |   11.6% |  9.72e-04
    400 | -7.550885e-03 | 8.674718e-05 | -7.637632e-03 |  0.9978 |     0.5951 |   14.9% |  9.67e-04
    425 | -7.552005e-03 | 9.324626e-05 | -7.645252e-03 |  0.9978 |     0.6211 |   11.1% |  9.62e-04
    450 | -7.550602e-03 | 9.521062e-05 | -7.645813e-03 |  0.9978 |     0.6233 |   10.8% |  9.57e-04
    475 | -7.553401e-03 | 9.242422e-05 | -7.645826e-03 |  0.9978 |     0.6228 |   10.9% |  9.52e-04
    500 | -7.552836e-03 | 9.177932e-05 | -7.644615e-03 |  0.9978 |     0.6178 |   11.6% |  9.46e-04
    525 | -7.551256e-03 | 9.736058e-05 | -7.648616e-03 |  0.9977 |     0.6324 |    9.5% |  9.40e-04
    550 | -7.552287e-03 | 9.372023e-05 | -7.646007e-03 |  0.9978 |     0.6223 |   11.0% |  9.34e-04
    575 | -7.549429e-03 | 9.659141e-05 | -7.646021e-03 |  0.9977 |     0.6233 |   10.8% |  9.27e-04
    600 | -7.550404e-03 | 9.597651e-05 | -7.646381e-03 |  0.9979 |     0.6260 |   10.4% |  9.20e-04
    625 | -7.551267e-03 | 9.766129e-05 | -7.648928e-03 |  0.9976 |     0.6332 |    9.4% |  9.13e-04
    650 | -7.553009e-03 | 9.416207e-05 | -7.647172e-03 |  0.9978 |     0.6273 |   10.3% |  9.05e-04
    675 | -7.550280e-03 | 9.712515e-05 | -7.647405e-03 |  0.9977 |     0.6279 |   10.2% |  8.98e-04
    700 | -7.552124e-03 | 9.751708e-05 | -7.649641e-03 |  0.9977 |     0.6361 |    9.0% |  8.90e-04
    725 | -7.551143e-03 | 9.571835e-05 | -7.646861e-03 |  0.9977 |     0.6245 |   10.7% |  8.81e-04
    750 | -7.552473e-03 | 9.735379e-05 | -7.649827e-03 |  0.9978 |     0.6371 |    8.9% |  8.73e-04
    775 | -7.551054e-03 | 9.616580e-05 | -7.647219e-03 |  0.9979 |     0.6296 |    9.9% |  8.64e-04
    800 | -7.552339e-03 | 9.727872e-05 | -7.649617e-03 |  0.9977 |     0.6358 |    9.0% |  8.55e-04
    825 | -7.553280e-03 | 9.516896e-05 | -7.648449e-03 |  0.9978 |     0.6317 |    9.6% |  8.46e-04
    850 | -7.545161e-03 | 1.019966e-04 | -7.647157e-03 |  0.9978 |     0.6290 |   10.0% |  8.36e-04
    875 | -7.552164e-03 | 9.680804e-05 | -7.648972e-03 |  0.9977 |     0.6336 |    9.3% |  8.26e-04
    900 | -7.553692e-03 | 9.613486e-05 | -7.649827e-03 |  0.9977 |     0.6374 |    8.8% |  8.17e-04
    925 | -7.552693e-03 | 9.274832e-05 | -7.645441e-03 |  0.9978 |     0.6225 |   10.9% |  8.06e-04
    950 | -7.552970e-03 | 9.747836e-05 | -7.650448e-03 |  0.9977 |     0.6386 |    8.6% |  7.96e-04
    975 | -7.554178e-03 | 9.613790e-05 | -7.650316e-03 |  0.9977 |     0.6388 |    8.6% |  7.85e-04
   1000 | -7.553539e-03 | 9.244529e-05 | -7.645984e-03 |  0.9978 |     0.6242 |   10.7% |  7.75e-04
   1025 | -7.552649e-03 | 9.840147e-05 | -7.651051e-03 |  0.9976 |     0.6404 |    8.4% |  7.64e-04
