╔══════════════════════════════════════════════════════════════╗
║  DPC-GNN Multi-Tissue Solid Mechanics Training Pipeline    ║
║  Physics: Neo-Hookean Hyperelastic | GNN: AntisymmetricMP  ║
╚══════════════════════════════════════════════════════════════╝

  GPU: NVIDIA GeForce RTX 5090
  VRAM: 33.7 GB
  PyTorch: 2.8.0+cu128

======================================================================
  TISSUE: BONE | E=10000000 Pa (10000.0 kPa) | ν=0.3
  Beam: 10cm x 2cm x 2cm
  Mesh: 22x7x7 | Device: cuda | Epochs: 3000
  Expected tip δ: 0.6990 mm | Scale: 6.99e-04
======================================================================
  Nodes: 1472 | Tets: 5390 | Edges: 20904
  Params: 161,731

     Ep |         Loss |         E_el |         E_gr |   J_min |  u_tip(mm) |    Err% |        lr
  ----------------------------------------------------------------------------------------
      1 | -7.450603e-03 | 5.154125e-06 | -7.455757e-03 |  1.0000 |     0.0006 |   99.9% |  2.00e-05
      2 | -7.451058e-03 | 4.882655e-06 | -7.455940e-03 |  1.0000 |     0.0008 |   99.9% |  4.00e-05
      3 | -7.453410e-03 | 2.894250e-06 | -7.456304e-03 |  1.0000 |     0.0013 |   99.8% |  6.00e-05
      4 | -7.454257e-03 | 2.574975e-06 | -7.456832e-03 |  1.0000 |     0.0020 |   99.7% |  8.00e-05
      5 | -7.453992e-03 | 3.482784e-06 | -7.457475e-03 |  1.0000 |     0.0029 |   99.6% |  1.00e-04
     25 | -7.465112e-03 | 3.588035e-06 | -7.468700e-03 |  0.9995 |     0.0300 |   95.7% |  5.00e-04
     50 | -7.480070e-03 | 2.194715e-05 | -7.502017e-03 |  0.9982 |     0.1185 |   83.0% |  1.00e-03
     75 | -7.501030e-03 | 2.490016e-05 | -7.525930e-03 |  0.9980 |     0.2140 |   69.4% |  1.00e-03
    100 | -7.515016e-03 | 4.160768e-05 | -7.556624e-03 |  0.9986 |     0.3199 |   54.2% |  9.99e-04
    125 | -7.524943e-03 | 4.835299e-05 | -7.573295e-03 |  0.9977 |     0.3612 |   48.3% |  9.98e-04
    150 | -7.529578e-03 | 6.999071e-05 | -7.599568e-03 |  0.9978 |     0.4537 |   35.1% |  9.97e-04
    175 | -7.535057e-03 | 6.431084e-05 | -7.599368e-03 |  0.9979 |     0.4511 |   35.5% |  9.96e-04
    200 | -7.543731e-03 | 7.325564e-05 | -7.616987e-03 |  0.9978 |     0.5149 |   26.3% |  9.94e-04
    225 | -7.526962e-03 | 1.003519e-04 | -7.627314e-03 |  0.9978 |     0.5553 |   20.5% |  9.92e-04
    250 | -7.546661e-03 | 7.687564e-05 | -7.623537e-03 |  0.9980 |     0.5399 |   22.8% |  9.89e-04
    275 | -7.549023e-03 | 8.807507e-05 | -7.637098e-03 |  0.9977 |     0.5897 |   15.6% |  9.86e-04
    300 | -7.550755e-03 | 9.093540e-05 | -7.641690e-03 |  0.9978 |     0.6080 |   13.0% |  9.83e-04
    325 | -7.545421e-03 | 8.391562e-05 | -7.629336e-03 |  0.9980 |     0.5670 |   18.9% |  9.80e-04
    350 | -7.550688e-03 | 9.197669e-05 | -7.642665e-03 |  0.9978 |     0.6112 |   12.6% |  9.76e-04
    375 | -7.552329e-03 | 9.370512e-05 | -7.646034e-03 |  0.9978 |     0.6235 |   10.8% |  9.72e-04
    400 | -7.547681e-03 | 9.327286e-05 | -7.640954e-03 |  0.9976 |     0.6066 |   13.2% |  9.67e-04
