╔══════════════════════════════════════════════════════════════╗
║  DPC-GNN Multi-Tissue Solid Mechanics Training Pipeline    ║
║  Physics: Neo-Hookean Hyperelastic | GNN: AntisymmetricMP  ║
╚══════════════════════════════════════════════════════════════╝

======================================================================
  TISSUE: CARTILAGE | E=500000 Pa (500.0 kPa) | ν=0.45
  Beam: 10cm x 2cm x 2cm
  Mesh: 20x6x6 | Device: cpu | Epochs: 3000
  Expected tip δ: 8.0932 mm | Scale: 8.09e-03
======================================================================
  Nodes: 1029 | Tets: 3600 | Edges: 14128
  Params: 161,731
  ⚡ F-bar enabled (ν=0.45 ≥ 0.45, anti-locking)

     Ep |         Loss |         E_el |         E_gr |   J_min |  u_tip(mm) |        lr
  ------------------------------------------------------------------------------
      1 | -4.298923e-03 | 2.328970e-05 | -4.322212e-03 |  0.9993 |     0.0149 |  2.00e-05
      2 | -5.460069e-03 | -1.137864e-03 | -4.322205e-03 |  0.9994 |     0.0146 |  4.00e-05
      3 | -7.782831e-03 | -3.460642e-03 | -4.322188e-03 |  0.9996 |     0.0140 |  6.00e-05
      4 | -1.127287e-02 | -6.950716e-03 | -4.322158e-03 |  0.9999 |     0.0131 |  8.00e-05
      5 | -1.595781e-02 | -1.163570e-02 | -4.322107e-03 |  1.0004 |     0.0118 |  1.00e-04
     25 | -3.292339e-01 | -3.249770e-01 | -4.256858e-03 |  1.0607 |    -0.3400 |  5.00e-04
     50 | -3.846022e-01 | -3.803442e-01 | -4.258026e-03 |  0.9739 |    -0.2414 |  1.00e-03
     75 | -3.869184e-01 | -3.825924e-01 | -4.326006e-03 |  1.0107 |     0.0005 |  9.64e-04
    100 | -3.872311e-01 | -3.828408e-01 | -4.390266e-03 |  0.9953 |     0.2971 |  8.61e-04
    125 | -3.873603e-01 | -3.829231e-01 | -4.437192e-03 |  0.9861 |     0.5457 |  7.07e-04
    150 | -3.874375e-01 | -3.829511e-01 | -4.486343e-03 |  0.9785 |     0.7728 |  5.25e-04
    175 | -3.874846e-01 | -3.829660e-01 | -4.518613e-03 |  0.9759 |     0.9344 |  3.43e-04
    200 | -3.875132e-01 | -3.829739e-01 | -4.539265e-03 |  0.9754 |     1.0404 |  1.89e-04
    225 | -3.875283e-01 | -3.829773e-01 | -4.550966e-03 |  0.9752 |     1.0996 |  8.62e-05
    250 | -3.875356e-01 | -3.829789e-01 | -4.556731e-03 |  0.9751 |     1.1288 |  1.00e-03
    275 | -3.868752e-01 | -3.822808e-01 | -4.594374e-03 |  0.9874 |     1.2811 |  9.91e-04
    300 | -3.875840e-01 | -3.829438e-01 | -4.640147e-03 |  0.9718 |     1.5061 |  9.64e-04
    325 | -3.876894e-01 | -3.829574e-01 | -4.732021e-03 |  0.9717 |     1.9642 |  9.20e-04
    350 | -3.877906e-01 | -3.829611e-01 | -4.829454e-03 |  0.9706 |     2.4666 |  8.61e-04
    375 | -3.878792e-01 | -3.829537e-01 | -4.925537e-03 |  0.9703 |     2.9704 |  7.89e-04
    400 | -3.879596e-01 | -3.829333e-01 | -5.026218e-03 |  0.9701 |     3.4824 |  7.07e-04
    425 | -3.880336e-01 | -3.829097e-01 | -5.123942e-03 |  0.9690 |     3.9768 |  6.18e-04
    450 | -3.881000e-01 | -3.828840e-01 | -5.216002e-03 |  0.9677 |     4.4409 |  5.25e-04
    475 | -3.881545e-01 | -3.828558e-01 | -5.298708e-03 |  0.9665 |     4.8585 |  4.32e-04
    500 | -3.882051e-01 | -3.828366e-01 | -5.368469e-03 |  0.9652 |     5.2158 |  3.43e-04
    525 | -3.882434e-01 | -3.828178e-01 | -5.425621e-03 |  0.9643 |     5.5111 |  2.61e-04
    550 | -3.882727e-01 | -3.828029e-01 | -5.469828e-03 |  0.9635 |     5.7422 |  1.89e-04
    575 | -3.882942e-01 | -3.827920e-01 | -5.502184e-03 |  0.9630 |     5.9130 |  1.30e-04
    600 | -3.883091e-01 | -3.827844e-01 | -5.524699e-03 |  0.9626 |     6.0328 |  8.62e-05
    625 | -3.883193e-01 | -3.827792e-01 | -5.540115e-03 |  0.9621 |     6.1154 |  5.91e-05
    650 | -3.883270e-01 | -3.827752e-01 | -5.551782e-03 |  0.9615 |     6.1781 |  1.00e-03
    675 | -3.862379e-01 | -3.819145e-01 | -4.323384e-03 |  0.9664 |     0.2679 |  9.98e-04
    700 | -3.869014e-01 | -3.825330e-01 | -4.368479e-03 |  1.0092 |     0.3340 |  9.91e-04
    725 | -3.872208e-01 | -3.827981e-01 | -4.422668e-03 |  1.0023 |     0.7089 |  9.80e-04
    750 | -3.873519e-01 | -3.828535e-01 | -4.498358e-03 |  0.9982 |     1.1510 |  9.64e-04
    775 | -3.874511e-01 | -3.828774e-01 | -4.573690e-03 |  0.9932 |     1.5911 |  9.44e-04
    800 | -3.875465e-01 | -3.828899e-01 | -4.656591e-03 |  0.9890 |     2.0424 |  9.20e-04
    825 | -3.876493e-01 | -3.828946e-01 | -4.754680e-03 |  0.9839 |     2.5368 |  8.92e-04
    850 | -3.877606e-01 | -3.828882e-01 | -4.872448e-03 |  0.9781 |     3.0919 |  8.61e-04
    875 | -3.878757e-01 | -3.828675e-01 | -5.008219e-03 |  0.9721 |     3.6994 |  8.26e-04
    900 | -3.879887e-01 | -3.828368e-01 | -5.151943e-03 |  0.9668 |     4.3379 |  7.89e-04
    925 | -3.880958e-01 | -3.828013e-01 | -5.294474e-03 |  0.9618 |     4.9941 |  7.49e-04
    950 | -3.881954e-01 | -3.827651e-01 | -5.430307e-03 |  0.9580 |     5.6698 |  7.07e-04
    975 | -3.882949e-01 | -3.827330e-01 | -5.561889e-03 |  0.9560 |     6.3816 |  6.63e-04
   1000 | -3.883295e-01 | -3.826464e-01 | -5.683090e-03 |  0.9546 |     7.0687 |  6.18e-04
   1025 | -3.884636e-01 | -3.826648e-01 | -5.798795e-03 |  0.9534 |     7.7424 |  5.72e-04
   1050 | -3.883169e-01 | -3.823994e-01 | -5.917484e-03 |  0.9531 |     8.4296 |  5.25e-04
   1075 | -3.885922e-01 | -3.825963e-01 | -5.995994e-03 |  0.9519 |     8.9331 |  4.78e-04
   1100 | -3.886562e-01 | -3.825634e-01 | -6.092748e-03 |  0.9502 |     9.5271 |  4.32e-04
   1125 | -3.887126e-01 | -3.825306e-01 | -6.182050e-03 |  0.9480 |    10.0915 |  3.87e-04
   1150 | -3.887604e-01 | -3.824950e-01 | -6.265327e-03 |  0.9454 |    10.6214 |  3.43e-04
   1175 | -3.888090e-01 | -3.824659e-01 | -6.343058e-03 |  0.9421 |    11.1124 |  3.01e-04
   1200 | -3.888497e-01 | -3.824365e-01 | -6.413152e-03 |  0.9399 |    11.5602 |  2.61e-04
   1225 | -3.888855e-01 | -3.824097e-01 | -6.475871e-03 |  0.9379 |    11.9623 |  2.24e-04
   1250 | -3.889167e-01 | -3.823857e-01 | -6.530993e-03 |  0.9362 |    12.3167 |  1.89e-04
