╔══════════════════════════════════════════════════════════════╗
║  DPC-GNN Multi-Tissue Solid Mechanics Training Pipeline    ║
║  Physics: Neo-Hookean Hyperelastic | GNN: AntisymmetricMP  ║
╚══════════════════════════════════════════════════════════════╝

======================================================================
  TISSUE: CARTILAGE | E=500000 Pa (500.0 kPa) | ν=0.45
  Beam: 10cm x 2cm x 2cm
  Mesh: 20x6x6 | Device: cpu | Epochs: 3000
  Expected tip δ: 8.0932 mm | Scale: 8.09e-03
======================================================================
  Nodes: 1029 | Tets: 3600 | Edges: 14128
  Params: 161,731
  ⚡ F-bar enabled (ν=0.45 ≥ 0.45, anti-locking)

     Ep |         Loss |         E_el |         E_gr |   J_min |  u_tip(mm) |        lr
  ------------------------------------------------------------------------------
      1 | -4.644277e-03 | -3.283527e-04 | -4.315924e-03 |  0.9977 |    -0.0017 |  2.00e-05
      2 | -5.870345e-03 | -1.554217e-03 | -4.316128e-03 |  0.9982 |    -0.0011 |  4.00e-05
      3 | -8.317859e-03 | -4.001327e-03 | -4.316532e-03 |  0.9992 |     0.0001 |  6.00e-05
      4 | -1.198296e-02 | -7.665834e-03 | -4.317121e-03 |  1.0006 |     0.0018 |  8.00e-05
      5 | -1.688114e-02 | -1.256326e-02 | -4.317881e-03 |  1.0011 |     0.0040 |  1.00e-04
     25 | -3.172327e-01 | -3.129383e-01 | -4.294457e-03 |  1.0638 |     0.0156 |  5.00e-04
     50 | -3.823115e-01 | -3.779937e-01 | -4.317770e-03 |  0.9703 |     0.0433 |  1.00e-03
     75 | -3.869243e-01 | -3.825505e-01 | -4.373854e-03 |  1.0069 |     0.2974 |  9.64e-04
    100 | -3.872450e-01 | -3.828194e-01 | -4.425664e-03 |  0.9905 |     0.5166 |  8.61e-04
    125 | -3.873721e-01 | -3.829055e-01 | -4.466628e-03 |  0.9762 |     0.7199 |  7.07e-04
    150 | -3.874468e-01 | -3.829422e-01 | -4.504531e-03 |  0.9746 |     0.9119 |  5.25e-04
    175 | -3.874960e-01 | -3.829615e-01 | -4.534585e-03 |  0.9719 |     1.0670 |  3.43e-04
    200 | -3.875253e-01 | -3.829676e-01 | -4.557697e-03 |  0.9704 |     1.1776 |  1.89e-04
    225 | -3.875409e-01 | -3.829708e-01 | -4.570120e-03 |  0.9697 |     1.2385 |  8.62e-05
    250 | -3.875486e-01 | -3.829723e-01 | -4.576264e-03 |  0.9695 |     1.2688 |  1.00e-03
    275 | -3.869466e-01 | -3.823329e-01 | -4.613800e-03 |  0.9829 |     1.4358 |  9.91e-04
    300 | -3.875407e-01 | -3.828808e-01 | -4.659931e-03 |  0.9779 |     1.6560 |  9.64e-04
    325 | -3.876938e-01 | -3.829393e-01 | -4.754534e-03 |  0.9733 |     2.1304 |  9.20e-04
    350 | -3.878019e-01 | -3.829326e-01 | -4.869220e-03 |  0.9722 |     2.7219 |  8.61e-04
    375 | -3.879036e-01 | -3.829088e-01 | -4.994782e-03 |  0.9701 |     3.3642 |  7.89e-04
    400 | -3.880084e-01 | -3.828815e-01 | -5.126915e-03 |  0.9678 |     4.0461 |  7.07e-04
    425 | -3.879861e-01 | -3.828130e-01 | -5.173059e-03 |  0.9649 |     4.2737 |  6.18e-04
    450 | -3.881046e-01 | -3.828457e-01 | -5.258834e-03 |  0.9658 |     4.6921 |  5.25e-04
    475 | -3.881848e-01 | -3.828187e-01 | -5.366118e-03 |  0.9645 |     5.2509 |  4.32e-04
    500 | -3.882460e-01 | -3.827902e-01 | -5.455750e-03 |  0.9630 |     5.7387 |  3.43e-04
    525 | -3.882938e-01 | -3.827643e-01 | -5.529580e-03 |  0.9618 |     6.1441 |  2.61e-04
    550 | -3.883302e-01 | -3.827434e-01 | -5.586761e-03 |  0.9609 |     6.4612 |  1.89e-04
    575 | -3.883566e-01 | -3.827279e-01 | -5.628687e-03 |  0.9602 |     6.6959 |  1.30e-04
    600 | -3.883748e-01 | -3.827169e-01 | -5.657837e-03 |  0.9598 |     6.8604 |  8.62e-05
    625 | -3.883872e-01 | -3.827094e-01 | -5.677757e-03 |  0.9595 |     6.9734 |  5.91e-05
    650 | -3.883966e-01 | -3.827038e-01 | -5.692799e-03 |  0.9592 |     7.0592 |  1.00e-03
    675 | -3.868782e-01 | -3.821448e-01 | -4.733349e-03 |  1.0071 |     1.8843 |  9.98e-04
    700 | -3.873044e-01 | -3.826386e-01 | -4.665771e-03 |  0.9730 |     1.6742 |  9.91e-04
    725 | -3.876092e-01 | -3.828588e-01 | -4.750426e-03 |  0.9780 |     2.1609 |  9.80e-04
    750 | -3.877734e-01 | -3.828925e-01 | -4.880874e-03 |  0.9711 |     2.8245 |  9.64e-04
    775 | -3.879214e-01 | -3.828813e-01 | -5.040118e-03 |  0.9683 |     3.5849 |  9.44e-04
    800 | -3.880588e-01 | -3.828485e-01 | -5.210260e-03 |  0.9640 |     4.3813 |  9.20e-04
    825 | -3.881774e-01 | -3.828013e-01 | -5.376142e-03 |  0.9620 |     5.1767 |  8.92e-04
    850 | -3.882755e-01 | -3.827476e-01 | -5.527931e-03 |  0.9600 |     5.9417 |  8.61e-04
    875 | -3.883623e-01 | -3.827019e-01 | -5.660405e-03 |  0.9558 |     6.6684 |  8.26e-04
    900 | -3.884453e-01 | -3.826638e-01 | -5.781449e-03 |  0.9497 |     7.3799 |  7.89e-04
    925 | -3.884991e-01 | -3.826031e-01 | -5.896006e-03 |  0.9433 |     8.0985 |  7.49e-04
