╔══════════════════════════════════════════════════════════════╗
║  DPC-GNN Multi-Tissue Solid Mechanics Training Pipeline    ║
║  Physics: Neo-Hookean Hyperelastic | GNN: AntisymmetricMP  ║
╚══════════════════════════════════════════════════════════════╝

======================================================================
  TISSUE: CARTILAGE | E=500000 Pa (500.0 kPa) | ν=0.45
  Beam: 10cm x 2cm x 2cm
  Mesh: 20x6x6 | Device: cpu | Epochs: 3000
  Expected tip δ: 8.0932 mm | Scale: 8.09e-03
======================================================================
  Nodes: 1029 | Tets: 3600 | Edges: 14128
  Params: 161,731
  ⚡ F-bar enabled (ν=0.45 ≥ 0.45, anti-locking)

     Ep |         Loss |         E_el |         E_gr |   J_min |  u_tip(mm) |        lr
  ------------------------------------------------------------------------------
      1 | -4.223261e-03 | 9.143128e-05 | -4.314693e-03 |  0.9973 |    -0.0024 |  2.00e-05
      2 | -5.333124e-03 | -1.018585e-03 | -4.314538e-03 |  0.9980 |    -0.0026 |  4.00e-05
      3 | -7.550934e-03 | -3.236710e-03 | -4.314224e-03 |  0.9993 |    -0.0029 |  6.00e-05
      4 | -1.087989e-02 | -6.566148e-03 | -4.313740e-03 |  1.0004 |    -0.0034 |  8.00e-05
      5 | -1.533574e-02 | -1.102266e-02 | -4.313076e-03 |  1.0009 |    -0.0042 |  1.00e-04
     25 | -2.951685e-01 | -2.907985e-01 | -4.369935e-03 |  1.0254 |     0.2479 |  5.00e-04
     50 | -3.821985e-01 | -3.778091e-01 | -4.389361e-03 |  0.9797 |     0.2336 |  1.00e-03
     75 | -3.869669e-01 | -3.825636e-01 | -4.403307e-03 |  0.9925 |     0.3564 |  9.64e-04
    100 | -3.873195e-01 | -3.828781e-01 | -4.441372e-03 |  0.9852 |     0.5907 |  8.61e-04
    125 | -3.874316e-01 | -3.829387e-01 | -4.492948e-03 |  0.9781 |     0.8472 |  7.07e-04
    150 | -3.874962e-01 | -3.829585e-01 | -4.537652e-03 |  0.9765 |     1.0745 |  5.25e-04
    175 | -3.875411e-01 | -3.829674e-01 | -4.573632e-03 |  0.9761 |     1.2549 |  3.43e-04
    200 | -3.875703e-01 | -3.829729e-01 | -4.597386e-03 |  0.9755 |     1.3755 |  1.89e-04
    225 | -3.875857e-01 | -3.829752e-01 | -4.610502e-03 |  0.9752 |     1.4423 |  8.62e-05
    250 | -3.875929e-01 | -3.829759e-01 | -4.617073e-03 |  0.9751 |     1.4756 |  1.00e-03
    275 | -3.875276e-01 | -3.828475e-01 | -4.679999e-03 |  0.9841 |     1.7525 |  9.91e-04
    300 | -3.876864e-01 | -3.829434e-01 | -4.743055e-03 |  0.9730 |     2.0705 |  9.64e-04
    325 | -3.878129e-01 | -3.829561e-01 | -4.856776e-03 |  0.9715 |     2.6565 |  9.20e-04
    350 | -3.879192e-01 | -3.829338e-01 | -4.985364e-03 |  0.9702 |     3.3174 |  8.61e-04
    375 | -3.863552e-01 | -3.812633e-01 | -5.091888e-03 |  0.9671 |     3.7415 |  7.89e-04
    400 | -3.878624e-01 | -3.828160e-01 | -5.046403e-03 |  0.9665 |     3.5216 |  7.07e-04
    425 | -3.880288e-01 | -3.828841e-01 | -5.144692e-03 |  0.9683 |     4.0170 |  6.18e-04
    450 | -3.881015e-01 | -3.828599e-01 | -5.241652e-03 |  0.9664 |     4.5300 |  5.25e-04
    475 | -3.881633e-01 | -3.828340e-01 | -5.329352e-03 |  0.9652 |     4.9938 |  4.32e-04
    500 | -3.882140e-01 | -3.828102e-01 | -5.403779e-03 |  0.9640 |     5.3905 |  3.43e-04
    525 | -3.882544e-01 | -3.827905e-01 | -5.463925e-03 |  0.9631 |     5.7158 |  2.61e-04
    550 | -3.882853e-01 | -3.827750e-01 | -5.510264e-03 |  0.9624 |     5.9695 |  1.89e-04
    575 | -3.883077e-01 | -3.827636e-01 | -5.544138e-03 |  0.9619 |     6.1567 |  1.30e-04
    600 | -3.883233e-01 | -3.827556e-01 | -5.567702e-03 |  0.9616 |     6.2879 |  8.62e-05
    625 | -3.883338e-01 | -3.827500e-01 | -5.583833e-03 |  0.9614 |     6.3782 |  5.91e-05
    650 | -3.883418e-01 | -3.827458e-01 | -5.596038e-03 |  0.9612 |     6.4467 |  1.00e-03
    675 | -3.843840e-01 | -3.797235e-01 | -4.660486e-03 |  1.0091 |     1.6212 |  9.98e-04
    700 | -3.871254e-01 | -3.825575e-01 | -4.567851e-03 |  1.0003 |     1.2132 |  9.91e-04
    725 | -3.874918e-01 | -3.828521e-01 | -4.639709e-03 |  0.9859 |     1.6885 |  9.80e-04
