╔══════════════════════════════════════════════════════════════╗
║  DPC-GNN Multi-Tissue Solid Mechanics Training Pipeline    ║
║  Physics: Neo-Hookean Hyperelastic | GNN: AntisymmetricMP  ║
╚══════════════════════════════════════════════════════════════╝

======================================================================
  TISSUE: CARTILAGE | E=500000 Pa (500.0 kPa) | ν=0.45
  Beam: 10cm x 2cm x 2cm
  Mesh: 20x6x6 | Device: cpu | Epochs: 3000
  Expected tip δ: 8.0932 mm | Scale: 8.09e-03
======================================================================
  Nodes: 1029 | Tets: 3600 | Edges: 14128
  Params: 161,731
  ⚡ F-bar enabled (ν=0.45 ≥ 0.45, anti-locking)

     Ep |         Loss |         E_el |         E_gr |   J_min |  u_tip(mm) |        lr
  ------------------------------------------------------------------------------
      1 | -6.081662e-03 | -1.770235e-03 | -4.311427e-03 |  0.9997 |    -0.0108 |  2.00e-05
      2 | -7.094506e-03 | -2.783088e-03 | -4.311418e-03 |  0.9998 |    -0.0108 |  4.00e-05
      3 | -9.124435e-03 | -4.813042e-03 | -4.311393e-03 |  1.0001 |    -0.0107 |  6.00e-05
      4 | -1.217675e-02 | -7.865429e-03 | -4.311322e-03 |  1.0004 |    -0.0108 |  8.00e-05
      5 | -1.628496e-02 | -1.197378e-02 | -4.311177e-03 |  1.0008 |    -0.0110 |  1.00e-04
     25 | -2.997043e-01 | -2.953496e-01 | -4.354620e-03 |  1.0491 |     0.1154 |  5.00e-04
     50 | -3.814574e-01 | -3.770931e-01 | -4.364231e-03 |  0.9482 |     0.1581 |  1.00e-03
     75 | -3.869056e-01 | -3.824987e-01 | -4.406896e-03 |  0.9976 |     0.3762 |  9.64e-04
    100 | -3.872525e-01 | -3.828174e-01 | -4.435056e-03 |  0.9822 |     0.5579 |  8.61e-04
    125 | -3.873863e-01 | -3.829018e-01 | -4.484494e-03 |  0.9727 |     0.7844 |  7.07e-04
    150 | -3.874711e-01 | -3.829430e-01 | -4.528059e-03 |  0.9687 |     0.9909 |  5.25e-04
    175 | -3.875206e-01 | -3.829594e-01 | -4.561238e-03 |  0.9689 |     1.1510 |  3.43e-04
    200 | -3.875517e-01 | -3.829692e-01 | -4.582493e-03 |  0.9688 |     1.2569 |  1.89e-04
    225 | -3.875672e-01 | -3.829728e-01 | -4.594390e-03 |  0.9683 |     1.3156 |  8.62e-05
    250 | -3.875745e-01 | -3.829742e-01 | -4.600256e-03 |  0.9681 |     1.3446 |  1.00e-03
    275 | -3.874416e-01 | -3.827913e-01 | -4.650282e-03 |  0.9831 |     1.6609 |  9.91e-04
    300 | -3.876334e-01 | -3.829152e-01 | -4.718286e-03 |  0.9744 |     1.9918 |  9.64e-04
    325 | -3.877387e-01 | -3.829253e-01 | -4.813368e-03 |  0.9717 |     2.4650 |  9.20e-04
    350 | -3.877748e-01 | -3.828698e-01 | -4.904944e-03 |  0.9701 |     2.8702 |  8.61e-04
    375 | -3.878911e-01 | -3.828994e-01 | -4.991713e-03 |  0.9677 |     3.2775 |  7.89e-04
    400 | -3.879779e-01 | -3.828883e-01 | -5.089602e-03 |  0.9662 |     3.7598 |  7.07e-04
    425 | -3.880554e-01 | -3.828716e-01 | -5.183834e-03 |  0.9654 |     4.2263 |  6.18e-04
    450 | -3.881240e-01 | -3.828522e-01 | -5.271749e-03 |  0.9644 |     4.6631 |  5.25e-04
    475 | -3.881824e-01 | -3.828326e-01 | -5.349769e-03 |  0.9637 |     5.0563 |  4.32e-04
    500 | -3.882305e-01 | -3.828151e-01 | -5.415400e-03 |  0.9632 |     5.3944 |  3.43e-04
    525 | -3.882689e-01 | -3.828009e-01 | -5.467997e-03 |  0.9628 |     5.6716 |  2.61e-04
    550 | -3.882983e-01 | -3.827899e-01 | -5.508356e-03 |  0.9624 |     5.8880 |  1.89e-04
    575 | -3.883195e-01 | -3.827817e-01 | -5.537836e-03 |  0.9615 |     6.0480 |  1.30e-04
    600 | -3.883342e-01 | -3.827758e-01 | -5.558348e-03 |  0.9609 |     6.1603 |  8.62e-05
    625 | -3.883443e-01 | -3.827718e-01 | -5.572398e-03 |  0.9604 |     6.2376 |  5.91e-05
    650 | -3.883518e-01 | -3.827688e-01 | -5.583036e-03 |  0.9601 |     6.2964 |  1.00e-03
    675 | -3.846600e-01 | -3.801705e-01 | -4.489554e-03 |  0.9725 |     0.9940 |  9.98e-04
    700 | -3.870181e-01 | -3.825484e-01 | -4.469735e-03 |  1.0010 |     0.8909 |  9.91e-04
    725 | -3.874506e-01 | -3.828677e-01 | -4.582952e-03 |  0.9928 |     1.4598 |  9.80e-04
    750 | -3.876114e-01 | -3.828972e-01 | -4.714140e-03 |  0.9857 |     2.0750 |  9.64e-04
    775 | -3.877386e-01 | -3.828914e-01 | -4.847135e-03 |  0.9795 |     2.6645 |  9.44e-04
    800 | -3.878533e-01 | -3.828703e-01 | -4.983038e-03 |  0.9734 |     3.2463 |  9.20e-04
    825 | -3.879552e-01 | -3.828434e-01 | -5.111781e-03 |  0.9687 |     3.8068 |  8.92e-04
    850 | -3.880446e-01 | -3.828165e-01 | -5.228136e-03 |  0.9656 |     4.3407 |  8.61e-04
    875 | -3.881243e-01 | -3.827897e-01 | -5.334624e-03 |  0.9633 |     4.8564 |  8.26e-04
    900 | -3.881971e-01 | -3.827631e-01 | -5.433935e-03 |  0.9615 |     5.3603 |  7.89e-04
    925 | -3.882649e-01 | -3.827375e-01 | -5.527469e-03 |  0.9601 |     5.8561 |  7.49e-04
    950 | -3.883291e-01 | -3.827128e-01 | -5.616326e-03 |  0.9590 |     6.3455 |  7.07e-04
    975 | -3.883899e-01 | -3.826885e-01 | -5.701328e-03 |  0.9581 |     6.8278 |  6.63e-04
   1000 | -3.884462e-01 | -3.826625e-01 | -5.783731e-03 |  0.9539 |     7.3027 |  6.18e-04
   1025 | -3.884983e-01 | -3.826361e-01 | -5.862248e-03 |  0.9496 |     7.7646 |  5.72e-04
   1050 | -3.885468e-01 | -3.826116e-01 | -5.935203e-03 |  0.9461 |     8.2066 |  5.25e-04
