╔══════════════════════════════════════════════════════════════╗
║  DPC-GNN Multi-Tissue Solid Mechanics Training Pipeline    ║
║  Physics: Neo-Hookean Hyperelastic | GNN: AntisymmetricMP  ║
╚══════════════════════════════════════════════════════════════╝

======================================================================
  TISSUE: CARTILAGE | E=500000 Pa (500.0 kPa) | ν=0.45
  Beam: 10cm x 2cm x 2cm
  Mesh: 20x6x6 | Device: cpu | Epochs: 3000
  Expected tip δ: 8.0932 mm | Scale: 8.09e-03
======================================================================
  Nodes: 1029 | Tets: 3600 | Edges: 14128
  Params: 161,731
  ⚡ F-bar enabled (ν=0.45 ≥ 0.45, anti-locking)

     Ep |         Loss |         E_el |         E_gr |   J_min |  u_tip(mm) |        lr
  ------------------------------------------------------------------------------
      1 | -3.527804e-03 | 7.895133e-04 | -4.317317e-03 |  0.9997 |    -0.0004 |  2.00e-05
      2 | -4.440015e-03 | -1.226347e-04 | -4.317380e-03 |  0.9998 |    -0.0002 |  4.00e-05
      3 | -6.256757e-03 | -1.939255e-03 | -4.317502e-03 |  1.0000 |     0.0002 |  6.00e-05
      4 | -8.972336e-03 | -4.654659e-03 | -4.317677e-03 |  1.0004 |     0.0008 |  8.00e-05
      5 | -1.259358e-02 | -8.275680e-03 | -4.317896e-03 |  1.0007 |     0.0016 |  1.00e-04
     25 | -3.137801e-01 | -3.094659e-01 | -4.314202e-03 |  1.0518 |     0.0122 |  5.00e-04
     50 | -3.821855e-01 | -3.777983e-01 | -4.387192e-03 |  0.9817 |     0.2144 |  1.00e-03
     75 | -3.869639e-01 | -3.825867e-01 | -4.377175e-03 |  0.9946 |     0.2877 |  9.64e-04
    100 | -3.872991e-01 | -3.828692e-01 | -4.429834e-03 |  0.9834 |     0.5709 |  8.61e-04
    125 | -3.874269e-01 | -3.829335e-01 | -4.493368e-03 |  0.9793 |     0.8634 |  7.07e-04
    150 | -3.875054e-01 | -3.829587e-01 | -4.546693e-03 |  0.9728 |     1.1217 |  5.25e-04
    175 | -3.875561e-01 | -3.829673e-01 | -4.588783e-03 |  0.9715 |     1.3315 |  3.43e-04
    200 | -3.875884e-01 | -3.829713e-01 | -4.617144e-03 |  0.9711 |     1.4748 |  1.89e-04
    225 | -3.876056e-01 | -3.829724e-01 | -4.633185e-03 |  0.9710 |     1.5552 |  8.62e-05
    250 | -3.876142e-01 | -3.829730e-01 | -4.641245e-03 |  0.9710 |     1.5955 |  1.00e-03
    275 | -3.872151e-01 | -3.825389e-01 | -4.676209e-03 |  0.9632 |     1.7280 |  9.91e-04
    300 | -3.876529e-01 | -3.829082e-01 | -4.744768e-03 |  0.9711 |     2.0168 |  9.64e-04
    325 | -3.878004e-01 | -3.829408e-01 | -4.859559e-03 |  0.9689 |     2.6115 |  9.20e-04
    350 | -3.879096e-01 | -3.829163e-01 | -4.993255e-03 |  0.9685 |     3.2885 |  8.61e-04
    375 | -3.880135e-01 | -3.828869e-01 | -5.126576e-03 |  0.9674 |     3.9759 |  7.89e-04
    400 | -3.880668e-01 | -3.828096e-01 | -5.257213e-03 |  0.9647 |     4.6584 |  7.07e-04
    425 | -3.879440e-01 | -3.827096e-01 | -5.234355e-03 |  0.9613 |     4.5033 |  6.18e-04
    450 | -3.881545e-01 | -3.828239e-01 | -5.330566e-03 |  0.9608 |     4.9669 |  5.25e-04
    475 | -3.882151e-01 | -3.827946e-01 | -5.420495e-03 |  0.9603 |     5.4434 |  4.32e-04
