╔══════════════════════════════════════════════════════════════╗
║  DPC-GNN Multi-Tissue Solid Mechanics Training Pipeline    ║
║  Physics: Neo-Hookean Hyperelastic | GNN: AntisymmetricMP  ║
╚══════════════════════════════════════════════════════════════╝

======================================================================
  TISSUE: CARTILAGE | E=500000 Pa (500.0 kPa) | ν=0.45
  Beam: 10cm x 2cm x 2cm
  Mesh: 20x6x6 | Device: cpu | Epochs: 3000
  Expected tip δ: 8.0932 mm | Scale: 8.09e-03
======================================================================
  Nodes: 1029 | Tets: 3600 | Edges: 14128
  Params: 161,731
  ⚡ F-bar enabled (ν=0.45 ≥ 0.45, anti-locking)

     Ep |         Loss |         E_el |         E_gr |   J_min |  u_tip(mm) |        lr
   1150 | -3.888408e-01 | -3.824371e-01 | -6.403683e-03 |  0.9404 |    11.4291 |  3.43e-04
   1175 | -3.888793e-01 | -3.824094e-01 | -6.469938e-03 |  0.9381 |    11.8548 |  3.01e-04
   1200 | -3.889134e-01 | -3.823842e-01 | -6.529180e-03 |  0.9361 |    12.2364 |  2.61e-04
   1225 | -3.889432e-01 | -3.823618e-01 | -6.581354e-03 |  0.9343 |    12.5732 |  2.24e-04
   1250 | -3.889690e-01 | -3.823424e-01 | -6.626609e-03 |  0.9327 |    12.8660 |  1.89e-04
   1275 | -3.889911e-01 | -3.823258e-01 | -6.665304e-03 |  0.9313 |    13.1168 |  1.58e-04
   1300 | -3.890099e-01 | -3.823119e-01 | -6.697959e-03 |  0.9302 |    13.3288 |  1.30e-04
   1325 | -3.890255e-01 | -3.823003e-01 | -6.725182e-03 |  0.9292 |    13.5057 |  1.06e-04
   1350 | -3.890384e-01 | -3.822908e-01 | -6.747689e-03 |  0.9284 |    13.6522 |  8.62e-05
   1375 | -3.890492e-01 | -3.822829e-01 | -6.766294e-03 |  0.9277 |    13.7733 |  7.05e-05
   1400 | -3.890583e-01 | -3.822764e-01 | -6.781895e-03 |  0.9271 |    13.8749 |  5.91e-05
   1425 | -3.890661e-01 | -3.822707e-01 | -6.795465e-03 |  0.9266 |    13.9633 |  5.23e-05
   1450 | -3.890735e-01 | -3.822654e-01 | -6.808053e-03 |  0.9261 |    14.0454 |  1.00e-03
   1475 | -3.872452e-01 | -3.825006e-01 | -4.744628e-03 |  0.9866 |     2.1777 |  9.99e-04
   1500 | -3.874243e-01 | -3.827060e-01 | -4.718292e-03 |  0.9831 |     2.0924 |  9.98e-04
   1525 | -3.876752e-01 | -3.828364e-01 | -4.838840e-03 |  0.9760 |     2.7474 |  9.95e-04
   1550 | -3.878454e-01 | -3.828432e-01 | -5.002213e-03 |  0.9717 |     3.6044 |  9.91e-04
   1575 | -3.880223e-01 | -3.828209e-01 | -5.201437e-03 |  0.9667 |     4.6028 |  9.86e-04
   1600 | -3.882013e-01 | -3.827682e-01 | -5.433083e-03 |  0.9631 |     5.7611 |  9.80e-04
   1625 | -3.883707e-01 | -3.826951e-01 | -5.675608e-03 |  0.9609 |     7.0201 |  9.72e-04
   1650 | -3.885328e-01 | -3.826048e-01 | -5.928053e-03 |  0.9509 |     8.3956 |  9.64e-04
   1675 | -3.820350e-01 | -3.758081e-01 | -6.226935e-03 |  0.9523 |    10.0080 |  9.54e-04
   1700 | -3.884572e-01 | -3.826081e-01 | -5.849080e-03 |  0.9586 |     8.0183 |  9.44e-04
   1725 | -3.885955e-01 | -3.825180e-01 | -6.077519e-03 |  0.9515 |     9.1417 |  9.32e-04
   1750 | -3.887427e-01 | -3.824506e-01 | -6.292127e-03 |  0.9418 |    10.4376 |  9.20e-04
   1775 | -3.888511e-01 | -3.823575e-01 | -6.493600e-03 |  0.9365 |    11.7105 |  9.07e-04
   1800 | -3.889494e-01 | -3.822738e-01 | -6.675626e-03 |  0.9305 |    12.9076 |  8.92e-04
   1825 | -3.881929e-01 | -3.817445e-01 | -6.448334e-03 |  0.9427 |    11.8427 |  8.77e-04
   1850 | -3.889206e-01 | -3.822863e-01 | -6.634323e-03 |  0.9277 |    12.6603 |  8.61e-04
   1875 | -3.890617e-01 | -3.822089e-01 | -6.852739e-03 |  0.9217 |    14.0677 |  8.44e-04
   1900 | -3.878675e-01 | -3.808382e-01 | -7.029349e-03 |  0.9156 |    15.2505 |  8.26e-04
   1925 | -3.889171e-01 | -3.821166e-01 | -6.800522e-03 |  0.9225 |    13.9161 |  8.08e-04
   1950 | -3.892003e-01 | -3.821385e-01 | -7.061852e-03 |  0.9094 |    15.4167 |  7.89e-04
   1975 | -3.892742e-01 | -3.820382e-01 | -7.235937e-03 |  0.9055 |    16.6357 |  7.69e-04
   2000 | -3.889003e-01 | -3.818718e-01 | -7.028534e-03 |  0.9133 |    15.5291 |  7.49e-04
   2025 | -3.893730e-01 | -3.820846e-01 | -7.288381e-03 |  0.8989 |    16.9108 |  7.28e-04
   2050 | -3.894703e-01 | -3.819887e-01 | -7.481613e-03 |  0.8929 |    18.2335 |  7.07e-04
   2075 | -3.893641e-01 | -3.820924e-01 | -7.271727e-03 |  0.9104 |    17.2405 |  6.85e-04
   2100 | -3.895200e-01 | -3.819644e-01 | -7.555631e-03 |  0.8979 |    18.6451 |  6.63e-04
   2125 | -3.896731e-01 | -3.819418e-01 | -7.731281e-03 |  0.8882 |    19.8686 |  6.40e-04
   2150 | -3.889363e-01 | -3.813929e-01 | -7.543425e-03 |  0.8957 |    18.8019 |  6.18e-04
   2175 | -3.897026e-01 | -3.819925e-01 | -7.710146e-03 |  0.8861 |    19.6204 |  5.95e-04
   2200 | -3.898118e-01 | -3.818712e-01 | -7.940619e-03 |  0.8687 |    21.1505 |  5.72e-04
   2225 | -3.899561e-01 | -3.818503e-01 | -8.105724e-03 |  0.8683 |    22.2048 |  5.48e-04
   2250 | -3.898073e-01 | -3.815755e-01 | -8.231793e-03 |  0.8663 |    22.9830 |  5.25e-04
   2275 | -3.900317e-01 | -3.818659e-01 | -8.165782e-03 |  0.8667 |    22.5114 |  5.02e-04
   2300 | -3.901489e-01 | -3.817545e-01 | -8.394362e-03 |  0.8540 |    23.9440 |  4.78e-04
   2325 | -3.902545e-01 | -3.817085e-01 | -8.545968e-03 |  0.8483 |    24.9174 |  4.55e-04
   2350 | -3.903300e-01 | -3.816346e-01 | -8.695373e-03 |  0.8436 |    25.8740 |  4.32e-04
   2375 | -3.903947e-01 | -3.816135e-01 | -8.781207e-03 |  0.8451 |    26.3690 |  4.10e-04
   2400 | -3.903833e-01 | -3.814899e-01 | -8.893341e-03 |  0.8394 |    27.0369 |  3.87e-04
   2425 | -3.905083e-01 | -3.814939e-01 | -9.014423e-03 |  0.8355 |    27.8163 |  3.65e-04
   2450 | -3.905700e-01 | -3.814336e-01 | -9.136435e-03 |  0.8326 |    28.5788 |  3.43e-04
