╔══════════════════════════════════════════════════════════════╗
║  DPC-GNN Multi-Tissue Solid Mechanics Training Pipeline    ║
║  Physics: Neo-Hookean Hyperelastic | GNN: AntisymmetricMP  ║
╚══════════════════════════════════════════════════════════════╝

======================================================================
  TISSUE: CARTILAGE | E=500000 Pa (500.0 kPa) | ν=0.45
  Beam: 10cm x 2cm x 2cm
  Mesh: 20x6x6 | Device: cpu | Epochs: 3000
  Expected tip δ: 8.0932 mm | Scale: 8.09e-03
======================================================================
  Nodes: 1029 | Tets: 3600 | Edges: 14128
  Params: 161,731
  ⚡ F-bar enabled (ν=0.45 ≥ 0.45, anti-locking)

     Ep |         Loss |         E_el |         E_gr |   J_min |  u_tip(mm) |        lr
  ------------------------------------------------------------------------------
      1 | -5.737205e-03 | -1.412660e-03 | -4.324545e-03 |  0.9988 |     0.0176 |  2.00e-05
      2 | -6.842882e-03 | -2.518115e-03 | -4.324768e-03 |  0.9994 |     0.0182 |  4.00e-05
      3 | -9.053478e-03 | -4.728280e-03 | -4.325198e-03 |  1.0003 |     0.0194 |  6.00e-05
      4 | -1.237369e-02 | -8.047880e-03 | -4.325808e-03 |  1.0005 |     0.0210 |  8.00e-05
      5 | -1.683120e-02 | -1.250464e-02 | -4.326565e-03 |  1.0008 |     0.0232 |  1.00e-04
     25 | -3.100447e-01 | -3.056750e-01 | -4.369725e-03 |  1.0406 |     0.2327 |  5.00e-04
     50 | -3.837942e-01 | -3.794392e-01 | -4.355033e-03 |  0.9907 |     0.1214 |  1.00e-03
     75 | -3.869332e-01 | -3.825468e-01 | -4.386420e-03 |  1.0101 |     0.3124 |  9.64e-04
    100 | -3.872983e-01 | -3.828520e-01 | -4.446335e-03 |  0.9886 |     0.5920 |  8.61e-04
    125 | -3.874391e-01 | -3.829360e-01 | -4.503100e-03 |  0.9764 |     0.8658 |  7.07e-04
    150 | -3.875213e-01 | -3.829656e-01 | -4.555730e-03 |  0.9735 |     1.1189 |  5.25e-04
    175 | -3.875698e-01 | -3.829723e-01 | -4.597529e-03 |  0.9718 |     1.3205 |  3.43e-04
    200 | -3.875991e-01 | -3.829761e-01 | -4.623007e-03 |  0.9716 |     1.4507 |  1.89e-04
    225 | -3.876145e-01 | -3.829777e-01 | -4.636898e-03 |  0.9715 |     1.5221 |  8.62e-05
    250 | -3.876220e-01 | -3.829782e-01 | -4.643735e-03 |  0.9715 |     1.5573 |  1.00e-03
    275 | -3.874568e-01 | -3.828041e-01 | -4.652748e-03 |  0.9871 |     1.6578 |  9.91e-04
    300 | -3.876114e-01 | -3.828972e-01 | -4.714197e-03 |  0.9754 |     1.9046 |  9.64e-04
    325 | -3.877325e-01 | -3.829119e-01 | -4.820559e-03 |  0.9702 |     2.4189 |  9.20e-04
    350 | -3.878383e-01 | -3.829054e-01 | -4.932847e-03 |  0.9689 |     2.9860 |  8.61e-04
    375 | -3.879347e-01 | -3.828890e-01 | -5.045627e-03 |  0.9672 |     3.5520 |  7.89e-04
    400 | -3.880236e-01 | -3.828670e-01 | -5.156592e-03 |  0.9663 |     4.1097 |  7.07e-04
    425 | -3.881030e-01 | -3.828396e-01 | -5.263420e-03 |  0.9650 |     4.6473 |  6.18e-04
    450 | -3.881721e-01 | -3.828119e-01 | -5.360150e-03 |  0.9631 |     5.1440 |  5.25e-04
    475 | -3.882309e-01 | -3.827861e-01 | -5.444768e-03 |  0.9615 |     5.5859 |  4.32e-04
    500 | -3.882802e-01 | -3.827643e-01 | -5.515952e-03 |  0.9602 |     5.9652 |  3.43e-04
    525 | -3.883202e-01 | -3.827470e-01 | -5.573217e-03 |  0.9592 |     6.2770 |  2.61e-04
    550 | -3.883510e-01 | -3.827339e-01 | -5.617068e-03 |  0.9586 |     6.5211 |  1.89e-04
    575 | -3.883735e-01 | -3.827246e-01 | -5.648892e-03 |  0.9581 |     6.7018 |  1.30e-04
    600 | -3.883889e-01 | -3.827180e-01 | -5.670976e-03 |  0.9579 |     6.8287 |  8.62e-05
    625 | -3.883995e-01 | -3.827134e-01 | -5.686108e-03 |  0.9577 |     6.9163 |  5.91e-05
    650 | -3.884076e-01 | -3.827100e-01 | -5.697571e-03 |  0.9576 |     6.9829 |  1.00e-03
    675 | -3.852128e-01 | -3.806211e-01 | -4.591724e-03 |  1.0088 |     1.3458 |  9.98e-04
    700 | -3.872484e-01 | -3.826526e-01 | -4.595725e-03 |  0.9782 |     1.3655 |  9.91e-04
    725 | -3.875200e-01 | -3.828547e-01 | -4.665288e-03 |  0.9751 |     1.7581 |  9.80e-04
    750 | -3.876451e-01 | -3.828817e-01 | -4.763379e-03 |  0.9715 |     2.2649 |  9.64e-04
    775 | -3.877664e-01 | -3.828829e-01 | -4.883488e-03 |  0.9678 |     2.8589 |  9.44e-04
    800 | -3.878923e-01 | -3.828638e-01 | -5.028501e-03 |  0.9647 |     3.5431 |  9.20e-04
    825 | -3.880177e-01 | -3.828314e-01 | -5.186280e-03 |  0.9631 |     4.2768 |  8.92e-04
    850 | -3.881310e-01 | -3.827953e-01 | -5.335700e-03 |  0.9619 |     4.9945 |  8.61e-04
