╔══════════════════════════════════════════════════════════════╗
║  DPC-GNN Multi-Tissue Solid Mechanics Training Pipeline    ║
║  Physics: Neo-Hookean Hyperelastic | GNN: AntisymmetricMP  ║
╚══════════════════════════════════════════════════════════════╝

======================================================================
  TISSUE: CARTILAGE | E=500000 Pa (500.0 kPa) | ν=0.45
  Beam: 10cm x 2cm x 2cm
  Mesh: 20x6x6 | Device: cpu | Epochs: 3000
  Expected tip δ: 8.0932 mm | Scale: 8.09e-03
======================================================================
  Nodes: 1029 | Tets: 3600 | Edges: 14128
  Params: 161,731
  ⚡ F-bar enabled (ν=0.45 ≥ 0.45, anti-locking)

     Ep |         Loss |         E_el |         E_gr |   J_min |  u_tip(mm) |        lr
  ------------------------------------------------------------------------------
      1 | 3.218828e-04 | 4.644217e-03 | -4.322334e-03 |  0.9951 |     0.0135 |  2.00e-05
      2 | -8.026639e-04 | 3.519802e-03 | -4.322466e-03 |  0.9957 |     0.0136 |  4.00e-05
      3 | -3.040884e-03 | 1.281838e-03 | -4.322723e-03 |  0.9968 |     0.0139 |  6.00e-05
      4 | -6.372802e-03 | -2.049707e-03 | -4.323095e-03 |  0.9983 |     0.0143 |  8.00e-05
      5 | -1.079287e-02 | -6.469301e-03 | -4.323573e-03 |  1.0000 |     0.0147 |  1.00e-04
     25 | -2.875998e-01 | -2.832270e-01 | -4.372765e-03 |  1.0859 |     0.0358 |  5.00e-04
     50 | -3.796053e-01 | -3.752477e-01 | -4.357596e-03 |  0.9734 |     0.0314 |  1.00e-03
     75 | -3.869028e-01 | -3.825545e-01 | -4.348379e-03 |  1.0093 |     0.0597 |  9.64e-04
    100 | -3.872359e-01 | -3.828489e-01 | -4.387022e-03 |  0.9886 |     0.2604 |  8.61e-04
    125 | -3.873599e-01 | -3.829274e-01 | -4.432441e-03 |  0.9813 |     0.4615 |  7.07e-04
    150 | -3.874347e-01 | -3.829666e-01 | -4.468066e-03 |  0.9796 |     0.6329 |  5.25e-04
    175 | -3.874790e-01 | -3.829830e-01 | -4.495984e-03 |  0.9758 |     0.7661 |  3.43e-04
    200 | -3.875041e-01 | -3.829889e-01 | -4.515193e-03 |  0.9746 |     0.8593 |  1.89e-04
    225 | -3.875166e-01 | -3.829908e-01 | -4.525758e-03 |  0.9740 |     0.9108 |  8.62e-05
    250 | -3.875227e-01 | -3.829916e-01 | -4.531084e-03 |  0.9737 |     0.9366 |  1.00e-03
    275 | -3.872868e-01 | -3.827365e-01 | -4.550316e-03 |  0.9705 |     1.1427 |  9.91e-04
    300 | -3.875619e-01 | -3.829205e-01 | -4.641402e-03 |  0.9793 |     1.5269 |  9.64e-04
    325 | -3.876885e-01 | -3.829485e-01 | -4.740007e-03 |  0.9732 |     2.0375 |  9.20e-04
    350 | -3.872851e-01 | -3.824048e-01 | -4.880254e-03 |  0.9736 |     2.7100 |  8.61e-04
    375 | -3.877988e-01 | -3.828783e-01 | -4.920566e-03 |  0.9672 |     2.8620 |  7.89e-04
    400 | -3.879028e-01 | -3.828861e-01 | -5.016642e-03 |  0.9664 |     3.3550 |  7.07e-04
    425 | -3.879897e-01 | -3.828638e-01 | -5.125971e-03 |  0.9652 |     3.9134 |  6.18e-04
    450 | -3.880634e-01 | -3.828371e-01 | -5.226322e-03 |  0.9638 |     4.4322 |  5.25e-04
    475 | -3.881280e-01 | -3.828127e-01 | -5.315360e-03 |  0.9626 |     4.8958 |  4.32e-04
    500 | -3.881828e-01 | -3.827924e-01 | -5.390370e-03 |  0.9616 |     5.2937 |  3.43e-04
    525 | -3.882270e-01 | -3.827760e-01 | -5.450994e-03 |  0.9609 |     5.6213 |  2.61e-04
    550 | -3.882605e-01 | -3.827628e-01 | -5.497668e-03 |  0.9604 |     5.8777 |  1.89e-04
    575 | -3.882845e-01 | -3.827526e-01 | -5.531852e-03 |  0.9601 |     6.0674 |  1.30e-04
    600 | -3.883010e-01 | -3.827454e-01 | -5.555643e-03 |  0.9599 |     6.2001 |  8.62e-05
    625 | -3.883122e-01 | -3.827403e-01 | -5.571903e-03 |  0.9597 |     6.2912 |  5.91e-05
    650 | -3.883206e-01 | -3.827364e-01 | -5.584178e-03 |  0.9596 |     6.3602 |  1.00e-03
    675 | -3.866820e-01 | -3.818327e-01 | -4.849328e-03 |  0.9723 |     2.2867 |  9.98e-04
    700 | -3.875152e-01 | -3.827839e-01 | -4.731336e-03 |  0.9767 |     1.9115 |  9.91e-04
    725 | -3.876812e-01 | -3.828603e-01 | -4.820959e-03 |  0.9740 |     2.4133 |  9.80e-04
    750 | -3.878133e-01 | -3.828717e-01 | -4.941584e-03 |  0.9722 |     3.0132 |  9.64e-04
    775 | -3.879312e-01 | -3.828538e-01 | -5.077435e-03 |  0.9694 |     3.6555 |  9.44e-04
    800 | -3.880348e-01 | -3.828234e-01 | -5.211314e-03 |  0.9661 |     4.2942 |  9.20e-04
    825 | -3.881260e-01 | -3.827913e-01 | -5.334602e-03 |  0.9645 |     4.9113 |  8.92e-04
    850 | -3.882089e-01 | -3.827628e-01 | -5.446075e-03 |  0.9637 |     5.5050 |  8.61e-04
    875 | -3.882878e-01 | -3.827371e-01 | -5.550651e-03 |  0.9627 |     6.0920 |  8.26e-04
    900 | -3.883655e-01 | -3.827128e-01 | -5.652681e-03 |  0.9615 |     6.6822 |  7.89e-04
    925 | -3.884398e-01 | -3.826851e-01 | -5.754677e-03 |  0.9575 |     7.2845 |  7.49e-04
    950 | -3.885090e-01 | -3.826533e-01 | -5.855675e-03 |  0.9526 |     7.8937 |  7.07e-04
    975 | -3.885609e-01 | -3.826134e-01 | -5.947519e-03 |  0.9471 |     8.4615 |  6.63e-04
   1000 | -3.886177e-01 | -3.825795e-01 | -6.038186e-03 |  0.9432 |     9.0061 |  6.18e-04
   1025 | -3.886025e-01 | -3.824999e-01 | -6.102631e-03 |  0.9402 |     9.4372 |  5.72e-04
   1050 | -3.887185e-01 | -3.825302e-01 | -6.188348e-03 |  0.9369 |     9.9447 |  5.25e-04
   1075 | -3.887658e-01 | -3.825001e-01 | -6.265694e-03 |  0.9339 |    10.4450 |  4.78e-04
   1100 | -3.888108e-01 | -3.824708e-01 | -6.339929e-03 |  0.9316 |    10.9202 |  4.32e-04
   1125 | -3.888524e-01 | -3.824435e-01 | -6.408936e-03 |  0.9295 |    11.3654 |  3.87e-04
   1150 | -3.888908e-01 | -3.824181e-01 | -6.472725e-03 |  0.9277 |    11.7784 |  3.43e-04
   1175 | -3.889259e-01 | -3.823950e-01 | -6.530961e-03 |  0.9260 |    12.1568 |  3.01e-04
   1200 | -3.889578e-01 | -3.823743e-01 | -6.583497e-03 |  0.9246 |    12.4990 |  2.61e-04
   1225 | -3.889861e-01 | -3.823558e-01 | -6.630295e-03 |  0.9233 |    12.8042 |  2.24e-04
   1250 | -3.890111e-01 | -3.823397e-01 | -6.671400e-03 |  0.9222 |    13.0723 |  1.89e-04
   1275 | -3.890328e-01 | -3.823258e-01 | -6.706969e-03 |  0.9213 |    13.3043 |  1.58e-04
   1300 | -3.890513e-01 | -3.823140e-01 | -6.737290e-03 |  0.9205 |    13.5021 |  1.30e-04
   1325 | -3.890668e-01 | -3.823040e-01 | -6.762790e-03 |  0.9198 |    13.6684 |  1.06e-04
   1350 | -3.890798e-01 | -3.822958e-01 | -6.784027e-03 |  0.9193 |    13.8068 |  8.62e-05
   1375 | -3.890906e-01 | -3.822889e-01 | -6.801682e-03 |  0.9189 |    13.9220 |  7.05e-05
   1400 | -3.890997e-01 | -3.822831e-01 | -6.816556e-03 |  0.9185 |    14.0189 |  5.91e-05
   1425 | -3.891076e-01 | -3.822781e-01 | -6.829546e-03 |  0.9182 |    14.1036 |  5.23e-05
   1450 | -3.891150e-01 | -3.822734e-01 | -6.841640e-03 |  0.9179 |    14.1825 |  1.00e-03
