╔══════════════════════════════════════════════════════════════╗
║  DPC-GNN Multi-Tissue Solid Mechanics Training Pipeline    ║
║  Physics: Neo-Hookean Hyperelastic | GNN: AntisymmetricMP  ║
╚══════════════════════════════════════════════════════════════╝

======================================================================
  TISSUE: CARTILAGE | E=500000 Pa (500.0 kPa) | ν=0.45
  Beam: 10cm x 2cm x 2cm
  Mesh: 20x6x6 | Device: cpu | Epochs: 3000
  Expected tip δ: 8.0932 mm | Scale: 8.09e-03
======================================================================
  Nodes: 1029 | Tets: 3600 | Edges: 14128
  Params: 161,731
  ⚡ F-bar enabled (ν=0.45 ≥ 0.45, anti-locking)

     Ep |         Loss |         E_el |         E_gr |   J_min |  u_tip(mm) |        lr
  ------------------------------------------------------------------------------
      1 | -3.491420e-03 | 8.347016e-04 | -4.326121e-03 |  0.9983 |     0.0230 |  2.00e-05
      2 | -4.389966e-03 | -6.383506e-05 | -4.326131e-03 |  0.9988 |     0.0231 |  4.00e-05
      3 | -6.180587e-03 | -1.854435e-03 | -4.326152e-03 |  0.9998 |     0.0234 |  6.00e-05
      4 | -8.859958e-03 | -4.533765e-03 | -4.326192e-03 |  1.0004 |     0.0238 |  8.00e-05
      5 | -1.243182e-02 | -8.105554e-03 | -4.326269e-03 |  1.0008 |     0.0244 |  1.00e-04
     25 | -3.249443e-01 | -3.205557e-01 | -4.388582e-03 |  1.0351 |     0.3158 |  5.00e-04
     50 | -3.835988e-01 | -3.792135e-01 | -4.385357e-03 |  0.9790 |     0.3333 |  1.00e-03
     75 | -3.869167e-01 | -3.824881e-01 | -4.428606e-03 |  1.0029 |     0.5029 |  9.64e-04
    100 | -3.872714e-01 | -3.828084e-01 | -4.462958e-03 |  0.9866 |     0.7095 |  8.61e-04
    125 | -3.874003e-01 | -3.828916e-01 | -4.508653e-03 |  0.9798 |     0.9519 |  7.07e-04
    150 | -3.874844e-01 | -3.829275e-01 | -4.556907e-03 |  0.9735 |     1.1866 |  5.25e-04
    175 | -3.875395e-01 | -3.829426e-01 | -4.596914e-03 |  0.9717 |     1.3820 |  3.43e-04
    200 | -3.875730e-01 | -3.829485e-01 | -4.624559e-03 |  0.9709 |     1.5173 |  1.89e-04
    225 | -3.875909e-01 | -3.829508e-01 | -4.640099e-03 |  0.9706 |     1.5934 |  8.62e-05
    250 | -3.875995e-01 | -3.829516e-01 | -4.647825e-03 |  0.9704 |     1.6315 |  1.00e-03
    275 | -3.874326e-01 | -3.826863e-01 | -4.746274e-03 |  0.9791 |     2.0842 |  9.91e-04
    300 | -3.877319e-01 | -3.829028e-01 | -4.829115e-03 |  0.9683 |     2.5345 |  9.64e-04
    325 | -3.878762e-01 | -3.829032e-01 | -4.973001e-03 |  0.9667 |     3.2574 |  9.20e-04
    350 | -3.877602e-01 | -3.826886e-01 | -5.071549e-03 |  0.9671 |     3.7038 |  8.61e-04
    375 | -3.880243e-01 | -3.828575e-01 | -5.166774e-03 |  0.9642 |     4.1898 |  7.89e-04
    400 | -3.881322e-01 | -3.828187e-01 | -5.313465e-03 |  0.9629 |     4.9620 |  7.07e-04
    425 | -3.882294e-01 | -3.827760e-01 | -5.453442e-03 |  0.9611 |     5.7104 |  6.18e-04
