╔══════════════════════════════════════════════════════════════╗
║  DPC-GNN — EBC (barrier) ablation                           ║
║  barrier_coef = 0.000                                       ║
╚══════════════════════════════════════════════════════════════╝

======================================================================
  TISSUE: CARTILAGE (BARRIER ABLATION, k_E=0.0) | E=500000 Pa | ν=0.3
  Mesh: 15x4x4 | Device: cuda | Epochs: 3000
  Expected tip δ: 8.0932 mm | Scale: 8.09e-03
======================================================================
  Nodes: 400 | Tets: 1200 | Edges: 4910
  Params: 161,731

     Ep |         Loss |   J_min |   n_inv |  u_tip(mm) |        lr
  ------------------------------------------------------------------------------
      1 | -4.316312e-03 |  0.9996 |       0 |     0.0067 |  2.00e-05
      2 | -4.317920e-03 |  0.9997 |       0 |     0.0096 |  4.00e-05
      3 | -4.320694e-03 |  0.9997 |       0 |     0.0155 |  6.00e-05
      4 | -4.323126e-03 |  0.9995 |       0 |     0.0241 |  8.00e-05
      5 | -4.324803e-03 |  0.9997 |       0 |     0.0351 |  1.00e-04
     25 | -4.397538e-03 |  0.9949 |       0 |     0.4625 |  5.00e-04
     50 | -4.462735e-03 |  0.9852 |       0 |     1.8032 |  1.00e-03
     75 | -4.642513e-03 |  0.9837 |       0 |     3.0435 |  1.00e-03
    100 | -4.743438e-03 |  0.9793 |       0 |     3.9998 |  9.99e-04
    125 | -4.845011e-03 |  0.9782 |       0 |     4.9516 |  9.98e-04
    150 | -4.819883e-03 |  0.9794 |       0 |     5.2107 |  9.97e-04
    175 | -4.890298e-03 |  0.9762 |       0 |     6.1597 |  9.96e-04
    200 | -4.837967e-03 |  0.9792 |       0 |     4.6599 |  9.94e-04
    225 | -4.908810e-03 |  0.9790 |       0 |     6.2924 |  9.92e-04
    250 | -4.918994e-03 |  0.9784 |       0 |     6.7619 |  9.89e-04
    275 | -4.918091e-03 |  0.9781 |       0 |     6.7495 |  9.86e-04
    300 | -4.923216e-03 |  0.9777 |       0 |     6.8169 |  9.83e-04
    325 | -4.899414e-03 |  0.9821 |       0 |     6.2057 |  9.80e-04
    350 | -4.923873e-03 |  0.9779 |       0 |     6.8258 |  9.76e-04
    375 | -4.927456e-03 |  0.9776 |       0 |     6.8586 |  9.72e-04
    400 | -4.917858e-03 |  0.9770 |       0 |     6.8679 |  9.67e-04
    425 | -4.926623e-03 |  0.9780 |       0 |     6.7940 |  9.62e-04
    450 | -4.902741e-03 |  0.9794 |       0 |     6.4308 |  9.57e-04
    475 | -4.928672e-03 |  0.9772 |       0 |     6.8625 |  9.52e-04
    500 | -4.924586e-03 |  0.9776 |       0 |     6.8709 |  9.46e-04
    525 | -4.914892e-03 |  0.9777 |       0 |     6.8669 |  9.40e-04
    550 | -4.926939e-03 |  0.9780 |       0 |     6.8090 |  9.34e-04
    575 | -4.924525e-03 |  0.9769 |       0 |     6.9071 |  9.27e-04
    600 | -4.924154e-03 |  0.9778 |       0 |     6.8427 |  9.20e-04
    625 | -4.923871e-03 |  0.9774 |       0 |     6.7857 |  9.13e-04
    650 | -4.917558e-03 |  0.9768 |       0 |     6.8710 |  9.05e-04
    675 | -4.929889e-03 |  0.9772 |       0 |     6.8600 |  8.98e-04
    700 | -4.928421e-03 |  0.9780 |       0 |     6.6697 |  8.90e-04
    725 | -4.929722e-03 |  0.9774 |       0 |     6.8967 |  8.81e-04
