╔══════════════════════════════════════════════════════════════╗
║  DPC-GNN — EBC (barrier) ablation                           ║
║  barrier_coef = 0.000                                       ║
╚══════════════════════════════════════════════════════════════╝

======================================================================
  TISSUE: BONE (BARRIER ABLATION, k_E=0.0) | E=10000000 Pa | ν=0.3
  Mesh: 15x4x4 | Device: cuda | Epochs: 2000
  Expected tip δ: 0.6990 mm | Scale: 6.99e-04
======================================================================
  Nodes: 400 | Tets: 1200 | Edges: 4910
  Params: 161,731

     Ep |         Loss |   J_min |   n_inv |  u_tip(mm) |        lr
  ------------------------------------------------------------------------------
      1 | -7.455334e-03 |  1.0000 |       0 |     0.0007 |  2.00e-05
      2 | -7.455397e-03 |  1.0000 |       0 |     0.0009 |  4.00e-05
      3 | -7.455938e-03 |  1.0000 |       0 |     0.0012 |  6.00e-05
      4 | -7.454956e-03 |  0.9999 |       0 |     0.0017 |  8.00e-05
      5 | -7.454746e-03 |  0.9999 |       0 |     0.0024 |  1.00e-04
     25 | -7.463725e-03 |  0.9997 |       0 |     0.0243 |  5.00e-04
     50 | -7.482656e-03 |  0.9986 |       0 |     0.1302 |  1.00e-03
     75 | -7.498411e-03 |  0.9983 |       0 |     0.2143 |  1.00e-03
    100 | -7.508893e-03 |  0.9983 |       0 |     0.3059 |  9.98e-04
    125 | -7.526349e-03 |  0.9983 |       0 |     0.3862 |  9.97e-04
    150 | -7.516101e-03 |  0.9980 |       0 |     0.4414 |  9.94e-04
    175 | -7.535606e-03 |  0.9980 |       0 |     0.4852 |  9.90e-04
    200 | -7.536470e-03 |  0.9979 |       0 |     0.5087 |  9.86e-04
    225 | -7.536966e-03 |  0.9980 |       0 |     0.5237 |  9.81e-04
    250 | -7.534839e-03 |  0.9982 |       0 |     0.5052 |  9.76e-04
    275 | -7.539120e-03 |  0.9982 |       0 |     0.5395 |  9.69e-04
    300 | -7.539772e-03 |  0.9980 |       0 |     0.5547 |  9.62e-04
    325 | -7.508507e-03 |  0.9984 |       0 |     0.5138 |  9.55e-04
