╔══════════════════════════════════════════════════════════════╗
║  DPC-GNN — EBC (barrier) ablation                           ║
║  barrier_coef = 0.000                                       ║
╚══════════════════════════════════════════════════════════════╝

======================================================================
  TISSUE: BONE (BARRIER ABLATION, k_E=0.0) | E=10000000 Pa | ν=0.3
  Mesh: 15x4x4 | Device: cuda | Epochs: 2000
  Expected tip δ: 0.6990 mm | Scale: 6.99e-04
======================================================================
  Nodes: 400 | Tets: 1200 | Edges: 4910
  Params: 161,731

     Ep |         Loss |   J_min |   n_inv |  u_tip(mm) |        lr
  ------------------------------------------------------------------------------
      1 | -7.455180e-03 |  1.0000 |       0 |     0.0009 |  2.00e-05
      2 | -7.455082e-03 |  1.0000 |       0 |     0.0011 |  4.00e-05
      3 | -7.453941e-03 |  1.0000 |       0 |     0.0015 |  6.00e-05
      4 | -7.454077e-03 |  0.9999 |       0 |     0.0022 |  8.00e-05
      5 | -7.455332e-03 |  0.9999 |       0 |     0.0030 |  1.00e-04
     25 | -7.463432e-03 |  0.9996 |       0 |     0.0304 |  5.00e-04
     50 | -7.485307e-03 |  0.9986 |       0 |     0.1337 |  1.00e-03
     75 | -7.502113e-03 |  0.9987 |       0 |     0.2285 |  1.00e-03
    100 | -7.477019e-03 |  0.9984 |       0 |     0.3173 |  9.98e-04
    125 | -7.524438e-03 |  0.9983 |       0 |     0.3840 |  9.97e-04
    150 | -7.521051e-03 |  0.9982 |       0 |     0.4630 |  9.94e-04
    175 | -7.534833e-03 |  0.9982 |       0 |     0.4776 |  9.90e-04
    200 | -7.538071e-03 |  0.9981 |       0 |     0.5158 |  9.86e-04
    225 | -7.538929e-03 |  0.9983 |       0 |     0.5083 |  9.81e-04
    250 | -7.541417e-03 |  0.9981 |       0 |     0.5437 |  9.76e-04
    275 | -7.539027e-03 |  0.9981 |       0 |     0.5330 |  9.69e-04
    300 | -7.542722e-03 |  0.9981 |       0 |     0.5602 |  9.62e-04
    325 | -7.542439e-03 |  0.9980 |       0 |     0.5608 |  9.55e-04
    350 | -7.539710e-03 |  0.9981 |       0 |     0.4984 |  9.46e-04
    375 | -7.542910e-03 |  0.9981 |       0 |     0.5622 |  9.37e-04
    400 | -7.544131e-03 |  0.9981 |       0 |     0.5749 |  9.27e-04
    425 | -7.544558e-03 |  0.9980 |       0 |     0.5805 |  9.17e-04
    450 | -7.539268e-03 |  0.9981 |       0 |     0.5494 |  9.05e-04
    475 | -7.544581e-03 |  0.9979 |       0 |     0.5759 |  8.94e-04
    500 | -7.544758e-03 |  0.9981 |       0 |     0.5811 |  8.81e-04
    525 | -7.540638e-03 |  0.9981 |       0 |     0.5565 |  8.68e-04
    550 | -7.544104e-03 |  0.9980 |       0 |     0.5796 |  8.55e-04
    575 | -7.545001e-03 |  0.9980 |       0 |     0.5839 |  8.41e-04
    600 | -7.544369e-03 |  0.9981 |       0 |     0.5696 |  8.26e-04
    625 | -7.543901e-03 |  0.9980 |       0 |     0.5823 |  8.11e-04
    650 | -7.545046e-03 |  0.9980 |       0 |     0.5831 |  7.96e-04
    675 | -7.544207e-03 |  0.9980 |       0 |     0.5803 |  7.80e-04
    700 | -7.543996e-03 |  0.9980 |       0 |     0.5831 |  7.64e-04
    725 | -7.544963e-03 |  0.9980 |       0 |     0.5862 |  7.47e-04
    750 | -7.543112e-03 |  0.9981 |       0 |     0.5718 |  7.30e-04
    775 | -7.544552e-03 |  0.9981 |       0 |     0.5847 |  7.12e-04
    800 | -7.544610e-03 |  0.9980 |       0 |     0.5867 |  6.94e-04
    825 | -7.544919e-03 |  0.9980 |       0 |     0.5874 |  6.76e-04
    850 | -7.544956e-03 |  0.9980 |       0 |     0.5876 |  6.58e-04
    875 | -7.544812e-03 |  0.9980 |       0 |     0.5878 |  6.39e-04
    900 | -7.545092e-03 |  0.9980 |       0 |     0.5873 |  6.21e-04
    925 | -7.544701e-03 |  0.9980 |       0 |     0.5823 |  6.02e-04
    950 | -7.545299e-03 |  0.9980 |       0 |     0.5877 |  5.82e-04
    975 | -7.544552e-03 |  0.9980 |       0 |     0.5880 |  5.63e-04
   1000 | -7.544485e-03 |  0.9980 |       0 |     0.5884 |  5.44e-04
   1025 | -7.544497e-03 |  0.9980 |       0 |     0.5886 |  5.24e-04
   1050 | -7.545077e-03 |  0.9980 |       0 |     0.5887 |  5.05e-04
   1075 | -7.544735e-03 |  0.9980 |       0 |     0.5888 |  4.86e-04
   1100 | -7.544613e-03 |  0.9980 |       0 |     0.5889 |  4.66e-04
   1125 | -7.544694e-03 |  0.9980 |       0 |     0.5890 |  4.47e-04
   1150 | -7.545288e-03 |  0.9980 |       0 |     0.5890 |  4.28e-04
   1175 | -7.544912e-03 |  0.9980 |       0 |     0.5891 |  4.08e-04
   1200 | -7.545341e-03 |  0.9980 |       0 |     0.5892 |  3.89e-04
   1225 | -7.544653e-03 |  0.9980 |       0 |     0.5893 |  3.71e-04
   1250 | -7.544761e-03 |  0.9980 |       0 |     0.5894 |  3.52e-04
   1275 | -7.544417e-03 |  0.9979 |       0 |     0.5894 |  3.34e-04
   1300 | -7.544690e-03 |  0.9979 |       0 |     0.5895 |  3.16e-04
   1325 | -7.545013e-03 |  0.9979 |       0 |     0.5896 |  2.98e-04
   1350 | -7.544810e-03 |  0.9979 |       0 |     0.5896 |  2.80e-04
   1375 | -7.544610e-03 |  0.9979 |       0 |     0.5897 |  2.63e-04
   1400 | -7.544853e-03 |  0.9979 |       0 |     0.5897 |  2.46e-04
   1425 | -7.544263e-03 |  0.9979 |       0 |     0.5898 |  2.30e-04
   1450 | -7.544577e-03 |  0.9979 |       0 |     0.5898 |  2.14e-04
   1475 | -7.544562e-03 |  0.9979 |       0 |     0.5899 |  1.99e-04
   1500 | -7.544385e-03 |  0.9979 |       0 |     0.5899 |  1.84e-04
   1525 | -7.544643e-03 |  0.9979 |       0 |     0.5900 |  1.69e-04
   1550 | -7.544641e-03 |  0.9979 |       0 |     0.5900 |  1.55e-04
   1575 | -7.544893e-03 |  0.9979 |       0 |     0.5901 |  1.42e-04
   1600 | -7.545008e-03 |  0.9979 |       0 |     0.5901 |  1.29e-04
   1625 | -7.544992e-03 |  0.9979 |       0 |     0.5901 |  1.16e-04
   1650 | -7.545135e-03 |  0.9979 |       0 |     0.5902 |  1.05e-04
   1675 | -7.544761e-03 |  0.9979 |       0 |     0.5902 |  9.34e-05
   1700 | -7.544958e-03 |  0.9979 |       0 |     0.5902 |  8.29e-05
   1725 | -7.544720e-03 |  0.9979 |       0 |     0.5902 |  7.31e-05
   1750 | -7.544618e-03 |  0.9979 |       0 |     0.5903 |  6.40e-05
   1775 | -7.545017e-03 |  0.9979 |       0 |     0.5903 |  5.55e-05
   1800 | -7.545096e-03 |  0.9979 |       0 |     0.5903 |  4.77e-05
   1825 | -7.544841e-03 |  0.9979 |       0 |     0.5903 |  4.06e-05
   1850 | -7.544131e-03 |  0.9979 |       0 |     0.5903 |  3.42e-05
   1875 | -7.544421e-03 |  0.9979 |       0 |     0.5903 |  2.86e-05
   1900 | -7.544511e-03 |  0.9979 |       0 |     0.5904 |  2.37e-05
   1925 | -7.544369e-03 |  0.9979 |       0 |     0.5904 |  1.95e-05
   1950 | -7.544471e-03 |  0.9979 |       0 |     0.5904 |  1.61e-05
   1975 | -7.544396e-03 |  0.9979 |       0 |     0.5904 |  1.34e-05
   2000 | -7.544053e-03 |  0.9979 |       0 |     0.5904 |  1.15e-05

  ======================================================================
  ✅ BONE (barrier_coef=0.0) COMPLETE
  Best loss: -7.545765e-03 (epoch 683)
  Tip: 0.5824 mm (expected: 0.6990 mm)  Err: 16.68%
  n_inverted: final=0, max_during_training=0
  Training time: 77.3s (1.3min)
  ======================================================================

