╔══════════════════════════════════════════════════════════════╗
║  DPC-GNN — EBC (barrier) ablation                           ║
║  barrier_coef = 100.000                                       ║
╚══════════════════════════════════════════════════════════════╝

======================================================================
  TISSUE: BONE (BARRIER ABLATION, k_E=100.0) | E=10000000 Pa | ν=0.3
  Mesh: 15x4x4 | Device: cuda | Epochs: 2000
  Expected tip δ: 0.6990 mm | Scale: 6.99e-04
======================================================================
  Nodes: 400 | Tets: 1200 | Edges: 4910
  Params: 161,731

     Ep |         Loss |   J_min |   n_inv |  u_tip(mm) |        lr
  ------------------------------------------------------------------------------
      1 | -7.452296e-03 |  1.0000 |       0 |    -0.0006 |  2.00e-05
      2 | -7.451794e-03 |  1.0000 |       0 |    -0.0004 |  4.00e-05
      3 | -7.452581e-03 |  1.0000 |       0 |    -0.0000 |  6.00e-05
      4 | -7.454230e-03 |  0.9999 |       0 |     0.0005 |  8.00e-05
      5 | -7.456175e-03 |  0.9999 |       0 |     0.0013 |  1.00e-04
     25 | -7.467816e-03 |  0.9997 |       0 |     0.0239 |  5.00e-04
     50 | -7.485830e-03 |  0.9987 |       0 |     0.1404 |  1.00e-03
     75 | -7.498513e-03 |  0.9985 |       0 |     0.2187 |  1.00e-03
    100 | -7.515559e-03 |  0.9984 |       0 |     0.3274 |  9.98e-04
    125 | -7.523997e-03 |  0.9981 |       0 |     0.3709 |  9.97e-04
    150 | -7.533791e-03 |  0.9981 |       0 |     0.4582 |  9.94e-04
    175 | -7.534071e-03 |  0.9980 |       0 |     0.4420 |  9.90e-04
    200 | -7.538513e-03 |  0.9981 |       0 |     0.5027 |  9.86e-04
    225 | -7.540220e-03 |  0.9981 |       0 |     0.5370 |  9.81e-04
    250 | -7.536337e-03 |  0.9982 |       0 |     0.5139 |  9.76e-04
    275 | -7.541209e-03 |  0.9981 |       0 |     0.5481 |  9.69e-04
    300 | -7.539982e-03 |  0.9980 |       0 |     0.5615 |  9.62e-04
    325 | -7.541968e-03 |  0.9981 |       0 |     0.5516 |  9.55e-04
    350 | -7.542133e-03 |  0.9981 |       0 |     0.5669 |  9.46e-04
    375 | -7.542559e-03 |  0.9980 |       0 |     0.5715 |  9.37e-04
    400 | -7.541320e-03 |  0.9982 |       0 |     0.5520 |  9.27e-04
    425 | -7.542528e-03 |  0.9980 |       0 |     0.5702 |  9.17e-04
