╔══════════════════════════════════════════════════════════════╗
║  DPC-GNN — EBC (barrier) ablation                           ║
║  barrier_coef = 100.000                                       ║
╚══════════════════════════════════════════════════════════════╝

======================================================================
  TISSUE: BONE (BARRIER ABLATION, k_E=100.0) | E=10000000 Pa | ν=0.3
  Mesh: 15x4x4 | Device: cuda | Epochs: 2000
  Expected tip δ: 0.6990 mm | Scale: 6.99e-04
======================================================================
  Nodes: 400 | Tets: 1200 | Edges: 4910
  Params: 161,731

     Ep |         Loss |   J_min |   n_inv |  u_tip(mm) |        lr
  ------------------------------------------------------------------------------
      1 | -7.449929e-03 |  0.9996 |       0 |    -0.0004 |  2.00e-05
      2 | -7.450542e-03 |  0.9996 |       0 |    -0.0003 |  4.00e-05
      3 | -7.451349e-03 |  0.9997 |       0 |     0.0001 |  6.00e-05
      4 | -7.451850e-03 |  0.9998 |       0 |     0.0007 |  8.00e-05
      5 | -7.454209e-03 |  1.0000 |       0 |     0.0014 |  1.00e-04
     25 | -7.458317e-03 |  0.9996 |       0 |     0.0209 |  5.00e-04
     50 | -7.477585e-03 |  0.9987 |       0 |     0.1199 |  1.00e-03
     75 | -7.497071e-03 |  0.9983 |       0 |     0.2118 |  1.00e-03
    100 | -7.505661e-03 |  0.9983 |       0 |     0.2954 |  9.98e-04
    125 | -7.524821e-03 |  0.9983 |       0 |     0.3653 |  9.97e-04
    150 | -7.530658e-03 |  0.9982 |       0 |     0.4153 |  9.94e-04
    175 | -7.528473e-03 |  0.9981 |       0 |     0.4817 |  9.90e-04
    200 | -7.535542e-03 |  0.9982 |       0 |     0.4944 |  9.86e-04
    225 | -7.512493e-03 |  0.9982 |       0 |     0.5178 |  9.81e-04
    250 | -7.537220e-03 |  0.9980 |       0 |     0.5219 |  9.76e-04
    275 | -7.541330e-03 |  0.9980 |       0 |     0.5479 |  9.69e-04
    300 | -7.538572e-03 |  0.9981 |       0 |     0.5324 |  9.62e-04
    325 | -7.541375e-03 |  0.9980 |       0 |     0.5669 |  9.55e-04
    350 | -7.542971e-03 |  0.9981 |       0 |     0.5623 |  9.46e-04
    375 | -7.543013e-03 |  0.9980 |       0 |     0.5740 |  9.37e-04
    400 | -7.543962e-03 |  0.9981 |       0 |     0.5678 |  9.27e-04
    425 | -7.542968e-03 |  0.9980 |       0 |     0.5620 |  9.17e-04
    450 | -7.542588e-03 |  0.9980 |       0 |     0.5789 |  9.05e-04
    475 | -7.543900e-03 |  0.9981 |       0 |     0.5762 |  8.94e-04
    500 | -7.544248e-03 |  0.9981 |       0 |     0.5604 |  8.81e-04
    525 | -7.544285e-03 |  0.9980 |       0 |     0.5791 |  8.68e-04
    550 | -7.542051e-03 |  0.9980 |       0 |     0.5784 |  8.55e-04
    575 | -7.545029e-03 |  0.9980 |       0 |     0.5785 |  8.41e-04
    600 | -7.544799e-03 |  0.9981 |       0 |     0.5771 |  8.26e-04
    625 | -7.544872e-03 |  0.9980 |       0 |     0.5822 |  8.11e-04
    650 | -7.544860e-03 |  0.9981 |       0 |     0.5766 |  7.96e-04
    675 | -7.544451e-03 |  0.9980 |       0 |     0.5832 |  7.80e-04
    700 | -7.542293e-03 |  0.9980 |       0 |     0.5752 |  7.64e-04
    725 | -7.545238e-03 |  0.9980 |       0 |     0.5840 |  7.47e-04
    750 | -7.545148e-03 |  0.9980 |       0 |     0.5856 |  7.30e-04
    775 | -7.535669e-03 |  0.9979 |       0 |     0.5799 |  7.12e-04
    800 | -7.543869e-03 |  0.9980 |       0 |     0.5813 |  6.94e-04
    825 | -7.544057e-03 |  0.9980 |       0 |     0.5836 |  6.76e-04
    850 | -7.544844e-03 |  0.9980 |       0 |     0.5868 |  6.58e-04
    875 | -7.544241e-03 |  0.9980 |       0 |     0.5872 |  6.39e-04
    900 | -7.544913e-03 |  0.9980 |       0 |     0.5874 |  6.21e-04
    925 | -7.544867e-03 |  0.9980 |       0 |     0.5877 |  6.02e-04
    950 | -7.544789e-03 |  0.9980 |       0 |     0.5879 |  5.82e-04
    975 | -7.544713e-03 |  0.9980 |       0 |     0.5881 |  5.63e-04
   1000 | -7.544058e-03 |  0.9980 |       0 |     0.5829 |  5.44e-04
   1025 | -7.544775e-03 |  0.9980 |       0 |     0.5878 |  5.24e-04
   1050 | -7.544790e-03 |  0.9980 |       0 |     0.5884 |  5.05e-04
   1075 | -7.545309e-03 |  0.9980 |       0 |     0.5888 |  4.86e-04
   1100 | -7.544666e-03 |  0.9980 |       0 |     0.5890 |  4.66e-04
   1125 | -7.545291e-03 |  0.9980 |       0 |     0.5892 |  4.47e-04
   1150 | -7.544721e-03 |  0.9980 |       0 |     0.5893 |  4.28e-04
   1175 | -7.544591e-03 |  0.9980 |       0 |     0.5895 |  4.08e-04
   1200 | -7.545198e-03 |  0.9980 |       0 |     0.5897 |  3.89e-04
   1225 | -7.544534e-03 |  0.9980 |       0 |     0.5898 |  3.71e-04
   1250 | -7.544777e-03 |  0.9980 |       0 |     0.5899 |  3.52e-04
   1275 | -7.545134e-03 |  0.9980 |       0 |     0.5901 |  3.34e-04
   1300 | -7.544887e-03 |  0.9979 |       0 |     0.5902 |  3.16e-04
   1325 | -7.545121e-03 |  0.9979 |       0 |     0.5903 |  2.98e-04
   1350 | -7.545122e-03 |  0.9979 |       0 |     0.5904 |  2.80e-04
   1375 | -7.544812e-03 |  0.9979 |       0 |     0.5905 |  2.63e-04
   1400 | -7.545393e-03 |  0.9979 |       0 |     0.5906 |  2.46e-04
   1425 | -7.545158e-03 |  0.9979 |       0 |     0.5907 |  2.30e-04
   1450 | -7.544673e-03 |  0.9979 |       0 |     0.5907 |  2.14e-04
   1475 | -7.543975e-03 |  0.9979 |       0 |     0.5908 |  1.99e-04
   1500 | -7.544983e-03 |  0.9979 |       0 |     0.5909 |  1.84e-04
   1525 | -7.544894e-03 |  0.9979 |       0 |     0.5909 |  1.69e-04
   1550 | -7.545136e-03 |  0.9979 |       0 |     0.5910 |  1.55e-04
   1575 | -7.545407e-03 |  0.9979 |       0 |     0.5910 |  1.42e-04
   1600 | -7.545480e-03 |  0.9979 |       0 |     0.5911 |  1.29e-04
   1625 | -7.545482e-03 |  0.9979 |       0 |     0.5911 |  1.16e-04
   1650 | -7.545523e-03 |  0.9979 |       0 |     0.5911 |  1.05e-04
   1675 | -7.545720e-03 |  0.9979 |       0 |     0.5912 |  9.34e-05
   1700 | -7.545154e-03 |  0.9979 |       0 |     0.5912 |  8.29e-05
   1725 | -7.545082e-03 |  0.9979 |       0 |     0.5912 |  7.31e-05
   1750 | -7.545508e-03 |  0.9979 |       0 |     0.5912 |  6.40e-05
   1775 | -7.545161e-03 |  0.9979 |       0 |     0.5913 |  5.55e-05
   1800 | -7.545137e-03 |  0.9979 |       0 |     0.5913 |  4.77e-05
   1825 | -7.544525e-03 |  0.9979 |       0 |     0.5913 |  4.06e-05
   1850 | -7.544795e-03 |  0.9979 |       0 |     0.5913 |  3.42e-05
   1875 | -7.545528e-03 |  0.9979 |       0 |     0.5913 |  2.86e-05
   1900 | -7.544894e-03 |  0.9979 |       0 |     0.5913 |  2.37e-05
   1925 | -7.544534e-03 |  0.9979 |       0 |     0.5913 |  1.95e-05
   1950 | -7.544987e-03 |  0.9979 |       0 |     0.5913 |  1.61e-05
   1975 | -7.544817e-03 |  0.9979 |       0 |     0.5913 |  1.34e-05
   2000 | -7.544600e-03 |  0.9979 |       0 |     0.5913 |  1.15e-05

  ======================================================================
  ✅ BONE (barrier_coef=100.0) COMPLETE
  Best loss: -7.546108e-03 (epoch 624)
  Tip: 0.5822 mm (expected: 0.6990 mm)  Err: 16.71%
  n_inverted: final=0, max_during_training=0
  Training time: 74.7s (1.2min)
  ======================================================================

