╔══════════════════════════════════════════════════════════════╗
║  DPC-GNN — EBC (barrier) ablation                           ║
║  barrier_coef = 0.000                                       ║
╚══════════════════════════════════════════════════════════════╝

======================================================================
  TISSUE: BONE (BARRIER ABLATION, k_E=0.0) | E=10000000 Pa | ν=0.3
  Mesh: 15x4x4 | Device: cuda | Epochs: 2000
  Expected tip δ: 0.6990 mm | Scale: 6.99e-04
======================================================================
  Nodes: 400 | Tets: 1200 | Edges: 4910
  Params: 161,731

     Ep |         Loss |   J_min |   n_inv |  u_tip(mm) |        lr
  ------------------------------------------------------------------------------
      1 | -7.452296e-03 |  1.0000 |       0 |    -0.0006 |  2.00e-05
      2 | -7.451794e-03 |  1.0000 |       0 |    -0.0004 |  4.00e-05
      3 | -7.452581e-03 |  1.0000 |       0 |    -0.0000 |  6.00e-05
      4 | -7.454242e-03 |  0.9999 |       0 |     0.0005 |  8.00e-05
      5 | -7.456200e-03 |  0.9999 |       0 |     0.0013 |  1.00e-04
     25 | -7.467905e-03 |  0.9997 |       0 |     0.0239 |  5.00e-04
     50 | -7.486032e-03 |  0.9987 |       0 |     0.1404 |  1.00e-03
     75 | -7.498415e-03 |  0.9985 |       0 |     0.2185 |  1.00e-03
    100 | -7.512890e-03 |  0.9984 |       0 |     0.3272 |  9.98e-04
    125 | -7.527104e-03 |  0.9982 |       0 |     0.3824 |  9.97e-04
    150 | -7.522948e-03 |  0.9983 |       0 |     0.4588 |  9.94e-04
    175 | -7.536333e-03 |  0.9981 |       0 |     0.4923 |  9.90e-04
    200 | -7.536763e-03 |  0.9981 |       0 |     0.4783 |  9.86e-04
    225 | -7.538095e-03 |  0.9982 |       0 |     0.5261 |  9.81e-04
    250 | -7.539934e-03 |  0.9981 |       0 |     0.5474 |  9.76e-04
    275 | -7.540673e-03 |  0.9981 |       0 |     0.5585 |  9.69e-04
    300 | -7.540842e-03 |  0.9982 |       0 |     0.5418 |  9.62e-04
    325 | -7.541632e-03 |  0.9980 |       0 |     0.5632 |  9.55e-04
    350 | -7.537385e-03 |  0.9982 |       0 |     0.5622 |  9.46e-04
    375 | -7.542159e-03 |  0.9980 |       0 |     0.5672 |  9.37e-04
    400 | -7.541414e-03 |  0.9980 |       0 |     0.5652 |  9.27e-04
    425 | -7.543050e-03 |  0.9981 |       0 |     0.5654 |  9.17e-04
