╔══════════════════════════════════════════════════════════════╗
║  DPC-GNN — EBC (barrier) ablation                           ║
║  barrier_coef = 0.000                                       ║
╚══════════════════════════════════════════════════════════════╝

======================================================================
  TISSUE: BONE (BARRIER ABLATION, k_E=0.0) | E=10000000 Pa | ν=0.3
  Mesh: 15x4x4 | Device: cuda | Epochs: 2000
  Expected tip δ: 0.6990 mm | Scale: 6.99e-04
======================================================================
  Nodes: 400 | Tets: 1200 | Edges: 4910
  Params: 161,731

     Ep |         Loss |   J_min |   n_inv |  u_tip(mm) |        lr
  ------------------------------------------------------------------------------
      1 | -7.449929e-03 |  0.9996 |       0 |    -0.0004 |  2.00e-05
      2 | -7.450542e-03 |  0.9996 |       0 |    -0.0003 |  4.00e-05
      3 | -7.451349e-03 |  0.9997 |       0 |     0.0001 |  6.00e-05
      4 | -7.451850e-03 |  0.9998 |       0 |     0.0007 |  8.00e-05
      5 | -7.454209e-03 |  1.0000 |       0 |     0.0014 |  1.00e-04
     25 | -7.458158e-03 |  0.9996 |       0 |     0.0209 |  5.00e-04
     50 | -7.477968e-03 |  0.9987 |       0 |     0.1199 |  1.00e-03
     75 | -7.496420e-03 |  0.9983 |       0 |     0.2121 |  1.00e-03
    100 | -7.511629e-03 |  0.9983 |       0 |     0.2916 |  9.98e-04
    125 | -7.491800e-03 |  0.9986 |       0 |     0.2907 |  9.97e-04
    150 | -7.528004e-03 |  0.9983 |       0 |     0.3981 |  9.94e-04
    175 | -7.485860e-03 |  0.9981 |       0 |     0.4753 |  9.90e-04
    200 | -7.531383e-03 |  0.9982 |       0 |     0.4408 |  9.86e-04
    225 | -7.537312e-03 |  0.9982 |       0 |     0.4936 |  9.81e-04
    250 | -7.539155e-03 |  0.9980 |       0 |     0.5285 |  9.76e-04
    275 | -7.535507e-03 |  0.9981 |       0 |     0.5437 |  9.69e-04
    300 | -7.538690e-03 |  0.9982 |       0 |     0.5312 |  9.62e-04
    325 | -7.542263e-03 |  0.9980 |       0 |     0.5591 |  9.55e-04
    350 | -7.542747e-03 |  0.9980 |       0 |     0.5670 |  9.46e-04
    375 | -7.542909e-03 |  0.9981 |       0 |     0.5458 |  9.37e-04
    400 | -7.543005e-03 |  0.9980 |       0 |     0.5743 |  9.27e-04
    425 | -7.541911e-03 |  0.9980 |       0 |     0.5751 |  9.17e-04
    450 | -7.543684e-03 |  0.9980 |       0 |     0.5727 |  9.05e-04
    475 | -7.544505e-03 |  0.9981 |       0 |     0.5630 |  8.94e-04
    500 | -7.542360e-03 |  0.9980 |       0 |     0.5789 |  8.81e-04
    525 | -7.540792e-03 |  0.9980 |       0 |     0.5775 |  8.68e-04
    550 | -7.544044e-03 |  0.9980 |       0 |     0.5771 |  8.55e-04
    575 | -7.543336e-03 |  0.9980 |       0 |     0.5802 |  8.41e-04
    600 | -7.545115e-03 |  0.9980 |       0 |     0.5777 |  8.26e-04
    625 | -7.544448e-03 |  0.9980 |       0 |     0.5822 |  8.11e-04
    650 | -7.544546e-03 |  0.9980 |       0 |     0.5728 |  7.96e-04
    675 | -7.544801e-03 |  0.9980 |       0 |     0.5826 |  7.80e-04
    700 | -7.545436e-03 |  0.9980 |       0 |     0.5845 |  7.64e-04
    725 | -7.544137e-03 |  0.9981 |       0 |     0.5784 |  7.47e-04
    750 | -7.545377e-03 |  0.9980 |       0 |     0.5854 |  7.30e-04
    775 | -7.545198e-03 |  0.9980 |       0 |     0.5847 |  7.12e-04
    800 | -7.544360e-03 |  0.9980 |       0 |     0.5862 |  6.94e-04
    825 | -7.544530e-03 |  0.9981 |       0 |     0.5751 |  6.76e-04
    850 | -7.544584e-03 |  0.9980 |       0 |     0.5839 |  6.58e-04
    875 | -7.545103e-03 |  0.9980 |       0 |     0.5868 |  6.39e-04
    900 | -7.545472e-03 |  0.9980 |       0 |     0.5871 |  6.21e-04
    925 | -7.545428e-03 |  0.9980 |       0 |     0.5874 |  6.02e-04
    950 | -7.545182e-03 |  0.9980 |       0 |     0.5876 |  5.82e-04
    975 | -7.544921e-03 |  0.9980 |       0 |     0.5879 |  5.63e-04
   1000 | -7.544688e-03 |  0.9980 |       0 |     0.5881 |  5.44e-04
   1025 | -7.544876e-03 |  0.9980 |       0 |     0.5883 |  5.24e-04
   1050 | -7.545000e-03 |  0.9980 |       0 |     0.5885 |  5.05e-04
   1075 | -7.544775e-03 |  0.9980 |       0 |     0.5887 |  4.86e-04
   1100 | -7.544839e-03 |  0.9980 |       0 |     0.5889 |  4.66e-04
   1125 | -7.544141e-03 |  0.9980 |       0 |     0.5891 |  4.47e-04
   1150 | -7.544413e-03 |  0.9980 |       0 |     0.5893 |  4.28e-04
   1175 | -7.545412e-03 |  0.9980 |       0 |     0.5895 |  4.08e-04
   1200 | -7.545439e-03 |  0.9980 |       0 |     0.5897 |  3.89e-04
   1225 | -7.545141e-03 |  0.9980 |       0 |     0.5899 |  3.71e-04
   1250 | -7.545112e-03 |  0.9980 |       0 |     0.5901 |  3.52e-04
   1275 | -7.545504e-03 |  0.9980 |       0 |     0.5903 |  3.34e-04
   1300 | -7.545045e-03 |  0.9980 |       0 |     0.5904 |  3.16e-04
   1325 | -7.544969e-03 |  0.9980 |       0 |     0.5906 |  2.98e-04
   1350 | -7.545066e-03 |  0.9980 |       0 |     0.5907 |  2.80e-04
   1375 | -7.545175e-03 |  0.9980 |       0 |     0.5909 |  2.63e-04
   1400 | -7.544987e-03 |  0.9980 |       0 |     0.5910 |  2.46e-04
   1425 | -7.544652e-03 |  0.9980 |       0 |     0.5911 |  2.30e-04
   1450 | -7.545133e-03 |  0.9980 |       0 |     0.5912 |  2.14e-04
   1475 | -7.545233e-03 |  0.9980 |       0 |     0.5913 |  1.99e-04
   1500 | -7.545376e-03 |  0.9980 |       0 |     0.5914 |  1.84e-04
   1525 | -7.545270e-03 |  0.9980 |       0 |     0.5915 |  1.69e-04
   1550 | -7.544667e-03 |  0.9980 |       0 |     0.5915 |  1.55e-04
   1575 | -7.545002e-03 |  0.9980 |       0 |     0.5916 |  1.42e-04
   1600 | -7.545220e-03 |  0.9980 |       0 |     0.5917 |  1.29e-04
   1625 | -7.545162e-03 |  0.9980 |       0 |     0.5917 |  1.16e-04
   1650 | -7.545236e-03 |  0.9980 |       0 |     0.5917 |  1.05e-04
   1675 | -7.545560e-03 |  0.9980 |       0 |     0.5918 |  9.34e-05
   1700 | -7.545375e-03 |  0.9980 |       0 |     0.5918 |  8.29e-05
   1725 | -7.545288e-03 |  0.9980 |       0 |     0.5918 |  7.31e-05
   1750 | -7.545275e-03 |  0.9980 |       0 |     0.5919 |  6.40e-05
   1775 | -7.544769e-03 |  0.9980 |       0 |     0.5919 |  5.55e-05
   1800 | -7.545247e-03 |  0.9980 |       0 |     0.5919 |  4.77e-05
   1825 | -7.545544e-03 |  0.9980 |       0 |     0.5919 |  4.06e-05
   1850 | -7.545235e-03 |  0.9980 |       0 |     0.5919 |  3.42e-05
   1875 | -7.544931e-03 |  0.9980 |       0 |     0.5920 |  2.86e-05
   1900 | -7.545772e-03 |  0.9980 |       0 |     0.5920 |  2.37e-05
   1925 | -7.545174e-03 |  0.9980 |       0 |     0.5920 |  1.95e-05
   1950 | -7.545505e-03 |  0.9980 |       0 |     0.5920 |  1.61e-05
   1975 | -7.545419e-03 |  0.9980 |       0 |     0.5920 |  1.34e-05
   2000 | -7.545459e-03 |  0.9980 |       0 |     0.5920 |  1.15e-05

  ======================================================================
  ✅ BONE (barrier_coef=0.0) COMPLETE
  Best loss: -7.546152e-03 (epoch 776)
  Tip: 0.5851 mm (expected: 0.6990 mm)  Err: 16.29%
  n_inverted: final=0, max_during_training=0
  Training time: 80.8s (1.3min)
  ======================================================================

