╔══════════════════════════════════════════════════════════════╗
║  DPC-GNN — EBC (barrier) ablation                           ║
║  barrier_coef = 0.000                                       ║
╚══════════════════════════════════════════════════════════════╝

======================================================================
  TISSUE: CARTILAGE (BARRIER ABLATION, k_E=0.0) | E=500000 Pa | ν=0.3
  Mesh: 15x4x4 | Device: cuda | Epochs: 3000
  Expected tip δ: 8.0932 mm | Scale: 8.09e-03
======================================================================
  Nodes: 400 | Tets: 1200 | Edges: 4910
  Params: 161,731

     Ep |         Loss |   J_min |   n_inv |  u_tip(mm) |        lr
   1675 | -4.931077e-03 |  0.9773 |       0 |     6.9363 |  4.40e-04
   1700 | -4.931123e-03 |  0.9773 |       0 |     6.9365 |  4.28e-04
   1725 | -4.931100e-03 |  0.9773 |       0 |     6.9367 |  4.15e-04
   1750 | -4.931134e-03 |  0.9773 |       0 |     6.9368 |  4.02e-04
   1775 | -4.931157e-03 |  0.9773 |       0 |     6.9370 |  3.89e-04
   1800 | -4.931140e-03 |  0.9773 |       0 |     6.9372 |  3.77e-04
   1825 | -4.931158e-03 |  0.9773 |       0 |     6.9373 |  3.64e-04
   1850 | -4.931176e-03 |  0.9773 |       0 |     6.9374 |  3.52e-04
   1875 | -4.931152e-03 |  0.9773 |       0 |     6.9376 |  3.40e-04
   1900 | -4.931162e-03 |  0.9773 |       0 |     6.9377 |  3.28e-04
   1925 | -4.931156e-03 |  0.9773 |       0 |     6.9378 |  3.16e-04
   1950 | -4.931175e-03 |  0.9773 |       0 |     6.9379 |  3.04e-04
   1975 | -4.931170e-03 |  0.9773 |       0 |     6.9380 |  2.92e-04
   2000 | -4.931184e-03 |  0.9773 |       0 |     6.9381 |  2.80e-04
   2025 | -4.931203e-03 |  0.9773 |       0 |     6.9382 |  2.69e-04
   2050 | -4.931235e-03 |  0.9773 |       0 |     6.9383 |  2.57e-04
   2075 | -4.931212e-03 |  0.9773 |       0 |     6.9384 |  2.46e-04
   2100 | -4.931262e-03 |  0.9773 |       0 |     6.9385 |  2.35e-04
   2125 | -4.931224e-03 |  0.9773 |       0 |     6.9386 |  2.25e-04
   2150 | -4.931240e-03 |  0.9773 |       0 |     6.9386 |  2.14e-04
   2175 | -4.931236e-03 |  0.9773 |       0 |     6.9387 |  2.04e-04
   2200 | -4.931225e-03 |  0.9773 |       0 |     6.9388 |  1.93e-04
   2225 | -4.931221e-03 |  0.9773 |       0 |     6.9388 |  1.84e-04
   2250 | -4.931218e-03 |  0.9773 |       0 |     6.9389 |  1.74e-04
   2275 | -4.931267e-03 |  0.9773 |       0 |     6.9390 |  1.64e-04
   2300 | -4.931264e-03 |  0.9773 |       0 |     6.9390 |  1.55e-04
   2325 | -4.931252e-03 |  0.9773 |       0 |     6.9391 |  1.46e-04
   2350 | -4.931255e-03 |  0.9773 |       0 |     6.9391 |  1.37e-04
   2375 | -4.931284e-03 |  0.9773 |       0 |     6.9392 |  1.29e-04
   2400 | -4.931270e-03 |  0.9773 |       0 |     6.9392 |  1.20e-04
   2425 | -4.931270e-03 |  0.9773 |       0 |     6.9393 |  1.12e-04
   2450 | -4.931244e-03 |  0.9773 |       0 |     6.9393 |  1.05e-04
   2475 | -4.931245e-03 |  0.9773 |       0 |     6.9393 |  9.71e-05
   2500 | -4.931248e-03 |  0.9773 |       0 |     6.9394 |  8.99e-05
   2525 | -4.931279e-03 |  0.9773 |       0 |     6.9394 |  8.29e-05
   2550 | -4.931247e-03 |  0.9773 |       0 |     6.9394 |  7.63e-05
   2575 | -4.931268e-03 |  0.9773 |       0 |     6.9395 |  7.00e-05
   2600 | -4.931239e-03 |  0.9772 |       0 |     6.9395 |  6.40e-05
