╔══════════════════════════════════════════════════════════════╗
║  DPC-GNN — EBC (barrier) ablation                           ║
║  barrier_coef = 0.000                                       ║
╚══════════════════════════════════════════════════════════════╝

======================================================================
  TISSUE: CARTILAGE (BARRIER ABLATION, k_E=0.0) | E=500000 Pa | ν=0.3
  Mesh: 15x4x4 | Device: cuda | Epochs: 3000
  Expected tip δ: 8.0932 mm | Scale: 8.09e-03
======================================================================
  Nodes: 400 | Tets: 1200 | Edges: 4910
  Params: 161,731

     Ep |         Loss |   J_min |   n_inv |  u_tip(mm) |        lr
  ------------------------------------------------------------------------------
      1 | -4.312351e-03 |  0.9998 |       0 |     0.0095 |  2.00e-05
      2 | -4.315328e-03 |  0.9998 |       0 |     0.0120 |  4.00e-05
      3 | -4.319771e-03 |  0.9998 |       0 |     0.0171 |  6.00e-05
      4 | -4.323298e-03 |  0.9994 |       0 |     0.0248 |  8.00e-05
      5 | -4.323625e-03 |  0.9983 |       0 |     0.0349 |  1.00e-04
     25 | -4.401804e-03 |  0.9939 |       0 |     0.4609 |  5.00e-04
     50 | -4.575871e-03 |  0.9861 |       0 |     1.8326 |  1.00e-03
     75 | -4.690687e-03 |  0.9845 |       0 |     3.2045 |  1.00e-03
    100 | -4.749440e-03 |  0.9815 |       0 |     3.5501 |  9.99e-04
    125 | -4.820999e-03 |  0.9803 |       0 |     5.0820 |  9.98e-04
    150 | -4.862751e-03 |  0.9808 |       0 |     5.6646 |  9.97e-04
    175 | -4.737125e-03 |  0.9781 |       0 |     4.9181 |  9.96e-04
    200 | -4.891890e-03 |  0.9781 |       0 |     6.1922 |  9.94e-04
    225 | -4.899629e-03 |  0.9760 |       0 |     6.7171 |  9.92e-04
    250 | -4.918365e-03 |  0.9780 |       0 |     6.7487 |  9.89e-04
    275 | -4.914562e-03 |  0.9772 |       0 |     6.6176 |  9.86e-04
    300 | -4.920946e-03 |  0.9776 |       0 |     6.8094 |  9.83e-04
    325 | -4.925156e-03 |  0.9778 |       0 |     6.7256 |  9.80e-04
    350 | -4.919987e-03 |  0.9784 |       0 |     6.7725 |  9.76e-04
    375 | -4.900738e-03 |  0.9780 |       0 |     6.2728 |  9.72e-04
    400 | -4.924741e-03 |  0.9779 |       0 |     6.8359 |  9.67e-04
    425 | -4.927462e-03 |  0.9774 |       0 |     6.8588 |  9.62e-04
    450 | -4.914902e-03 |  0.9778 |       0 |     6.5487 |  9.57e-04
    475 | -4.925060e-03 |  0.9770 |       0 |     6.8519 |  9.52e-04
    500 | -4.928326e-03 |  0.9775 |       0 |     6.8910 |  9.46e-04
    525 | -4.910534e-03 |  0.9784 |       0 |     6.5991 |  9.40e-04
    550 | -4.927162e-03 |  0.9772 |       0 |     6.8856 |  9.34e-04
    575 | -4.928144e-03 |  0.9775 |       0 |     6.8904 |  9.27e-04
    600 | -4.927338e-03 |  0.9784 |       0 |     6.8096 |  9.20e-04
    625 | -4.927944e-03 |  0.9775 |       0 |     6.8907 |  9.13e-04
    650 | -4.925595e-03 |  0.9771 |       0 |     6.8106 |  9.05e-04
    675 | -4.927786e-03 |  0.9769 |       0 |     6.8756 |  8.98e-04
    700 | -4.917684e-03 |  0.9777 |       0 |     6.8846 |  8.90e-04
    725 | -4.928401e-03 |  0.9774 |       0 |     6.8695 |  8.81e-04
    750 | -4.926587e-03 |  0.9775 |       0 |     6.9113 |  8.73e-04
    775 | -4.929845e-03 |  0.9774 |       0 |     6.8858 |  8.64e-04
    800 | -4.920864e-03 |  0.9786 |       0 |     6.8276 |  8.55e-04
    825 | -4.929717e-03 |  0.9774 |       0 |     6.8915 |  8.46e-04
    850 | -4.907295e-03 |  0.9781 |       0 |     6.7338 |  8.36e-04
    875 | -4.927895e-03 |  0.9778 |       0 |     6.9088 |  8.26e-04
    900 | -4.927318e-03 |  0.9763 |       0 |     6.9192 |  8.17e-04
    925 | -4.929285e-03 |  0.9767 |       0 |     6.9262 |  8.06e-04
    950 | -4.928971e-03 |  0.9769 |       0 |     6.9082 |  7.96e-04
    975 | -4.929907e-03 |  0.9771 |       0 |     6.9263 |  7.85e-04
   1000 | -4.928498e-03 |  0.9771 |       0 |     6.8930 |  7.75e-04
   1025 | -4.926999e-03 |  0.9767 |       0 |     6.9276 |  7.64e-04
   1050 | -4.927790e-03 |  0.9775 |       0 |     6.8992 |  7.52e-04
   1075 | -4.930713e-03 |  0.9773 |       0 |     6.9276 |  7.41e-04
   1100 | -4.930417e-03 |  0.9772 |       0 |     6.9266 |  7.30e-04
   1125 | -4.926748e-03 |  0.9767 |       0 |     6.9009 |  7.18e-04
   1150 | -4.929343e-03 |  0.9775 |       0 |     6.9192 |  7.06e-04
   1175 | -4.930629e-03 |  0.9772 |       0 |     6.9364 |  6.94e-04
   1200 | -4.928494e-03 |  0.9777 |       0 |     6.8864 |  6.82e-04
   1225 | -4.930830e-03 |  0.9770 |       0 |     6.9312 |  6.70e-04
   1250 | -4.930348e-03 |  0.9770 |       0 |     6.9283 |  6.58e-04
   1275 | -4.930634e-03 |  0.9770 |       0 |     6.9343 |  6.46e-04
   1300 | -4.930121e-03 |  0.9770 |       0 |     6.9197 |  6.33e-04
   1325 | -4.930728e-03 |  0.9772 |       0 |     6.9368 |  6.21e-04
   1350 | -4.930397e-03 |  0.9771 |       0 |     6.9317 |  6.08e-04
   1375 | -4.930947e-03 |  0.9771 |       0 |     6.9374 |  5.95e-04
   1400 | -4.931008e-03 |  0.9771 |       0 |     6.9379 |  5.82e-04
   1425 | -4.931031e-03 |  0.9771 |       0 |     6.9384 |  5.70e-04
   1450 | -4.931018e-03 |  0.9771 |       0 |     6.9385 |  5.57e-04
   1475 | -4.931018e-03 |  0.9771 |       0 |     6.9389 |  5.44e-04
   1500 | -4.931019e-03 |  0.9771 |       0 |     6.9392 |  5.31e-04
   1525 | -4.931003e-03 |  0.9771 |       0 |     6.9394 |  5.18e-04
   1550 | -4.931039e-03 |  0.9771 |       0 |     6.9396 |  5.05e-04
   1575 | -4.931070e-03 |  0.9771 |       0 |     6.9398 |  4.92e-04
   1600 | -4.931043e-03 |  0.9771 |       0 |     6.9400 |  4.79e-04
   1625 | -4.931090e-03 |  0.9771 |       0 |     6.9402 |  4.66e-04
   1650 | -4.931049e-03 |  0.9771 |       0 |     6.9404 |  4.53e-04
   1675 | -4.931100e-03 |  0.9771 |       0 |     6.9405 |  4.40e-04
   1700 | -4.931123e-03 |  0.9771 |       0 |     6.9407 |  4.28e-04
   1725 | -4.931118e-03 |  0.9771 |       0 |     6.9409 |  4.15e-04
   1750 | -4.931093e-03 |  0.9770 |       0 |     6.9410 |  4.02e-04
   1775 | -4.931107e-03 |  0.9770 |       0 |     6.9412 |  3.89e-04
   1800 | -4.931120e-03 |  0.9770 |       0 |     6.9413 |  3.77e-04
   1825 | -4.931127e-03 |  0.9770 |       0 |     6.9415 |  3.64e-04
   1850 | -4.931143e-03 |  0.9770 |       0 |     6.9416 |  3.52e-04
