╔══════════════════════════════════════════════════════════════╗
║  DPC-GNN — EBC (barrier) ablation                           ║
║  barrier_coef = 0.000                                       ║
╚══════════════════════════════════════════════════════════════╝

======================================================================
  TISSUE: CARTILAGE (BARRIER ABLATION, k_E=0.0) | E=500000 Pa | ν=0.3
  Mesh: 15x4x4 | Device: cuda | Epochs: 3000
  Expected tip δ: 8.0932 mm | Scale: 8.09e-03
======================================================================
  Nodes: 400 | Tets: 1200 | Edges: 4910
  Params: 161,731

     Ep |         Loss |   J_min |   n_inv |  u_tip(mm) |        lr
  ------------------------------------------------------------------------------
      1 | -4.290186e-03 |  0.9952 |       0 |    -0.0037 |  2.00e-05
      2 | -4.296102e-03 |  0.9957 |       0 |    -0.0016 |  4.00e-05
      3 | -4.305804e-03 |  0.9966 |       0 |     0.0026 |  6.00e-05
      4 | -4.315903e-03 |  0.9980 |       0 |     0.0090 |  8.00e-05
      5 | -4.321587e-03 |  0.9997 |       0 |     0.0178 |  1.00e-04
     25 | -4.369538e-03 |  0.9944 |       0 |     0.3026 |  5.00e-04
     50 | -4.500628e-03 |  0.9843 |       0 |     1.6776 |  1.00e-03
     75 | -4.656219e-03 |  0.9807 |       0 |     3.0162 |  1.00e-03
    100 | -4.693443e-03 |  0.9802 |       0 |     3.8446 |  9.99e-04
    125 | -4.396310e-03 |  0.9778 |       0 |     5.0279 |  9.98e-04
    150 | -4.848209e-03 |  0.9786 |       0 |     5.4581 |  9.97e-04
    175 | -4.852546e-03 |  0.9787 |       0 |     6.2069 |  9.96e-04
    200 | -4.875776e-03 |  0.9790 |       0 |     6.0864 |  9.94e-04
    225 | -4.916663e-03 |  0.9779 |       0 |     6.5979 |  9.92e-04
    250 | -4.878548e-03 |  0.9806 |       0 |     5.7889 |  9.89e-04
    275 | -4.918040e-03 |  0.9773 |       0 |     6.7399 |  9.86e-04
    300 | -4.922940e-03 |  0.9774 |       0 |     6.8267 |  9.83e-04
    325 | -4.922060e-03 |  0.9780 |       0 |     6.4636 |  9.80e-04
    350 | -4.917749e-03 |  0.9770 |       0 |     6.8348 |  9.76e-04
    375 | -4.922999e-03 |  0.9777 |       0 |     6.8157 |  9.72e-04
    400 | -4.917964e-03 |  0.9781 |       0 |     6.7557 |  9.67e-04
    425 | -4.924545e-03 |  0.9776 |       0 |     6.8021 |  9.62e-04
    450 | -4.911852e-03 |  0.9784 |       0 |     6.5928 |  9.57e-04
    475 | -4.922691e-03 |  0.9776 |       0 |     6.8668 |  9.52e-04
    500 | -4.929068e-03 |  0.9773 |       0 |     6.8563 |  9.46e-04
    525 | -4.923279e-03 |  0.9781 |       0 |     6.6630 |  9.40e-04
    550 | -4.925265e-03 |  0.9775 |       0 |     6.8875 |  9.34e-04
    575 | -4.911008e-03 |  0.9778 |       0 |     6.8388 |  9.27e-04
    600 | -4.921607e-03 |  0.9772 |       0 |     6.8445 |  9.20e-04
    625 | -4.923612e-03 |  0.9780 |       0 |     6.6727 |  9.13e-04
    650 | -4.922662e-03 |  0.9770 |       0 |     6.8914 |  9.05e-04
    675 | -4.927352e-03 |  0.9769 |       0 |     6.8617 |  8.98e-04
    700 | -4.927914e-03 |  0.9779 |       0 |     6.5622 |  8.90e-04
    725 | -4.929992e-03 |  0.9772 |       0 |     6.8819 |  8.81e-04
    750 | -4.928845e-03 |  0.9775 |       0 |     6.9082 |  8.73e-04
    775 | -4.930164e-03 |  0.9772 |       0 |     6.9214 |  8.64e-04
    800 | -4.924605e-03 |  0.9785 |       0 |     6.4834 |  8.55e-04
