╔══════════════════════════════════════════════════════════════╗
║  DPC-GNN — EBC (barrier) ablation                           ║
║  barrier_coef = 100.000                                       ║
╚══════════════════════════════════════════════════════════════╝

======================================================================
  TISSUE: CARTILAGE (BARRIER ABLATION, k_E=100.0) | E=500000 Pa | ν=0.3
  Mesh: 15x4x4 | Device: cuda | Epochs: 3000
  Expected tip δ: 8.0932 mm | Scale: 8.09e-03
======================================================================
  Nodes: 400 | Tets: 1200 | Edges: 4910
  Params: 161,731

     Ep |         Loss |   J_min |   n_inv |  u_tip(mm) |        lr
  ------------------------------------------------------------------------------
      1 | -4.316312e-03 |  0.9996 |       0 |     0.0067 |  2.00e-05
      2 | -4.317923e-03 |  0.9997 |       0 |     0.0096 |  4.00e-05
      3 | -4.320690e-03 |  0.9997 |       0 |     0.0155 |  6.00e-05
      4 | -4.323128e-03 |  0.9995 |       0 |     0.0241 |  8.00e-05
      5 | -4.324804e-03 |  0.9997 |       0 |     0.0351 |  1.00e-04
     25 | -4.397574e-03 |  0.9949 |       0 |     0.4625 |  5.00e-04
     50 | -4.466263e-03 |  0.9846 |       0 |     1.8056 |  1.00e-03
     75 | -4.668616e-03 |  0.9793 |       0 |     3.0982 |  1.00e-03
    100 | -4.743465e-03 |  0.9793 |       0 |     3.6390 |  9.99e-04
    125 | -4.766709e-03 |  0.9789 |       0 |     4.8155 |  9.98e-04
    150 | -4.834098e-03 |  0.9799 |       0 |     5.4703 |  9.97e-04
    175 | -4.887308e-03 |  0.9799 |       0 |     6.0645 |  9.96e-04
    200 | -4.889988e-03 |  0.9791 |       0 |     5.5315 |  9.94e-04
    225 | -4.913433e-03 |  0.9786 |       0 |     6.5257 |  9.92e-04
    250 | -4.910377e-03 |  0.9788 |       0 |     6.7603 |  9.89e-04
    275 | -4.904504e-03 |  0.9778 |       0 |     6.5551 |  9.86e-04
    300 | -4.923226e-03 |  0.9777 |       0 |     6.8057 |  9.83e-04
    325 | -4.921329e-03 |  0.9767 |       0 |     6.8448 |  9.80e-04
    350 | -4.908851e-03 |  0.9760 |       0 |     6.5572 |  9.76e-04
    375 | -4.925875e-03 |  0.9774 |       0 |     6.8412 |  9.72e-04
    400 | -4.904311e-03 |  0.9781 |       0 |     6.7889 |  9.67e-04
    425 | -4.919216e-03 |  0.9772 |       0 |     6.8039 |  9.62e-04
    450 | -4.912619e-03 |  0.9787 |       0 |     6.5492 |  9.57e-04
    475 | -4.926912e-03 |  0.9770 |       0 |     6.8752 |  9.52e-04
    500 | -4.927493e-03 |  0.9775 |       0 |     6.7350 |  9.46e-04
    525 | -4.929539e-03 |  0.9774 |       0 |     6.8265 |  9.40e-04
    550 | -4.927708e-03 |  0.9773 |       0 |     6.8121 |  9.34e-04
    575 | -4.915206e-03 |  0.9777 |       0 |     6.7782 |  9.27e-04
    600 | -4.913800e-03 |  0.9776 |       0 |     6.8466 |  9.20e-04
    625 | -4.925755e-03 |  0.9772 |       0 |     6.8400 |  9.13e-04
    650 | -4.923788e-03 |  0.9778 |       0 |     6.7969 |  9.05e-04
    675 | -4.924539e-03 |  0.9779 |       0 |     6.7997 |  8.98e-04
    700 | -4.929671e-03 |  0.9771 |       0 |     6.9054 |  8.90e-04
    725 | -4.923350e-03 |  0.9782 |       0 |     6.7987 |  8.81e-04
