╔══════════════════════════════════════════════════════════════╗
║  DPC-GNN — EBC (barrier) ablation                           ║
║  barrier_coef = 100.000                                       ║
╚══════════════════════════════════════════════════════════════╝

======================================================================
  TISSUE: BONE (BARRIER ABLATION, k_E=100.0) | E=10000000 Pa | ν=0.3
  Mesh: 15x4x4 | Device: cuda | Epochs: 2000
  Expected tip δ: 0.6990 mm | Scale: 6.99e-04
======================================================================
  Nodes: 400 | Tets: 1200 | Edges: 4910
  Params: 161,731

     Ep |         Loss |   J_min |   n_inv |  u_tip(mm) |        lr
  ------------------------------------------------------------------------------
      1 | -7.455334e-03 |  1.0000 |       0 |     0.0007 |  2.00e-05
      2 | -7.455397e-03 |  1.0000 |       0 |     0.0009 |  4.00e-05
      3 | -7.455837e-03 |  1.0000 |       0 |     0.0012 |  6.00e-05
      4 | -7.454937e-03 |  0.9999 |       0 |     0.0017 |  8.00e-05
      5 | -7.454733e-03 |  0.9999 |       0 |     0.0024 |  1.00e-04
     25 | -7.463578e-03 |  0.9997 |       0 |     0.0243 |  5.00e-04
     50 | -7.482997e-03 |  0.9986 |       0 |     0.1303 |  1.00e-03
     75 | -7.497766e-03 |  0.9983 |       0 |     0.2181 |  1.00e-03
    100 | -7.512558e-03 |  0.9984 |       0 |     0.2942 |  9.98e-04
    125 | -7.502375e-03 |  0.9981 |       0 |     0.3930 |  9.97e-04
    150 | -7.530064e-03 |  0.9981 |       0 |     0.4306 |  9.94e-04
    175 | -7.527146e-03 |  0.9980 |       0 |     0.4809 |  9.90e-04
    200 | -7.531496e-03 |  0.9980 |       0 |     0.5091 |  9.86e-04
    225 | -7.529270e-03 |  0.9979 |       0 |     0.5244 |  9.81e-04
    250 | -7.536022e-03 |  0.9979 |       0 |     0.5294 |  9.76e-04
    275 | -7.538634e-03 |  0.9980 |       0 |     0.5452 |  9.69e-04
    300 | -7.538578e-03 |  0.9980 |       0 |     0.5438 |  9.62e-04
    325 | -7.539807e-03 |  0.9981 |       0 |     0.5549 |  9.55e-04
