╔══════════════════════════════════════════════════════════════╗
║  DPC-GNN — EBC (barrier) ablation                           ║
║  barrier_coef = 100.000                                       ║
╚══════════════════════════════════════════════════════════════╝

======================================================================
  TISSUE: BONE (BARRIER ABLATION, k_E=100.0) | E=10000000 Pa | ν=0.3
  Mesh: 15x4x4 | Device: cuda | Epochs: 2000
  Expected tip δ: 0.6990 mm | Scale: 6.99e-04
======================================================================
  Nodes: 400 | Tets: 1200 | Edges: 4910
  Params: 161,731

     Ep |         Loss |   J_min |   n_inv |  u_tip(mm) |        lr
    350 | -7.537427e-03 |  0.9980 |       0 |     0.5387 |  9.46e-04
    375 | -7.543094e-03 |  0.9981 |       0 |     0.5644 |  9.37e-04
    400 | -7.541561e-03 |  0.9981 |       0 |     0.5720 |  9.27e-04
    425 | -7.543461e-03 |  0.9981 |       0 |     0.5689 |  9.17e-04
    450 | -7.543562e-03 |  0.9980 |       0 |     0.5767 |  9.05e-04
    475 | -7.543428e-03 |  0.9981 |       0 |     0.5795 |  8.94e-04
    500 | -7.543675e-03 |  0.9982 |       0 |     0.5639 |  8.81e-04
    525 | -7.543187e-03 |  0.9980 |       0 |     0.5794 |  8.68e-04
    550 | -7.544144e-03 |  0.9980 |       0 |     0.5817 |  8.55e-04
    575 | -7.542549e-03 |  0.9980 |       0 |     0.5691 |  8.41e-04
    600 | -7.543153e-03 |  0.9980 |       0 |     0.5797 |  8.26e-04
    625 | -7.543940e-03 |  0.9980 |       0 |     0.5831 |  8.11e-04
    650 | -7.540426e-03 |  0.9982 |       0 |     0.5570 |  7.96e-04
    675 | -7.544940e-03 |  0.9981 |       0 |     0.5791 |  7.80e-04
    700 | -7.544370e-03 |  0.9980 |       0 |     0.5834 |  7.64e-04
    725 | -7.544020e-03 |  0.9980 |       0 |     0.5854 |  7.47e-04
    750 | -7.544800e-03 |  0.9980 |       0 |     0.5859 |  7.30e-04
    775 | -7.544774e-03 |  0.9980 |       0 |     0.5864 |  7.12e-04
    800 | -7.541996e-03 |  0.9981 |       0 |     0.5644 |  6.94e-04
    825 | -7.544864e-03 |  0.9981 |       0 |     0.5817 |  6.76e-04
    850 | -7.544988e-03 |  0.9980 |       0 |     0.5861 |  6.58e-04
    875 | -7.545085e-03 |  0.9980 |       0 |     0.5873 |  6.39e-04
    900 | -7.544617e-03 |  0.9980 |       0 |     0.5877 |  6.21e-04
    925 | -7.544920e-03 |  0.9980 |       0 |     0.5880 |  6.02e-04
    950 | -7.544904e-03 |  0.9980 |       0 |     0.5883 |  5.82e-04
    975 | -7.544561e-03 |  0.9980 |       0 |     0.5885 |  5.63e-04
   1000 | -7.545243e-03 |  0.9980 |       0 |     0.5887 |  5.44e-04
   1025 | -7.545057e-03 |  0.9980 |       0 |     0.5889 |  5.24e-04
   1050 | -7.544690e-03 |  0.9980 |       0 |     0.5892 |  5.05e-04
   1075 | -7.545061e-03 |  0.9980 |       0 |     0.5893 |  4.86e-04
   1100 | -7.544994e-03 |  0.9980 |       0 |     0.5895 |  4.66e-04
   1125 | -7.544921e-03 |  0.9980 |       0 |     0.5897 |  4.47e-04
   1150 | -7.545189e-03 |  0.9980 |       0 |     0.5898 |  4.28e-04
   1175 | -7.544524e-03 |  0.9980 |       0 |     0.5900 |  4.08e-04
   1200 | -7.544906e-03 |  0.9980 |       0 |     0.5901 |  3.89e-04
   1225 | -7.545475e-03 |  0.9980 |       0 |     0.5902 |  3.71e-04
   1250 | -7.544873e-03 |  0.9980 |       0 |     0.5903 |  3.52e-04
   1275 | -7.545157e-03 |  0.9980 |       0 |     0.5905 |  3.34e-04
   1300 | -7.545160e-03 |  0.9980 |       0 |     0.5906 |  3.16e-04
   1325 | -7.544829e-03 |  0.9980 |       0 |     0.5907 |  2.98e-04
   1350 | -7.544894e-03 |  0.9980 |       0 |     0.5908 |  2.80e-04
   1375 | -7.545011e-03 |  0.9980 |       0 |     0.5908 |  2.63e-04
   1400 | -7.545234e-03 |  0.9980 |       0 |     0.5909 |  2.46e-04
   1425 | -7.544983e-03 |  0.9980 |       0 |     0.5910 |  2.30e-04
   1450 | -7.544751e-03 |  0.9980 |       0 |     0.5910 |  2.14e-04
   1475 | -7.545236e-03 |  0.9980 |       0 |     0.5911 |  1.99e-04
   1500 | -7.545339e-03 |  0.9980 |       0 |     0.5912 |  1.84e-04
   1525 | -7.544992e-03 |  0.9980 |       0 |     0.5912 |  1.69e-04
   1550 | -7.545040e-03 |  0.9980 |       0 |     0.5913 |  1.55e-04
   1575 | -7.545590e-03 |  0.9980 |       0 |     0.5913 |  1.42e-04
   1600 | -7.544984e-03 |  0.9980 |       0 |     0.5914 |  1.29e-04
   1625 | -7.545158e-03 |  0.9980 |       0 |     0.5914 |  1.16e-04
   1650 | -7.544881e-03 |  0.9980 |       0 |     0.5914 |  1.05e-04
   1675 | -7.545229e-03 |  0.9980 |       0 |     0.5915 |  9.34e-05
   1700 | -7.545047e-03 |  0.9980 |       0 |     0.5915 |  8.29e-05
   1725 | -7.545170e-03 |  0.9980 |       0 |     0.5915 |  7.31e-05
   1750 | -7.544642e-03 |  0.9980 |       0 |     0.5915 |  6.40e-05
   1775 | -7.544884e-03 |  0.9980 |       0 |     0.5916 |  5.55e-05
   1800 | -7.545222e-03 |  0.9980 |       0 |     0.5916 |  4.77e-05
   1825 | -7.544939e-03 |  0.9980 |       0 |     0.5916 |  4.06e-05
   1850 | -7.544906e-03 |  0.9980 |       0 |     0.5916 |  3.42e-05
   1875 | -7.544960e-03 |  0.9980 |       0 |     0.5916 |  2.86e-05
   1900 | -7.545486e-03 |  0.9980 |       0 |     0.5916 |  2.37e-05
   1925 | -7.545399e-03 |  0.9980 |       0 |     0.5916 |  1.95e-05
   1950 | -7.545375e-03 |  0.9980 |       0 |     0.5916 |  1.61e-05
   1975 | -7.545186e-03 |  0.9980 |       0 |     0.5916 |  1.34e-05
   2000 | -7.545156e-03 |  0.9980 |       0 |     0.5916 |  1.15e-05

  ======================================================================
  ✅ BONE (barrier_coef=100.0) COMPLETE
  Best loss: -7.545978e-03 (epoch 1565)
  Tip: 0.5913 mm (expected: 0.6990 mm)  Err: 15.40%
  n_inverted: final=0, max_during_training=0
  Training time: 73.7s (1.2min)
  ======================================================================

