╔══════════════════════════════════════════════════════════════╗
║  DPC-GNN — EBC (barrier) ablation                           ║
║  barrier_coef = 100.000                                       ║
╚══════════════════════════════════════════════════════════════╝

======================================================================
  TISSUE: CARTILAGE (BARRIER ABLATION, k_E=100.0) | E=500000 Pa | ν=0.3
  Mesh: 15x4x4 | Device: cuda | Epochs: 3000
  Expected tip δ: 8.0932 mm | Scale: 8.09e-03
======================================================================
  Nodes: 400 | Tets: 1200 | Edges: 4910
  Params: 161,731

     Ep |         Loss |   J_min |   n_inv |  u_tip(mm) |        lr
  ------------------------------------------------------------------------------
      1 | -4.312909e-03 |  0.9997 |       0 |     0.0095 |  2.00e-05
      2 | -4.315237e-03 |  0.9997 |       0 |     0.0112 |  4.00e-05
      3 | -4.318797e-03 |  0.9998 |       0 |     0.0148 |  6.00e-05
      4 | -4.321797e-03 |  0.9994 |       0 |     0.0205 |  8.00e-05
      5 | -4.322271e-03 |  0.9984 |       0 |     0.0283 |  1.00e-04
     25 | -4.386488e-03 |  0.9950 |       0 |     0.3738 |  5.00e-04
     50 | -4.549101e-03 |  0.9820 |       0 |     1.8088 |  1.00e-03
     75 | -4.638400e-03 |  0.9822 |       0 |     2.6615 |  1.00e-03
    100 | -4.655106e-03 |  0.9861 |       0 |     3.1153 |  9.99e-04
    125 | -4.796903e-03 |  0.9814 |       0 |     4.7418 |  9.98e-04
    150 | -4.621102e-03 |  0.9838 |       0 |     2.9813 |  9.97e-04
    175 | -4.746171e-03 |  0.9794 |       0 |     3.4022 |  9.96e-04
    200 | -4.873372e-03 |  0.9803 |       0 |     5.6977 |  9.94e-04
    225 | -4.890134e-03 |  0.9783 |       0 |     6.3563 |  9.92e-04
    250 | -4.901517e-03 |  0.9776 |       0 |     6.4938 |  9.89e-04
    275 | -4.910336e-03 |  0.9777 |       0 |     6.6056 |  9.86e-04
    300 | -4.913325e-03 |  0.9774 |       0 |     6.7014 |  9.83e-04
    325 | -4.892759e-03 |  0.9795 |       0 |     5.9324 |  9.80e-04
    350 | -4.916511e-03 |  0.9781 |       0 |     6.6428 |  9.76e-04
    375 | -4.920354e-03 |  0.9773 |       0 |     6.7929 |  9.72e-04
    400 | -4.922356e-03 |  0.9773 |       0 |     6.8132 |  9.67e-04
    425 | -4.923784e-03 |  0.9772 |       0 |     6.8380 |  9.62e-04
    450 | -4.892897e-03 |  0.9797 |       0 |     6.2974 |  9.57e-04
    475 | -4.923840e-03 |  0.9779 |       0 |     6.7709 |  9.52e-04
    500 | -4.925670e-03 |  0.9772 |       0 |     6.8609 |  9.46e-04
    525 | -4.925454e-03 |  0.9773 |       0 |     6.8731 |  9.40e-04
    550 | -4.925528e-03 |  0.9782 |       0 |     6.6459 |  9.34e-04
    575 | -4.927418e-03 |  0.9772 |       0 |     6.8622 |  9.27e-04
    600 | -4.928013e-03 |  0.9772 |       0 |     6.8894 |  9.20e-04
    625 | -4.897865e-03 |  0.9780 |       0 |     6.7932 |  9.13e-04
    650 | -4.925812e-03 |  0.9773 |       0 |     6.8583 |  9.05e-04
    675 | -4.926820e-03 |  0.9774 |       0 |     6.9010 |  8.98e-04
    700 | -4.923579e-03 |  0.9782 |       0 |     6.7804 |  8.90e-04
    725 | -4.928835e-03 |  0.9772 |       0 |     6.8968 |  8.81e-04
    750 | -4.929350e-03 |  0.9773 |       0 |     6.9112 |  8.73e-04
    775 | -4.903013e-03 |  0.9767 |       0 |     6.8958 |  8.64e-04
    800 | -4.923083e-03 |  0.9781 |       0 |     6.8440 |  8.55e-04
    825 | -4.929142e-03 |  0.9774 |       0 |     6.9164 |  8.46e-04
    850 | -4.929558e-03 |  0.9773 |       0 |     6.9212 |  8.36e-04
    875 | -4.927729e-03 |  0.9775 |       0 |     6.8842 |  8.26e-04
    900 | -4.916690e-03 |  0.9779 |       0 |     6.8775 |  8.17e-04
    925 | -4.927420e-03 |  0.9771 |       0 |     6.9089 |  8.06e-04
    950 | -4.929759e-03 |  0.9773 |       0 |     6.9254 |  7.96e-04
    975 | -4.926511e-03 |  0.9773 |       0 |     6.8167 |  7.85e-04
   1000 | -4.929641e-03 |  0.9773 |       0 |     6.9142 |  7.75e-04
   1025 | -4.929598e-03 |  0.9771 |       0 |     6.9216 |  7.64e-04
   1050 | -4.926159e-03 |  0.9777 |       0 |     6.8688 |  7.52e-04
   1075 | -4.929914e-03 |  0.9774 |       0 |     6.9098 |  7.41e-04
   1100 | -4.930084e-03 |  0.9774 |       0 |     6.9273 |  7.30e-04
   1125 | -4.928668e-03 |  0.9773 |       0 |     6.8201 |  7.18e-04
   1150 | -4.929809e-03 |  0.9771 |       0 |     6.9180 |  7.06e-04
   1175 | -4.930388e-03 |  0.9773 |       0 |     6.9295 |  6.94e-04
   1200 | -4.930457e-03 |  0.9773 |       0 |     6.9318 |  6.82e-04
   1225 | -4.930355e-03 |  0.9773 |       0 |     6.9317 |  6.70e-04
   1250 | -4.927594e-03 |  0.9771 |       0 |     6.8911 |  6.58e-04
   1275 | -4.930381e-03 |  0.9773 |       0 |     6.9271 |  6.46e-04
   1300 | -4.930386e-03 |  0.9774 |       0 |     6.9329 |  6.33e-04
   1325 | -4.930529e-03 |  0.9773 |       0 |     6.9336 |  6.21e-04
   1350 | -4.930589e-03 |  0.9773 |       0 |     6.9346 |  6.08e-04
   1375 | -4.930588e-03 |  0.9773 |       0 |     6.9354 |  5.95e-04
   1400 | -4.930119e-03 |  0.9774 |       0 |     6.9308 |  5.82e-04
   1425 | -4.930665e-03 |  0.9773 |       0 |     6.9335 |  5.70e-04
   1450 | -4.930722e-03 |  0.9773 |       0 |     6.9362 |  5.57e-04
   1475 | -4.930706e-03 |  0.9773 |       0 |     6.9365 |  5.44e-04
   1500 | -4.930741e-03 |  0.9773 |       0 |     6.9367 |  5.31e-04
   1525 | -4.930779e-03 |  0.9773 |       0 |     6.9369 |  5.18e-04
   1550 | -4.930767e-03 |  0.9773 |       0 |     6.9372 |  5.05e-04
   1575 | -4.930751e-03 |  0.9773 |       0 |     6.9373 |  4.92e-04
   1600 | -4.930787e-03 |  0.9773 |       0 |     6.9375 |  4.79e-04
   1625 | -4.930815e-03 |  0.9773 |       0 |     6.9377 |  4.66e-04
   1650 | -4.930804e-03 |  0.9773 |       0 |     6.9379 |  4.53e-04
   1675 | -4.930800e-03 |  0.9773 |       0 |     6.9380 |  4.40e-04
   1700 | -4.930834e-03 |  0.9773 |       0 |     6.9382 |  4.28e-04
   1725 | -4.930800e-03 |  0.9773 |       0 |     6.9383 |  4.15e-04
   1750 | -4.930852e-03 |  0.9773 |       0 |     6.9385 |  4.02e-04
   1775 | -4.930851e-03 |  0.9773 |       0 |     6.9386 |  3.89e-04
   1800 | -4.930877e-03 |  0.9773 |       0 |     6.9387 |  3.77e-04
   1825 | -4.930887e-03 |  0.9773 |       0 |     6.9389 |  3.64e-04
   1850 | -4.930924e-03 |  0.9773 |       0 |     6.9390 |  3.52e-04
   1875 | -4.930951e-03 |  0.9773 |       0 |     6.9391 |  3.40e-04
   1900 | -4.930920e-03 |  0.9773 |       0 |     6.9392 |  3.28e-04
   1925 | -4.930934e-03 |  0.9773 |       0 |     6.9393 |  3.16e-04
   1950 | -4.930917e-03 |  0.9773 |       0 |     6.9394 |  3.04e-04
   1975 | -4.930947e-03 |  0.9773 |       0 |     6.9395 |  2.92e-04
   2000 | -4.930923e-03 |  0.9773 |       0 |     6.9396 |  2.80e-04
   2025 | -4.930952e-03 |  0.9773 |       0 |     6.9397 |  2.69e-04
   2050 | -4.930981e-03 |  0.9773 |       0 |     6.9398 |  2.57e-04
   2075 | -4.930975e-03 |  0.9773 |       0 |     6.9399 |  2.46e-04
   2100 | -4.930953e-03 |  0.9773 |       0 |     6.9400 |  2.35e-04
   2125 | -4.930994e-03 |  0.9773 |       0 |     6.9400 |  2.25e-04
   2150 | -4.930977e-03 |  0.9773 |       0 |     6.9401 |  2.14e-04
   2175 | -4.930993e-03 |  0.9773 |       0 |     6.9402 |  2.04e-04
   2200 | -4.931035e-03 |  0.9773 |       0 |     6.9403 |  1.93e-04
   2225 | -4.930999e-03 |  0.9773 |       0 |     6.9403 |  1.84e-04
   2250 | -4.931001e-03 |  0.9773 |       0 |     6.9404 |  1.74e-04
   2275 | -4.931033e-03 |  0.9773 |       0 |     6.9405 |  1.64e-04
   2300 | -4.930997e-03 |  0.9773 |       0 |     6.9405 |  1.55e-04
   2325 | -4.930995e-03 |  0.9773 |       0 |     6.9406 |  1.46e-04
   2350 | -4.930976e-03 |  0.9773 |       0 |     6.9406 |  1.37e-04
   2375 | -4.931043e-03 |  0.9773 |       0 |     6.9407 |  1.29e-04
   2400 | -4.930987e-03 |  0.9773 |       0 |     6.9407 |  1.20e-04
   2425 | -4.931013e-03 |  0.9773 |       0 |     6.9408 |  1.12e-04
   2450 | -4.931029e-03 |  0.9772 |       0 |     6.9408 |  1.05e-04
   2475 | -4.931032e-03 |  0.9772 |       0 |     6.9408 |  9.71e-05
   2500 | -4.931003e-03 |  0.9772 |       0 |     6.9409 |  8.99e-05
   2525 | -4.931051e-03 |  0.9772 |       0 |     6.9409 |  8.29e-05
   2550 | -4.931047e-03 |  0.9772 |       0 |     6.9409 |  7.63e-05
   2575 | -4.931010e-03 |  0.9772 |       0 |     6.9410 |  7.00e-05
   2600 | -4.931025e-03 |  0.9772 |       0 |     6.9410 |  6.40e-05
   2625 | -4.930993e-03 |  0.9772 |       0 |     6.9410 |  5.82e-05
   2650 | -4.930989e-03 |  0.9772 |       0 |     6.9411 |  5.28e-05
   2675 | -4.931038e-03 |  0.9772 |       0 |     6.9411 |  4.77e-05
   2700 | -4.931013e-03 |  0.9772 |       0 |     6.9411 |  4.29e-05
   2725 | -4.931008e-03 |  0.9772 |       0 |     6.9411 |  3.84e-05
   2750 | -4.931030e-03 |  0.9772 |       0 |     6.9411 |  3.42e-05
   2775 | -4.931040e-03 |  0.9772 |       0 |     6.9412 |  3.04e-05
   2800 | -4.931056e-03 |  0.9772 |       0 |     6.9412 |  2.69e-05
   2825 | -4.931047e-03 |  0.9772 |       0 |     6.9412 |  2.37e-05
   2850 | -4.931064e-03 |  0.9772 |       0 |     6.9412 |  2.08e-05
   2875 | -4.931030e-03 |  0.9772 |       0 |     6.9412 |  1.83e-05
   2900 | -4.931030e-03 |  0.9772 |       0 |     6.9412 |  1.61e-05
   2925 | -4.931080e-03 |  0.9772 |       0 |     6.9412 |  1.42e-05
   2950 | -4.931030e-03 |  0.9772 |       0 |     6.9412 |  1.27e-05
   2975 | -4.931060e-03 |  0.9772 |       0 |     6.9412 |  1.15e-05
   3000 | -4.931056e-03 |  0.9772 |       0 |     6.9412 |  1.07e-05

  ======================================================================
  ✅ CARTILAGE (barrier_coef=100.0) COMPLETE
  Best loss: -4.931104e-03 (epoch 2910)
  Tip: 6.9412 mm (expected: 8.0932 mm)  Err: 14.23%
  n_inverted: final=0, max_during_training=0
  Training time: 105.0s (1.7min)
  ======================================================================

