╔══════════════════════════════════════════════════════════════╗
║  DPC-GNN — EBC (barrier) ablation                           ║
║  barrier_coef = 100.000                                       ║
╚══════════════════════════════════════════════════════════════╝

======================================================================
  TISSUE: CARTILAGE (BARRIER ABLATION, k_E=100.0) | E=500000 Pa | ν=0.3
  Mesh: 15x4x4 | Device: cuda | Epochs: 3000
  Expected tip δ: 8.0932 mm | Scale: 8.09e-03
======================================================================
  Nodes: 400 | Tets: 1200 | Edges: 4910
  Params: 161,731

     Ep |         Loss |   J_min |   n_inv |  u_tip(mm) |        lr
  ------------------------------------------------------------------------------
      1 | -4.310938e-03 |  1.0000 |       0 |    -0.0071 |  2.00e-05
      2 | -4.313012e-03 |  0.9999 |       0 |    -0.0049 |  4.00e-05
      3 | -4.315948e-03 |  0.9994 |       0 |    -0.0003 |  6.00e-05
      4 | -4.318377e-03 |  0.9990 |       0 |     0.0065 |  8.00e-05
      5 | -4.320602e-03 |  0.9990 |       0 |     0.0155 |  1.00e-04
     25 | -4.390194e-03 |  0.9957 |       0 |     0.4018 |  5.00e-04
     50 | -4.576578e-03 |  0.9864 |       0 |     2.0269 |  1.00e-03
     75 | -4.704106e-03 |  0.9804 |       0 |     3.2646 |  1.00e-03
    100 | -4.748397e-03 |  0.9819 |       0 |     4.0884 |  9.99e-04
    125 | -4.836993e-03 |  0.9786 |       0 |     5.0346 |  9.98e-04
    150 | -4.884745e-03 |  0.9777 |       0 |     5.7715 |  9.97e-04
    175 | -4.864283e-03 |  0.9772 |       0 |     5.8558 |  9.96e-04
    200 | -4.904455e-03 |  0.9775 |       0 |     6.4901 |  9.94e-04
    225 | -4.903412e-03 |  0.9783 |       0 |     6.2637 |  9.92e-04
    250 | -4.918229e-03 |  0.9778 |       0 |     6.7158 |  9.89e-04
    275 | -4.914257e-03 |  0.9790 |       0 |     6.4022 |  9.86e-04
    300 | -4.922987e-03 |  0.9776 |       0 |     6.7790 |  9.83e-04
    325 | -4.918527e-03 |  0.9781 |       0 |     6.7091 |  9.80e-04
    350 | -4.908552e-03 |  0.9779 |       0 |     6.4527 |  9.76e-04
    375 | -4.924904e-03 |  0.9775 |       0 |     6.7986 |  9.72e-04
    400 | -4.922788e-03 |  0.9773 |       0 |     6.8398 |  9.67e-04
    425 | -4.922139e-03 |  0.9781 |       0 |     6.7749 |  9.62e-04
    450 | -4.880183e-03 |  0.9785 |       0 |     6.7807 |  9.57e-04
    475 | -4.911824e-03 |  0.9769 |       0 |     6.8353 |  9.52e-04
    500 | -4.926610e-03 |  0.9777 |       0 |     6.8417 |  9.46e-04
    525 | -4.898558e-03 |  0.9789 |       0 |     6.6109 |  9.40e-04
    550 | -4.923259e-03 |  0.9776 |       0 |     6.8507 |  9.34e-04
    575 | -4.927361e-03 |  0.9773 |       0 |     6.8900 |  9.27e-04
    600 | -4.916393e-03 |  0.9769 |       0 |     6.8834 |  9.20e-04
    625 | -4.921956e-03 |  0.9770 |       0 |     6.8663 |  9.13e-04
    650 | -4.924708e-03 |  0.9780 |       0 |     6.8732 |  9.05e-04
    675 | -4.926572e-03 |  0.9775 |       0 |     6.9053 |  8.98e-04
    700 | -4.928305e-03 |  0.9779 |       0 |     6.7999 |  8.90e-04
    725 | -4.929461e-03 |  0.9773 |       0 |     6.9072 |  8.81e-04
    750 | -4.929592e-03 |  0.9774 |       0 |     6.9086 |  8.73e-04
    775 | -4.927765e-03 |  0.9779 |       0 |     6.8209 |  8.64e-04
    800 | -4.929537e-03 |  0.9776 |       0 |     6.9069 |  8.55e-04
    825 | -4.927851e-03 |  0.9785 |       0 |     6.6955 |  8.46e-04
    850 | -4.929402e-03 |  0.9777 |       0 |     6.8967 |  8.36e-04
    875 | -4.930069e-03 |  0.9774 |       0 |     6.9090 |  8.26e-04
    900 | -4.925931e-03 |  0.9778 |       0 |     6.9103 |  8.17e-04
    925 | -4.926534e-03 |  0.9771 |       0 |     6.8873 |  8.06e-04
    950 | -4.930097e-03 |  0.9774 |       0 |     6.9120 |  7.96e-04
    975 | -4.924706e-03 |  0.9770 |       0 |     6.9090 |  7.85e-04
   1000 | -4.928563e-03 |  0.9776 |       0 |     6.9115 |  7.75e-04
   1025 | -4.929423e-03 |  0.9775 |       0 |     6.9248 |  7.64e-04
   1050 | -4.926081e-03 |  0.9771 |       0 |     6.9049 |  7.52e-04
   1075 | -4.927435e-03 |  0.9771 |       0 |     6.9092 |  7.41e-04
   1100 | -4.928266e-03 |  0.9772 |       0 |     6.9114 |  7.30e-04
   1125 | -4.930573e-03 |  0.9773 |       0 |     6.9323 |  7.18e-04
   1150 | -4.916098e-03 |  0.9782 |       0 |     6.8618 |  7.06e-04
   1175 | -4.930737e-03 |  0.9774 |       0 |     6.9167 |  6.94e-04
   1200 | -4.930668e-03 |  0.9774 |       0 |     6.9311 |  6.82e-04
   1225 | -4.929940e-03 |  0.9773 |       0 |     6.9292 |  6.70e-04
   1250 | -4.930659e-03 |  0.9774 |       0 |     6.9279 |  6.58e-04
   1275 | -4.930865e-03 |  0.9774 |       0 |     6.9314 |  6.46e-04
   1300 | -4.928831e-03 |  0.9771 |       0 |     6.9230 |  6.33e-04
