╔══════════════════════════════════════════════════════════════╗
║  DPC-GNN — EBC (barrier) ablation                           ║
║  barrier_coef = 100.000                                       ║
╚══════════════════════════════════════════════════════════════╝

======================================================================
  TISSUE: CARTILAGE (BARRIER ABLATION, k_E=100.0) | E=500000 Pa | ν=0.3
  Mesh: 15x4x4 | Device: cuda | Epochs: 3000
  Expected tip δ: 8.0932 mm | Scale: 8.09e-03
======================================================================
  Nodes: 400 | Tets: 1200 | Edges: 4910
  Params: 161,731

     Ep |         Loss |   J_min |   n_inv |  u_tip(mm) |        lr
  ------------------------------------------------------------------------------
      1 | -4.312352e-03 |  0.9998 |       0 |     0.0095 |  2.00e-05
      2 | -4.315327e-03 |  0.9998 |       0 |     0.0120 |  4.00e-05
      3 | -4.319770e-03 |  0.9998 |       0 |     0.0171 |  6.00e-05
      4 | -4.323293e-03 |  0.9994 |       0 |     0.0248 |  8.00e-05
      5 | -4.323624e-03 |  0.9983 |       0 |     0.0349 |  1.00e-04
     25 | -4.401790e-03 |  0.9939 |       0 |     0.4609 |  5.00e-04
     50 | -4.575863e-03 |  0.9861 |       0 |     1.8327 |  1.00e-03
     75 | -4.693729e-03 |  0.9843 |       0 |     3.2016 |  1.00e-03
    100 | -4.669099e-03 |  0.9822 |       0 |     2.7947 |  9.99e-04
    125 | -4.821371e-03 |  0.9824 |       0 |     4.6412 |  9.98e-04
    150 | -4.675116e-03 |  0.9819 |       0 |     3.3598 |  9.97e-04
    175 | -4.821284e-03 |  0.9787 |       0 |     4.7137 |  9.96e-04
    200 | -4.895129e-03 |  0.9782 |       0 |     6.0547 |  9.94e-04
    225 | -4.911548e-03 |  0.9779 |       0 |     6.5995 |  9.92e-04
    250 | -4.717016e-03 |  0.9761 |       0 |     6.3863 |  9.89e-04
    275 | -4.916025e-03 |  0.9779 |       0 |     6.4536 |  9.86e-04
    300 | -4.921040e-03 |  0.9775 |       0 |     6.7932 |  9.83e-04
    325 | -4.916135e-03 |  0.9788 |       0 |     6.8065 |  9.80e-04
    350 | -4.921397e-03 |  0.9776 |       0 |     6.8213 |  9.76e-04
    375 | -4.920338e-03 |  0.9775 |       0 |     6.7946 |  9.72e-04
    400 | -4.909417e-03 |  0.9772 |       0 |     6.7610 |  9.67e-04
    425 | -4.915451e-03 |  0.9768 |       0 |     6.8486 |  9.62e-04
    450 | -4.918301e-03 |  0.9769 |       0 |     6.7531 |  9.57e-04
    475 | -4.922275e-03 |  0.9779 |       0 |     6.7990 |  9.52e-04
    500 | -4.906254e-03 |  0.9773 |       0 |     6.5584 |  9.46e-04
    525 | -4.925551e-03 |  0.9780 |       0 |     6.8754 |  9.40e-04
    550 | -4.924976e-03 |  0.9775 |       0 |     6.8726 |  9.34e-04
    575 | -4.917641e-03 |  0.9778 |       0 |     6.8832 |  9.27e-04
    600 | -4.924783e-03 |  0.9780 |       0 |     6.8255 |  9.20e-04
    625 | -4.925978e-03 |  0.9775 |       0 |     6.8301 |  9.13e-04
    650 | -4.928740e-03 |  0.9773 |       0 |     6.9167 |  9.05e-04
    675 | -4.926213e-03 |  0.9778 |       0 |     6.8183 |  8.98e-04
    700 | -4.928363e-03 |  0.9772 |       0 |     6.8762 |  8.90e-04
    725 | -4.925575e-03 |  0.9769 |       0 |     6.8900 |  8.81e-04
    750 | -4.921902e-03 |  0.9766 |       0 |     6.9007 |  8.73e-04
    775 | -4.926908e-03 |  0.9777 |       0 |     6.8932 |  8.64e-04
    800 | -4.926981e-03 |  0.9781 |       0 |     6.9114 |  8.55e-04
    825 | -4.929829e-03 |  0.9773 |       0 |     6.8815 |  8.46e-04
    850 | -4.921093e-03 |  0.9789 |       0 |     6.8644 |  8.36e-04
    875 | -4.930003e-03 |  0.9773 |       0 |     6.9198 |  8.26e-04
    900 | -4.923900e-03 |  0.9776 |       0 |     6.6958 |  8.17e-04
    925 | -4.928162e-03 |  0.9769 |       0 |     6.9191 |  8.06e-04
    950 | -4.930331e-03 |  0.9773 |       0 |     6.9277 |  7.96e-04
    975 | -4.928858e-03 |  0.9766 |       0 |     6.9273 |  7.85e-04
