╔══════════════════════════════════════════════════════════════╗
║  DPC-GNN Multi-Tissue Solid Mechanics Training Pipeline    ║
║  Physics: Neo-Hookean Hyperelastic | GNN: AntisymmetricMP  ║
╚══════════════════════════════════════════════════════════════╝

  GPU: NVIDIA GeForce RTX 5090
  VRAM: 33.7 GB
  PyTorch: 2.8.0+cu128

======================================================================
  TISSUE: BONE | E=10000000 Pa (10000.0 kPa) | ν=0.3
  Beam: 10cm x 2cm x 2cm
  Mesh: 22x7x7 | Device: cuda | Epochs: 3000
  Expected tip δ: 0.6990 mm | Scale: 6.99e-04
======================================================================
  Nodes: 1472 | Tets: 5390 | Edges: 20904
  Params: 161,731
  ⚡ F-bar enabled (ν=0.30 ≥ 0.45, anti-locking)

     Ep |         Loss |         E_el |         E_gr |   J_min |  u_tip(mm) |    Err% |        lr
   1000 | -5.126733e+01 | -5.125935e+01 | -7.980060e-03 |  0.9748 |     1.9964 |  185.6% |  7.75e-04
   1025 | -5.126836e+01 | -5.126036e+01 | -7.996775e-03 |  0.9745 |     2.0584 |  194.5% |  7.64e-04
   1050 | -5.127047e+01 | -5.126247e+01 | -8.001968e-03 |  0.9726 |     2.0852 |  198.3% |  7.52e-04
   1075 | -5.127234e+01 | -5.126432e+01 | -8.014178e-03 |  0.9728 |     2.1342 |  205.3% |  7.41e-04
   1100 | -5.126634e+01 | -5.125830e+01 | -8.039910e-03 |  0.9795 |     2.2218 |  217.9% |  7.30e-04
   1125 | -5.126940e+01 | -5.126136e+01 | -8.045696e-03 |  0.9732 |     2.2653 |  224.1% |  7.18e-04
   1150 | -5.127055e+01 | -5.126249e+01 | -8.051469e-03 |  0.9722 |     2.2832 |  226.7% |  7.06e-04
   1175 | -5.127202e+01 | -5.126396e+01 | -8.059466e-03 |  0.9731 |     2.3172 |  231.5% |  6.94e-04
   1200 | -5.126837e+01 | -5.126030e+01 | -8.075336e-03 |  0.9762 |     2.3752 |  239.8% |  6.82e-04
   1225 | -5.127075e+01 | -5.126266e+01 | -8.085295e-03 |  0.9763 |     2.4135 |  245.3% |  6.70e-04
   1250 | -5.127085e+01 | -5.126276e+01 | -8.091364e-03 |  0.9737 |     2.4419 |  249.4% |  6.58e-04
   1275 | -5.127216e+01 | -5.126406e+01 | -8.103605e-03 |  0.9733 |     2.4901 |  256.3% |  6.46e-04
   1300 | -5.126902e+01 | -5.126090e+01 | -8.121355e-03 |  0.9758 |     2.5550 |  265.5% |  6.33e-04
   1325 | -5.126940e+01 | -5.126127e+01 | -8.134821e-03 |  0.9782 |     2.6074 |  273.0% |  6.21e-04
   1350 | -5.127121e+01 | -5.126307e+01 | -8.143779e-03 |  0.9741 |     2.6516 |  279.4% |  6.08e-04
   1375 | -5.127210e+01 | -5.126394e+01 | -8.154461e-03 |  0.9744 |     2.6962 |  285.7% |  5.95e-04
   1400 | -5.127129e+01 | -5.126312e+01 | -8.165775e-03 |  0.9755 |     2.7409 |  292.1% |  5.82e-04
   1425 | -5.127201e+01 | -5.126384e+01 | -8.176283e-03 |  0.9753 |     2.7815 |  297.9% |  5.70e-04
   1450 | -5.127224e+01 | -5.126406e+01 | -8.181169e-03 |  0.9734 |     2.8066 |  301.5% |  5.57e-04
