╔══════════════════════════════════════════════════════════════╗
║  DPC-GNN Multi-Tissue Solid Mechanics Training Pipeline    ║
║  Physics: Neo-Hookean Hyperelastic | GNN: AntisymmetricMP  ║
╚══════════════════════════════════════════════════════════════╝

  GPU: NVIDIA GeForce RTX 5090
  VRAM: 33.7 GB
  PyTorch: 2.8.0+cu128

======================================================================
  TISSUE: BONE | E=10000000 Pa (10000.0 kPa) | ν=0.3
  Beam: 10cm x 2cm x 2cm
  Mesh: 22x7x7 | Device: cuda | Epochs: 3000
  Expected tip δ: 0.6990 mm | Scale: 6.99e-04
======================================================================
  Nodes: 1472 | Tets: 5390 | Edges: 20904
  Params: 161,731
  ⚡ F-bar enabled (ν=0.30 ≥ 0.45, anti-locking)

     Ep |         Loss |         E_el |         E_gr |   J_min |  u_tip(mm) |    Err% |        lr
  ----------------------------------------------------------------------------------------
      1 | -2.112366e-03 | 5.342805e-03 | -7.455171e-03 |  0.9999 |    -0.0007 |   99.9% |  2.00e-05
      2 | -3.965345e-03 | 3.489890e-03 | -7.455235e-03 |  1.0000 |    -0.0007 |   99.9% |  4.00e-05
      3 | -7.604340e-03 | -1.489732e-04 | -7.455367e-03 |  1.0000 |    -0.0005 |   99.9% |  6.00e-05
      4 | -1.308092e-02 | -5.625354e-03 | -7.455566e-03 |  1.0000 |    -0.0003 |  100.0% |  8.00e-05
      5 | -2.032469e-02 | -1.286886e-02 | -7.455830e-03 |  1.0000 |     0.0001 |  100.0% |  1.00e-04
     25 | -2.597262e+00 | -2.589792e+00 | -7.470069e-03 |  1.0048 |     0.0148 |   97.9% |  5.00e-04
     50 | -2.592481e+01 | -2.591735e+01 | -7.464339e-03 |  1.0430 |     0.1029 |   85.3% |  1.00e-03
     75 | -4.232794e+01 | -4.232044e+01 | -7.500647e-03 |  1.2215 |     0.0496 |   92.9% |  1.00e-03
    100 | -4.877840e+01 | -4.877106e+01 | -7.342446e-03 |  0.9358 |    -0.1830 |   73.8% |  9.99e-04
    125 | -5.120071e+01 | -5.119329e+01 | -7.422397e-03 |  0.9579 |    -0.1114 |   84.1% |  9.98e-04
