╔══════════════════════════════════════════════════════════════╗
║  DPC-GNN Multi-Tissue Solid Mechanics Training Pipeline    ║
║  Physics: Neo-Hookean Hyperelastic | GNN: AntisymmetricMP  ║
╚══════════════════════════════════════════════════════════════╝

  GPU: NVIDIA GeForce RTX 5090
  VRAM: 33.7 GB
  PyTorch: 2.8.0+cu128

======================================================================
  TISSUE: BONE | E=10000000 Pa (10000.0 kPa) | ν=0.3
  Beam: 10cm x 2cm x 2cm
  Mesh: 22x7x7 | Device: cuda | Epochs: 3000
  Expected tip δ: 0.6990 mm | Scale: 6.99e-04
======================================================================
  Nodes: 1472 | Tets: 5390 | Edges: 20904
  Params: 161,731
  ⚡ F-bar enabled (ν=0.30 ≥ 0.45, anti-locking)

     Ep |         Loss |         E_el |         E_gr |   J_min |  u_tip(mm) |    Err% |        lr
  ----------------------------------------------------------------------------------------
      1 | -7.086437e-03 | 3.688745e-04 | -7.455312e-03 |  0.9998 |    -0.0002 |  100.0% |  2.00e-05
      2 | -9.193829e-03 | -1.738539e-03 | -7.455290e-03 |  0.9998 |    -0.0002 |  100.0% |  4.00e-05
      3 | -1.344648e-02 | -5.991234e-03 | -7.455247e-03 |  0.9999 |    -0.0003 |  100.0% |  6.00e-05
      4 | -1.982814e-02 | -1.237297e-02 | -7.455179e-03 |  1.0000 |    -0.0003 |  100.0% |  8.00e-05
      5 | -2.846413e-02 | -2.100905e-02 | -7.455082e-03 |  1.0001 |    -0.0004 |   99.9% |  1.00e-04
     25 | -2.805910e+00 | -2.798453e+00 | -7.457554e-03 |  0.9997 |     0.0159 |   97.7% |  5.00e-04
     50 | -2.475788e+01 | -2.475047e+01 | -7.408001e-03 |  1.0406 |    -0.0165 |   97.6% |  1.00e-03
     75 | -4.290251e+01 | -4.289529e+01 | -7.222379e-03 |  1.1434 |    -0.4676 |   33.1% |  1.00e-03
    100 | -4.954806e+01 | -4.954080e+01 | -7.263528e-03 |  0.9020 |    -1.5251 |  118.2% |  9.99e-04
    125 | -5.114102e+01 | -5.113394e+01 | -7.080085e-03 |  0.9471 |    -1.8244 |  161.0% |  9.98e-04
    150 | -5.119648e+01 | -5.118933e+01 | -7.147716e-03 |  0.9860 |    -1.5084 |  115.8% |  9.97e-04
    175 | -5.123410e+01 | -5.122694e+01 | -7.160278e-03 |  0.9724 |    -1.4047 |  101.0% |  9.96e-04
    200 | -5.123496e+01 | -5.122778e+01 | -7.178628e-03 |  0.9733 |    -1.3281 |   90.0% |  9.94e-04
    225 | -5.124034e+01 | -5.123314e+01 | -7.196645e-03 |  0.9708 |    -1.2381 |   77.1% |  9.92e-04
    250 | -5.125640e+01 | -5.124918e+01 | -7.218738e-03 |  0.9655 |    -1.1329 |   62.1% |  9.89e-04
    275 | -5.126216e+01 | -5.125492e+01 | -7.241654e-03 |  0.9663 |    -1.0385 |   48.6% |  9.86e-04
    300 | -5.125641e+01 | -5.124915e+01 | -7.261767e-03 |  0.9689 |    -0.9502 |   35.9% |  9.83e-04
    325 | -5.125451e+01 | -5.124723e+01 | -7.277762e-03 |  0.9670 |    -0.8845 |   26.5% |  9.80e-04
    350 | -5.125991e+01 | -5.125261e+01 | -7.307382e-03 |  0.9631 |    -0.7736 |   10.7% |  9.76e-04
    375 | -5.126088e+01 | -5.125355e+01 | -7.331770e-03 |  0.9665 |    -0.6762 |    3.3% |  9.72e-04
    400 | -5.125510e+01 | -5.124775e+01 | -7.354083e-03 |  0.9697 |    -0.5901 |   15.6% |  9.67e-04
    425 | -5.125838e+01 | -5.125101e+01 | -7.366873e-03 |  0.9713 |    -0.5253 |   24.8% |  9.62e-04
    450 | -5.126185e+01 | -5.125447e+01 | -7.382876e-03 |  0.9650 |    -0.4652 |   33.5% |  9.57e-04
    475 | -5.126532e+01 | -5.125792e+01 | -7.400198e-03 |  0.9680 |    -0.3974 |   43.1% |  9.52e-04
    500 | -5.126042e+01 | -5.125299e+01 | -7.430460e-03 |  0.9713 |    -0.2841 |   59.3% |  9.46e-04
    525 | -5.125650e+01 | -5.124903e+01 | -7.468853e-03 |  0.9681 |    -0.1488 |   78.7% |  9.40e-04
    550 | -5.125723e+01 | -5.124974e+01 | -7.482081e-03 |  0.9785 |    -0.0555 |   92.1% |  9.34e-04
    575 | -5.125507e+01 | -5.124757e+01 | -7.500147e-03 |  0.9768 |     0.0176 |   97.5% |  9.27e-04
    600 | -5.125182e+01 | -5.124426e+01 | -7.556453e-03 |  0.9827 |     0.1565 |   77.6% |  9.20e-04
    625 | -5.126193e+01 | -5.125438e+01 | -7.554877e-03 |  0.9733 |     0.1859 |   73.4% |  9.13e-04
    650 | -5.125800e+01 | -5.125045e+01 | -7.553034e-03 |  0.9727 |     0.2091 |   70.1% |  9.05e-04
    675 | -5.126055e+01 | -5.125297e+01 | -7.577933e-03 |  0.9704 |     0.2786 |   60.1% |  8.98e-04
    700 | -5.126720e+01 | -5.125959e+01 | -7.607479e-03 |  0.9682 |     0.3644 |   47.9% |  8.90e-04
    725 | -5.126694e+01 | -5.125933e+01 | -7.619761e-03 |  0.9722 |     0.4228 |   39.5% |  8.81e-04
    750 | -5.126618e+01 | -5.125857e+01 | -7.614765e-03 |  0.9744 |     0.4479 |   35.9% |  8.73e-04
    775 | -5.126622e+01 | -5.125859e+01 | -7.628493e-03 |  0.9740 |     0.5051 |   27.7% |  8.64e-04
    800 | -5.126888e+01 | -5.126123e+01 | -7.644097e-03 |  0.9723 |     0.5719 |   18.2% |  8.55e-04
    825 | -5.127191e+01 | -5.126424e+01 | -7.666601e-03 |  0.9729 |     0.6615 |    5.4% |  8.46e-04
    850 | -5.126307e+01 | -5.125537e+01 | -7.690406e-03 |  0.9756 |     0.7550 |    8.0% |  8.36e-04
    875 | -5.126512e+01 | -5.125741e+01 | -7.710365e-03 |  0.9757 |     0.8327 |   19.1% |  8.26e-04
    900 | -5.126793e+01 | -5.126020e+01 | -7.726265e-03 |  0.9728 |     0.8931 |   27.8% |  8.17e-04
    925 | -5.127062e+01 | -5.126288e+01 | -7.741917e-03 |  0.9733 |     0.9571 |   36.9% |  8.06e-04
    950 | -5.126059e+01 | -5.125283e+01 | -7.764529e-03 |  0.9765 |     1.0432 |   49.2% |  7.96e-04
    975 | -5.127074e+01 | -5.126295e+01 | -7.780951e-03 |  0.9758 |     1.1203 |   60.3% |  7.85e-04
   1000 | -5.127018e+01 | -5.126238e+01 | -7.797240e-03 |  0.9734 |     1.1809 |   68.9% |  7.75e-04
   1025 | -5.127223e+01 | -5.126442e+01 | -7.812591e-03 |  0.9739 |     1.2439 |   78.0% |  7.64e-04
   1050 | -5.127008e+01 | -5.126226e+01 | -7.828189e-03 |  0.9761 |     1.3104 |   87.5% |  7.52e-04
   1075 | -5.126902e+01 | -5.126117e+01 | -7.843884e-03 |  0.9763 |     1.3718 |   96.3% |  7.41e-04
   1100 | -5.127163e+01 | -5.126377e+01 | -7.858342e-03 |  0.9739 |     1.4329 |  105.0% |  7.30e-04
   1125 | -5.127226e+01 | -5.126438e+01 | -7.877911e-03 |  0.9747 |     1.5205 |  117.5% |  7.18e-04
   1150 | -5.126598e+01 | -5.125808e+01 | -7.898465e-03 |  0.9769 |     1.6045 |  129.6% |  7.06e-04
   1175 | -5.127182e+01 | -5.126391e+01 | -7.912962e-03 |  0.9760 |     1.6564 |  137.0% |  6.94e-04
