╔══════════════════════════════════════════════════════════════╗
║  DPC-GNN Multi-Tissue Solid Mechanics Training Pipeline    ║
║  Physics: Neo-Hookean Hyperelastic | GNN: AntisymmetricMP  ║
╚══════════════════════════════════════════════════════════════╝

  GPU: NVIDIA GeForce RTX 5090
  VRAM: 33.7 GB
  PyTorch: 2.8.0+cu128

======================================================================
  TISSUE: BONE | E=10000000 Pa (10000.0 kPa) | ν=0.3
  Beam: 10cm x 2cm x 2cm
  Mesh: 22x7x7 | Device: cuda | Epochs: 3000
  Expected tip δ: 0.6990 mm | Scale: 6.99e-04
======================================================================
  Nodes: 1472 | Tets: 5390 | Edges: 20904
  Params: 161,731
  ⚡ F-bar enabled (ν=0.30 ≥ 0.45, anti-locking)

     Ep |         Loss |         E_el |         E_gr |   J_min |  u_tip(mm) |    Err% |        lr
  ----------------------------------------------------------------------------------------
      1 | -6.637964e-03 | 8.184982e-04 | -7.456463e-03 |  0.9999 |     0.0013 |   99.8% |  2.00e-05
      2 | -8.861915e-03 | -1.405444e-03 | -7.456471e-03 |  0.9999 |     0.0013 |   99.8% |  4.00e-05
      3 | -1.331739e-02 | -5.860906e-03 | -7.456481e-03 |  1.0000 |     0.0012 |   99.8% |  6.00e-05
      4 | -2.005042e-02 | -1.259393e-02 | -7.456494e-03 |  1.0000 |     0.0012 |   99.8% |  8.00e-05
      5 | -2.914551e-02 | -2.168900e-02 | -7.456510e-03 |  1.0000 |     0.0011 |   99.8% |  1.00e-04
     25 | -3.052967e+00 | -3.045523e+00 | -7.443956e-03 |  1.0045 |    -0.0413 |   94.1% |  5.00e-04
     50 | -2.526093e+01 | -2.525364e+01 | -7.286069e-03 |  1.0538 |    -0.3187 |   54.4% |  1.00e-03
     75 | -4.289424e+01 | -4.288715e+01 | -7.082247e-03 |  1.1387 |    -0.9702 |   38.8% |  1.00e-03
    100 | -4.971314e+01 | -4.970632e+01 | -6.820476e-03 |  0.8973 |    -2.2442 |  221.1% |  9.99e-04
    125 | -5.080555e+01 | -5.079903e+01 | -6.519306e-03 |  0.9848 |    -3.1360 |  348.7% |  9.98e-04
    150 | -5.104221e+01 | -5.103528e+01 | -6.926633e-03 |  0.9426 |    -2.1121 |  202.2% |  9.97e-04
    175 | -5.119656e+01 | -5.118951e+01 | -7.043996e-03 |  0.9546 |    -1.8306 |  161.9% |  9.96e-04
    200 | -5.125309e+01 | -5.124608e+01 | -7.015317e-03 |  0.9933 |    -1.9052 |  172.6% |  9.94e-04
    225 | -5.123738e+01 | -5.123026e+01 | -7.119823e-03 |  0.9752 |    -1.6344 |  133.8% |  9.92e-04
    250 | -5.121809e+01 | -5.121099e+01 | -7.096040e-03 |  0.9753 |    -1.5767 |  125.6% |  9.89e-04
    275 | -5.124972e+01 | -5.124257e+01 | -7.144802e-03 |  0.9702 |    -1.4735 |  110.8% |  9.86e-04
    300 | -5.122873e+01 | -5.122157e+01 | -7.159999e-03 |  0.9632 |    -1.4094 |  101.6% |  9.83e-04
    325 | -5.125691e+01 | -5.124962e+01 | -7.288641e-03 |  0.9714 |    -1.1080 |   58.5% |  9.80e-04
    350 | -5.125834e+01 | -5.125109e+01 | -7.253375e-03 |  0.9664 |    -1.1344 |   62.3% |  9.76e-04
    375 | -5.125241e+01 | -5.124514e+01 | -7.269426e-03 |  0.9683 |    -1.1023 |   57.7% |  9.72e-04
    400 | -5.125078e+01 | -5.124349e+01 | -7.287459e-03 |  0.9687 |    -1.0417 |   49.0% |  9.67e-04
    425 | -5.126776e+01 | -5.126046e+01 | -7.300035e-03 |  0.9666 |    -0.9626 |   37.7% |  9.62e-04
    450 | -5.125030e+01 | -5.124300e+01 | -7.300652e-03 |  0.9655 |    -0.9032 |   29.2% |  9.57e-04
    475 | -5.125724e+01 | -5.124992e+01 | -7.318383e-03 |  0.9695 |    -0.8431 |   20.6% |  9.52e-04
    500 | -5.124646e+01 | -5.123901e+01 | -7.452133e-03 |  0.9699 |    -0.5943 |   15.0% |  9.46e-04
    525 | -5.126243e+01 | -5.125509e+01 | -7.335516e-03 |  0.9638 |    -0.7122 |    1.9% |  9.40e-04
    550 | -5.126672e+01 | -5.125929e+01 | -7.435634e-03 |  0.9672 |    -0.5114 |   26.8% |  9.34e-04
    575 | -5.125477e+01 | -5.124734e+01 | -7.435951e-03 |  0.9680 |    -0.4996 |   28.5% |  9.27e-04
    600 | -5.126252e+01 | -5.125507e+01 | -7.445734e-03 |  0.9709 |    -0.4422 |   36.7% |  9.20e-04
    625 | -5.126793e+01 | -5.126045e+01 | -7.477668e-03 |  0.9697 |    -0.3365 |   51.9% |  9.13e-04
    650 | -5.127010e+01 | -5.126261e+01 | -7.495805e-03 |  0.9695 |    -0.2639 |   62.2% |  9.05e-04
    675 | -5.126668e+01 | -5.125916e+01 | -7.518843e-03 |  0.9718 |    -0.1768 |   74.7% |  8.98e-04
    700 | -5.126372e+01 | -5.125619e+01 | -7.532469e-03 |  0.9739 |    -0.1301 |   81.4% |  8.90e-04
    725 | -5.126796e+01 | -5.126040e+01 | -7.557523e-03 |  0.9700 |    -0.0404 |   94.2% |  8.81e-04
    750 | -5.126719e+01 | -5.125962e+01 | -7.564501e-03 |  0.9697 |     0.0108 |   98.5% |  8.73e-04
    775 | -5.126435e+01 | -5.125679e+01 | -7.567395e-03 |  0.9734 |     0.0429 |   93.9% |  8.64e-04
    800 | -5.126257e+01 | -5.125498e+01 | -7.583237e-03 |  0.9739 |     0.1068 |   84.7% |  8.55e-04
    825 | -5.127044e+01 | -5.126281e+01 | -7.628651e-03 |  0.9723 |     0.2336 |   66.6% |  8.46e-04
    850 | -5.126291e+01 | -5.125527e+01 | -7.636619e-03 |  0.9730 |     0.2943 |   57.9% |  8.36e-04
    875 | -5.126324e+01 | -5.125559e+01 | -7.647565e-03 |  0.9756 |     0.3407 |   51.3% |  8.26e-04
    900 | -5.126686e+01 | -5.125919e+01 | -7.676383e-03 |  0.9764 |     0.4289 |   38.6% |  8.17e-04
    925 | -5.126651e+01 | -5.125884e+01 | -7.670660e-03 |  0.9720 |     0.4706 |   32.7% |  8.06e-04
    950 | -5.127046e+01 | -5.126279e+01 | -7.663867e-03 |  0.9700 |     0.5008 |   28.4% |  7.96e-04
    975 | -5.127034e+01 | -5.126267e+01 | -7.673861e-03 |  0.9718 |     0.5569 |   20.3% |  7.85e-04
   1000 | -5.126435e+01 | -5.125666e+01 | -7.687025e-03 |  0.9760 |     0.6204 |   11.2% |  7.75e-04
   1025 | -5.126355e+01 | -5.125584e+01 | -7.715059e-03 |  0.9688 |     0.7113 |    1.8% |  7.64e-04
   1050 | -5.127265e+01 | -5.126491e+01 | -7.739694e-03 |  0.9713 |     0.7871 |   12.6% |  7.52e-04
   1075 | -5.127021e+01 | -5.126245e+01 | -7.761214e-03 |  0.9717 |     0.8606 |   23.1% |  7.41e-04
   1100 | -5.126312e+01 | -5.125534e+01 | -7.778887e-03 |  0.9748 |     0.9314 |   33.2% |  7.30e-04
   1125 | -5.126674e+01 | -5.125895e+01 | -7.789478e-03 |  0.9729 |     0.9977 |   42.7% |  7.18e-04
   1150 | -5.126554e+01 | -5.125772e+01 | -7.822413e-03 |  0.9790 |     1.0920 |   56.2% |  7.06e-04
   1175 | -5.126668e+01 | -5.125883e+01 | -7.845446e-03 |  0.9776 |     1.1751 |   68.1% |  6.94e-04
   1200 | -5.126414e+01 | -5.125632e+01 | -7.820438e-03 |  0.9709 |     1.2025 |   72.0% |  6.82e-04
   1225 | -5.127052e+01 | -5.126264e+01 | -7.872829e-03 |  0.9810 |     1.2820 |   83.4% |  6.70e-04
   1250 | -5.127078e+01 | -5.126292e+01 | -7.867262e-03 |  0.9691 |     1.3179 |   88.5% |  6.58e-04
   1275 | -5.127148e+01 | -5.126361e+01 | -7.870677e-03 |  0.9745 |     1.3693 |   95.9% |  6.46e-04
   1300 | -5.126949e+01 | -5.126159e+01 | -7.897412e-03 |  0.9721 |     1.4473 |  107.1% |  6.33e-04
   1325 | -5.127132e+01 | -5.126341e+01 | -7.909087e-03 |  0.9727 |     1.5023 |  114.9% |  6.21e-04
   1350 | -5.127248e+01 | -5.126456e+01 | -7.919736e-03 |  0.9724 |     1.5552 |  122.5% |  6.08e-04
   1375 | -5.126964e+01 | -5.126171e+01 | -7.936444e-03 |  0.9748 |     1.6218 |  132.0% |  5.95e-04
   1400 | -5.126956e+01 | -5.126160e+01 | -7.951906e-03 |  0.9750 |     1.6890 |  141.6% |  5.82e-04
   1425 | -5.127308e+01 | -5.126511e+01 | -7.970477e-03 |  0.9730 |     1.7671 |  152.8% |  5.70e-04
   1450 | -5.127183e+01 | -5.126385e+01 | -7.980781e-03 |  0.9729 |     1.8223 |  160.7% |  5.57e-04
   1475 | -5.127224e+01 | -5.126424e+01 | -7.997599e-03 |  0.9749 |     1.8883 |  170.2% |  5.44e-04
   1500 | -5.127234e+01 | -5.126433e+01 | -8.010356e-03 |  0.9749 |     1.9451 |  178.3% |  5.31e-04
   1525 | -5.127306e+01 | -5.126503e+01 | -8.020576e-03 |  0.9733 |     1.9954 |  185.5% |  5.18e-04
   1550 | -5.127381e+01 | -5.126577e+01 | -8.034933e-03 |  0.9736 |     2.0573 |  194.3% |  5.05e-04
   1575 | -5.127071e+01 | -5.126265e+01 | -8.053344e-03 |  0.9755 |     2.1325 |  205.1% |  4.92e-04
   1600 | -5.127199e+01 | -5.126392e+01 | -8.068163e-03 |  0.9754 |     2.2001 |  214.8% |  4.79e-04
   1625 | -5.127388e+01 | -5.126580e+01 | -8.078125e-03 |  0.9740 |     2.2521 |  222.2% |  4.66e-04
   1650 | -5.127422e+01 | -5.126613e+01 | -8.094873e-03 |  0.9739 |     2.3203 |  232.0% |  4.53e-04
   1675 | -5.127256e+01 | -5.126444e+01 | -8.120887e-03 |  0.9744 |     2.4034 |  243.8% |  4.40e-04
   1700 | -5.127340e+01 | -5.126527e+01 | -8.131299e-03 |  0.9745 |     2.4526 |  250.9% |  4.28e-04
   1725 | -5.127348e+01 | -5.126534e+01 | -8.137227e-03 |  0.9734 |     2.4930 |  256.7% |  4.15e-04
   1750 | -5.127394e+01 | -5.126580e+01 | -8.149182e-03 |  0.9737 |     2.5481 |  264.6% |  4.02e-04
   1775 | -5.127317e+01 | -5.126500e+01 | -8.165387e-03 |  0.9752 |     2.6141 |  274.0% |  3.89e-04
   1800 | -5.127345e+01 | -5.126527e+01 | -8.178689e-03 |  0.9752 |     2.6714 |  282.2% |  3.77e-04
   1825 | -5.127422e+01 | -5.126603e+01 | -8.189382e-03 |  0.9739 |     2.7209 |  289.3% |  3.64e-04
   1850 | -5.127438e+01 | -5.126618e+01 | -8.203784e-03 |  0.9739 |     2.7810 |  297.9% |  3.52e-04
   1875 | -5.127360e+01 | -5.126538e+01 | -8.220683e-03 |  0.9750 |     2.8478 |  307.4% |  3.40e-04
   1900 | -5.127388e+01 | -5.126565e+01 | -8.233953e-03 |  0.9749 |     2.9038 |  315.4% |  3.28e-04
   1925 | -5.127430e+01 | -5.126606e+01 | -8.244039e-03 |  0.9736 |     2.9503 |  322.1% |  3.16e-04
   1950 | -5.127449e+01 | -5.126624e+01 | -8.256907e-03 |  0.9734 |     3.0049 |  329.9% |  3.04e-04
   1975 | -5.127411e+01 | -5.126584e+01 | -8.272463e-03 |  0.9748 |     3.0673 |  338.8% |  2.92e-04
   2000 | -5.127441e+01 | -5.126612e+01 | -8.284993e-03 |  0.9743 |     3.1201 |  346.4% |  2.80e-04
   2025 | -5.127445e+01 | -5.126616e+01 | -8.294935e-03 |  0.9725 |     3.1645 |  352.7% |  2.69e-04
   2050 | -5.127460e+01 | -5.126629e+01 | -8.307554e-03 |  0.9723 |     3.2171 |  360.3% |  2.57e-04
   2075 | -5.127487e+01 | -5.126655e+01 | -8.322355e-03 |  0.9731 |     3.2772 |  368.9% |  2.46e-04
   2100 | -5.127512e+01 | -5.126678e+01 | -8.335778e-03 |  0.9724 |     3.3351 |  377.2% |  2.35e-04
   2125 | -5.127513e+01 | -5.126678e+01 | -8.349413e-03 |  0.9722 |     3.3926 |  385.4% |  2.25e-04
   2150 | -5.127514e+01 | -5.126678e+01 | -8.362385e-03 |  0.9719 |     3.4464 |  393.1% |  2.14e-04
   2175 | -5.127516e+01 | -5.126679e+01 | -8.374648e-03 |  0.9716 |     3.4968 |  400.3% |  2.04e-04
   2200 | -5.127517e+01 | -5.126678e+01 | -8.386267e-03 |  0.9714 |     3.5444 |  407.1% |  1.93e-04
   2225 | -5.127518e+01 | -5.126679e+01 | -8.397263e-03 |  0.9711 |     3.5893 |  413.5% |  1.84e-04
   2250 | -5.127519e+01 | -5.126678e+01 | -8.407660e-03 |  0.9708 |     3.6317 |  419.6% |  1.74e-04
   2275 | -5.127521e+01 | -5.126679e+01 | -8.417480e-03 |  0.9706 |     3.6717 |  425.3% |  1.64e-04
   2300 | -5.127521e+01 | -5.126678e+01 | -8.426748e-03 |  0.9704 |     3.7095 |  430.7% |  1.55e-04
