╔══════════════════════════════════════════════════════════════╗
║  DPC-GNN Multi-Tissue Solid Mechanics Training Pipeline    ║
║  Physics: Neo-Hookean Hyperelastic | GNN: AntisymmetricMP  ║
╚══════════════════════════════════════════════════════════════╝

  GPU: NVIDIA GeForce RTX 5090
  VRAM: 33.7 GB
  PyTorch: 2.8.0+cu128

======================================================================
  TISSUE: BONE | E=10000000 Pa (10000.0 kPa) | ν=0.3
  Beam: 10cm x 2cm x 2cm
  Mesh: 22x7x7 | Device: cuda | Epochs: 3000
  Expected tip δ: 0.6990 mm | Scale: 6.99e-04
======================================================================
  Nodes: 1472 | Tets: 5390 | Edges: 20904
  Params: 161,731
  ⚡ F-bar enabled (ν=0.30 ≥ 0.45, anti-locking)

     Ep |         Loss |         E_el |         E_gr |   J_min |  u_tip(mm) |    Err% |        lr
  ----------------------------------------------------------------------------------------
      1 | 1.591285e-03 | 9.047749e-03 | -7.456465e-03 |  0.9995 |     0.0011 |   99.8% |  2.00e-05
      2 | -5.637961e-04 | 6.892683e-03 | -7.456480e-03 |  0.9996 |     0.0011 |   99.8% |  4.00e-05
      3 | -4.854536e-03 | 2.601975e-03 | -7.456510e-03 |  0.9997 |     0.0011 |   99.8% |  6.00e-05
      4 | -1.127023e-02 | -3.813672e-03 | -7.456554e-03 |  0.9998 |     0.0012 |   99.8% |  8.00e-05
      5 | -1.981595e-02 | -1.235934e-02 | -7.456610e-03 |  1.0000 |     0.0012 |   99.8% |  1.00e-04
     25 | -2.865148e+00 | -2.857684e+00 | -7.464150e-03 |  1.0065 |     0.0033 |   99.5% |  5.00e-04
     50 | -2.456114e+01 | -2.455365e+01 | -7.495358e-03 |  1.0628 |    -0.0032 |   99.5% |  1.00e-03
     75 | -4.270583e+01 | -4.269856e+01 | -7.276295e-03 |  1.1652 |    -0.2897 |   58.5% |  1.00e-03
    100 | -4.981257e+01 | -4.980530e+01 | -7.270868e-03 |  0.9434 |    -0.4215 |   39.7% |  9.99e-04
    125 | -5.120482e+01 | -5.119761e+01 | -7.210698e-03 |  0.9481 |    -1.0881 |   55.7% |  9.98e-04
    150 | -5.114433e+01 | -5.113706e+01 | -7.265350e-03 |  0.9936 |    -1.0934 |   56.4% |  9.97e-04
    175 | -5.123634e+01 | -5.122902e+01 | -7.315102e-03 |  0.9656 |    -0.9200 |   31.6% |  9.96e-04
    200 | -5.123263e+01 | -5.122529e+01 | -7.340770e-03 |  0.9572 |    -0.8019 |   14.7% |  9.94e-04
    225 | -5.125341e+01 | -5.124607e+01 | -7.337993e-03 |  0.9637 |    -0.7806 |   11.7% |  9.92e-04
    250 | -5.125963e+01 | -5.125227e+01 | -7.354683e-03 |  0.9631 |    -0.7021 |    0.5% |  9.89e-04
    275 | -5.123882e+01 | -5.123145e+01 | -7.375629e-03 |  0.9578 |    -0.5965 |   14.7% |  9.86e-04
    300 | -5.125177e+01 | -5.124438e+01 | -7.389244e-03 |  0.9585 |    -0.5264 |   24.7% |  9.83e-04
    325 | -5.125229e+01 | -5.124490e+01 | -7.391050e-03 |  0.9659 |    -0.5088 |   27.2% |  9.80e-04
    350 | -5.125053e+01 | -5.124313e+01 | -7.398645e-03 |  0.9670 |    -0.4708 |   32.6% |  9.76e-04
    375 | -5.126436e+01 | -5.125695e+01 | -7.413385e-03 |  0.9564 |    -0.4077 |   41.7% |  9.72e-04
    400 | -5.125764e+01 | -5.125021e+01 | -7.430280e-03 |  0.9606 |    -0.3386 |   51.6% |  9.67e-04
    425 | -5.125663e+01 | -5.124919e+01 | -7.443827e-03 |  0.9661 |    -0.2962 |   57.6% |  9.62e-04
    450 | -5.125635e+01 | -5.124889e+01 | -7.467005e-03 |  0.9657 |    -0.2175 |   68.9% |  9.57e-04
    475 | -5.126525e+01 | -5.125776e+01 | -7.496975e-03 |  0.9643 |    -0.0901 |   87.1% |  9.52e-04
    500 | -5.126810e+01 | -5.126057e+01 | -7.536095e-03 |  0.9647 |     0.0809 |   88.4% |  9.46e-04
