╔══════════════════════════════════════════════════════════════╗
║  DPC-GNN Multi-Tissue Solid Mechanics Training Pipeline    ║
║  Physics: Neo-Hookean Hyperelastic | GNN: AntisymmetricMP  ║
╚══════════════════════════════════════════════════════════════╝

  GPU: NVIDIA GeForce RTX 5090
  VRAM: 33.7 GB
  PyTorch: 2.8.0+cu128

======================================================================
  TISSUE: BONE | E=10000000 Pa (10000.0 kPa) | ν=0.3
  Beam: 10cm x 2cm x 2cm
  Mesh: 22x7x7 | Device: cuda | Epochs: 3000
  Expected tip δ: 0.6990 mm | Scale: 6.99e-04
======================================================================
  Nodes: 1472 | Tets: 5390 | Edges: 20904
  Params: 161,731
  ⚡ F-bar enabled (ν=0.30 ≥ 0.45, anti-locking)

     Ep |         Loss |         E_el |         E_gr |   J_min |  u_tip(mm) |    Err% |        lr
  ----------------------------------------------------------------------------------------
      1 | -5.937431e-03 | 1.518354e-03 | -7.455785e-03 |  1.0000 |     0.0001 |  100.0% |  2.00e-05
      2 | -7.569563e-03 | -1.137707e-04 | -7.455792e-03 |  1.0000 |     0.0001 |  100.0% |  4.00e-05
      3 | -1.086589e-02 | -3.410085e-03 | -7.455807e-03 |  1.0000 |     0.0001 |  100.0% |  6.00e-05
      4 | -1.579949e-02 | -8.343661e-03 | -7.455830e-03 |  1.0000 |     0.0002 |  100.0% |  8.00e-05
      5 | -2.241835e-02 | -1.496249e-02 | -7.455859e-03 |  1.0001 |     0.0002 |  100.0% |  1.00e-04
     25 | -2.513456e+00 | -2.506001e+00 | -7.455419e-03 |  1.0049 |     0.0018 |   99.7% |  5.00e-04
     50 | -2.419175e+01 | -2.418431e+01 | -7.436031e-03 |  1.0396 |    -0.0331 |   95.3% |  1.00e-03
     75 | -4.250327e+01 | -4.249594e+01 | -7.327167e-03 |  1.1805 |    -0.2604 |   62.8% |  1.00e-03
    100 | -4.925743e+01 | -4.925010e+01 | -7.324975e-03 |  0.9385 |    -0.7654 |    9.5% |  9.99e-04
    125 | -5.110023e+01 | -5.109297e+01 | -7.255193e-03 |  1.0077 |    -0.8533 |   22.1% |  9.98e-04
    150 | -5.119060e+01 | -5.118328e+01 | -7.317080e-03 |  0.9837 |    -0.6490 |    7.1% |  9.97e-04
    175 | -5.123540e+01 | -5.122805e+01 | -7.351548e-03 |  0.9805 |    -0.5946 |   14.9% |  9.96e-04
    200 | -5.123137e+01 | -5.122403e+01 | -7.345921e-03 |  0.9822 |    -0.6029 |   13.7% |  9.94e-04
    225 | -5.124464e+01 | -5.123730e+01 | -7.344872e-03 |  0.9800 |    -0.6114 |   12.5% |  9.92e-04
    250 | -5.123915e+01 | -5.123179e+01 | -7.364031e-03 |  0.9714 |    -0.5699 |   18.5% |  9.89e-04
    275 | -5.124517e+01 | -5.123780e+01 | -7.370084e-03 |  0.9702 |    -0.5535 |   20.8% |  9.86e-04
    300 | -5.125179e+01 | -5.124442e+01 | -7.368051e-03 |  0.9743 |    -0.5546 |   20.7% |  9.83e-04
    325 | -5.125540e+01 | -5.124802e+01 | -7.380638e-03 |  0.9728 |    -0.5161 |   26.2% |  9.80e-04
    350 | -5.125081e+01 | -5.124340e+01 | -7.403544e-03 |  0.9654 |    -0.4471 |   36.0% |  9.76e-04
    375 | -5.125690e+01 | -5.124948e+01 | -7.423666e-03 |  0.9651 |    -0.3826 |   45.3% |  9.72e-04
    400 | -5.123865e+01 | -5.123120e+01 | -7.449389e-03 |  0.9624 |    -0.3020 |   56.8% |  9.67e-04
    425 | -5.125219e+01 | -5.124472e+01 | -7.472927e-03 |  0.9664 |    -0.2107 |   69.9% |  9.62e-04
