╔══════════════════════════════════════════════════════════════╗
║  DPC-GNN Multi-Tissue Solid Mechanics Training Pipeline    ║
║  Physics: Neo-Hookean Hyperelastic | GNN: AntisymmetricMP  ║
╚══════════════════════════════════════════════════════════════╝

  GPU: NVIDIA GeForce RTX 5090
  VRAM: 33.7 GB
  PyTorch: 2.8.0+cu128

======================================================================
  TISSUE: BONE | E=10000000 Pa (10000.0 kPa) | ν=0.3
  Beam: 10cm x 2cm x 2cm
  Mesh: 22x7x7 | Device: cuda | Epochs: 3000
  Expected tip δ: 0.6990 mm | Scale: 6.99e-04
======================================================================
  Nodes: 1472 | Tets: 5390 | Edges: 20904
  Params: 161,731
  ⚡ F-bar enabled (ν=0.30 ≥ 0.45, anti-locking)

     Ep |         Loss |         E_el |         E_gr |   J_min |  u_tip(mm) |    Err% |        lr
  ----------------------------------------------------------------------------------------
      1 | -1.031119e-02 | -2.856346e-03 | -7.454840e-03 |  1.0000 |    -0.0009 |   99.9% |  2.00e-05
      2 | -1.220052e-02 | -4.745683e-03 | -7.454840e-03 |  1.0000 |    -0.0009 |   99.9% |  4.00e-05
      3 | -1.599609e-02 | -8.541251e-03 | -7.454840e-03 |  1.0000 |    -0.0009 |   99.9% |  6.00e-05
      4 | -2.175313e-02 | -1.429829e-02 | -7.454838e-03 |  1.0000 |    -0.0009 |   99.9% |  8.00e-05
      5 | -2.950724e-02 | -2.205241e-02 | -7.454833e-03 |  1.0001 |    -0.0009 |   99.9% |  1.00e-04
     25 | -2.758630e+00 | -2.751169e+00 | -7.461145e-03 |  1.0047 |     0.0124 |   98.2% |  5.00e-04
     50 | -2.512068e+01 | -2.511316e+01 | -7.516171e-03 |  1.0493 |     0.0787 |   88.7% |  1.00e-03
     75 | -4.266255e+01 | -4.265477e+01 | -7.782710e-03 |  1.1452 |     0.6407 |    8.3% |  1.00e-03
    100 | -4.910310e+01 | -4.909518e+01 | -7.919585e-03 |  0.8771 |     1.5283 |  118.6% |  9.99e-04
    125 | -5.119642e+01 | -5.118841e+01 | -8.010693e-03 |  0.9752 |     1.9675 |  181.5% |  9.98e-04
