╔══════════════════════════════════════════════════════════════╗
║  DPC-GNN Multi-Tissue Solid Mechanics Training Pipeline    ║
║  Physics: Neo-Hookean Hyperelastic | GNN: AntisymmetricMP  ║
╚══════════════════════════════════════════════════════════════╝

  GPU: NVIDIA GeForce RTX 5090
  VRAM: 33.7 GB
  PyTorch: 2.8.0+cu128

======================================================================
  TISSUE: BONE | E=10000000 Pa (10000.0 kPa) | ν=0.3
  Beam: 10cm x 2cm x 2cm
  Mesh: 22x7x7 | Device: cuda | Epochs: 3000
  Expected tip δ: 0.6990 mm | Scale: 6.99e-04
======================================================================
  Nodes: 1472 | Tets: 5390 | Edges: 20904
  Params: 161,731
  ⚡ F-bar enabled (ν=0.30 ≥ 0.45, anti-locking)

     Ep |         Loss |         E_el |         E_gr |   J_min |  u_tip(mm) |    Err% |        lr
  ----------------------------------------------------------------------------------------
      1 | -7.606408e-03 | -1.504816e-04 | -7.455926e-03 |  1.0000 |     0.0007 |   99.9% |  2.00e-05
      2 | -9.545512e-03 | -2.089535e-03 | -7.455977e-03 |  1.0000 |     0.0008 |   99.9% |  4.00e-05
      3 | -1.337544e-02 | -5.919363e-03 | -7.456078e-03 |  1.0000 |     0.0009 |   99.9% |  6.00e-05
      4 | -1.917253e-02 | -1.171630e-02 | -7.456235e-03 |  1.0000 |     0.0010 |   99.9% |  8.00e-05
      5 | -2.696518e-02 | -1.950873e-02 | -7.456446e-03 |  1.0001 |     0.0012 |   99.8% |  1.00e-04
     25 | -2.729565e+00 | -2.722123e+00 | -7.442484e-03 |  1.0036 |    -0.0256 |   96.3% |  5.00e-04
     50 | -2.482618e+01 | -2.481895e+01 | -7.228065e-03 |  1.0412 |    -0.3519 |   49.7% |  1.00e-03
     75 | -4.275437e+01 | -4.274770e+01 | -6.674144e-03 |  1.1025 |    -1.6378 |  134.3% |  1.00e-03
    100 | -4.931433e+01 | -4.930790e+01 | -6.435352e-03 |  0.8966 |    -3.9146 |  460.1% |  9.99e-04
    125 | -5.115952e+01 | -5.115322e+01 | -6.299302e-03 |  0.9952 |    -4.7319 |  577.0% |  9.98e-04
    150 | -5.121727e+01 | -5.121070e+01 | -6.570347e-03 |  0.9709 |    -3.8818 |  455.4% |  9.97e-04
    175 | -5.122341e+01 | -5.121682e+01 | -6.591645e-03 |  0.9674 |    -3.7308 |  433.8% |  9.96e-04
    200 | -5.125101e+01 | -5.124437e+01 | -6.648678e-03 |  0.9625 |    -3.5266 |  404.5% |  9.94e-04
    225 | -5.125633e+01 | -5.124965e+01 | -6.674508e-03 |  0.9640 |    -3.4159 |  388.7% |  9.92e-04
    250 | -5.123571e+01 | -5.122904e+01 | -6.675843e-03 |  0.9693 |    -3.3841 |  384.2% |  9.89e-04
    275 | -5.125094e+01 | -5.124419e+01 | -6.749737e-03 |  0.9786 |    -3.1496 |  350.6% |  9.86e-04
    300 | -5.125167e+01 | -5.124489e+01 | -6.783746e-03 |  0.9646 |    -3.0084 |  330.4% |  9.83e-04
    325 | -5.126156e+01 | -5.125475e+01 | -6.808687e-03 |  0.9643 |    -2.9127 |  316.7% |  9.80e-04
    350 | -5.124295e+01 | -5.123615e+01 | -6.806717e-03 |  0.9704 |    -2.8989 |  314.7% |  9.76e-04
    375 | -5.125590e+01 | -5.124909e+01 | -6.804985e-03 |  0.9697 |    -2.8742 |  311.2% |  9.72e-04
    400 | -5.125862e+01 | -5.125172e+01 | -6.900907e-03 |  0.9678 |    -2.5922 |  270.9% |  9.67e-04
    425 | -5.126254e+01 | -5.125560e+01 | -6.936735e-03 |  0.9686 |    -2.4384 |  248.9% |  9.62e-04
    450 | -5.125244e+01 | -5.124551e+01 | -6.928303e-03 |  0.9755 |    -2.4410 |  249.2% |  9.57e-04
    475 | -5.124796e+01 | -5.124098e+01 | -6.977595e-03 |  0.9707 |    -2.3015 |  229.3% |  9.52e-04
    500 | -5.126214e+01 | -5.125506e+01 | -7.080521e-03 |  0.9705 |    -1.9066 |  172.8% |  9.46e-04
    525 | -5.126343e+01 | -5.125636e+01 | -7.074860e-03 |  0.9700 |    -1.8641 |  166.7% |  9.40e-04
    550 | -5.125932e+01 | -5.125224e+01 | -7.071023e-03 |  0.9755 |    -1.8757 |  168.4% |  9.34e-04
    575 | -5.125763e+01 | -5.125054e+01 | -7.087172e-03 |  0.9763 |    -1.8178 |  160.1% |  9.27e-04
    600 | -5.126266e+01 | -5.125553e+01 | -7.128610e-03 |  0.9743 |    -1.6813 |  140.5% |  9.20e-04
    625 | -5.126328e+01 | -5.125611e+01 | -7.165284e-03 |  0.9727 |    -1.5574 |  122.8% |  9.13e-04
    650 | -5.126343e+01 | -5.125628e+01 | -7.157900e-03 |  0.9785 |    -1.5617 |  123.4% |  9.05e-04
    675 | -5.125959e+01 | -5.125241e+01 | -7.177916e-03 |  0.9792 |    -1.4820 |  112.0% |  8.98e-04
    700 | -5.126058e+01 | -5.125336e+01 | -7.221268e-03 |  0.9772 |    -1.3226 |   89.2% |  8.90e-04
    725 | -5.126890e+01 | -5.126166e+01 | -7.241210e-03 |  0.9748 |    -1.2513 |   79.0% |  8.81e-04
    750 | -5.125997e+01 | -5.125273e+01 | -7.240801e-03 |  0.9785 |    -1.2363 |   76.9% |  8.73e-04
    775 | -5.126580e+01 | -5.125854e+01 | -7.262575e-03 |  0.9788 |    -1.1522 |   64.8% |  8.64e-04
    800 | -5.126875e+01 | -5.126144e+01 | -7.301801e-03 |  0.9754 |    -1.0138 |   45.0% |  8.55e-04
    825 | -5.127075e+01 | -5.126343e+01 | -7.320995e-03 |  0.9753 |    -0.9275 |   32.7% |  8.46e-04
    850 | -5.126447e+01 | -5.125713e+01 | -7.339936e-03 |  0.9786 |    -0.8344 |   19.4% |  8.36e-04
    875 | -5.126531e+01 | -5.125796e+01 | -7.345312e-03 |  0.9788 |    -0.7975 |   14.1% |  8.26e-04
    900 | -5.126923e+01 | -5.126186e+01 | -7.375126e-03 |  0.9760 |    -0.6975 |    0.2% |  8.17e-04
    925 | -5.127024e+01 | -5.126284e+01 | -7.394516e-03 |  0.9769 |    -0.6237 |   10.8% |  8.06e-04
    950 | -5.126304e+01 | -5.125564e+01 | -7.403482e-03 |  0.9749 |    -0.5794 |   17.1% |  7.96e-04
    975 | -5.126832e+01 | -5.126090e+01 | -7.420405e-03 |  0.9781 |    -0.5012 |   28.3% |  7.85e-04
   1000 | -5.126821e+01 | -5.126076e+01 | -7.451645e-03 |  0.9742 |    -0.3918 |   44.0% |  7.75e-04
   1025 | -5.127090e+01 | -5.126344e+01 | -7.470550e-03 |  0.9751 |    -0.3121 |   55.4% |  7.64e-04
   1050 | -5.126525e+01 | -5.125777e+01 | -7.481534e-03 |  0.9793 |    -0.2571 |   63.2% |  7.52e-04
   1075 | -5.127012e+01 | -5.126260e+01 | -7.517520e-03 |  0.9786 |    -0.1203 |   82.8% |  7.41e-04
   1100 | -5.126909e+01 | -5.126154e+01 | -7.544897e-03 |  0.9754 |    -0.0047 |   99.3% |  7.30e-04
   1125 | -5.127087e+01 | -5.126332e+01 | -7.551397e-03 |  0.9757 |     0.0357 |   94.9% |  7.18e-04
   1150 | -5.126731e+01 | -5.125976e+01 | -7.550227e-03 |  0.9789 |     0.0502 |   92.8% |  7.06e-04
