╔══════════════════════════════════════════════════════════════╗
║  DPC-GNN Multi-Tissue Solid Mechanics Training Pipeline    ║
║  Physics: Neo-Hookean Hyperelastic | GNN: AntisymmetricMP  ║
╚══════════════════════════════════════════════════════════════╝

  GPU: NVIDIA GeForce RTX 5090
  VRAM: 33.7 GB
  PyTorch: 2.8.0+cu128

======================================================================
  TISSUE: BONE | E=10000000 Pa (10000.0 kPa) | ν=0.3
  Beam: 10cm x 2cm x 2cm
  Mesh: 22x7x7 | Device: cuda | Epochs: 3000
  Expected tip δ: 0.6990 mm | Scale: 6.99e-04
======================================================================
  Nodes: 1472 | Tets: 5390 | Edges: 20904
  Params: 161,731
  ⚡ F-bar enabled (ν=0.30 ≥ 0.45, anti-locking)

     Ep |         Loss |         E_el |         E_gr |   J_min |  u_tip(mm) |    Err% |        lr
  ----------------------------------------------------------------------------------------
      1 | -1.091605e-02 | -3.462103e-03 | -7.453949e-03 |  1.0000 |    -0.0027 |   99.6% |  2.00e-05
      2 | -1.295154e-02 | -5.497598e-03 | -7.453938e-03 |  1.0000 |    -0.0027 |   99.6% |  4.00e-05
      3 | -1.698585e-02 | -9.531932e-03 | -7.453916e-03 |  1.0000 |    -0.0027 |   99.6% |  6.00e-05
      4 | -2.309212e-02 | -1.563823e-02 | -7.453888e-03 |  1.0001 |    -0.0028 |   99.6% |  8.00e-05
      5 | -3.132322e-02 | -2.386936e-02 | -7.453856e-03 |  1.0001 |    -0.0028 |   99.6% |  1.00e-04
     25 | -3.072015e+00 | -3.064556e+00 | -7.459482e-03 |  1.0060 |     0.0140 |   98.0% |  5.00e-04
     50 | -2.575284e+01 | -2.574519e+01 | -7.642608e-03 |  1.0718 |     0.2159 |   69.1% |  1.00e-03
     75 | -4.271877e+01 | -4.271095e+01 | -7.822840e-03 |  1.1609 |     0.8180 |   17.0% |  1.00e-03
    100 | -4.972643e+01 | -4.971843e+01 | -8.005382e-03 |  0.9398 |     2.6083 |  273.2% |  9.99e-04
    125 | -5.119064e+01 | -5.118243e+01 | -8.213324e-03 |  0.9592 |     2.9317 |  319.4% |  9.98e-04
    150 | -5.121106e+01 | -5.120297e+01 | -8.091665e-03 |  0.9559 |     2.6160 |  274.3% |  9.97e-04
    175 | -5.120765e+01 | -5.119959e+01 | -8.059699e-03 |  0.9534 |     2.5123 |  259.4% |  9.96e-04
    200 | -5.124324e+01 | -5.123514e+01 | -8.107579e-03 |  0.9606 |     2.6046 |  272.6% |  9.94e-04
    225 | -5.108466e+01 | -5.107653e+01 | -8.137941e-03 |  1.0291 |     2.5990 |  271.8% |  9.92e-04
    250 | -5.122776e+01 | -5.121960e+01 | -8.155430e-03 |  0.9689 |     2.5697 |  267.6% |  9.89e-04
    275 | -5.123347e+01 | -5.122544e+01 | -8.022918e-03 |  0.9503 |     2.2260 |  218.5% |  9.86e-04
    300 | -5.121037e+01 | -5.120234e+01 | -8.033517e-03 |  0.9522 |     2.1996 |  214.7% |  9.83e-04
    325 | -5.123815e+01 | -5.123011e+01 | -8.034065e-03 |  0.9562 |     2.2265 |  218.5% |  9.80e-04
    350 | -5.125460e+01 | -5.124659e+01 | -8.006891e-03 |  0.9594 |     2.1975 |  214.4% |  9.76e-04
    375 | -5.125314e+01 | -5.124506e+01 | -8.072944e-03 |  0.9641 |     2.3436 |  235.3% |  9.72e-04
    400 | -5.125131e+01 | -5.124323e+01 | -8.075046e-03 |  0.9655 |     2.3522 |  236.5% |  9.67e-04
    425 | -5.125438e+01 | -5.124632e+01 | -8.053744e-03 |  0.9648 |     2.3037 |  229.6% |  9.62e-04
    450 | -5.126163e+01 | -5.125358e+01 | -8.053535e-03 |  0.9603 |     2.3156 |  231.3% |  9.57e-04
    475 | -5.125481e+01 | -5.124673e+01 | -8.078992e-03 |  0.9678 |     2.3632 |  238.1% |  9.52e-04
    500 | -5.126365e+01 | -5.125558e+01 | -8.071529e-03 |  0.9633 |     2.3576 |  237.3% |  9.46e-04
    525 | -5.126783e+01 | -5.125977e+01 | -8.057021e-03 |  0.9770 |     2.3359 |  234.2% |  9.40e-04
    550 | -5.126756e+01 | -5.125948e+01 | -8.079922e-03 |  0.9589 |     2.4074 |  244.4% |  9.34e-04
    575 | -5.126471e+01 | -5.125661e+01 | -8.093420e-03 |  0.9730 |     2.4270 |  247.2% |  9.27e-04
    600 | -5.125937e+01 | -5.125128e+01 | -8.087931e-03 |  0.9675 |     2.4226 |  246.6% |  9.20e-04
    625 | -5.126564e+01 | -5.125761e+01 | -8.031338e-03 |  0.9624 |     2.3152 |  231.2% |  9.13e-04
    650 | -5.126674e+01 | -5.125864e+01 | -8.101961e-03 |  0.9684 |     2.4675 |  253.0% |  9.05e-04
    675 | -5.125821e+01 | -5.125009e+01 | -8.118100e-03 |  0.9716 |     2.5122 |  259.4% |  8.98e-04
    700 | -5.126664e+01 | -5.125853e+01 | -8.115740e-03 |  0.9704 |     2.5145 |  259.7% |  8.90e-04
    725 | -5.126638e+01 | -5.125827e+01 | -8.106299e-03 |  0.9684 |     2.4911 |  256.4% |  8.81e-04
    750 | -5.127149e+01 | -5.126338e+01 | -8.114317e-03 |  0.9693 |     2.5155 |  259.9% |  8.73e-04
    775 | -5.126717e+01 | -5.125904e+01 | -8.131316e-03 |  0.9729 |     2.5790 |  269.0% |  8.64e-04
    800 | -5.126598e+01 | -5.125783e+01 | -8.144798e-03 |  0.9731 |     2.6071 |  273.0% |  8.55e-04
    825 | -5.126284e+01 | -5.125469e+01 | -8.152165e-03 |  0.9704 |     2.6285 |  276.1% |  8.46e-04
    850 | -5.127123e+01 | -5.126310e+01 | -8.125765e-03 |  0.9701 |     2.5935 |  271.0% |  8.36e-04
    875 | -5.127006e+01 | -5.126189e+01 | -8.169821e-03 |  0.9715 |     2.7020 |  286.6% |  8.26e-04
    900 | -5.126458e+01 | -5.125643e+01 | -8.143283e-03 |  0.9734 |     2.6692 |  281.9% |  8.17e-04
    925 | -5.126690e+01 | -5.125876e+01 | -8.146268e-03 |  0.9695 |     2.6751 |  282.7% |  8.06e-04
    950 | -5.127086e+01 | -5.126269e+01 | -8.167936e-03 |  0.9704 |     2.7182 |  288.9% |  7.96e-04
    975 | -5.126337e+01 | -5.125520e+01 | -8.173118e-03 |  0.9749 |     2.7621 |  295.2% |  7.85e-04
   1000 | -5.127118e+01 | -5.126299e+01 | -8.181238e-03 |  0.9735 |     2.7897 |  299.1% |  7.75e-04
   1025 | -5.127021e+01 | -5.126202e+01 | -8.191416e-03 |  0.9708 |     2.8025 |  301.0% |  7.64e-04
   1050 | -5.127243e+01 | -5.126424e+01 | -8.194251e-03 |  0.9722 |     2.8300 |  304.9% |  7.52e-04
   1075 | -5.127047e+01 | -5.126226e+01 | -8.206446e-03 |  0.9749 |     2.8767 |  311.6% |  7.41e-04
   1100 | -5.126920e+01 | -5.126097e+01 | -8.223111e-03 |  0.9750 |     2.9182 |  317.5% |  7.30e-04
   1125 | -5.127262e+01 | -5.126439e+01 | -8.222622e-03 |  0.9725 |     2.9293 |  319.1% |  7.18e-04
   1150 | -5.126935e+01 | -5.126112e+01 | -8.229580e-03 |  0.9726 |     2.9661 |  324.4% |  7.06e-04
   1175 | -5.126945e+01 | -5.126121e+01 | -8.243209e-03 |  0.9749 |     3.0110 |  330.8% |  6.94e-04
   1200 | -5.126834e+01 | -5.126008e+01 | -8.262680e-03 |  0.9761 |     3.0700 |  339.2% |  6.82e-04
   1225 | -5.126983e+01 | -5.126158e+01 | -8.252153e-03 |  0.9726 |     3.0626 |  338.2% |  6.70e-04
   1250 | -5.127221e+01 | -5.126395e+01 | -8.257174e-03 |  0.9728 |     3.0828 |  341.1% |  6.58e-04
   1275 | -5.126838e+01 | -5.126010e+01 | -8.278916e-03 |  0.9752 |     3.1541 |  351.3% |  6.46e-04
   1300 | -5.127169e+01 | -5.126339e+01 | -8.298082e-03 |  0.9731 |     3.2194 |  360.6% |  6.33e-04
   1325 | -5.127204e+01 | -5.126375e+01 | -8.289786e-03 |  0.9727 |     3.2086 |  359.1% |  6.21e-04
   1350 | -5.127308e+01 | -5.126479e+01 | -8.296451e-03 |  0.9733 |     3.2337 |  362.6% |  6.08e-04
   1375 | -5.127020e+01 | -5.126189e+01 | -8.313010e-03 |  0.9747 |     3.2938 |  371.2% |  5.95e-04
   1400 | -5.127254e+01 | -5.126422e+01 | -8.319933e-03 |  0.9743 |     3.3227 |  375.4% |  5.82e-04
   1425 | -5.127288e+01 | -5.126456e+01 | -8.323055e-03 |  0.9712 |     3.3385 |  377.6% |  5.70e-04
   1450 | -5.127385e+01 | -5.126551e+01 | -8.334618e-03 |  0.9707 |     3.3842 |  384.2% |  5.57e-04
   1475 | -5.127256e+01 | -5.126421e+01 | -8.354673e-03 |  0.9729 |     3.4552 |  394.3% |  5.44e-04
   1500 | -5.127248e+01 | -5.126412e+01 | -8.361965e-03 |  0.9722 |     3.4862 |  398.8% |  5.31e-04
   1525 | -5.127369e+01 | -5.126532e+01 | -8.361425e-03 |  0.9691 |     3.4921 |  399.6% |  5.18e-04
   1550 | -5.127329e+01 | -5.126492e+01 | -8.369742e-03 |  0.9689 |     3.5254 |  404.4% |  5.05e-04
   1575 | -5.127283e+01 | -5.126445e+01 | -8.386411e-03 |  0.9705 |     3.5863 |  413.1% |  4.92e-04
   1600 | -5.127264e+01 | -5.126424e+01 | -8.398538e-03 |  0.9700 |     3.6326 |  419.7% |  4.79e-04
   1625 | -5.127408e+01 | -5.126567e+01 | -8.403556e-03 |  0.9669 |     3.6581 |  423.4% |  4.66e-04
   1650 | -5.127348e+01 | -5.126507e+01 | -8.414549e-03 |  0.9660 |     3.7035 |  429.9% |  4.53e-04
   1675 | -5.127307e+01 | -5.126464e+01 | -8.429050e-03 |  0.9680 |     3.7585 |  437.7% |  4.40e-04
   1700 | -5.127307e+01 | -5.126463e+01 | -8.436773e-03 |  0.9674 |     3.7918 |  442.5% |  4.28e-04
