╔══════════════════════════════════════════════════════════════╗
║  DPC-GNN Multi-Tissue Solid Mechanics Training Pipeline    ║
║  Physics: Neo-Hookean Hyperelastic | GNN: AntisymmetricMP  ║
╚══════════════════════════════════════════════════════════════╝

  GPU: NVIDIA GeForce RTX 5090
  VRAM: 33.7 GB
  PyTorch: 2.8.0+cu128

======================================================================
  TISSUE: BONE | E=10000000 Pa (10000.0 kPa) | ν=0.3
  Beam: 10cm x 2cm x 2cm
  Mesh: 22x7x7 | Device: cuda | Epochs: 3000
  Expected tip δ: 0.6990 mm | Scale: 6.99e-04
======================================================================
  Nodes: 1472 | Tets: 5390 | Edges: 20904
  Params: 161,731
  ⚡ F-bar enabled (ν=0.30 ≥ 0.45, anti-locking)

     Ep |         Loss |         E_el |         E_gr |   J_min |  u_tip(mm) |    Err% |        lr
  ----------------------------------------------------------------------------------------
      1 | -8.151911e-03 | -6.964582e-04 | -7.455453e-03 |  0.9997 |    -0.0002 |  100.0% |  2.00e-05
      2 | -1.055454e-02 | -3.099068e-03 | -7.455476e-03 |  0.9998 |    -0.0002 |  100.0% |  4.00e-05
      3 | -1.532273e-02 | -7.867208e-03 | -7.455521e-03 |  0.9999 |    -0.0001 |  100.0% |  6.00e-05
      4 | -2.251061e-02 | -1.505503e-02 | -7.455587e-03 |  1.0000 |     0.0000 |  100.0% |  8.00e-05
      5 | -3.219026e-02 | -2.473459e-02 | -7.455671e-03 |  1.0001 |     0.0002 |  100.0% |  1.00e-04
     25 | -2.998569e+00 | -2.991106e+00 | -7.462562e-03 |  1.0039 |     0.0159 |   97.7% |  5.00e-04
     50 | -2.559829e+01 | -2.559083e+01 | -7.462718e-03 |  1.0706 |     0.0908 |   87.0% |  1.00e-03
     75 | -4.271720e+01 | -4.270958e+01 | -7.622764e-03 |  1.1393 |     0.2849 |   59.2% |  1.00e-03
    100 | -4.954590e+01 | -4.953806e+01 | -7.839698e-03 |  0.9144 |     1.6814 |  140.6% |  9.99e-04
    125 | -5.111308e+01 | -5.110534e+01 | -7.748083e-03 |  0.9443 |     1.3341 |   90.9% |  9.98e-04
    150 | -5.119738e+01 | -5.118953e+01 | -7.858254e-03 |  0.9502 |     1.6727 |  139.3% |  9.97e-04
    175 | -5.124294e+01 | -5.123511e+01 | -7.827125e-03 |  0.9442 |     1.6390 |  134.5% |  9.96e-04
    200 | -5.122554e+01 | -5.121773e+01 | -7.810440e-03 |  0.9400 |     1.6118 |  130.6% |  9.94e-04
    225 | -5.123869e+01 | -5.123087e+01 | -7.824745e-03 |  0.9418 |     1.6390 |  134.5% |  9.92e-04
    250 | -5.125083e+01 | -5.124297e+01 | -7.858471e-03 |  0.9541 |     1.7105 |  144.7% |  9.89e-04
    275 | -5.125772e+01 | -5.124986e+01 | -7.861432e-03 |  0.9532 |     1.6976 |  142.9% |  9.86e-04
    300 | -5.123976e+01 | -5.123191e+01 | -7.845439e-03 |  0.9481 |     1.6372 |  134.2% |  9.83e-04
    325 | -5.124540e+01 | -5.123755e+01 | -7.851389e-03 |  0.9507 |     1.6376 |  134.3% |  9.80e-04
    350 | -5.125552e+01 | -5.124764e+01 | -7.877549e-03 |  0.9596 |     1.6942 |  142.4% |  9.76e-04
    375 | -5.125637e+01 | -5.124849e+01 | -7.878402e-03 |  0.9608 |     1.6953 |  142.5% |  9.72e-04
    400 | -5.125692e+01 | -5.124906e+01 | -7.866163e-03 |  0.9564 |     1.6580 |  137.2% |  9.67e-04
    425 | -5.125970e+01 | -5.125182e+01 | -7.873910e-03 |  0.9575 |     1.6759 |  139.8% |  9.62e-04
    450 | -5.125775e+01 | -5.124984e+01 | -7.902896e-03 |  0.9655 |     1.7568 |  151.3% |  9.57e-04
    475 | -5.125439e+01 | -5.124646e+01 | -7.921837e-03 |  0.9666 |     1.8284 |  161.6% |  9.52e-04
    500 | -5.125853e+01 | -5.125061e+01 | -7.916614e-03 |  0.9626 |     1.8451 |  164.0% |  9.46e-04
    525 | -5.126876e+01 | -5.126084e+01 | -7.922316e-03 |  0.9658 |     1.8610 |  166.3% |  9.40e-04
    550 | -5.123691e+01 | -5.122899e+01 | -7.919004e-03 |  0.9826 |     1.8969 |  171.4% |  9.34e-04
    575 | -5.125467e+01 | -5.124670e+01 | -7.967812e-03 |  0.9777 |     1.9714 |  182.0% |  9.27e-04
    600 | -5.126018e+01 | -5.125223e+01 | -7.944607e-03 |  0.9688 |     1.9232 |  175.2% |  9.20e-04
    625 | -5.126620e+01 | -5.125824e+01 | -7.957044e-03 |  0.9693 |     1.9564 |  179.9% |  9.13e-04
    650 | -5.125427e+01 | -5.124628e+01 | -7.982736e-03 |  0.9724 |     2.0276 |  190.1% |  9.05e-04
    675 | -5.124915e+01 | -5.124114e+01 | -8.009937e-03 |  0.9751 |     2.0882 |  198.8% |  8.98e-04
    700 | -5.126244e+01 | -5.125448e+01 | -7.960710e-03 |  0.9721 |     2.0136 |  188.1% |  8.90e-04
    725 | -5.126186e+01 | -5.125387e+01 | -7.986382e-03 |  0.9674 |     2.0748 |  196.8% |  8.81e-04
    750 | -5.126288e+01 | -5.125487e+01 | -8.012244e-03 |  0.9725 |     2.1452 |  206.9% |  8.73e-04
    775 | -5.126021e+01 | -5.125219e+01 | -8.021118e-03 |  0.9725 |     2.1776 |  211.5% |  8.64e-04
    800 | -5.127171e+01 | -5.126369e+01 | -8.016029e-03 |  0.9683 |     2.1839 |  212.4% |  8.55e-04
    825 | -5.126966e+01 | -5.126163e+01 | -8.029643e-03 |  0.9695 |     2.2243 |  218.2% |  8.46e-04
    850 | -5.126795e+01 | -5.125991e+01 | -8.044456e-03 |  0.9726 |     2.2772 |  225.8% |  8.36e-04
    875 | -5.126586e+01 | -5.125780e+01 | -8.055353e-03 |  0.9733 |     2.3132 |  230.9% |  8.26e-04
    900 | -5.127084e+01 | -5.126279e+01 | -8.053880e-03 |  0.9707 |     2.3187 |  231.7% |  8.17e-04
    925 | -5.127261e+01 | -5.126454e+01 | -8.069551e-03 |  0.9709 |     2.3757 |  239.9% |  8.06e-04
    950 | -5.126661e+01 | -5.125851e+01 | -8.094022e-03 |  0.9754 |     2.4807 |  254.9% |  7.96e-04
    975 | -5.126814e+01 | -5.126004e+01 | -8.095657e-03 |  0.9741 |     2.4769 |  254.4% |  7.85e-04
   1000 | -5.126959e+01 | -5.126149e+01 | -8.097183e-03 |  0.9712 |     2.4888 |  256.1% |  7.75e-04
   1025 | -5.127190e+01 | -5.126379e+01 | -8.106479e-03 |  0.9719 |     2.5273 |  261.6% |  7.64e-04
   1050 | -5.126081e+01 | -5.125268e+01 | -8.128373e-03 |  0.9755 |     2.6053 |  272.7% |  7.52e-04
   1075 | -5.127049e+01 | -5.126237e+01 | -8.123284e-03 |  0.9783 |     2.6234 |  275.3% |  7.41e-04
   1100 | -5.126903e+01 | -5.126092e+01 | -8.113137e-03 |  0.9694 |     2.6076 |  273.1% |  7.30e-04
   1125 | -5.127155e+01 | -5.126342e+01 | -8.133562e-03 |  0.9688 |     2.6581 |  280.3% |  7.18e-04
   1150 | -5.126741e+01 | -5.125924e+01 | -8.166060e-03 |  0.9742 |     2.7435 |  292.5% |  7.06e-04
   1175 | -5.126924e+01 | -5.126107e+01 | -8.174359e-03 |  0.9749 |     2.7738 |  296.8% |  6.94e-04
   1200 | -5.127145e+01 | -5.126328e+01 | -8.169686e-03 |  0.9726 |     2.7757 |  297.1% |  6.82e-04
   1225 | -5.127306e+01 | -5.126488e+01 | -8.177965e-03 |  0.9724 |     2.8150 |  302.7% |  6.70e-04
   1250 | -5.126620e+01 | -5.125801e+01 | -8.187199e-03 |  0.9690 |     2.8737 |  311.1% |  6.58e-04
   1275 | -5.127172e+01 | -5.126352e+01 | -8.198754e-03 |  0.9721 |     2.9046 |  315.6% |  6.46e-04
   1300 | -5.127034e+01 | -5.126213e+01 | -8.206079e-03 |  0.9720 |     2.9204 |  317.8% |  6.33e-04
   1325 | -5.127230e+01 | -5.126408e+01 | -8.214440e-03 |  0.9726 |     2.9563 |  323.0% |  6.21e-04
   1350 | -5.126880e+01 | -5.126057e+01 | -8.232554e-03 |  0.9743 |     3.0200 |  332.1% |  6.08e-04
   1375 | -5.126896e+01 | -5.126072e+01 | -8.241963e-03 |  0.9717 |     3.0632 |  338.2% |  5.95e-04
   1400 | -5.126971e+01 | -5.126147e+01 | -8.242110e-03 |  0.9649 |     3.0825 |  341.0% |  5.82e-04
   1425 | -5.127009e+01 | -5.126184e+01 | -8.253759e-03 |  0.9702 |     3.1201 |  346.4% |  5.70e-04
   1450 | -5.127149e+01 | -5.126322e+01 | -8.271553e-03 |  0.9731 |     3.1818 |  355.2% |  5.57e-04
   1475 | -5.127101e+01 | -5.126273e+01 | -8.281747e-03 |  0.9736 |     3.2218 |  360.9% |  5.44e-04
   1500 | -5.127254e+01 | -5.126426e+01 | -8.284381e-03 |  0.9700 |     3.2415 |  363.8% |  5.31e-04
   1525 | -5.127233e+01 | -5.126403e+01 | -8.293556e-03 |  0.9715 |     3.2786 |  369.1% |  5.18e-04
   1550 | -5.127266e+01 | -5.126435e+01 | -8.309603e-03 |  0.9742 |     3.3350 |  377.1% |  5.05e-04
   1575 | -5.127274e+01 | -5.126442e+01 | -8.318987e-03 |  0.9747 |     3.3724 |  382.5% |  4.92e-04
   1600 | -5.127324e+01 | -5.126492e+01 | -8.321904e-03 |  0.9733 |     3.3911 |  385.2% |  4.79e-04
   1625 | -5.127398e+01 | -5.126565e+01 | -8.332320e-03 |  0.9736 |     3.4331 |  391.2% |  4.66e-04
   1650 | -5.127120e+01 | -5.126285e+01 | -8.349514e-03 |  0.9754 |     3.4973 |  400.4% |  4.53e-04
   1675 | -5.127253e+01 | -5.126417e+01 | -8.361278e-03 |  0.9762 |     3.5451 |  407.2% |  4.40e-04
   1700 | -5.127302e+01 | -5.126466e+01 | -8.363455e-03 |  0.9736 |     3.5615 |  409.5% |  4.28e-04
   1725 | -5.127358e+01 | -5.126521e+01 | -8.373003e-03 |  0.9734 |     3.5994 |  415.0% |  4.15e-04
   1750 | -5.127321e+01 | -5.126482e+01 | -8.387970e-03 |  0.9748 |     3.6545 |  422.8% |  4.02e-04
   1775 | -5.127341e+01 | -5.126501e+01 | -8.397194e-03 |  0.9748 |     3.6919 |  428.2% |  3.89e-04
   1800 | -5.127412e+01 | -5.126572e+01 | -8.401863e-03 |  0.9736 |     3.7153 |  431.5% |  3.77e-04
   1825 | -5.127450e+01 | -5.126609e+01 | -8.412450e-03 |  0.9737 |     3.7577 |  437.6% |  3.64e-04
   1850 | -5.127333e+01 | -5.126490e+01 | -8.427734e-03 |  0.9748 |     3.8157 |  445.9% |  3.52e-04
   1875 | -5.127403e+01 | -5.126559e+01 | -8.436797e-03 |  0.9746 |     3.8525 |  451.2% |  3.40e-04
   1900 | -5.127419e+01 | -5.126574e+01 | -8.441840e-03 |  0.9735 |     3.8759 |  454.5% |  3.28e-04
   1925 | -5.127449e+01 | -5.126604e+01 | -8.451769e-03 |  0.9736 |     3.9153 |  460.2% |  3.16e-04
   1950 | -5.127385e+01 | -5.126538e+01 | -8.465722e-03 |  0.9746 |     3.9680 |  467.7% |  3.04e-04
   1975 | -5.127411e+01 | -5.126563e+01 | -8.475390e-03 |  0.9746 |     4.0069 |  473.3% |  2.92e-04
   2000 | -5.127457e+01 | -5.126609e+01 | -8.481329e-03 |  0.9736 |     4.0333 |  477.0% |  2.80e-04
   2025 | -5.127461e+01 | -5.126612e+01 | -8.491127e-03 |  0.9736 |     4.0723 |  482.6% |  2.69e-04
   2050 | -5.127447e+01 | -5.126596e+01 | -8.504083e-03 |  0.9744 |     4.1214 |  489.6% |  2.57e-04
   2075 | -5.127465e+01 | -5.126614e+01 | -8.513326e-03 |  0.9744 |     4.1582 |  494.9% |  2.46e-04
   2100 | -5.127464e+01 | -5.126612e+01 | -8.519547e-03 |  0.9727 |     4.1849 |  498.7% |  2.35e-04
   2125 | -5.127477e+01 | -5.126624e+01 | -8.529205e-03 |  0.9724 |     4.2230 |  504.2% |  2.25e-04
   2150 | -5.127508e+01 | -5.126654e+01 | -8.541802e-03 |  0.9729 |     4.2720 |  511.2% |  2.14e-04
   2175 | -5.127522e+01 | -5.126666e+01 | -8.552340e-03 |  0.9723 |     4.3155 |  517.4% |  2.04e-04
   2200 | -5.127523e+01 | -5.126666e+01 | -8.563085e-03 |  0.9719 |     4.3585 |  523.6% |  1.93e-04
   2225 | -5.127523e+01 | -5.126666e+01 | -8.573201e-03 |  0.9716 |     4.3986 |  529.3% |  1.84e-04
   2250 | -5.127524e+01 | -5.126666e+01 | -8.582691e-03 |  0.9713 |     4.4359 |  534.6% |  1.74e-04
   2275 | -5.127525e+01 | -5.126666e+01 | -8.591607e-03 |  0.9709 |     4.4709 |  539.7% |  1.64e-04
   2300 | -5.127525e+01 | -5.126665e+01 | -8.599984e-03 |  0.9706 |     4.5038 |  544.4% |  1.55e-04
   2325 | -5.127526e+01 | -5.126665e+01 | -8.607859e-03 |  0.9703 |     4.5346 |  548.8% |  1.46e-04
   2350 | -5.127528e+01 | -5.126666e+01 | -8.615250e-03 |  0.9700 |     4.5635 |  552.9% |  1.37e-04
   2375 | -5.127528e+01 | -5.126666e+01 | -8.622184e-03 |  0.9697 |     4.5906 |  556.8% |  1.29e-04
   2400 | -5.127529e+01 | -5.126666e+01 | -8.628681e-03 |  0.9694 |     4.6160 |  560.4% |  1.20e-04
   2425 | -5.127530e+01 | -5.126666e+01 | -8.634760e-03 |  0.9692 |     4.6397 |  563.8% |  1.12e-04
   2450 | -5.127530e+01 | -5.126666e+01 | -8.640436e-03 |  0.9690 |     4.6619 |  567.0% |  1.05e-04
   2475 | -5.127530e+01 | -5.126666e+01 | -8.645732e-03 |  0.9687 |     4.6825 |  569.9% |  9.71e-05
   2500 | -5.127531e+01 | -5.126666e+01 | -8.650656e-03 |  0.9685 |     4.7017 |  572.7% |  8.99e-05
   2525 | -5.127531e+01 | -5.126666e+01 | -8.655231e-03 |  0.9683 |     4.7195 |  575.2% |  8.29e-05
   2550 | -5.127531e+01 | -5.126665e+01 | -8.659467e-03 |  0.9682 |     4.7360 |  577.6% |  7.63e-05
   2575 | -5.127532e+01 | -5.126665e+01 | -8.663384e-03 |  0.9680 |     4.7512 |  579.8% |  7.00e-05
   2600 | -5.127532e+01 | -5.126665e+01 | -8.666992e-03 |  0.9678 |     4.7653 |  581.8% |  6.40e-05
   2625 | -5.127533e+01 | -5.126665e+01 | -8.670308e-03 |  0.9677 |     4.7781 |  583.6% |  5.82e-05
   2650 | -5.127533e+01 | -5.126666e+01 | -8.673339e-03 |  0.9676 |     4.7899 |  585.3% |  5.28e-05
   2675 | -5.127533e+01 | -5.126666e+01 | -8.676106e-03 |  0.9675 |     4.8007 |  586.8% |  4.77e-05
   2700 | -5.127534e+01 | -5.126666e+01 | -8.678624e-03 |  0.9674 |     4.8104 |  588.2% |  4.29e-05
   2725 | -5.127534e+01 | -5.126666e+01 | -8.680901e-03 |  0.9673 |     4.8193 |  589.5% |  3.84e-05
   2750 | -5.127534e+01 | -5.126666e+01 | -8.682957e-03 |  0.9672 |     4.8272 |  590.6% |  3.42e-05
   2775 | -5.127534e+01 | -5.126666e+01 | -8.684802e-03 |  0.9671 |     4.8344 |  591.7% |  3.04e-05
   2800 | -5.127534e+01 | -5.126666e+01 | -8.686453e-03 |  0.9670 |     4.8408 |  592.6% |  2.69e-05
   2825 | -5.127534e+01 | -5.126666e+01 | -8.687926e-03 |  0.9670 |     4.8465 |  593.4% |  2.37e-05
   2850 | -5.127534e+01 | -5.126665e+01 | -8.689238e-03 |  0.9669 |     4.8516 |  594.1% |  2.08e-05
   2875 | -5.127534e+01 | -5.126665e+01 | -8.690402e-03 |  0.9668 |     4.8561 |  594.8% |  1.83e-05
   2900 | -5.127535e+01 | -5.126666e+01 | -8.691436e-03 |  0.9668 |     4.8601 |  595.3% |  1.61e-05
   2925 | -5.127534e+01 | -5.126665e+01 | -8.692359e-03 |  0.9668 |     4.8637 |  595.8% |  1.42e-05
   2950 | -5.127534e+01 | -5.126664e+01 | -8.693187e-03 |  0.9667 |     4.8669 |  596.3% |  1.27e-05
   2975 | -5.127534e+01 | -5.126665e+01 | -8.693939e-03 |  0.9667 |     4.8698 |  596.7% |  1.15e-05
   3000 | -5.127534e+01 | -5.126665e+01 | -8.694636e-03 |  0.9667 |     4.8725 |  597.1% |  1.07e-05

  ======================================================================
  ✅ BONE COMPLETE
  Best error: 3.20% (epoch 80) | Best loss: -5.127535e+01 (epoch 2910)
  Tip displacement: 0.9459 mm (expected: 0.6990 mm)
  Relative error: 35.33%
  J range: [1.008933, 2.057796]
  Training time: 134.7s (2.2min)
  ======================================================================

