╔══════════════════════════════════════════════════════════════╗
║  DPC-GNN — MGN-style Baseline (AMP ablation)                ║
║  Replaces AntisymMP with directed-edge MP (no antisymmetry) ║
╚══════════════════════════════════════════════════════════════╝

  GPU: NVIDIA GeForce RTX 5090

======================================================================
  TISSUE: MYOCARDIUM (MGN-baseline) | E=30000 Pa (30.0 kPa) | ν=0.4
  Beam: 3cm x 2cm x 2cm
  Mesh: 15x4x4 | Device: cuda | Epochs: 3000
  Expected tip δ: 1.0529 mm | Scale: 1.05e-03
  AMP: OFF (MGN-style directed MP, two independent edge MLPs)
======================================================================
  Nodes: 400 | Tets: 1200 | Edges: 4910
  Params: 238,915  (~2× SolidGNN edge-MLP params)

     Ep |         Loss |         E_el |         E_gr |   J_min |  u_tip(mm) |        lr
  ------------------------------------------------------------------------------
      1 | -1.247940e-03 | 7.450661e-08 | -1.248014e-03 |  0.9982 |     0.0030 |  2.00e-05
      2 | -1.248001e-03 | 6.062905e-08 | -1.248062e-03 |  0.9984 |     0.0034 |  4.00e-05
      3 | -1.248118e-03 | 3.925355e-08 | -1.248157e-03 |  0.9988 |     0.0041 |  6.00e-05
      4 | -1.248273e-03 | 2.621107e-08 | -1.248299e-03 |  0.9994 |     0.0052 |  8.00e-05
      5 | -1.248452e-03 | 3.632596e-08 | -1.248489e-03 |  0.9998 |     0.0067 |  1.00e-04
     25 | -1.253538e-03 | 3.212321e-06 | -1.256750e-03 |  0.9982 |     0.0942 |  5.00e-04
     50 | -1.271245e-03 | 2.149324e-05 | -1.292738e-03 |  0.9752 |     0.6234 |  1.00e-03
     75 | -1.281222e-03 | 2.981240e-05 | -1.311034e-03 |  0.9703 |     0.9275 |  1.00e-03
    100 | -1.284637e-03 | 3.257032e-05 | -1.317207e-03 |  0.9742 |     1.1061 |  9.99e-04
    125 | -1.285439e-03 | 3.421850e-05 | -1.319657e-03 |  0.9714 |     1.1483 |  9.98e-04
    150 | -1.285579e-03 | 3.601873e-05 | -1.321598e-03 |  0.9683 |     1.1696 |  9.97e-04
    175 | -1.285583e-03 | 3.705862e-05 | -1.322641e-03 |  0.9665 |     1.1842 |  9.96e-04
    200 | -1.285902e-03 | 3.542651e-05 | -1.321329e-03 |  0.9700 |     1.1828 |  9.94e-04
    225 | -1.285352e-03 | 3.327803e-05 | -1.318630e-03 |  0.9752 |     1.1677 |  9.92e-04
    250 | -1.286049e-03 | 3.596539e-05 | -1.322014e-03 |  0.9684 |     1.1932 |  9.89e-04
    275 | -1.285277e-03 | 3.284383e-05 | -1.318120e-03 |  0.9757 |     1.1667 |  9.86e-04
    300 | -1.286107e-03 | 3.618968e-05 | -1.322297e-03 |  0.9677 |     1.1999 |  9.83e-04
    325 | -1.285828e-03 | 3.447679e-05 | -1.320305e-03 |  0.9728 |     1.1915 |  9.80e-04
    350 | -1.286162e-03 | 3.507462e-05 | -1.321236e-03 |  0.9698 |     1.1968 |  9.76e-04
    375 | -1.286219e-03 | 3.558863e-05 | -1.321807e-03 |  0.9690 |     1.2029 |  9.72e-04
    400 | -1.286278e-03 | 3.668467e-05 | -1.322963e-03 |  0.9660 |     1.2087 |  9.67e-04
    425 | -1.286260e-03 | 3.771745e-05 | -1.323977e-03 |  0.9643 |     1.2207 |  9.62e-04
    450 | -1.286371e-03 | 3.589607e-05 | -1.322267e-03 |  0.9670 |     1.2046 |  9.57e-04
    475 | -1.286406e-03 | 3.587961e-05 | -1.322286e-03 |  0.9680 |     1.2132 |  9.52e-04
    500 | -1.286453e-03 | 3.598360e-05 | -1.322437e-03 |  0.9678 |     1.2117 |  9.46e-04
    525 | -1.286508e-03 | 3.654445e-05 | -1.323052e-03 |  0.9664 |     1.2203 |  9.40e-04
    550 | -1.286305e-03 | 3.477532e-05 | -1.321080e-03 |  0.9705 |     1.1951 |  9.34e-04
    575 | -1.286474e-03 | 3.547168e-05 | -1.321945e-03 |  0.9677 |     1.2074 |  9.27e-04
    600 | -1.286633e-03 | 3.725116e-05 | -1.323884e-03 |  0.9647 |     1.2309 |  9.20e-04
    625 | -1.286694e-03 | 3.701805e-05 | -1.323712e-03 |  0.9653 |     1.2338 |  9.13e-04
    650 | -1.284556e-03 | 3.326179e-05 | -1.317818e-03 |  0.9770 |     1.1823 |  9.05e-04
    675 | -1.286530e-03 | 3.568762e-05 | -1.322218e-03 |  0.9684 |     1.2136 |  8.98e-04
    700 | -1.286774e-03 | 3.724181e-05 | -1.324016e-03 |  0.9647 |     1.2378 |  8.90e-04
    725 | -1.286819e-03 | 3.723787e-05 | -1.324057e-03 |  0.9650 |     1.2421 |  8.81e-04
    750 | -1.284798e-03 | 3.473062e-05 | -1.319528e-03 |  0.9644 |     1.1575 |  8.73e-04
    775 | -1.286647e-03 | 3.662365e-05 | -1.323271e-03 |  0.9664 |     1.2256 |  8.64e-04
    800 | -1.286853e-03 | 3.744617e-05 | -1.324299e-03 |  0.9639 |     1.2424 |  8.55e-04
    825 | -1.285377e-03 | 3.786985e-05 | -1.323247e-03 |  0.9593 |     1.2067 |  8.46e-04
    850 | -1.286870e-03 | 3.721012e-05 | -1.324080e-03 |  0.9641 |     1.2344 |  8.36e-04
    875 | -1.286965e-03 | 3.743360e-05 | -1.324398e-03 |  0.9649 |     1.2499 |  8.26e-04
    900 | -1.286965e-03 | 3.655584e-05 | -1.323521e-03 |  0.9659 |     1.2346 |  8.17e-04
    925 | -1.286984e-03 | 3.671682e-05 | -1.323701e-03 |  0.9666 |     1.2438 |  8.06e-04
    950 | -1.287034e-03 | 3.656014e-05 | -1.323594e-03 |  0.9661 |     1.2423 |  7.96e-04
    975 | -1.286870e-03 | 3.666866e-05 | -1.323539e-03 |  0.9679 |     1.2481 |  7.85e-04
   1000 | -1.287005e-03 | 3.878327e-05 | -1.325788e-03 |  0.9615 |     1.2605 |  7.75e-04
   1025 | -1.286648e-03 | 3.676150e-05 | -1.323409e-03 |  0.9698 |     1.2571 |  7.64e-04
   1050 | -1.286642e-03 | 3.883061e-05 | -1.325472e-03 |  0.9595 |     1.2508 |  7.52e-04
   1075 | -1.287193e-03 | 3.737608e-05 | -1.324569e-03 |  0.9645 |     1.2555 |  7.41e-04
   1100 | -1.286610e-03 | 3.712324e-05 | -1.323733e-03 |  0.9665 |     1.2465 |  7.30e-04
   1125 | -1.287249e-03 | 3.762110e-05 | -1.324870e-03 |  0.9646 |     1.2598 |  7.18e-04
   1150 | -1.287279e-03 | 3.788866e-05 | -1.325168e-03 |  0.9644 |     1.2671 |  7.06e-04
   1175 | -1.285742e-03 | 3.720723e-05 | -1.322950e-03 |  0.9734 |     1.2620 |  6.94e-04
   1200 | -1.287224e-03 | 3.817718e-05 | -1.325401e-03 |  0.9627 |     1.2626 |  6.82e-04
   1225 | -1.287330e-03 | 3.825333e-05 | -1.325584e-03 |  0.9645 |     1.2737 |  6.70e-04
   1250 | -1.287323e-03 | 3.797992e-05 | -1.325303e-03 |  0.9652 |     1.2678 |  6.58e-04
   1275 | -1.287316e-03 | 3.781354e-05 | -1.325130e-03 |  0.9660 |     1.2709 |  6.46e-04
   1300 | -1.287221e-03 | 3.853027e-05 | -1.325751e-03 |  0.9617 |     1.2671 |  6.33e-04
   1325 | -1.286874e-03 | 3.776687e-05 | -1.324641e-03 |  0.9699 |     1.2785 |  6.21e-04
   1350 | -1.287311e-03 | 3.771284e-05 | -1.325023e-03 |  0.9657 |     1.2707 |  6.08e-04
   1375 | -1.287406e-03 | 3.808843e-05 | -1.325495e-03 |  0.9640 |     1.2738 |  5.95e-04
   1400 | -1.287408e-03 | 3.828886e-05 | -1.325697e-03 |  0.9635 |     1.2752 |  5.82e-04
   1425 | -1.287410e-03 | 3.805274e-05 | -1.325463e-03 |  0.9639 |     1.2698 |  5.70e-04
   1450 | -1.287399e-03 | 3.840167e-05 | -1.325801e-03 |  0.9628 |     1.2743 |  5.57e-04
   1475 | -1.287400e-03 | 3.816943e-05 | -1.325569e-03 |  0.9661 |     1.2817 |  5.44e-04
   1500 | -1.287407e-03 | 3.810198e-05 | -1.325509e-03 |  0.9662 |     1.2804 |  5.31e-04
   1525 | -1.286852e-03 | 3.892596e-05 | -1.325778e-03 |  0.9591 |     1.2641 |  5.18e-04
   1550 | -1.287438e-03 | 3.798250e-05 | -1.325421e-03 |  0.9642 |     1.2757 |  5.05e-04
   1575 | -1.287484e-03 | 3.866320e-05 | -1.326147e-03 |  0.9638 |     1.2828 |  4.92e-04
   1600 | -1.287503e-03 | 3.852634e-05 | -1.326030e-03 |  0.9642 |     1.2833 |  4.79e-04
   1625 | -1.287374e-03 | 3.834779e-05 | -1.325722e-03 |  0.9671 |     1.2873 |  4.66e-04
   1650 | -1.287513e-03 | 3.824455e-05 | -1.325757e-03 |  0.9648 |     1.2813 |  4.53e-04
   1675 | -1.287519e-03 | 3.840818e-05 | -1.325928e-03 |  0.9650 |     1.2846 |  4.40e-04
   1700 | -1.287360e-03 | 3.861380e-05 | -1.325973e-03 |  0.9615 |     1.2757 |  4.28e-04
   1725 | -1.287524e-03 | 3.845142e-05 | -1.325975e-03 |  0.9653 |     1.2863 |  4.15e-04
   1750 | -1.287549e-03 | 3.848682e-05 | -1.326035e-03 |  0.9645 |     1.2854 |  4.02e-04
   1775 | -1.287539e-03 | 3.849724e-05 | -1.326036e-03 |  0.9653 |     1.2878 |  3.89e-04
   1800 | -1.287523e-03 | 3.861227e-05 | -1.326135e-03 |  0.9630 |     1.2818 |  3.77e-04
   1825 | -1.287569e-03 | 3.849090e-05 | -1.326060e-03 |  0.9646 |     1.2869 |  3.64e-04
   1850 | -1.287575e-03 | 3.858040e-05 | -1.326156e-03 |  0.9642 |     1.2869 |  3.52e-04
   1875 | -1.287582e-03 | 3.857795e-05 | -1.326160e-03 |  0.9643 |     1.2875 |  3.40e-04
   1900 | -1.287589e-03 | 3.859248e-05 | -1.326181e-03 |  0.9643 |     1.2880 |  3.28e-04
   1925 | -1.287595e-03 | 3.860414e-05 | -1.326199e-03 |  0.9643 |     1.2884 |  3.16e-04
   1950 | -1.287600e-03 | 3.861609e-05 | -1.326216e-03 |  0.9643 |     1.2887 |  3.04e-04
   1975 | -1.287606e-03 | 3.862692e-05 | -1.326233e-03 |  0.9643 |     1.2892 |  2.92e-04
   2000 | -1.287611e-03 | 3.863774e-05 | -1.326249e-03 |  0.9643 |     1.2895 |  2.80e-04
   2025 | -1.287617e-03 | 3.864815e-05 | -1.326265e-03 |  0.9643 |     1.2898 |  2.69e-04
   2050 | -1.287622e-03 | 3.865777e-05 | -1.326280e-03 |  0.9643 |     1.2901 |  2.57e-04
   2075 | -1.287627e-03 | 3.866731e-05 | -1.326294e-03 |  0.9643 |     1.2904 |  2.46e-04
   2100 | -1.287632e-03 | 3.867655e-05 | -1.326308e-03 |  0.9643 |     1.2907 |  2.35e-04
   2125 | -1.287636e-03 | 3.868581e-05 | -1.326322e-03 |  0.9643 |     1.2910 |  2.25e-04
   2150 | -1.287641e-03 | 3.869419e-05 | -1.326335e-03 |  0.9643 |     1.2913 |  2.14e-04
   2175 | -1.287645e-03 | 3.870236e-05 | -1.326347e-03 |  0.9643 |     1.2915 |  2.04e-04
   2200 | -1.287649e-03 | 3.870966e-05 | -1.326359e-03 |  0.9643 |     1.2918 |  1.93e-04
   2225 | -1.287653e-03 | 3.871724e-05 | -1.326371e-03 |  0.9643 |     1.2920 |  1.84e-04
   2250 | -1.287656e-03 | 3.872521e-05 | -1.326381e-03 |  0.9643 |     1.2922 |  1.74e-04
   2275 | -1.287660e-03 | 3.873189e-05 | -1.326392e-03 |  0.9643 |     1.2925 |  1.64e-04
   2300 | -1.287663e-03 | 3.873815e-05 | -1.326402e-03 |  0.9643 |     1.2927 |  1.55e-04
   2325 | -1.287666e-03 | 3.874451e-05 | -1.326411e-03 |  0.9643 |     1.2929 |  1.46e-04
