╔══════════════════════════════════════════════════════════════╗
║  DPC-GNN — MGN-style Baseline (AMP ablation)                ║
║  Replaces AntisymMP with directed-edge MP (no antisymmetry) ║
╚══════════════════════════════════════════════════════════════╝

  GPU: NVIDIA GeForce RTX 5090

======================================================================
  TISSUE: VESSEL (MGN-baseline) | E=400000 Pa (400.0 kPa) | ν=0.49
  Beam: 10cm x 2cm x 2cm
  Mesh: 25x8x8 | Device: cuda | Epochs: 2500
  Expected tip δ: 9.6567 mm | Scale: 9.66e-03
  AMP: OFF (MGN-style directed MP, two independent edge MLPs)
======================================================================
  Nodes: 2106 | Tets: 8000 | Edges: 30738
  Params: 238,915  (~2× SolidGNN edge-MLP params)
  ⚡ F-bar enabled (ν=0.49 ≥ 0.45, anti-locking)

     Ep |         Loss |         E_el |         E_gr |   J_min |  u_tip(mm) |        lr
  ------------------------------------------------------------------------------
      1 | -2.021071e-03 | 2.100636e-03 | -4.121707e-03 |  0.9944 |     0.0074 |  2.00e-05
      2 | -3.253322e-03 | 8.687617e-04 | -4.122084e-03 |  0.9946 |     0.0081 |  4.00e-05
      3 | -5.683202e-03 | -1.560373e-03 | -4.122830e-03 |  0.9950 |     0.0096 |  6.00e-05
      4 | -9.259498e-03 | -5.135559e-03 | -4.123938e-03 |  0.9955 |     0.0118 |  8.00e-05
      5 | -1.394454e-02 | -9.819212e-03 | -4.125332e-03 |  0.9960 |     0.0146 |  1.00e-04
     25 | -5.704676e-02 | -5.293776e-02 | -4.109005e-03 |  1.0102 |    -0.0485 |  5.00e-04
     50 | -5.864986e-02 | -5.452279e-02 | -4.127071e-03 |  0.9982 |     0.0117 |  1.00e-03
     75 | -5.889379e-02 | -5.473163e-02 | -4.162167e-03 |  1.0002 |     0.1610 |  9.64e-04
    100 | -5.894227e-02 | -5.474495e-02 | -4.197322e-03 |  0.9964 |     0.3236 |  8.61e-04
    125 | -5.898118e-02 | -5.474319e-02 | -4.237987e-03 |  0.9909 |     0.5095 |  7.07e-04
    150 | -5.901839e-02 | -5.473435e-02 | -4.284044e-03 |  0.9855 |     0.7099 |  5.25e-04
    175 | -5.904943e-02 | -5.472475e-02 | -4.324678e-03 |  0.9807 |     0.8846 |  3.43e-04
    200 | -5.907097e-02 | -5.471777e-02 | -4.353194e-03 |  0.9772 |     1.0088 |  1.89e-04
    225 | -5.908309e-02 | -5.471394e-02 | -4.369145e-03 |  0.9752 |     1.0795 |  8.62e-05
    250 | -5.908919e-02 | -5.471205e-02 | -4.377142e-03 |  0.9743 |     1.1153 |  1.00e-03
    275 | -5.874753e-02 | -5.459056e-02 | -4.156965e-03 |  1.0093 |     0.1445 |  9.91e-04
    300 | -5.893243e-02 | -5.474143e-02 | -4.191001e-03 |  0.9918 |     0.2889 |  9.64e-04
    325 | -5.899023e-02 | -5.474839e-02 | -4.241834e-03 |  0.9893 |     0.5203 |  9.20e-04
    350 | -5.904795e-02 | -5.473236e-02 | -4.315594e-03 |  0.9807 |     0.8184 |  8.61e-04
    375 | -5.910766e-02 | -5.471307e-02 | -4.394586e-03 |  0.9718 |     1.1384 |  7.89e-04
    400 | -5.916845e-02 | -5.469497e-02 | -4.473478e-03 |  0.9638 |     1.4748 |  7.07e-04
    425 | -5.923086e-02 | -5.467480e-02 | -4.556059e-03 |  0.9585 |     1.8386 |  6.18e-04
    450 | -5.922431e-02 | -5.467903e-02 | -4.545281e-03 |  0.9611 |     1.7894 |  5.25e-04
    475 | -5.926388e-02 | -5.467141e-02 | -4.592467e-03 |  0.9593 |     1.9651 |  4.32e-04
    500 | -5.930757e-02 | -5.465684e-02 | -4.650732e-03 |  0.9584 |     2.2174 |  3.43e-04
    525 | -5.934328e-02 | -5.464306e-02 | -4.700220e-03 |  0.9577 |     2.4384 |  2.61e-04
    550 | -5.937104e-02 | -5.463201e-02 | -4.739032e-03 |  0.9574 |     2.6159 |  1.89e-04
    575 | -5.939173e-02 | -5.462409e-02 | -4.767640e-03 |  0.9573 |     2.7496 |  1.30e-04
    600 | -5.940634e-02 | -5.461858e-02 | -4.787753e-03 |  0.9572 |     2.8450 |  8.62e-05
    625 | -5.941647e-02 | -5.461481e-02 | -4.801656e-03 |  0.9572 |     2.9116 |  5.91e-05
    650 | -5.942419e-02 | -5.461193e-02 | -4.812257e-03 |  0.9571 |     2.9626 |  1.00e-03
    675 | -5.789778e-02 | -5.366961e-02 | -4.228176e-03 |  1.0061 |     0.3315 |  9.98e-04
