╔══════════════════════════════════════════════════════════════╗
║  DPC-GNN — MGN-style Baseline (AMP ablation)                ║
║  Replaces AntisymMP with directed-edge MP (no antisymmetry) ║
╚══════════════════════════════════════════════════════════════╝

  GPU: NVIDIA GeForce RTX 5090

======================================================================
  TISSUE: MYOCARDIUM (MGN-baseline) | E=30000 Pa (30.0 kPa) | ν=0.4
  Beam: 3cm x 2cm x 2cm
  Mesh: 15x4x4 | Device: cuda | Epochs: 3000
  Expected tip δ: 1.0529 mm | Scale: 1.05e-03
  AMP: OFF (MGN-style directed MP, two independent edge MLPs)
======================================================================
  Nodes: 400 | Tets: 1200 | Edges: 4910
  Params: 238,915  (~2× SolidGNN edge-MLP params)

     Ep |         Loss |         E_el |         E_gr |   J_min |  u_tip(mm) |        lr
  ------------------------------------------------------------------------------
      1 | -1.247854e-03 | 1.365624e-08 | -1.247868e-03 |  0.9999 |     0.0002 |  2.00e-05
      2 | -1.247900e-03 | 9.886080e-09 | -1.247910e-03 |  0.9999 |     0.0006 |  4.00e-05
      3 | -1.247985e-03 | 7.377797e-09 | -1.247993e-03 |  0.9998 |     0.0013 |  6.00e-05
      4 | -1.248108e-03 | 9.982136e-09 | -1.248118e-03 |  0.9995 |     0.0023 |  8.00e-05
      5 | -1.248266e-03 | 1.872171e-08 | -1.248284e-03 |  0.9993 |     0.0037 |  1.00e-04
     25 | -1.253929e-03 | 4.004115e-06 | -1.257933e-03 |  0.9968 |     0.1003 |  5.00e-04
     50 | -1.272135e-03 | 2.335899e-05 | -1.295494e-03 |  0.9695 |     0.6407 |  1.00e-03
     75 | -1.281196e-03 | 2.910813e-05 | -1.310304e-03 |  0.9710 |     0.9198 |  1.00e-03
    100 | -1.284341e-03 | 3.206629e-05 | -1.316408e-03 |  0.9712 |     1.0813 |  9.99e-04
    125 | -1.285227e-03 | 3.446586e-05 | -1.319693e-03 |  0.9733 |     1.1412 |  9.98e-04
    150 | -1.284983e-03 | 3.685237e-05 | -1.321836e-03 |  0.9668 |     1.1582 |  9.97e-04
    175 | -1.285699e-03 | 3.491206e-05 | -1.320611e-03 |  0.9726 |     1.1671 |  9.96e-04
    200 | -1.285885e-03 | 3.585450e-05 | -1.321739e-03 |  0.9706 |     1.1825 |  9.94e-04
    225 | -1.285149e-03 | 3.287099e-05 | -1.318020e-03 |  0.9783 |     1.1611 |  9.92e-04
    250 | -1.286010e-03 | 3.686452e-05 | -1.322874e-03 |  0.9682 |     1.1960 |  9.89e-04
    275 | -1.286005e-03 | 3.759527e-05 | -1.323601e-03 |  0.9663 |     1.2047 |  9.86e-04
    300 | -1.286215e-03 | 3.659297e-05 | -1.322808e-03 |  0.9682 |     1.2014 |  9.83e-04
    325 | -1.286283e-03 | 3.642163e-05 | -1.322705e-03 |  0.9677 |     1.2030 |  9.80e-04
    350 | -1.286348e-03 | 3.663149e-05 | -1.322980e-03 |  0.9676 |     1.2088 |  9.76e-04
    375 | -1.286217e-03 | 3.537651e-05 | -1.321594e-03 |  0.9713 |     1.2014 |  9.72e-04
    400 | -1.286368e-03 | 3.606501e-05 | -1.322433e-03 |  0.9696 |     1.2112 |  9.67e-04
    425 | -1.286330e-03 | 3.767800e-05 | -1.324008e-03 |  0.9648 |     1.2167 |  9.62e-04
    450 | -1.286351e-03 | 3.566434e-05 | -1.322015e-03 |  0.9698 |     1.2109 |  9.57e-04
    475 | -1.286479e-03 | 3.676601e-05 | -1.323245e-03 |  0.9661 |     1.2145 |  9.52e-04
    500 | -1.286367e-03 | 3.560451e-05 | -1.321972e-03 |  0.9695 |     1.2126 |  9.46e-04
    525 | -1.286429e-03 | 3.755462e-05 | -1.323984e-03 |  0.9638 |     1.2184 |  9.40e-04
    550 | -1.285617e-03 | 3.948448e-05 | -1.325101e-03 |  0.9593 |     1.2225 |  9.34e-04
    575 | -1.286572e-03 | 3.578059e-05 | -1.322352e-03 |  0.9675 |     1.2148 |  9.27e-04
    600 | -1.286579e-03 | 3.716148e-05 | -1.323741e-03 |  0.9633 |     1.2205 |  9.20e-04
    625 | -1.286622e-03 | 3.616604e-05 | -1.322788e-03 |  0.9668 |     1.2180 |  9.13e-04
    650 | -1.286640e-03 | 3.530338e-05 | -1.321944e-03 |  0.9661 |     1.2109 |  9.05e-04
    675 | -1.286636e-03 | 3.658584e-05 | -1.323221e-03 |  0.9639 |     1.2153 |  8.98e-04
    700 | -1.285830e-03 | 3.857504e-05 | -1.324405e-03 |  0.9592 |     1.2176 |  8.90e-04
    725 | -1.286421e-03 | 3.546369e-05 | -1.321885e-03 |  0.9686 |     1.2193 |  8.81e-04
    750 | -1.286240e-03 | 3.697476e-05 | -1.323215e-03 |  0.9654 |     1.2097 |  8.73e-04
    775 | -1.286769e-03 | 3.719198e-05 | -1.323961e-03 |  0.9629 |     1.2279 |  8.64e-04
    800 | -1.285520e-03 | 3.541030e-05 | -1.320930e-03 |  0.9708 |     1.2218 |  8.55e-04
    825 | -1.286707e-03 | 3.549699e-05 | -1.322204e-03 |  0.9666 |     1.2164 |  8.46e-04
    850 | -1.285229e-03 | 3.550735e-05 | -1.320737e-03 |  0.9729 |     1.2269 |  8.36e-04
    875 | -1.286622e-03 | 3.765240e-05 | -1.324274e-03 |  0.9615 |     1.2247 |  8.26e-04
    900 | -1.286601e-03 | 3.650763e-05 | -1.323109e-03 |  0.9675 |     1.2414 |  8.17e-04
    925 | -1.286436e-03 | 3.864887e-05 | -1.325085e-03 |  0.9595 |     1.2366 |  8.06e-04
    950 | -1.286881e-03 | 3.674628e-05 | -1.323628e-03 |  0.9662 |     1.2393 |  7.96e-04
    975 | -1.286922e-03 | 3.781071e-05 | -1.324733e-03 |  0.9622 |     1.2445 |  7.85e-04
   1000 | -1.286978e-03 | 3.743894e-05 | -1.324417e-03 |  0.9626 |     1.2417 |  7.75e-04
   1025 | -1.286990e-03 | 3.705949e-05 | -1.324049e-03 |  0.9620 |     1.2396 |  7.64e-04
   1050 | -1.286505e-03 | 3.459902e-05 | -1.321104e-03 |  0.9656 |     1.1895 |  7.52e-04
   1075 | -1.287050e-03 | 3.819461e-05 | -1.325244e-03 |  0.9633 |     1.2597 |  7.41e-04
   1100 | -1.287123e-03 | 3.769480e-05 | -1.324818e-03 |  0.9643 |     1.2591 |  7.30e-04
   1125 | -1.286624e-03 | 3.385070e-05 | -1.320474e-03 |  0.9729 |     1.2066 |  7.18e-04
   1150 | -1.287046e-03 | 3.790354e-05 | -1.324949e-03 |  0.9646 |     1.2648 |  7.06e-04
   1175 | -1.287114e-03 | 3.799143e-05 | -1.325105e-03 |  0.9630 |     1.2580 |  6.94e-04
   1200 | -1.287091e-03 | 3.800765e-05 | -1.325098e-03 |  0.9625 |     1.2550 |  6.82e-04
   1225 | -1.287167e-03 | 3.760968e-05 | -1.324777e-03 |  0.9654 |     1.2654 |  6.70e-04
   1250 | -1.286918e-03 | 3.947028e-05 | -1.326389e-03 |  0.9589 |     1.2651 |  6.58e-04
   1275 | -1.286244e-03 | 3.432477e-05 | -1.320568e-03 |  0.9745 |     1.2237 |  6.46e-04
   1300 | -1.286514e-03 | 3.523070e-05 | -1.321745e-03 |  0.9722 |     1.2365 |  6.33e-04
   1325 | -1.287215e-03 | 3.754831e-05 | -1.324763e-03 |  0.9657 |     1.2664 |  6.21e-04
   1350 | -1.287285e-03 | 3.837323e-05 | -1.325658e-03 |  0.9636 |     1.2734 |  6.08e-04
   1375 | -1.287308e-03 | 3.822490e-05 | -1.325533e-03 |  0.9642 |     1.2743 |  5.95e-04
   1400 | -1.287323e-03 | 3.828249e-05 | -1.325606e-03 |  0.9640 |     1.2749 |  5.82e-04
   1425 | -1.287337e-03 | 3.828313e-05 | -1.325620e-03 |  0.9641 |     1.2759 |  5.70e-04
   1450 | -1.286283e-03 | 3.998702e-05 | -1.326270e-03 |  0.9577 |     1.2578 |  5.57e-04
   1475 | -1.287244e-03 | 3.789864e-05 | -1.325143e-03 |  0.9637 |     1.2613 |  5.44e-04
   1500 | -1.287362e-03 | 3.837155e-05 | -1.325733e-03 |  0.9644 |     1.2807 |  5.31e-04
   1525 | -1.287381e-03 | 3.846068e-05 | -1.325841e-03 |  0.9638 |     1.2794 |  5.18e-04
   1550 | -1.287391e-03 | 3.842053e-05 | -1.325812e-03 |  0.9642 |     1.2805 |  5.05e-04
   1575 | -1.287071e-03 | 3.743056e-05 | -1.324501e-03 |  0.9685 |     1.2738 |  4.92e-04
   1600 | -1.287398e-03 | 3.826823e-05 | -1.325666e-03 |  0.9646 |     1.2804 |  4.79e-04
   1625 | -1.287337e-03 | 3.812997e-05 | -1.325467e-03 |  0.9660 |     1.2822 |  4.66e-04
   1650 | -1.287425e-03 | 3.843932e-05 | -1.325864e-03 |  0.9643 |     1.2807 |  4.53e-04
   1675 | -1.287425e-03 | 3.854732e-05 | -1.325972e-03 |  0.9636 |     1.2807 |  4.40e-04
   1700 | -1.287440e-03 | 3.844394e-05 | -1.325884e-03 |  0.9643 |     1.2827 |  4.28e-04
