╔══════════════════════════════════════════════════════════════╗
║  DPC-GNN — MGN-style Baseline (AMP ablation)                ║
║  Replaces AntisymMP with directed-edge MP (no antisymmetry) ║
╚══════════════════════════════════════════════════════════════╝

  GPU: NVIDIA GeForce RTX 5090

======================================================================
  TISSUE: BRAIN (MGN-baseline) | E=1000 Pa (1.0 kPa) | ν=0.49
  Beam: 3cm x 2cm x 2cm
  Mesh: 25x8x8 | Device: cuda | Epochs: 3000
  Expected tip δ: 30.9898 mm | Scale: 1.00e-02
  AMP: OFF (MGN-style directed MP, two independent edge MLPs)
======================================================================
  Nodes: 2106 | Tets: 8000 | Edges: 30738
  Params: 238,915  (~2× SolidGNN edge-MLP params)
  ⚡ F-bar enabled (ν=0.49 ≥ 0.45, anti-locking)

     Ep |         Loss |         E_el |         E_gr |   J_min |  u_tip(mm) |        lr
   1125 | -2.359651e-03 | 6.802854e-04 | -3.039936e-03 |  0.1765 |    23.2385 |  3.87e-04
   1150 | -2.394970e-03 | 7.029765e-04 | -3.097947e-03 |  0.1727 |    24.1880 |  3.43e-04
   1175 | -2.420308e-03 | 7.189019e-04 | -3.139210e-03 |  0.1884 |    24.9743 |  3.01e-04
   1200 | -2.451560e-03 | 7.327243e-04 | -3.184284e-03 |  0.1632 |    25.5253 |  2.61e-04
   1225 | -2.474784e-03 | 7.417117e-04 | -3.216496e-03 |  0.1660 |    26.0531 |  2.24e-04
   1250 | -2.494462e-03 | 7.520787e-04 | -3.246541e-03 |  0.1657 |    26.4936 |  1.89e-04
   1275 | -2.510975e-03 | 7.602551e-04 | -3.271230e-03 |  0.1661 |    26.8638 |  1.58e-04
   1300 | -2.524615e-03 | 7.670759e-04 | -3.291690e-03 |  0.1662 |    27.1682 |  1.30e-04
   1325 | -2.535751e-03 | 7.726809e-04 | -3.308432e-03 |  0.1660 |    27.4161 |  1.06e-04
   1350 | -2.544790e-03 | 7.771945e-04 | -3.321984e-03 |  0.1658 |    27.6169 |  8.62e-05
   1375 | -2.552146e-03 | 7.808321e-04 | -3.332978e-03 |  0.1655 |    27.7800 |  7.05e-05
   1400 | -2.558233e-03 | 7.838132e-04 | -3.342046e-03 |  0.1653 |    27.9147 |  5.91e-05
   1425 | -2.563472e-03 | 7.863519e-04 | -3.349824e-03 |  0.1652 |    28.0304 |  5.23e-05
   1450 | -2.568286e-03 | 7.886629e-04 | -3.356949e-03 |  0.1650 |    28.1365 |  1.00e-03
   1475 | -1.307091e-03 | 1.648480e-04 | -1.471939e-03 |  0.9902 |     2.0441 |  9.99e-04
   1500 | -1.323357e-03 | 1.731744e-05 | -1.340674e-03 |  0.9940 |     0.9581 |  9.98e-04
   1525 | -1.330792e-03 | 6.148225e-05 | -1.392274e-03 |  0.9932 |     1.3876 |  9.95e-04
   1550 | -1.330849e-03 | 6.017358e-05 | -1.391022e-03 |  0.9935 |     1.3773 |  9.91e-04
   1575 | -1.330876e-03 | 5.638724e-05 | -1.387263e-03 |  0.9936 |     1.3461 |  9.86e-04
   1600 | -1.330881e-03 | 5.708641e-05 | -1.387968e-03 |  0.9938 |     1.3520 |  9.80e-04
   1625 | -1.330885e-03 | 5.721726e-05 | -1.388103e-03 |  0.9939 |     1.3532 |  9.72e-04
   1650 | -1.330889e-03 | 5.713730e-05 | -1.388026e-03 |  0.9940 |     1.3526 |  9.64e-04
   1675 | -1.330893e-03 | 5.712789e-05 | -1.388021e-03 |  0.9941 |     1.3527 |  9.54e-04
   1700 | -1.330897e-03 | 5.712337e-05 | -1.388020e-03 |  0.9942 |     1.3527 |  9.44e-04
   1725 | -1.330900e-03 | 5.711241e-05 | -1.388013e-03 |  0.9942 |     1.3527 |  9.32e-04
   1750 | -1.330904e-03 | 5.710252e-05 | -1.388006e-03 |  0.9942 |     1.3527 |  9.20e-04
   1775 | -1.330908e-03 | 5.709275e-05 | -1.388000e-03 |  0.9942 |     1.3527 |  9.07e-04
   1800 | -1.330911e-03 | 5.708321e-05 | -1.387994e-03 |  0.9942 |     1.3528 |  8.92e-04
   1825 | -1.330915e-03 | 5.707370e-05 | -1.387988e-03 |  0.9942 |     1.3528 |  8.77e-04
   1850 | -1.330918e-03 | 5.706432e-05 | -1.387983e-03 |  0.9942 |     1.3528 |  8.61e-04
   1875 | -1.330922e-03 | 5.705528e-05 | -1.387977e-03 |  0.9942 |     1.3528 |  8.44e-04
   1900 | -1.330925e-03 | 5.704631e-05 | -1.387971e-03 |  0.9941 |     1.3528 |  8.26e-04
   1925 | -1.330928e-03 | 5.703739e-05 | -1.387966e-03 |  0.9941 |     1.3528 |  8.08e-04
   1950 | -1.330931e-03 | 5.702863e-05 | -1.387960e-03 |  0.9941 |     1.3528 |  7.89e-04
   1975 | -1.330934e-03 | 5.702017e-05 | -1.387955e-03 |  0.9941 |     1.3528 |  7.69e-04
   2000 | -1.330937e-03 | 5.701194e-05 | -1.387949e-03 |  0.9940 |     1.3528 |  7.49e-04
   2025 | -1.330940e-03 | 5.700388e-05 | -1.387944e-03 |  0.9940 |     1.3528 |  7.28e-04
   2050 | -1.330943e-03 | 5.699587e-05 | -1.387939e-03 |  0.9940 |     1.3528 |  7.07e-04
   2075 | -1.330946e-03 | 5.698822e-05 | -1.387934e-03 |  0.9940 |     1.3528 |  6.85e-04
   2100 | -1.330949e-03 | 5.698079e-05 | -1.387930e-03 |  0.9939 |     1.3528 |  6.63e-04
   2125 | -1.330952e-03 | 5.697338e-05 | -1.387925e-03 |  0.9939 |     1.3528 |  6.40e-04
   2150 | -1.330954e-03 | 5.696633e-05 | -1.387920e-03 |  0.9939 |     1.3528 |  6.18e-04
   2175 | -1.330957e-03 | 5.695930e-05 | -1.387916e-03 |  0.9938 |     1.3528 |  5.95e-04
   2200 | -1.330959e-03 | 5.695272e-05 | -1.387912e-03 |  0.9938 |     1.3528 |  5.72e-04
   2225 | -1.330962e-03 | 5.694621e-05 | -1.387908e-03 |  0.9938 |     1.3529 |  5.48e-04
   2250 | -1.330964e-03 | 5.693983e-05 | -1.387904e-03 |  0.9938 |     1.3529 |  5.25e-04
   2275 | -1.330966e-03 | 5.693378e-05 | -1.387900e-03 |  0.9937 |     1.3529 |  5.02e-04
   2300 | -1.330968e-03 | 5.692785e-05 | -1.387896e-03 |  0.9937 |     1.3529 |  4.78e-04
   2325 | -1.330970e-03 | 5.692223e-05 | -1.387893e-03 |  0.9937 |     1.3529 |  4.55e-04
   2350 | -1.330972e-03 | 5.691679e-05 | -1.387889e-03 |  0.9937 |     1.3529 |  4.32e-04
   2375 | -1.330974e-03 | 5.691156e-05 | -1.387886e-03 |  0.9937 |     1.3529 |  4.10e-04
   2400 | -1.330976e-03 | 5.690660e-05 | -1.387883e-03 |  0.9936 |     1.3529 |  3.87e-04
   2425 | -1.330978e-03 | 5.690191e-05 | -1.387880e-03 |  0.9936 |     1.3529 |  3.65e-04
   2450 | -1.330980e-03 | 5.689733e-05 | -1.387877e-03 |  0.9936 |     1.3529 |  3.43e-04
   2475 | -1.330981e-03 | 5.689298e-05 | -1.387874e-03 |  0.9936 |     1.3529 |  3.22e-04
   2500 | -1.330983e-03 | 5.688888e-05 | -1.387872e-03 |  0.9936 |     1.3529 |  3.01e-04
   2525 | -1.330984e-03 | 5.688500e-05 | -1.387869e-03 |  0.9935 |     1.3529 |  2.81e-04
   2550 | -1.330986e-03 | 5.688126e-05 | -1.387867e-03 |  0.9935 |     1.3529 |  2.61e-04
   2575 | -1.330987e-03 | 5.687789e-05 | -1.387865e-03 |  0.9935 |     1.3529 |  2.42e-04
   2600 | -1.330988e-03 | 5.687472e-05 | -1.387863e-03 |  0.9935 |     1.3529 |  2.24e-04
   2625 | -1.330989e-03 | 5.687165e-05 | -1.387861e-03 |  0.9935 |     1.3529 |  2.06e-04
   2650 | -1.330990e-03 | 5.686886e-05 | -1.387859e-03 |  0.9935 |     1.3529 |  1.89e-04
   2675 | -1.330991e-03 | 5.686635e-05 | -1.387858e-03 |  0.9935 |     1.3529 |  1.73e-04
   2700 | -1.330992e-03 | 5.686386e-05 | -1.387856e-03 |  0.9935 |     1.3529 |  1.58e-04
   2725 | -1.330993e-03 | 5.686172e-05 | -1.387855e-03 |  0.9934 |     1.3529 |  1.43e-04
   2750 | -1.330994e-03 | 5.685960e-05 | -1.387853e-03 |  0.9934 |     1.3529 |  1.30e-04
   2775 | -1.330995e-03 | 5.685777e-05 | -1.387852e-03 |  0.9934 |     1.3529 |  1.18e-04
   2800 | -1.330995e-03 | 5.685601e-05 | -1.387851e-03 |  0.9934 |     1.3529 |  1.06e-04
   2825 | -1.330996e-03 | 5.685448e-05 | -1.387850e-03 |  0.9934 |     1.3529 |  9.56e-05
   2850 | -1.330996e-03 | 5.685298e-05 | -1.387849e-03 |  0.9934 |     1.3529 |  8.62e-05
   2875 | -1.330997e-03 | 5.685176e-05 | -1.387849e-03 |  0.9934 |     1.3529 |  7.78e-05
   2900 | -1.330997e-03 | 5.685048e-05 | -1.387848e-03 |  0.9934 |     1.3529 |  7.05e-05
   2925 | -1.330998e-03 | 5.684929e-05 | -1.387847e-03 |  0.9934 |     1.3529 |  6.42e-05
   2950 | -1.330998e-03 | 5.684836e-05 | -1.387846e-03 |  0.9934 |     1.3529 |  5.91e-05
   2975 | -1.330998e-03 | 5.684749e-05 | -1.387846e-03 |  0.9934 |     1.3529 |  5.51e-05
   3000 | -1.330999e-03 | 5.684658e-05 | -1.387845e-03 |  0.9934 |     1.3529 |  5.23e-05

  ======================================================================
  ✅ BRAIN (MGN-baseline) COMPLETE
  Best loss: -2.740834e-03 (epoch 253)
  Tip: 32.2865 mm (expected: 30.9898 mm)  Err: 4.18%
  Training time: 130.3s (2.2min)
  ======================================================================

