╔══════════════════════════════════════════════════════════════╗
║  DPC-GNN — MGN-style Baseline (AMP ablation)                ║
║  Replaces AntisymMP with directed-edge MP (no antisymmetry) ║
╚══════════════════════════════════════════════════════════════╝

  GPU: NVIDIA GeForce RTX 5090

======================================================================
  TISSUE: BONE (MGN-baseline) | E=10000000 Pa (10000.0 kPa) | ν=0.3
  Beam: 10cm x 2cm x 2cm
  Mesh: 15x4x4 | Device: cuda | Epochs: 2000
  Expected tip δ: 0.6990 mm | Scale: 6.99e-04
  AMP: OFF (MGN-style directed MP, two independent edge MLPs)
======================================================================
  Nodes: 400 | Tets: 1200 | Edges: 4910
  Params: 238,915  (~2× SolidGNN edge-MLP params)

     Ep |         Loss |         E_el |         E_gr |   J_min |  u_tip(mm) |        lr
  ------------------------------------------------------------------------------
      1 | -7.451013e-03 | 4.617868e-06 | -7.455631e-03 |  0.9997 |    -0.0002 |  2.00e-05
      2 | -7.451662e-03 | 4.034418e-06 | -7.455696e-03 |  0.9998 |    -0.0000 |  4.00e-05
      3 | -7.452158e-03 | 3.684980e-06 | -7.455843e-03 |  0.9999 |     0.0003 |  6.00e-05
      4 | -7.453131e-03 | 2.981185e-06 | -7.456113e-03 |  0.9999 |     0.0008 |  8.00e-05
      5 | -7.452142e-03 | 4.415281e-06 | -7.456558e-03 |  0.9999 |     0.0015 |  1.00e-04
     25 | -7.458418e-03 | 2.984517e-06 | -7.461403e-03 |  0.9999 |     0.0120 |  5.00e-04
     50 | -7.469164e-03 | 7.519717e-06 | -7.476684e-03 |  0.9993 |     0.0460 |  1.00e-03
     75 | -7.479760e-03 | 3.006836e-05 | -7.509828e-03 |  0.9989 |     0.1442 |  1.00e-03
    100 | -7.494332e-03 | 2.579194e-05 | -7.520124e-03 |  0.9985 |     0.1775 |  9.98e-04
    125 | -7.504837e-03 | 2.961232e-05 | -7.534449e-03 |  0.9985 |     0.2401 |  9.97e-04
    150 | -7.522025e-03 | 4.218052e-05 | -7.564206e-03 |  0.9984 |     0.3352 |  9.94e-04
