╔══════════════════════════════════════════════════════════════╗
║  DPC-GNN — MGN-style Baseline (AMP ablation)                ║
║  Replaces AntisymMP with directed-edge MP (no antisymmetry) ║
╚══════════════════════════════════════════════════════════════╝

  GPU: NVIDIA GeForce RTX 5090

======================================================================
  TISSUE: KIDNEY (MGN-baseline) | E=10000 Pa (10.0 kPa) | ν=0.45
  Beam: 3cm x 2cm x 2cm
  Mesh: 20x6x6 | Device: cuda | Epochs: 3000
  Expected tip δ: 3.1288 mm | Scale: 3.13e-03
  AMP: OFF (MGN-style directed MP, two independent edge MLPs)
======================================================================
  Nodes: 1029 | Tets: 3600 | Edges: 14128
  Params: 238,915  (~2× SolidGNN edge-MLP params)
  ⚡ F-bar enabled (ν=0.45 ≥ 0.45, anti-locking)

     Ep |         Loss |         E_el |         E_gr |   J_min |  u_tip(mm) |        lr
  ------------------------------------------------------------------------------
      1 | -1.241936e-03 | -5.755299e-06 | -1.236181e-03 |  0.9997 |     0.0008 |  2.00e-05
      2 | -1.246155e-03 | -9.971853e-06 | -1.236183e-03 |  0.9997 |     0.0007 |  4.00e-05
      3 | -1.254599e-03 | -1.841297e-05 | -1.236186e-03 |  0.9998 |     0.0006 |  6.00e-05
      4 | -1.267326e-03 | -3.113775e-05 | -1.236189e-03 |  0.9999 |     0.0004 |  8.00e-05
      5 | -1.284457e-03 | -4.826516e-05 | -1.236192e-03 |  0.9999 |     0.0001 |  1.00e-04
     25 | -3.393224e-03 | -2.149238e-03 | -1.243986e-03 |  0.9767 |     0.0082 |  5.00e-04
     50 | -3.569899e-03 | -2.218324e-03 | -1.351575e-03 |  0.8704 |     1.2914 |  1.00e-03
     75 | -3.647021e-03 | -2.238980e-03 | -1.408042e-03 |  0.8069 |     2.3806 |  9.64e-04
    100 | -3.685106e-03 | -2.202286e-03 | -1.482820e-03 |  0.7294 |     3.7461 |  8.61e-04
    125 | -3.723946e-03 | -2.183232e-03 | -1.540714e-03 |  0.6712 |     4.8248 |  7.07e-04
    150 | -3.755881e-03 | -2.169015e-03 | -1.586866e-03 |  0.6396 |     5.8164 |  5.25e-04
    175 | -3.774837e-03 | -2.152659e-03 | -1.622178e-03 |  0.6104 |     6.5536 |  3.43e-04
    200 | -3.785999e-03 | -2.140068e-03 | -1.645931e-03 |  0.5964 |     7.0322 |  1.89e-04
    225 | -3.791661e-03 | -2.135050e-03 | -1.656611e-03 |  0.5911 |     7.2695 |  8.62e-05
    250 | -3.794365e-03 | -2.132495e-03 | -1.661870e-03 |  0.5889 |     7.3834 |  1.00e-03
    275 | -3.179390e-03 | -1.882293e-03 | -1.297096e-03 |  1.0307 |     0.9416 |  9.91e-04
    300 | -3.314532e-03 | -1.937238e-03 | -1.377294e-03 |  1.0286 |     1.9970 |  9.64e-04
    325 | -3.325187e-03 | -1.949136e-03 | -1.376051e-03 |  1.0390 |     2.0247 |  9.20e-04
    350 | -3.328972e-03 | -1.949411e-03 | -1.379561e-03 |  1.0456 |     2.0430 |  8.61e-04
    375 | -3.332439e-03 | -1.951857e-03 | -1.380583e-03 |  1.0503 |     2.0564 |  7.89e-04
    400 | -3.337009e-03 | -1.955582e-03 | -1.381427e-03 |  1.0479 |     2.0666 |  7.07e-04
    425 | -3.345564e-03 | -1.963895e-03 | -1.381670e-03 |  1.0466 |     2.0653 |  6.18e-04
    450 | -3.269635e-03 | -1.948754e-03 | -1.320881e-03 |  0.9561 |     1.8471 |  5.25e-04
    475 | -3.509405e-03 | -2.155538e-03 | -1.353866e-03 |  0.8806 |     1.5801 |  4.32e-04
    500 | -3.561828e-03 | -2.173247e-03 | -1.388581e-03 |  0.7864 |     2.1218 |  3.43e-04
    525 | -3.608435e-03 | -2.181130e-03 | -1.427305e-03 |  0.7250 |     2.7059 |  2.61e-04
    550 | -3.652779e-03 | -2.203883e-03 | -1.448896e-03 |  0.7514 |     3.1137 |  1.89e-04
    575 | -3.669646e-03 | -2.206072e-03 | -1.463573e-03 |  0.7328 |     3.3942 |  1.30e-04
    600 | -3.678193e-03 | -2.203679e-03 | -1.474514e-03 |  0.7158 |     3.5905 |  8.62e-05
    625 | -3.683486e-03 | -2.202301e-03 | -1.481185e-03 |  0.7072 |     3.7164 |  5.91e-05
    650 | -3.687272e-03 | -2.201184e-03 | -1.486088e-03 |  0.7019 |     3.8104 |  1.00e-03
    675 | -2.082599e-03 | -8.212535e-04 | -1.261345e-03 |  0.9888 |     0.2058 |  9.98e-04
    700 | -2.120331e-03 | -8.622705e-04 | -1.258061e-03 |  0.9783 |     0.1899 |  9.91e-04
    725 | -2.122398e-03 | -8.631177e-04 | -1.259280e-03 |  0.9776 |     0.1971 |  9.80e-04
    750 | -2.125534e-03 | -8.661086e-04 | -1.259426e-03 |  0.9787 |     0.1952 |  9.64e-04
    775 | -2.136722e-03 | -8.770021e-04 | -1.259720e-03 |  0.9777 |     0.1960 |  9.44e-04
    800 | -2.294323e-03 | -1.034676e-03 | -1.259648e-03 |  0.9970 |     0.1897 |  9.20e-04
    825 | -2.542286e-03 | -1.323685e-03 | -1.218602e-03 |  0.9978 |    -0.1323 |  8.92e-04
    850 | -2.845674e-03 | -1.569707e-03 | -1.275967e-03 |  0.9959 |     0.3508 |  8.61e-04
    875 | -2.949758e-03 | -1.687991e-03 | -1.261767e-03 |  0.9960 |     0.2248 |  8.26e-04
    900 | -2.955968e-03 | -1.703185e-03 | -1.252783e-03 |  0.9963 |     0.1433 |  7.89e-04
    925 | -2.957618e-03 | -1.701389e-03 | -1.256229e-03 |  0.9962 |     0.1683 |  7.49e-04
    950 | -2.958462e-03 | -1.703201e-03 | -1.255260e-03 |  0.9961 |     0.1590 |  7.07e-04
    975 | -2.959098e-03 | -1.703555e-03 | -1.255543e-03 |  0.9960 |     0.1604 |  6.63e-04
