╔══════════════════════════════════════════════════════════════╗
║  DPC-GNN — MGN-style Baseline (AMP ablation)                ║
║  Replaces AntisymMP with directed-edge MP (no antisymmetry) ║
╚══════════════════════════════════════════════════════════════╝

  GPU: NVIDIA GeForce RTX 5090

======================================================================
  TISSUE: VESSEL (MGN-baseline) | E=400000 Pa (400.0 kPa) | ν=0.49
  Beam: 10cm x 2cm x 2cm
  Mesh: 25x8x8 | Device: cuda | Epochs: 2500
  Expected tip δ: 9.6567 mm | Scale: 9.66e-03
  AMP: OFF (MGN-style directed MP, two independent edge MLPs)
======================================================================
  Nodes: 2106 | Tets: 8000 | Edges: 30738
  Params: 238,915  (~2× SolidGNN edge-MLP params)
  ⚡ F-bar enabled (ν=0.49 ≥ 0.45, anti-locking)

     Ep |         Loss |         E_el |         E_gr |   J_min |  u_tip(mm) |        lr
   1125 | -5.958143e-02 | -5.449638e-02 | -5.085046e-03 |  0.9533 |     4.2925 |  3.87e-04
   1150 | -5.949759e-02 | -5.447416e-02 | -5.023429e-03 |  0.9548 |     3.9663 |  3.43e-04
   1175 | -5.958791e-02 | -5.452339e-02 | -5.064520e-03 |  0.9534 |     4.1639 |  3.01e-04
   1200 | -5.962687e-02 | -5.450988e-02 | -5.116991e-03 |  0.9535 |     4.4503 |  2.61e-04
   1225 | -5.965798e-02 | -5.449221e-02 | -5.165766e-03 |  0.9522 |     4.7175 |  2.24e-04
   1250 | -5.968520e-02 | -5.447723e-02 | -5.207965e-03 |  0.9513 |     4.9566 |  1.89e-04
   1275 | -5.970903e-02 | -5.446478e-02 | -5.244261e-03 |  0.9506 |     5.1666 |  1.58e-04
   1300 | -5.972965e-02 | -5.445436e-02 | -5.275291e-03 |  0.9500 |     5.3485 |  1.30e-04
   1325 | -5.974720e-02 | -5.444562e-02 | -5.301571e-03 |  0.9495 |     5.5039 |  1.06e-04
   1350 | -5.976197e-02 | -5.443836e-02 | -5.323614e-03 |  0.9490 |     5.6348 |  8.62e-05
   1375 | -5.977440e-02 | -5.443235e-02 | -5.342047e-03 |  0.9486 |     5.7448 |  7.05e-05
   1400 | -5.978494e-02 | -5.442729e-02 | -5.357646e-03 |  0.9483 |     5.8381 |  5.91e-05
   1425 | -5.979420e-02 | -5.442289e-02 | -5.371316e-03 |  0.9480 |     5.9202 |  5.23e-05
   1450 | -5.980288e-02 | -5.441880e-02 | -5.384080e-03 |  0.9477 |     5.9969 |  1.00e-03
   1475 | -5.798079e-02 | -5.388137e-02 | -4.099418e-03 |  0.9931 |    -0.0418 |  9.99e-04
   1500 | -5.885863e-02 | -5.466003e-02 | -4.198598e-03 |  0.9919 |     0.2986 |  9.98e-04
   1525 | -5.894870e-02 | -5.473622e-02 | -4.212482e-03 |  0.9893 |     0.3665 |  9.95e-04
   1550 | -5.899088e-02 | -5.473416e-02 | -4.256714e-03 |  0.9858 |     0.5674 |  9.91e-04
   1575 | -5.904210e-02 | -5.472498e-02 | -4.317124e-03 |  0.9806 |     0.8280 |  9.86e-04
   1600 | -5.686187e-02 | -5.243829e-02 | -4.423580e-03 |  0.9591 |     1.2611 |  9.80e-04
   1625 | -5.898422e-02 | -5.467405e-02 | -4.310166e-03 |  0.9789 |     0.7302 |  9.72e-04
   1650 | -5.908561e-02 | -5.471627e-02 | -4.369338e-03 |  0.9738 |     0.9988 |  9.64e-04
   1675 | -5.917514e-02 | -5.469450e-02 | -4.480640e-03 |  0.9681 |     1.4664 |  9.54e-04
   1700 | -5.929089e-02 | -5.464050e-02 | -4.650391e-03 |  0.9608 |     2.2033 |  9.44e-04
   1725 | -5.840263e-02 | -5.408238e-02 | -4.320253e-03 |  0.9790 |     0.8098 |  9.32e-04
   1750 | -5.899000e-02 | -5.469736e-02 | -4.292633e-03 |  0.9808 |     0.6885 |  9.20e-04
   1775 | -5.907027e-02 | -5.472647e-02 | -4.343801e-03 |  0.9813 |     0.8980 |  9.07e-04
   1800 | -5.911929e-02 | -5.472701e-02 | -4.392284e-03 |  0.9782 |     1.0829 |  8.92e-04
   1825 | -5.917155e-02 | -5.471237e-02 | -4.459186e-03 |  0.9739 |     1.3476 |  8.77e-04
   1850 | -5.922889e-02 | -5.469037e-02 | -4.538522e-03 |  0.9698 |     1.6704 |  8.61e-04
   1875 | -5.929189e-02 | -5.466343e-02 | -4.628463e-03 |  0.9666 |     2.0522 |  8.44e-04
   1900 | -5.936139e-02 | -5.463156e-02 | -4.729837e-03 |  0.9633 |     2.5067 |  8.26e-04
   1925 | -5.931368e-02 | -5.455506e-02 | -4.758624e-03 |  0.9775 |     2.7856 |  8.08e-04
   1950 | -5.945990e-02 | -5.458781e-02 | -4.872094e-03 |  0.9632 |     3.2276 |  7.89e-04
