╔══════════════════════════════════════════════════════════════╗
║  DPC-GNN — MGN-style Baseline (AMP ablation)                ║
║  Replaces AntisymMP with directed-edge MP (no antisymmetry) ║
╚══════════════════════════════════════════════════════════════╝

  GPU: NVIDIA GeForce RTX 5090

======================================================================
  TISSUE: KIDNEY (MGN-baseline) | E=10000 Pa (10.0 kPa) | ν=0.45
  Beam: 3cm x 2cm x 2cm
  Mesh: 20x6x6 | Device: cuda | Epochs: 3000
  Expected tip δ: 3.1288 mm | Scale: 3.13e-03
  AMP: OFF (MGN-style directed MP, two independent edge MLPs)
======================================================================
  Nodes: 1029 | Tets: 3600 | Edges: 14128
  Params: 238,915  (~2× SolidGNN edge-MLP params)
  ⚡ F-bar enabled (ν=0.45 ≥ 0.45, anti-locking)

     Ep |         Loss |         E_el |         E_gr |   J_min |  u_tip(mm) |        lr
   1125 | -3.338057e-03 | -1.950772e-03 | -1.387284e-03 |  1.0435 |     2.1398 |  3.87e-04
   1150 | -3.339012e-03 | -1.951873e-03 | -1.387139e-03 |  1.0452 |     2.1376 |  3.43e-04
   1175 | -3.340181e-03 | -1.953233e-03 | -1.386947e-03 |  1.0466 |     2.1345 |  3.01e-04
   1200 | -3.341682e-03 | -1.954996e-03 | -1.386685e-03 |  1.0469 |     2.1303 |  2.61e-04
   1225 | -3.343730e-03 | -1.957427e-03 | -1.386303e-03 |  1.0471 |     2.1240 |  2.24e-04
   1250 | -3.346742e-03 | -1.961058e-03 | -1.385684e-03 |  1.0472 |     2.1141 |  1.89e-04
   1275 | -3.351655e-03 | -1.967105e-03 | -1.384550e-03 |  1.0472 |     2.0968 |  1.58e-04
   1300 | -3.360945e-03 | -1.978774e-03 | -1.382172e-03 |  1.0468 |     2.0636 |  1.30e-04
   1325 | -3.381426e-03 | -2.004396e-03 | -1.377031e-03 |  1.0450 |     1.9910 |  1.06e-04
   1350 | -3.426708e-03 | -2.061175e-03 | -1.365533e-03 |  1.0389 |     1.7975 |  8.62e-05
   1375 | -3.480558e-03 | -2.130877e-03 | -1.349681e-03 |  1.0321 |     1.5240 |  7.05e-05
   1400 | -3.499016e-03 | -2.148098e-03 | -1.350918e-03 |  1.0265 |     1.5486 |  5.91e-05
   1425 | -3.506348e-03 | -2.151163e-03 | -1.355184e-03 |  1.0205 |     1.6237 |  5.23e-05
   1450 | -3.510862e-03 | -2.152808e-03 | -1.358054e-03 |  1.0133 |     1.6676 |  1.00e-03
   1475 | -3.499378e-03 | -2.141880e-03 | -1.357498e-03 |  0.9037 |     1.7216 |  9.99e-04
   1500 | -3.538328e-03 | -2.148488e-03 | -1.389839e-03 |  0.8877 |     2.1895 |  9.98e-04
   1525 | -3.568397e-03 | -2.138847e-03 | -1.429550e-03 |  0.7977 |     2.8664 |  9.95e-04
   1550 | -3.387551e-03 | -1.943629e-03 | -1.443922e-03 |  0.8774 |     3.1998 |  9.91e-04
   1575 | -3.582457e-03 | -2.135008e-03 | -1.447449e-03 |  0.7954 |     3.0292 |  9.86e-04
   1600 | -3.642656e-03 | -2.131529e-03 | -1.511126e-03 |  0.7096 |     4.2141 |  9.80e-04
   1625 | -3.661708e-03 | -2.169011e-03 | -1.492696e-03 |  0.7786 |     4.0551 |  9.72e-04
   1650 | -3.724987e-03 | -2.177491e-03 | -1.547496e-03 |  0.7110 |     4.9358 |  9.64e-04
   1675 | -3.456728e-03 | -1.860125e-03 | -1.596603e-03 |  0.7211 |     6.2248 |  9.54e-04
   1700 | -3.742301e-03 | -2.159888e-03 | -1.582413e-03 |  0.6326 |     5.6922 |  9.44e-04
   1725 | -3.767540e-03 | -2.138797e-03 | -1.628743e-03 |  0.6373 |     6.7473 |  9.32e-04
   1750 | -3.679095e-03 | -2.019061e-03 | -1.660033e-03 |  0.6416 |     7.4492 |  9.20e-04
   1775 | -3.750093e-03 | -2.131089e-03 | -1.619004e-03 |  0.6639 |     6.4337 |  9.07e-04
   1800 | -3.783234e-03 | -2.126275e-03 | -1.656959e-03 |  0.6320 |     7.3307 |  8.92e-04
   1825 | -3.796827e-03 | -2.100050e-03 | -1.696778e-03 |  0.6002 |     8.2087 |  8.77e-04
   1850 | -3.705828e-03 | -2.001411e-03 | -1.704417e-03 |  0.5845 |     8.4435 |  8.61e-04
   1875 | -3.799669e-03 | -2.100986e-03 | -1.698683e-03 |  0.6187 |     8.2990 |  8.44e-04
