╔══════════════════════════════════════════════════════════════╗
║  DPC-GNN — MGN-style Baseline (AMP ablation)                ║
║  Replaces AntisymMP with directed-edge MP (no antisymmetry) ║
╚══════════════════════════════════════════════════════════════╝

  GPU: NVIDIA GeForce RTX 5090

======================================================================
  TISSUE: BRAIN (MGN-baseline) | E=1000 Pa (1.0 kPa) | ν=0.49
  Beam: 3cm x 2cm x 2cm
  Mesh: 25x8x8 | Device: cuda | Epochs: 3000
  Expected tip δ: 30.9898 mm | Scale: 1.00e-02
  AMP: OFF (MGN-style directed MP, two independent edge MLPs)
======================================================================
  Nodes: 2106 | Tets: 8000 | Edges: 30738
  Params: 238,915  (~2× SolidGNN edge-MLP params)
  ⚡ F-bar enabled (ν=0.49 ≥ 0.45, anti-locking)

     Ep |         Loss |         E_el |         E_gr |   J_min |  u_tip(mm) |        lr
  ------------------------------------------------------------------------------
      1 | -1.226609e-03 | -1.885266e-06 | -1.224724e-03 |  0.9986 |     0.0033 |  2.00e-05
      2 | -1.228080e-03 | -2.976437e-06 | -1.225103e-03 |  0.9988 |     0.0061 |  4.00e-05
      3 | -1.230976e-03 | -5.110572e-06 | -1.225865e-03 |  0.9989 |     0.0119 |  6.00e-05
      4 | -1.235215e-03 | -8.191742e-06 | -1.227023e-03 |  0.9986 |     0.0205 |  8.00e-05
      5 | -1.240675e-03 | -1.207432e-05 | -1.228601e-03 |  0.9983 |     0.0322 |  1.00e-04
     25 | -1.396950e-03 | 7.432289e-06 | -1.404383e-03 |  0.9282 |     1.6562 |  5.00e-04
     50 | -1.780642e-03 | 6.092241e-04 | -2.389866e-03 |  0.7454 |    13.6174 |  1.00e-03
     75 | -1.891509e-03 | 5.872009e-04 | -2.478710e-03 |  0.3497 |    14.4773 |  9.64e-04
    100 | -2.237419e-03 | 5.845437e-04 | -2.821963e-03 |  0.1065 |    20.1863 |  8.61e-04
    125 | -2.477734e-03 | 6.232010e-04 | -3.100935e-03 |  0.0274 |    24.8753 |  7.07e-04
    150 | -2.651051e-03 | 6.692211e-04 | -3.320273e-03 |  0.0450 |    28.7213 |  5.25e-04
    175 | -2.751262e-03 | 7.336669e-04 | -3.484929e-03 |  0.1137 |    31.3215 |  3.43e-04
    200 | -2.801630e-03 | 7.681572e-04 | -3.569787e-03 |  0.1152 |    32.6401 |  1.89e-04
    225 | -2.823268e-03 | 7.806859e-04 | -3.603953e-03 |  0.1211 |    33.1727 |  8.62e-05
    250 | -2.832786e-03 | 7.862865e-04 | -3.619073e-03 |  0.1245 |    33.3996 |  1.00e-03
    275 | -1.036193e-03 | 9.343552e-05 | -1.129628e-03 |  0.8168 |    -1.0554 |  9.91e-04
    300 | -1.305484e-03 | 1.426507e-04 | -1.448135e-03 |  0.5674 |     1.6205 |  9.64e-04
    325 | -1.329618e-03 | 4.601894e-05 | -1.375637e-03 |  0.7309 |     1.1851 |  9.20e-04
    350 | -1.331310e-03 | 5.667192e-05 | -1.387982e-03 |  0.7478 |     1.3270 |  8.61e-04
    375 | -1.331719e-03 | 5.716602e-05 | -1.388885e-03 |  0.7646 |     1.3530 |  7.89e-04
    400 | -1.331982e-03 | 5.700529e-05 | -1.388987e-03 |  0.7724 |     1.3621 |  7.07e-04
    425 | -1.332229e-03 | 5.707516e-05 | -1.389304e-03 |  0.7774 |     1.3692 |  6.18e-04
    450 | -1.332477e-03 | 5.721881e-05 | -1.389695e-03 |  0.7808 |     1.3752 |  5.25e-04
    475 | -1.332720e-03 | 5.732813e-05 | -1.390048e-03 |  0.7832 |     1.3803 |  4.32e-04
