╔══════════════════════════════════════════════════════════════╗
║  DPC-GNN — MGN-style Baseline (AMP ablation)                ║
║  Replaces AntisymMP with directed-edge MP (no antisymmetry) ║
╚══════════════════════════════════════════════════════════════╝

  GPU: NVIDIA GeForce RTX 5090

======================================================================
  TISSUE: CARTILAGE (MGN-baseline) | E=500000 Pa (500.0 kPa) | ν=0.3
  Beam: 10cm x 2cm x 2cm
  Mesh: 15x4x4 | Device: cuda | Epochs: 3000
  Expected tip δ: 8.0932 mm | Scale: 8.09e-03
  AMP: OFF (MGN-style directed MP, two independent edge MLPs)
======================================================================
  Nodes: 400 | Tets: 1200 | Edges: 4910
  Params: 238,915  (~2× SolidGNN edge-MLP params)

     Ep |         Loss |         E_el |         E_gr |   J_min |  u_tip(mm) |        lr
   1125 | -4.926614e-03 | 5.979141e-04 | -5.524528e-03 |  0.9778 |     6.8369 |  7.18e-04
   1150 | -4.930812e-03 | 6.089674e-04 | -5.539779e-03 |  0.9770 |     6.9348 |  7.06e-04
   1175 | -4.931241e-03 | 6.094803e-04 | -5.540721e-03 |  0.9771 |     6.9404 |  6.94e-04
   1200 | -4.931040e-03 | 6.104630e-04 | -5.541502e-03 |  0.9770 |     6.9418 |  6.82e-04
   1225 | -4.928445e-03 | 6.010737e-04 | -5.529519e-03 |  0.9773 |     6.8799 |  6.70e-04
   1250 | -4.931099e-03 | 6.079531e-04 | -5.539052e-03 |  0.9771 |     6.9281 |  6.58e-04
   1275 | -4.931271e-03 | 6.091256e-04 | -5.540397e-03 |  0.9771 |     6.9379 |  6.46e-04
   1300 | -4.931273e-03 | 6.093116e-04 | -5.540585e-03 |  0.9770 |     6.9396 |  6.33e-04
   1325 | -4.931265e-03 | 6.094895e-04 | -5.540755e-03 |  0.9771 |     6.9406 |  6.21e-04
   1350 | -4.930397e-03 | 6.105639e-04 | -5.540961e-03 |  0.9768 |     6.9413 |  6.08e-04
   1375 | -4.931168e-03 | 6.081954e-04 | -5.539363e-03 |  0.9770 |     6.9310 |  5.95e-04
   1400 | -4.931332e-03 | 6.097335e-04 | -5.541065e-03 |  0.9770 |     6.9425 |  5.82e-04
   1425 | -4.931347e-03 | 6.098222e-04 | -5.541169e-03 |  0.9770 |     6.9431 |  5.70e-04
   1450 | -4.931346e-03 | 6.098287e-04 | -5.541174e-03 |  0.9770 |     6.9432 |  5.57e-04
   1475 | -4.931338e-03 | 6.098578e-04 | -5.541196e-03 |  0.9770 |     6.9434 |  5.44e-04
   1500 | -4.931334e-03 | 6.098921e-04 | -5.541226e-03 |  0.9770 |     6.9436 |  5.31e-04
   1525 | -4.931339e-03 | 6.099044e-04 | -5.541244e-03 |  0.9770 |     6.9437 |  5.18e-04
   1550 | -4.931335e-03 | 6.099461e-04 | -5.541281e-03 |  0.9770 |     6.9439 |  5.05e-04
   1575 | -4.931076e-03 | 6.095755e-04 | -5.540652e-03 |  0.9770 |     6.9416 |  4.92e-04
   1600 | -4.931362e-03 | 6.082749e-04 | -5.539637e-03 |  0.9770 |     6.9342 |  4.79e-04
   1625 | -4.931374e-03 | 6.097161e-04 | -5.541090e-03 |  0.9770 |     6.9426 |  4.66e-04
   1650 | -4.931396e-03 | 6.098509e-04 | -5.541247e-03 |  0.9770 |     6.9437 |  4.53e-04
   1675 | -4.931385e-03 | 6.098866e-04 | -5.541272e-03 |  0.9770 |     6.9439 |  4.40e-04
   1700 | -4.931394e-03 | 6.099194e-04 | -5.541313e-03 |  0.9770 |     6.9442 |  4.28e-04
   1725 | -4.931401e-03 | 6.099371e-04 | -5.541339e-03 |  0.9770 |     6.9444 |  4.15e-04
   1750 | -4.931402e-03 | 6.099474e-04 | -5.541349e-03 |  0.9770 |     6.9445 |  4.02e-04
   1775 | -4.931431e-03 | 6.099312e-04 | -5.541362e-03 |  0.9770 |     6.9446 |  3.89e-04
   1800 | -4.931439e-03 | 6.099314e-04 | -5.541370e-03 |  0.9770 |     6.9447 |  3.77e-04
   1825 | -4.931442e-03 | 6.099360e-04 | -5.541378e-03 |  0.9770 |     6.9447 |  3.64e-04
   1850 | -4.931450e-03 | 6.099311e-04 | -5.541381e-03 |  0.9770 |     6.9448 |  3.52e-04
   1875 | -4.931460e-03 | 6.099280e-04 | -5.541388e-03 |  0.9770 |     6.9448 |  3.40e-04
   1900 | -4.931452e-03 | 6.099424e-04 | -5.541394e-03 |  0.9770 |     6.9449 |  3.28e-04
   1925 | -4.931455e-03 | 6.099441e-04 | -5.541399e-03 |  0.9770 |     6.9449 |  3.16e-04
   1950 | -4.931443e-03 | 6.099608e-04 | -5.541404e-03 |  0.9770 |     6.9450 |  3.04e-04
   1975 | -4.931414e-03 | 6.099938e-04 | -5.541408e-03 |  0.9770 |     6.9450 |  2.92e-04
   2000 | -4.931465e-03 | 6.099467e-04 | -5.541412e-03 |  0.9770 |     6.9450 |  2.80e-04
   2025 | -4.931456e-03 | 6.099618e-04 | -5.541418e-03 |  0.9770 |     6.9451 |  2.69e-04
   2050 | -4.931449e-03 | 6.099712e-04 | -5.541421e-03 |  0.9770 |     6.9451 |  2.57e-04
   2075 | -4.931417e-03 | 6.100092e-04 | -5.541426e-03 |  0.9770 |     6.9452 |  2.46e-04
   2100 | -4.931434e-03 | 6.099956e-04 | -5.541430e-03 |  0.9770 |     6.9452 |  2.35e-04
   2125 | -4.931423e-03 | 6.100108e-04 | -5.541434e-03 |  0.9770 |     6.9452 |  2.25e-04
   2150 | -4.931434e-03 | 6.100025e-04 | -5.541436e-03 |  0.9770 |     6.9452 |  2.14e-04
   2175 | -4.931411e-03 | 6.100298e-04 | -5.541441e-03 |  0.9770 |     6.9453 |  2.04e-04
   2200 | -4.931435e-03 | 6.100087e-04 | -5.541444e-03 |  0.9770 |     6.9453 |  1.93e-04
   2225 | -4.931404e-03 | 6.100429e-04 | -5.541447e-03 |  0.9770 |     6.9453 |  1.84e-04
   2250 | -4.931449e-03 | 6.100007e-04 | -5.541450e-03 |  0.9770 |     6.9454 |  1.74e-04
   2275 | -4.931457e-03 | 6.099960e-04 | -5.541453e-03 |  0.9770 |     6.9454 |  1.64e-04
   2300 | -4.931399e-03 | 6.100570e-04 | -5.541456e-03 |  0.9770 |     6.9454 |  1.55e-04
   2325 | -4.931437e-03 | 6.100236e-04 | -5.541461e-03 |  0.9770 |     6.9454 |  1.46e-04
   2350 | -4.931458e-03 | 6.100042e-04 | -5.541462e-03 |  0.9769 |     6.9455 |  1.37e-04
   2375 | -4.931469e-03 | 6.099963e-04 | -5.541465e-03 |  0.9769 |     6.9455 |  1.29e-04
   2400 | -4.931440e-03 | 6.100269e-04 | -5.541467e-03 |  0.9769 |     6.9455 |  1.20e-04
   2425 | -4.931478e-03 | 6.099911e-04 | -5.541469e-03 |  0.9769 |     6.9455 |  1.12e-04
   2450 | -4.931456e-03 | 6.100145e-04 | -5.541471e-03 |  0.9769 |     6.9455 |  1.05e-04
   2475 | -4.931457e-03 | 6.100168e-04 | -5.541474e-03 |  0.9769 |     6.9456 |  9.71e-05
   2500 | -4.931481e-03 | 6.099942e-04 | -5.541475e-03 |  0.9769 |     6.9456 |  8.99e-05
   2525 | -4.931488e-03 | 6.099886e-04 | -5.541476e-03 |  0.9769 |     6.9456 |  8.29e-05
   2550 | -4.931454e-03 | 6.100257e-04 | -5.541479e-03 |  0.9769 |     6.9456 |  7.63e-05
   2575 | -4.931474e-03 | 6.100075e-04 | -5.541481e-03 |  0.9769 |     6.9456 |  7.00e-05
   2600 | -4.931503e-03 | 6.099798e-04 | -5.541482e-03 |  0.9769 |     6.9456 |  6.40e-05
   2625 | -4.931485e-03 | 6.099988e-04 | -5.541484e-03 |  0.9769 |     6.9456 |  5.82e-05
   2650 | -4.931448e-03 | 6.100377e-04 | -5.541486e-03 |  0.9769 |     6.9457 |  5.28e-05
   2675 | -4.931468e-03 | 6.100188e-04 | -5.541486e-03 |  0.9769 |     6.9457 |  4.77e-05
   2700 | -4.931477e-03 | 6.100114e-04 | -5.541488e-03 |  0.9769 |     6.9457 |  4.29e-05
   2725 | -4.931455e-03 | 6.100340e-04 | -5.541489e-03 |  0.9769 |     6.9457 |  3.84e-05
   2750 | -4.931461e-03 | 6.100292e-04 | -5.541490e-03 |  0.9769 |     6.9457 |  3.42e-05
   2775 | -4.931464e-03 | 6.100273e-04 | -5.541491e-03 |  0.9769 |     6.9457 |  3.04e-05
   2800 | -4.931477e-03 | 6.100159e-04 | -5.541493e-03 |  0.9769 |     6.9457 |  2.69e-05
   2825 | -4.931480e-03 | 6.100137e-04 | -5.541493e-03 |  0.9769 |     6.9457 |  2.37e-05
   2850 | -4.931484e-03 | 6.100097e-04 | -5.541494e-03 |  0.9769 |     6.9457 |  2.08e-05
   2875 | -4.931442e-03 | 6.100520e-04 | -5.541494e-03 |  0.9769 |     6.9457 |  1.83e-05
   2900 | -4.931496e-03 | 6.099994e-04 | -5.541495e-03 |  0.9769 |     6.9457 |  1.61e-05
   2925 | -4.931474e-03 | 6.100215e-04 | -5.541496e-03 |  0.9769 |     6.9457 |  1.42e-05
   2950 | -4.931496e-03 | 6.100003e-04 | -5.541496e-03 |  0.9769 |     6.9457 |  1.27e-05
   2975 | -4.931465e-03 | 6.100318e-04 | -5.541497e-03 |  0.9769 |     6.9457 |  1.15e-05
   3000 | -4.931448e-03 | 6.100493e-04 | -5.541497e-03 |  0.9769 |     6.9458 |  1.07e-05

  ======================================================================
  ✅ CARTILAGE (MGN-baseline) COMPLETE
  Best loss: -4.931531e-03 (epoch 2933)
  Tip: 6.9457 mm (expected: 8.0932 mm)  Err: 14.18%
  Training time: 113.4s (1.9min)
  ======================================================================

