╔══════════════════════════════════════════════════════════════╗
║  DPC-GNN — MGN-style Baseline (AMP ablation)                ║
║  Replaces AntisymMP with directed-edge MP (no antisymmetry) ║
╚══════════════════════════════════════════════════════════════╝

  GPU: NVIDIA GeForce RTX 5090

======================================================================
  TISSUE: BONE (MGN-baseline) | E=10000000 Pa (10000.0 kPa) | ν=0.3
  Beam: 10cm x 2cm x 2cm
  Mesh: 15x4x4 | Device: cuda | Epochs: 2000
  Expected tip δ: 0.6990 mm | Scale: 6.99e-04
  AMP: OFF (MGN-style directed MP, two independent edge MLPs)
======================================================================
  Nodes: 400 | Tets: 1200 | Edges: 4910
  Params: 238,915  (~2× SolidGNN edge-MLP params)

     Ep |         Loss |         E_el |         E_gr |   J_min |  u_tip(mm) |        lr
   1125 | -7.544796e-03 | 9.013555e-05 | -7.634931e-03 |  0.9980 |     0.5888 |  4.47e-04
   1150 | -7.544802e-03 | 9.017187e-05 | -7.634974e-03 |  0.9980 |     0.5890 |  4.28e-04
   1175 | -7.544837e-03 | 9.017230e-05 | -7.635009e-03 |  0.9980 |     0.5891 |  4.08e-04
   1200 | -7.545021e-03 | 9.002049e-05 | -7.635042e-03 |  0.9980 |     0.5892 |  3.89e-04
   1225 | -7.545410e-03 | 8.966368e-05 | -7.635073e-03 |  0.9980 |     0.5893 |  3.71e-04
   1250 | -7.545138e-03 | 8.996589e-05 | -7.635104e-03 |  0.9980 |     0.5894 |  3.52e-04
   1275 | -7.545383e-03 | 8.975035e-05 | -7.635133e-03 |  0.9980 |     0.5895 |  3.34e-04
   1300 | -7.544990e-03 | 9.017142e-05 | -7.635161e-03 |  0.9980 |     0.5896 |  3.16e-04
   1325 | -7.544840e-03 | 9.034366e-05 | -7.635184e-03 |  0.9980 |     0.5897 |  2.98e-04
   1350 | -7.544985e-03 | 9.022668e-05 | -7.635212e-03 |  0.9980 |     0.5898 |  2.80e-04
   1375 | -7.545360e-03 | 8.987598e-05 | -7.635236e-03 |  0.9980 |     0.5899 |  2.63e-04
   1400 | -7.545731e-03 | 8.952625e-05 | -7.635257e-03 |  0.9980 |     0.5900 |  2.46e-04
