╔══════════════════════════════════════════════════════════════╗
║  DPC-GNN — MGN-style Baseline (AMP ablation)                ║
║  Replaces AntisymMP with directed-edge MP (no antisymmetry) ║
╚══════════════════════════════════════════════════════════════╝

  GPU: NVIDIA GeForce RTX 5090

======================================================================
  TISSUE: CARTILAGE (MGN-baseline) | E=500000 Pa (500.0 kPa) | ν=0.3
  Beam: 10cm x 2cm x 2cm
  Mesh: 15x4x4 | Device: cuda | Epochs: 3000
  Expected tip δ: 8.0932 mm | Scale: 8.09e-03
  AMP: OFF (MGN-style directed MP, two independent edge MLPs)
======================================================================
  Nodes: 400 | Tets: 1200 | Edges: 4910
  Params: 238,915  (~2× SolidGNN edge-MLP params)

     Ep |         Loss |         E_el |         E_gr |   J_min |  u_tip(mm) |        lr
  ------------------------------------------------------------------------------
      1 | -4.290096e-03 | 3.157543e-05 | -4.321671e-03 |  0.9948 |     0.0237 |  2.00e-05
      2 | -4.301723e-03 | 2.068212e-05 | -4.322405e-03 |  0.9959 |     0.0241 |  4.00e-05
      3 | -4.316729e-03 | 7.272875e-06 | -4.324001e-03 |  0.9977 |     0.0253 |  6.00e-05
      4 | -4.321272e-03 | 5.236646e-06 | -4.326509e-03 |  0.9993 |     0.0278 |  8.00e-05
      5 | -4.311575e-03 | 1.817775e-05 | -4.329753e-03 |  0.9985 |     0.0323 |  1.00e-04
     25 | -4.340628e-03 | 1.355335e-05 | -4.354182e-03 |  0.9989 |     0.1270 |  5.00e-04
     50 | -4.422533e-03 | 6.339508e-05 | -4.485928e-03 |  0.9928 |     0.6251 |  1.00e-03
     75 | -4.535155e-03 | 1.476830e-04 | -4.682838e-03 |  0.9902 |     1.6663 |  1.00e-03
    100 | -4.648536e-03 | 2.098901e-04 | -4.858427e-03 |  0.9822 |     2.5731 |  9.99e-04
    125 | -4.526115e-03 | 5.043902e-04 | -5.030505e-03 |  0.9790 |     3.7367 |  9.98e-04
    150 | -4.814054e-03 | 3.565667e-04 | -5.170621e-03 |  0.9818 |     4.6095 |  9.97e-04
    175 | -4.801442e-03 | 4.234151e-04 | -5.224857e-03 |  0.9785 |     4.9440 |  9.96e-04
    200 | -4.841770e-03 | 4.751034e-04 | -5.316874e-03 |  0.9808 |     5.5666 |  9.94e-04
    225 | -4.899978e-03 | 5.200906e-04 | -5.420068e-03 |  0.9802 |     6.2017 |  9.92e-04
    250 | -4.915841e-03 | 5.251814e-04 | -5.441022e-03 |  0.9784 |     6.2851 |  9.89e-04
    275 | -4.923181e-03 | 5.737995e-04 | -5.496981e-03 |  0.9775 |     6.6644 |  9.86e-04
    300 | -4.911835e-03 | 5.190884e-04 | -5.430924e-03 |  0.9795 |     6.2449 |  9.83e-04
    325 | -4.910793e-03 | 5.916453e-04 | -5.502439e-03 |  0.9783 |     6.7340 |  9.80e-04
    350 | -4.926426e-03 | 5.902647e-04 | -5.516691e-03 |  0.9771 |     6.7919 |  9.76e-04
    375 | -4.922278e-03 | 5.785240e-04 | -5.500802e-03 |  0.9772 |     6.6884 |  9.72e-04
    400 | -4.921593e-03 | 5.980714e-04 | -5.519664e-03 |  0.9777 |     6.8060 |  9.67e-04
    425 | -4.909658e-03 | 5.786227e-04 | -5.488281e-03 |  0.9764 |     6.6267 |  9.62e-04
    450 | -4.929353e-03 | 5.969095e-04 | -5.526262e-03 |  0.9774 |     6.8538 |  9.57e-04
    475 | -4.926594e-03 | 5.812712e-04 | -5.507865e-03 |  0.9774 |     6.7300 |  9.52e-04
    500 | -4.928749e-03 | 6.053498e-04 | -5.534098e-03 |  0.9762 |     6.8904 |  9.46e-04
    525 | -4.917212e-03 | 5.697344e-04 | -5.486946e-03 |  0.9778 |     6.6343 |  9.40e-04
    550 | -4.928958e-03 | 6.006429e-04 | -5.529601e-03 |  0.9774 |     6.8758 |  9.34e-04
    575 | -4.930236e-03 | 6.057155e-04 | -5.535951e-03 |  0.9770 |     6.9108 |  9.27e-04
    600 | -4.929526e-03 | 5.714912e-04 | -5.501017e-03 |  0.9773 |     6.7061 |  9.20e-04
    625 | -4.927291e-03 | 6.049443e-04 | -5.532235e-03 |  0.9774 |     6.8882 |  9.13e-04
    650 | -4.928582e-03 | 6.075238e-04 | -5.536105e-03 |  0.9773 |     6.9117 |  9.05e-04
    675 | -4.926768e-03 | 6.053828e-04 | -5.532151e-03 |  0.9765 |     6.8888 |  8.98e-04
    700 | -4.905117e-03 | 6.211672e-04 | -5.526284e-03 |  0.9785 |     6.8509 |  8.90e-04
    725 | -4.928561e-03 | 6.047837e-04 | -5.533345e-03 |  0.9775 |     6.8956 |  8.81e-04
    750 | -4.926267e-03 | 6.120305e-04 | -5.538298e-03 |  0.9773 |     6.9248 |  8.73e-04
    775 | -4.928463e-03 | 6.057404e-04 | -5.534204e-03 |  0.9771 |     6.9033 |  8.64e-04
    800 | -4.930738e-03 | 6.078585e-04 | -5.538597e-03 |  0.9770 |     6.9318 |  8.55e-04
    825 | -4.921185e-03 | 5.623263e-04 | -5.483511e-03 |  0.9769 |     6.5881 |  8.46e-04
    850 | -4.929849e-03 | 6.052981e-04 | -5.535147e-03 |  0.9766 |     6.8934 |  8.36e-04
    875 | -4.930849e-03 | 6.084924e-04 | -5.539341e-03 |  0.9770 |     6.9322 |  8.26e-04
    900 | -4.930695e-03 | 6.092809e-04 | -5.539976e-03 |  0.9770 |     6.9362 |  8.17e-04
    925 | -4.925807e-03 | 6.017082e-04 | -5.527515e-03 |  0.9773 |     6.8466 |  8.06e-04
