╔══════════════════════════════════════════════════════════════╗
║  DPC-GNN — MGN-style Baseline (AMP ablation)                ║
║  Replaces AntisymMP with directed-edge MP (no antisymmetry) ║
╚══════════════════════════════════════════════════════════════╝

  GPU: NVIDIA GeForce RTX 5090

======================================================================
  TISSUE: BRAIN (MGN-baseline) | E=1000 Pa (1.0 kPa) | ν=0.49
  Beam: 3cm x 2cm x 2cm
  Mesh: 25x8x8 | Device: cuda | Epochs: 3000
  Expected tip δ: 30.9898 mm | Scale: 1.00e-02
  AMP: OFF (MGN-style directed MP, two independent edge MLPs)
======================================================================
  Nodes: 2106 | Tets: 8000 | Edges: 30738
  Params: 238,915  (~2× SolidGNN edge-MLP params)
  ⚡ F-bar enabled (ν=0.49 ≥ 0.45, anti-locking)

     Ep |         Loss |         E_el |         E_gr |   J_min |  u_tip(mm) |        lr
  ------------------------------------------------------------------------------
      1 | -1.222474e-03 | 3.051671e-06 | -1.225526e-03 |  0.9719 |     0.0262 |  2.00e-05
      2 | -1.224302e-03 | 1.715924e-06 | -1.226018e-03 |  0.9758 |     0.0297 |  4.00e-05
      3 | -1.227856e-03 | -8.595659e-07 | -1.226996e-03 |  0.9829 |     0.0368 |  6.00e-05
      4 | -1.232943e-03 | -4.485816e-06 | -1.228457e-03 |  0.9930 |     0.0475 |  8.00e-05
      5 | -1.239317e-03 | -8.903006e-06 | -1.230414e-03 |  0.9973 |     0.0619 |  1.00e-04
     25 | -1.415892e-03 | 6.483606e-06 | -1.422376e-03 |  0.9287 |     1.8778 |  5.00e-04
     50 | -1.758575e-03 | 6.829288e-04 | -2.441504e-03 |  0.7468 |    14.0069 |  1.00e-03
     75 | -1.753704e-03 | 2.272902e-04 | -1.980994e-03 |  0.8725 |     8.7968 |  9.64e-04
    100 | -1.844483e-03 | 4.471827e-04 | -2.291666e-03 |  0.7692 |    12.5638 |  8.61e-04
    125 | -1.874084e-03 | 5.537308e-04 | -2.427815e-03 |  0.7534 |    14.4212 |  7.07e-04
    150 | -1.916634e-03 | 5.439821e-04 | -2.460616e-03 |  0.8046 |    14.8350 |  5.25e-04
    175 | -2.057724e-03 | 4.753466e-04 | -2.533070e-03 |  0.3465 |    15.7006 |  3.43e-04
    200 | -2.190967e-03 | 4.677506e-04 | -2.658718e-03 |  0.1699 |    17.5939 |  1.89e-04
    225 | -2.257755e-03 | 4.972275e-04 | -2.754983e-03 |  0.1740 |    19.0234 |  8.62e-05
    250 | -2.288674e-03 | 5.138204e-04 | -2.802494e-03 |  0.1671 |    19.7816 |  1.00e-03
    275 | -1.743835e-03 | 3.286752e-04 | -2.072510e-03 |  0.3820 |     9.1533 |  9.91e-04
    300 | -1.855486e-03 | 4.307479e-04 | -2.286234e-03 |  0.3426 |    12.0753 |  9.64e-04
    325 | -1.917850e-03 | 5.261442e-04 | -2.443994e-03 |  0.3435 |    14.4493 |  9.20e-04
    350 | -1.960260e-03 | 5.826558e-04 | -2.542916e-03 |  0.2507 |    15.5217 |  8.61e-04
    375 | -2.171769e-03 | 4.604417e-04 | -2.632211e-03 |  0.2060 |    17.3732 |  7.89e-04
    400 | -2.336314e-03 | 5.326336e-04 | -2.868948e-03 |  0.1859 |    21.2674 |  7.07e-04
    425 | -2.369837e-03 | 7.007877e-04 | -3.070625e-03 |  0.0886 |    24.2402 |  6.18e-04
    450 | -2.532409e-03 | 6.454607e-04 | -3.177870e-03 |  0.1158 |    26.1493 |  5.25e-04
    475 | -2.589293e-03 | 6.807890e-04 | -3.270082e-03 |  0.0894 |    27.8145 |  4.32e-04
    500 | -2.642994e-03 | 7.160134e-04 | -3.359008e-03 |  0.0915 |    29.3214 |  3.43e-04
    525 | -2.684069e-03 | 7.232951e-04 | -3.407364e-03 |  0.0842 |    30.2164 |  2.61e-04
    550 | -2.706831e-03 | 7.355240e-04 | -3.442355e-03 |  0.0818 |    30.8408 |  1.89e-04
    575 | -2.721700e-03 | 7.443677e-04 | -3.466067e-03 |  0.0815 |    31.2519 |  1.30e-04
    600 | -2.731426e-03 | 7.496171e-04 | -3.481043e-03 |  0.0814 |    31.5103 |  8.62e-05
    625 | -2.737850e-03 | 7.529316e-04 | -3.490782e-03 |  0.0815 |    31.6768 |  5.91e-05
    650 | -2.742607e-03 | 7.553515e-04 | -3.497958e-03 |  0.0816 |    31.7982 |  1.00e-03
