╔══════════════════════════════════════════════════════════════╗
║  DPC-GNN — MGN-style Baseline (AMP ablation)                ║
║  Replaces AntisymMP with directed-edge MP (no antisymmetry) ║
╚══════════════════════════════════════════════════════════════╝

  GPU: NVIDIA GeForce RTX 5090

======================================================================
  TISSUE: BONE (MGN-baseline) | E=10000000 Pa (10000.0 kPa) | ν=0.3
  Beam: 10cm x 2cm x 2cm
  Mesh: 15x4x4 | Device: cuda | Epochs: 2000
  Expected tip δ: 0.6990 mm | Scale: 6.99e-04
  AMP: OFF (MGN-style directed MP, two independent edge MLPs)
======================================================================
  Nodes: 400 | Tets: 1200 | Edges: 4910
  Params: 238,915  (~2× SolidGNN edge-MLP params)

     Ep |         Loss |         E_el |         E_gr |   J_min |  u_tip(mm) |        lr
  ------------------------------------------------------------------------------
      1 | -7.451172e-03 | 4.647271e-06 | -7.455819e-03 |  0.9998 |     0.0005 |  2.00e-05
      2 | -7.451140e-03 | 4.849974e-06 | -7.455990e-03 |  0.9998 |     0.0006 |  4.00e-05
      3 | -7.452995e-03 | 3.330540e-06 | -7.456325e-03 |  0.9999 |     0.0009 |  6.00e-05
      4 | -7.452145e-03 | 4.644277e-06 | -7.456790e-03 |  0.9998 |     0.0014 |  8.00e-05
      5 | -7.452609e-03 | 4.689021e-06 | -7.457298e-03 |  0.9998 |     0.0020 |  1.00e-04
     25 | -7.458312e-03 | 4.042199e-06 | -7.462354e-03 |  0.9998 |     0.0142 |  5.00e-04
     50 | -7.474381e-03 | 1.098487e-05 | -7.485366e-03 |  0.9990 |     0.0694 |  1.00e-03
     75 | -7.472354e-03 | 3.466349e-05 | -7.507017e-03 |  0.9985 |     0.1409 |  1.00e-03
    100 | -7.501383e-03 | 2.493388e-05 | -7.526317e-03 |  0.9986 |     0.2070 |  9.98e-04
    125 | -7.509513e-03 | 3.715108e-05 | -7.546664e-03 |  0.9986 |     0.2766 |  9.97e-04
    150 | -7.523667e-03 | 5.210149e-05 | -7.575769e-03 |  0.9982 |     0.3689 |  9.94e-04
    175 | -7.528968e-03 | 4.797768e-05 | -7.576945e-03 |  0.9983 |     0.3799 |  9.90e-04
    200 | -7.536450e-03 | 6.471078e-05 | -7.601161e-03 |  0.9983 |     0.4642 |  9.86e-04
    225 | -7.538415e-03 | 6.597241e-05 | -7.604387e-03 |  0.9984 |     0.4815 |  9.81e-04
    250 | -7.540739e-03 | 7.604214e-05 | -7.616781e-03 |  0.9981 |     0.5230 |  9.76e-04
    275 | -7.538371e-03 | 7.179119e-05 | -7.610162e-03 |  0.9983 |     0.4975 |  9.69e-04
    300 | -7.541249e-03 | 8.192541e-05 | -7.623174e-03 |  0.9981 |     0.5452 |  9.62e-04
    325 | -7.542241e-03 | 8.502298e-05 | -7.627264e-03 |  0.9981 |     0.5610 |  9.55e-04
    350 | -7.542797e-03 | 8.601742e-05 | -7.628814e-03 |  0.9981 |     0.5667 |  9.46e-04
    375 | -7.541739e-03 | 8.400595e-05 | -7.625745e-03 |  0.9983 |     0.5586 |  9.37e-04
    400 | -7.543571e-03 | 8.471201e-05 | -7.628283e-03 |  0.9981 |     0.5657 |  9.27e-04
    425 | -7.543910e-03 | 8.426304e-05 | -7.628174e-03 |  0.9981 |     0.5632 |  9.17e-04
    450 | -7.543345e-03 | 8.748906e-05 | -7.630834e-03 |  0.9980 |     0.5734 |  9.05e-04
    475 | -7.543080e-03 | 8.747373e-05 | -7.630553e-03 |  0.9980 |     0.5722 |  8.94e-04
    500 | -7.542581e-03 | 8.849583e-05 | -7.631076e-03 |  0.9980 |     0.5737 |  8.81e-04
    525 | -7.544285e-03 | 8.516628e-05 | -7.629451e-03 |  0.9981 |     0.5695 |  8.68e-04
    550 | -7.544402e-03 | 8.708452e-05 | -7.631487e-03 |  0.9981 |     0.5767 |  8.55e-04
    575 | -7.539130e-03 | 8.955797e-05 | -7.628688e-03 |  0.9980 |     0.5650 |  8.41e-04
    600 | -7.543862e-03 | 8.790490e-05 | -7.631767e-03 |  0.9980 |     0.5776 |  8.26e-04
    625 | -7.544326e-03 | 8.852585e-05 | -7.632852e-03 |  0.9980 |     0.5810 |  8.11e-04
    650 | -7.543850e-03 | 8.930471e-05 | -7.633154e-03 |  0.9980 |     0.5823 |  7.96e-04
    675 | -7.544134e-03 | 8.641911e-05 | -7.630553e-03 |  0.9982 |     0.5731 |  7.80e-04
    700 | -7.544135e-03 | 8.883516e-05 | -7.632970e-03 |  0.9980 |     0.5817 |  7.64e-04
    725 | -7.544586e-03 | 8.887983e-05 | -7.633465e-03 |  0.9980 |     0.5833 |  7.47e-04
    750 | -7.543569e-03 | 8.736871e-05 | -7.630938e-03 |  0.9980 |     0.5758 |  7.30e-04
    775 | -7.544965e-03 | 8.814086e-05 | -7.633105e-03 |  0.9981 |     0.5823 |  7.12e-04
    800 | -7.544064e-03 | 8.970069e-05 | -7.633765e-03 |  0.9980 |     0.5843 |  6.94e-04
    825 | -7.544244e-03 | 8.864678e-05 | -7.632891e-03 |  0.9980 |     0.5821 |  6.76e-04
    850 | -7.544586e-03 | 8.906556e-05 | -7.633651e-03 |  0.9980 |     0.5837 |  6.58e-04
    875 | -7.544322e-03 | 8.957369e-05 | -7.633896e-03 |  0.9980 |     0.5848 |  6.39e-04
    900 | -7.544704e-03 | 8.859169e-05 | -7.633296e-03 |  0.9980 |     0.5830 |  6.21e-04
