╔══════════════════════════════════════════════════════════════╗
║  DPC-GNN — MGN-style Baseline (AMP ablation)                ║
║  Replaces AntisymMP with directed-edge MP (no antisymmetry) ║
╚══════════════════════════════════════════════════════════════╝

  GPU: NVIDIA GeForce RTX 5090

======================================================================
  TISSUE: KIDNEY (MGN-baseline) | E=10000 Pa (10.0 kPa) | ν=0.45
  Beam: 3cm x 2cm x 2cm
  Mesh: 20x6x6 | Device: cuda | Epochs: 3000
  Expected tip δ: 3.1288 mm | Scale: 3.13e-03
  AMP: OFF (MGN-style directed MP, two independent edge MLPs)
======================================================================
  Nodes: 1029 | Tets: 3600 | Edges: 14128
  Params: 238,915  (~2× SolidGNN edge-MLP params)
  ⚡ F-bar enabled (ν=0.45 ≥ 0.45, anti-locking)

     Ep |         Loss |         E_el |         E_gr |   J_min |  u_tip(mm) |        lr
  ------------------------------------------------------------------------------
      1 | -1.230629e-03 | 6.251453e-06 | -1.236881e-03 |  0.9889 |     0.0075 |  2.00e-05
      2 | -1.234621e-03 | 2.292081e-06 | -1.236913e-03 |  0.9897 |     0.0080 |  4.00e-05
      3 | -1.242630e-03 | -5.649864e-06 | -1.236981e-03 |  0.9913 |     0.0091 |  6.00e-05
      4 | -1.254745e-03 | -1.767838e-05 | -1.237067e-03 |  0.9935 |     0.0106 |  8.00e-05
      5 | -1.271155e-03 | -3.398695e-05 | -1.237168e-03 |  0.9965 |     0.0126 |  1.00e-04
     25 | -3.389012e-03 | -2.134441e-03 | -1.254571e-03 |  0.9728 |     0.2401 |  5.00e-04
     50 | -3.586764e-03 | -2.242385e-03 | -1.344379e-03 |  0.8454 |     1.4878 |  1.00e-03
     75 | -3.667968e-03 | -2.231688e-03 | -1.436280e-03 |  0.7640 |     2.8795 |  9.64e-04
    100 | -3.699840e-03 | -2.194683e-03 | -1.505157e-03 |  0.6754 |     4.0090 |  8.61e-04
    125 | -3.733887e-03 | -2.175386e-03 | -1.558500e-03 |  0.6697 |     5.1098 |  7.07e-04
    150 | -3.755349e-03 | -2.166868e-03 | -1.588481e-03 |  0.6334 |     5.8454 |  5.25e-04
    175 | -3.772001e-03 | -2.147992e-03 | -1.624009e-03 |  0.6130 |     6.5546 |  3.43e-04
    200 | -3.782054e-03 | -2.139280e-03 | -1.642774e-03 |  0.6026 |     6.9696 |  1.89e-04
    225 | -3.787363e-03 | -2.134622e-03 | -1.652741e-03 |  0.5978 |     7.1857 |  8.62e-05
    250 | -3.789958e-03 | -2.132470e-03 | -1.657488e-03 |  0.5958 |     7.2895 |  1.00e-03
    275 | -3.466338e-03 | -2.167945e-03 | -1.298393e-03 |  0.9328 |     1.0391 |  9.91e-04
    300 | -3.535282e-03 | -2.191403e-03 | -1.343879e-03 |  1.0056 |     1.4684 |  9.64e-04
    325 | -3.624644e-03 | -2.228454e-03 | -1.396190e-03 |  0.8662 |     2.1218 |  9.20e-04
    350 | -3.650114e-03 | -2.218864e-03 | -1.431250e-03 |  0.8249 |     2.7722 |  8.61e-04
    375 | -3.695786e-03 | -2.189515e-03 | -1.506270e-03 |  0.7482 |     4.0339 |  7.89e-04
    400 | -3.701625e-03 | -2.179827e-03 | -1.521798e-03 |  0.7344 |     4.5034 |  7.07e-04
    425 | -3.735015e-03 | -2.166343e-03 | -1.568673e-03 |  0.6801 |     5.3940 |  6.18e-04
    450 | -3.738689e-03 | -2.150266e-03 | -1.588423e-03 |  0.6704 |     5.8729 |  5.25e-04
    475 | -3.760660e-03 | -2.147908e-03 | -1.612752e-03 |  0.6426 |     6.3656 |  4.32e-04
    500 | -3.769837e-03 | -2.138257e-03 | -1.631580e-03 |  0.6278 |     6.7859 |  3.43e-04
    525 | -3.776583e-03 | -2.131151e-03 | -1.645433e-03 |  0.6163 |     7.0855 |  2.61e-04
    550 | -3.781329e-03 | -2.126064e-03 | -1.655265e-03 |  0.6087 |     7.2952 |  1.89e-04
    575 | -3.784592e-03 | -2.122608e-03 | -1.661985e-03 |  0.6037 |     7.4396 |  1.30e-04
    600 | -3.786768e-03 | -2.120311e-03 | -1.666457e-03 |  0.6004 |     7.5357 |  8.62e-05
    625 | -3.788214e-03 | -2.118780e-03 | -1.669434e-03 |  0.5982 |     7.5997 |  5.91e-05
    650 | -3.789287e-03 | -2.117644e-03 | -1.671643e-03 |  0.5966 |     7.6471 |  1.00e-03
    675 | -3.149394e-03 | -1.847020e-03 | -1.302375e-03 |  0.9892 |     0.8090 |  9.98e-04
    700 | -3.328450e-03 | -1.956402e-03 | -1.372048e-03 |  1.0308 |     1.8889 |  9.91e-04
    725 | -3.422353e-03 | -2.050779e-03 | -1.371574e-03 |  1.0280 |     1.9492 |  9.80e-04
    750 | -3.498760e-03 | -2.143825e-03 | -1.354934e-03 |  0.9871 |     1.6641 |  9.64e-04
    775 | -3.513139e-03 | -2.147905e-03 | -1.365234e-03 |  0.9800 |     1.7707 |  9.44e-04
    800 | -3.515897e-03 | -2.151565e-03 | -1.364332e-03 |  0.9743 |     1.7939 |  9.20e-04
    825 | -3.517760e-03 | -2.150576e-03 | -1.367184e-03 |  0.9671 |     1.8217 |  8.92e-04
    850 | -3.519645e-03 | -2.150599e-03 | -1.369046e-03 |  0.9609 |     1.8516 |  8.61e-04
    875 | -3.521944e-03 | -2.150079e-03 | -1.371865e-03 |  0.9552 |     1.8959 |  8.26e-04
    900 | -3.525007e-03 | -2.149121e-03 | -1.375886e-03 |  0.9504 |     1.9612 |  7.89e-04
    925 | -3.529334e-03 | -2.147501e-03 | -1.381833e-03 |  0.9438 |     2.0594 |  7.49e-04
    950 | -3.535727e-03 | -2.144814e-03 | -1.390913e-03 |  0.9104 |     2.2112 |  7.07e-04
    975 | -3.545416e-03 | -2.140301e-03 | -1.405115e-03 |  0.8667 |     2.4515 |  6.63e-04
   1000 | -3.559848e-03 | -2.132497e-03 | -1.427352e-03 |  0.8149 |     2.8325 |  6.18e-04
   1025 | -3.579096e-03 | -2.119166e-03 | -1.459931e-03 |  0.7579 |     3.4008 |  5.72e-04
   1050 | -3.503540e-03 | -2.020105e-03 | -1.483435e-03 |  0.8340 |     3.6682 |  5.25e-04
   1075 | -3.593166e-03 | -2.103237e-03 | -1.489930e-03 |  0.7236 |     3.8727 |  4.78e-04
   1100 | -3.612579e-03 | -2.090861e-03 | -1.521718e-03 |  0.6665 |     4.4363 |  4.32e-04
   1125 | -3.625344e-03 | -2.079652e-03 | -1.545692e-03 |  0.6517 |     4.9515 |  3.87e-04
   1150 | -3.635284e-03 | -2.069191e-03 | -1.566092e-03 |  0.6396 |     5.3698 |  3.43e-04
   1175 | -3.643754e-03 | -2.061776e-03 | -1.581978e-03 |  0.6345 |     5.7057 |  3.01e-04
   1200 | -3.651178e-03 | -2.056010e-03 | -1.595168e-03 |  0.6327 |     5.9847 |  2.61e-04
   1225 | -3.657799e-03 | -2.051497e-03 | -1.606302e-03 |  0.6321 |     6.2214 |  2.24e-04
