╔══════════════════════════════════════════════════════════════╗
║  DPC-GNN — MGN-style Baseline (AMP ablation)                ║
║  Replaces AntisymMP with directed-edge MP (no antisymmetry) ║
╚══════════════════════════════════════════════════════════════╝

  GPU: NVIDIA GeForce RTX 5090

======================================================================
  TISSUE: KIDNEY (MGN-baseline) | E=10000 Pa (10.0 kPa) | ν=0.45
  Beam: 3cm x 2cm x 2cm
  Mesh: 20x6x6 | Device: cuda | Epochs: 3000
  Expected tip δ: 3.1288 mm | Scale: 3.13e-03
  AMP: OFF (MGN-style directed MP, two independent edge MLPs)
======================================================================
  Nodes: 1029 | Tets: 3600 | Edges: 14128
  Params: 238,915  (~2× SolidGNN edge-MLP params)
  ⚡ F-bar enabled (ν=0.45 ≥ 0.45, anti-locking)

     Ep |         Loss |         E_el |         E_gr |   J_min |  u_tip(mm) |        lr
  ------------------------------------------------------------------------------
      1 | -1.227412e-03 | 9.104921e-06 | -1.236517e-03 |  0.9929 |     0.0085 |  2.00e-05
      2 | -1.232013e-03 | 4.558174e-06 | -1.236571e-03 |  0.9940 |     0.0090 |  4.00e-05
      3 | -1.241129e-03 | -4.452725e-06 | -1.236676e-03 |  0.9960 |     0.0098 |  6.00e-05
      4 | -1.254641e-03 | -1.781074e-05 | -1.236830e-03 |  0.9986 |     0.0111 |  8.00e-05
      5 | -1.272464e-03 | -3.542670e-05 | -1.237037e-03 |  0.9992 |     0.0129 |  1.00e-04
     25 | -3.369082e-03 | -2.111645e-03 | -1.257437e-03 |  0.9589 |     0.3168 |  5.00e-04
     50 | -3.608445e-03 | -2.249235e-03 | -1.359210e-03 |  0.8650 |     1.6855 |  1.00e-03
     75 | -3.659695e-03 | -2.224487e-03 | -1.435208e-03 |  0.7585 |     2.7411 |  9.64e-04
    100 | -3.703379e-03 | -2.213013e-03 | -1.490365e-03 |  0.7069 |     3.9280 |  8.61e-04
    125 | -3.736218e-03 | -2.184749e-03 | -1.551469e-03 |  0.6498 |     5.0286 |  7.07e-04
    150 | -3.760669e-03 | -2.166043e-03 | -1.594626e-03 |  0.6234 |     5.9379 |  5.25e-04
    175 | -3.777792e-03 | -2.149208e-03 | -1.628585e-03 |  0.6053 |     6.6453 |  3.43e-04
    200 | -3.788679e-03 | -2.139805e-03 | -1.648874e-03 |  0.5971 |     7.0845 |  1.89e-04
    225 | -3.794299e-03 | -2.135082e-03 | -1.659217e-03 |  0.5933 |     7.3120 |  8.62e-05
    250 | -3.797035e-03 | -2.132861e-03 | -1.664175e-03 |  0.5916 |     7.4216 |  1.00e-03
    275 | -3.211872e-03 | -1.931340e-03 | -1.280532e-03 |  0.9759 |     0.9808 |  9.91e-04
    300 | -3.319352e-03 | -1.938538e-03 | -1.380814e-03 |  1.0129 |     1.9633 |  9.64e-04
    325 | -3.332903e-03 | -1.953117e-03 | -1.379786e-03 |  1.0135 |     2.0493 |  9.20e-04
    350 | -3.349502e-03 | -1.970582e-03 | -1.378921e-03 |  1.0208 |     2.0176 |  8.61e-04
    375 | -3.488508e-03 | -2.138810e-03 | -1.349699e-03 |  1.0030 |     1.5416 |  7.89e-04
    400 | -3.518085e-03 | -2.159171e-03 | -1.358913e-03 |  0.9804 |     1.6788 |  7.07e-04
    425 | -3.529393e-03 | -2.160815e-03 | -1.368578e-03 |  0.9689 |     1.8001 |  6.18e-04
    450 | -3.558318e-03 | -2.180012e-03 | -1.378305e-03 |  0.9042 |     1.8900 |  5.25e-04
    475 | -3.595050e-03 | -2.232998e-03 | -1.362052e-03 |  0.8546 |     2.0893 |  4.32e-04
    500 | -3.656368e-03 | -2.223328e-03 | -1.433039e-03 |  0.7997 |     2.8909 |  3.43e-04
    525 | -3.681121e-03 | -2.207065e-03 | -1.474057e-03 |  0.7597 |     3.5322 |  2.61e-04
    550 | -3.696313e-03 | -2.199678e-03 | -1.496635e-03 |  0.7319 |     3.9859 |  1.89e-04
    575 | -3.706231e-03 | -2.194161e-03 | -1.512070e-03 |  0.7142 |     4.3018 |  1.30e-04
    600 | -3.712561e-03 | -2.190323e-03 | -1.522239e-03 |  0.7034 |     4.5129 |  8.62e-05
    625 | -3.716627e-03 | -2.187754e-03 | -1.528873e-03 |  0.6967 |     4.6529 |  5.91e-05
    650 | -3.719564e-03 | -2.185833e-03 | -1.533731e-03 |  0.6919 |     4.7559 |  1.00e-03
    675 | -3.430638e-03 | -2.110629e-03 | -1.320009e-03 |  1.0124 |     1.3243 |  9.98e-04
    700 | -3.502702e-03 | -2.166171e-03 | -1.336531e-03 |  1.0087 |     1.4741 |  9.91e-04
    725 | -3.584545e-03 | -2.225046e-03 | -1.359499e-03 |  0.9876 |     1.5561 |  9.80e-04
    750 | -3.632692e-03 | -2.214408e-03 | -1.418283e-03 |  0.9401 |     2.5017 |  9.64e-04
    775 | -3.620001e-03 | -2.139302e-03 | -1.480700e-03 |  0.8597 |     3.4007 |  9.44e-04
    800 | -3.695297e-03 | -2.190732e-03 | -1.504565e-03 |  0.7867 |     4.0201 |  9.20e-04
    825 | -3.712581e-03 | -2.177109e-03 | -1.535471e-03 |  0.7585 |     4.7034 |  8.92e-04
    850 | -3.684552e-03 | -2.174669e-03 | -1.509883e-03 |  0.8134 |     4.8032 |  8.61e-04
    875 | -3.709274e-03 | -2.149417e-03 | -1.559858e-03 |  0.7229 |     5.4870 |  8.26e-04
    900 | -3.728054e-03 | -2.161414e-03 | -1.566640e-03 |  0.7184 |     5.4449 |  7.89e-04
    925 | -3.752852e-03 | -2.144854e-03 | -1.607999e-03 |  0.6811 |     6.2796 |  7.49e-04
    950 | -3.745299e-03 | -2.118062e-03 | -1.627237e-03 |  0.6854 |     6.5372 |  7.07e-04
    975 | -3.763696e-03 | -2.126750e-03 | -1.636946e-03 |  0.6666 |     6.8794 |  6.63e-04
   1000 | -3.768351e-03 | -2.106500e-03 | -1.661851e-03 |  0.6432 |     7.4043 |  6.18e-04
   1025 | -3.780159e-03 | -2.104213e-03 | -1.675947e-03 |  0.6355 |     7.7052 |  5.72e-04
   1050 | -3.778897e-03 | -2.089974e-03 | -1.688923e-03 |  0.6341 |     8.0143 |  5.25e-04
   1075 | -3.796360e-03 | -2.096889e-03 | -1.699471e-03 |  0.6183 |     8.1726 |  4.78e-04
   1100 | -3.801678e-03 | -2.094321e-03 | -1.707357e-03 |  0.6154 |     8.4292 |  4.32e-04
   1125 | -3.805921e-03 | -2.087488e-03 | -1.718433e-03 |  0.6096 |     8.6680 |  3.87e-04
   1150 | -3.809729e-03 | -2.082672e-03 | -1.727056e-03 |  0.6045 |     8.8593 |  3.43e-04
   1175 | -3.812921e-03 | -2.079094e-03 | -1.733827e-03 |  0.6006 |     9.0134 |  3.01e-04
