╔══════════════════════════════════════════════════════════════╗
║  DPC-GNN — MGN-style Baseline (AMP ablation)                ║
║  Replaces AntisymMP with directed-edge MP (no antisymmetry) ║
╚══════════════════════════════════════════════════════════════╝

  GPU: NVIDIA GeForce RTX 5090

======================================================================
  TISSUE: VESSEL (MGN-baseline) | E=400000 Pa (400.0 kPa) | ν=0.49
  Beam: 10cm x 2cm x 2cm
  Mesh: 25x8x8 | Device: cuda | Epochs: 2500
  Expected tip δ: 9.6567 mm | Scale: 9.66e-03
  AMP: OFF (MGN-style directed MP, two independent edge MLPs)
======================================================================
  Nodes: 2106 | Tets: 8000 | Edges: 30738
  Params: 238,915  (~2× SolidGNN edge-MLP params)
  ⚡ F-bar enabled (ν=0.49 ≥ 0.45, anti-locking)

     Ep |         Loss |         E_el |         E_gr |   J_min |  u_tip(mm) |        lr
  ------------------------------------------------------------------------------
      1 | -3.728498e-03 | 3.925917e-04 | -4.121089e-03 |  0.9980 |     0.0013 |  2.00e-05
      2 | -4.928215e-03 | -8.071137e-04 | -4.121102e-03 |  0.9982 |     0.0011 |  4.00e-05
      3 | -7.287065e-03 | -3.165932e-03 | -4.121133e-03 |  0.9985 |     0.0007 |  6.00e-05
      4 | -1.074163e-02 | -6.620442e-03 | -4.121188e-03 |  0.9986 |     0.0000 |  8.00e-05
      5 | -1.524608e-02 | -1.112475e-02 | -4.121331e-03 |  0.9986 |    -0.0008 |  1.00e-04
     25 | -5.832933e-02 | -5.420279e-02 | -4.126537e-03 |  1.0140 |     0.0126 |  5.00e-04
     50 | -5.860448e-02 | -5.447114e-02 | -4.133344e-03 |  1.0091 |     0.0433 |  1.00e-03
     75 | -5.889136e-02 | -5.473066e-02 | -4.160707e-03 |  0.9990 |     0.1634 |  9.64e-04
    100 | -5.893747e-02 | -5.474529e-02 | -4.192177e-03 |  0.9966 |     0.3073 |  8.61e-04
    125 | -5.897468e-02 | -5.474347e-02 | -4.231201e-03 |  0.9907 |     0.4833 |  7.07e-04
    150 | -5.901323e-02 | -5.473472e-02 | -4.278508e-03 |  0.9855 |     0.6889 |  5.25e-04
    175 | -5.904900e-02 | -5.472358e-02 | -4.325422e-03 |  0.9798 |     0.8892 |  3.43e-04
    200 | -5.907553e-02 | -5.471457e-02 | -4.360958e-03 |  0.9749 |     1.0433 |  1.89e-04
    225 | -5.909107e-02 | -5.470947e-02 | -4.381602e-03 |  0.9721 |     1.1347 |  8.62e-05
    250 | -5.909905e-02 | -5.470690e-02 | -4.392150e-03 |  0.9707 |     1.1819 |  1.00e-03
    275 | -5.851558e-02 | -5.439989e-02 | -4.115690e-03 |  0.9926 |    -0.1220 |  9.91e-04
    300 | -5.885844e-02 | -5.472173e-02 | -4.136707e-03 |  1.0022 |     0.0457 |  9.64e-04
    325 | -5.892963e-02 | -5.475272e-02 | -4.176908e-03 |  0.9968 |     0.2199 |  9.20e-04
    350 | -5.897154e-02 | -5.474879e-02 | -4.222747e-03 |  0.9905 |     0.4156 |  8.61e-04
    375 | -5.901645e-02 | -5.473746e-02 | -4.278991e-03 |  0.9838 |     0.6387 |  7.89e-04
    400 | -5.906399e-02 | -5.472393e-02 | -4.340061e-03 |  0.9764 |     0.8833 |  7.07e-04
    425 | -5.911328e-02 | -5.470993e-02 | -4.403352e-03 |  0.9698 |     1.1499 |  6.18e-04
    450 | -5.914914e-02 | -5.470940e-02 | -4.439737e-03 |  0.9676 |     1.3254 |  5.25e-04
    475 | -5.918467e-02 | -5.469260e-02 | -4.492073e-03 |  0.9639 |     1.5390 |  4.32e-04
    500 | -5.923226e-02 | -5.468011e-02 | -4.552152e-03 |  0.9609 |     1.8013 |  3.43e-04
    525 | -5.927141e-02 | -5.466604e-02 | -4.605367e-03 |  0.9591 |     2.0418 |  2.61e-04
    550 | -5.930382e-02 | -5.465299e-02 | -4.650831e-03 |  0.9577 |     2.2479 |  1.89e-04
    575 | -5.932888e-02 | -5.464239e-02 | -4.686482e-03 |  0.9569 |     2.4115 |  1.30e-04
    600 | -5.934712e-02 | -5.463463e-02 | -4.712490e-03 |  0.9564 |     2.5326 |  8.62e-05
    625 | -5.936006e-02 | -5.462917e-02 | -4.730892e-03 |  0.9562 |     2.6192 |  5.91e-05
    650 | -5.937010e-02 | -5.462494e-02 | -4.745151e-03 |  0.9560 |     2.6869 |  1.00e-03
    675 | -5.852932e-02 | -5.439187e-02 | -4.137447e-03 |  1.0071 |     0.0123 |  9.98e-04
    700 | -5.889176e-02 | -5.470098e-02 | -4.190782e-03 |  0.9963 |     0.2280 |  9.91e-04
    725 | -5.897233e-02 | -5.474449e-02 | -4.227839e-03 |  0.9921 |     0.4212 |  9.80e-04
    750 | -5.901767e-02 | -5.473553e-02 | -4.282146e-03 |  0.9859 |     0.6434 |  9.64e-04
    775 | -5.907144e-02 | -5.472643e-02 | -4.345014e-03 |  0.9786 |     0.9033 |  9.44e-04
    800 | -5.913896e-02 | -5.470962e-02 | -4.429347e-03 |  0.9729 |     1.2491 |  9.20e-04
    825 | -5.846997e-02 | -5.413277e-02 | -4.337205e-03 |  0.9830 |     0.8842 |  8.92e-04
    850 | -5.899301e-02 | -5.471108e-02 | -4.281928e-03 |  0.9836 |     0.6518 |  8.61e-04
    875 | -5.907066e-02 | -5.473458e-02 | -4.336081e-03 |  0.9805 |     0.8560 |  8.26e-04
    900 | -5.912193e-02 | -5.472851e-02 | -4.393417e-03 |  0.9767 |     1.0829 |  7.89e-04
    925 | -5.917332e-02 | -5.471293e-02 | -4.460392e-03 |  0.9720 |     1.3420 |  7.49e-04
    950 | -5.922366e-02 | -5.469428e-02 | -4.529377e-03 |  0.9687 |     1.6196 |  7.07e-04
    975 | -5.927202e-02 | -5.467343e-02 | -4.598594e-03 |  0.9659 |     1.9121 |  6.63e-04
   1000 | -5.931907e-02 | -5.465215e-02 | -4.666919e-03 |  0.9636 |     2.2153 |  6.18e-04
   1025 | -5.935883e-02 | -5.462478e-02 | -4.734050e-03 |  0.9609 |     2.5308 |  5.72e-04
