╔══════════════════════════════════════════════════════════════╗
║  DPC-GNN — MGN-style Baseline (AMP ablation)                ║
║  Replaces AntisymMP with directed-edge MP (no antisymmetry) ║
╚══════════════════════════════════════════════════════════════╝

  GPU: NVIDIA GeForce RTX 5090

======================================================================
  TISSUE: VESSEL (MGN-baseline) | E=400000 Pa (400.0 kPa) | ν=0.49
  Beam: 10cm x 2cm x 2cm
  Mesh: 25x8x8 | Device: cuda | Epochs: 2500
  Expected tip δ: 9.6567 mm | Scale: 9.66e-03
  AMP: OFF (MGN-style directed MP, two independent edge MLPs)
======================================================================
  Nodes: 2106 | Tets: 8000 | Edges: 30738
  Params: 238,915  (~2× SolidGNN edge-MLP params)
  ⚡ F-bar enabled (ν=0.49 ≥ 0.45, anti-locking)

     Ep |         Loss |         E_el |         E_gr |   J_min |  u_tip(mm) |        lr
  ------------------------------------------------------------------------------
      1 | -3.993251e-03 | 1.282592e-04 | -4.121511e-03 |  0.9928 |     0.0004 |  2.00e-05
      2 | -5.075808e-03 | -9.543546e-04 | -4.121454e-03 |  0.9929 |    -0.0001 |  4.00e-05
      3 | -7.233050e-03 | -3.111706e-03 | -4.121344e-03 |  0.9929 |    -0.0011 |  6.00e-05
      4 | -1.046105e-02 | -6.339845e-03 | -4.121201e-03 |  0.9931 |    -0.0026 |  8.00e-05
      5 | -1.479401e-02 | -1.067295e-02 | -4.121065e-03 |  0.9933 |    -0.0045 |  1.00e-04
     25 | -5.696449e-02 | -5.283151e-02 | -4.132982e-03 |  1.0069 |     0.0094 |  5.00e-04
     50 | -5.862630e-02 | -5.449639e-02 | -4.129910e-03 |  1.0072 |     0.0229 |  1.00e-03
     75 | -5.886561e-02 | -5.471758e-02 | -4.148035e-03 |  1.0018 |     0.0959 |  9.64e-04
    100 | -5.892336e-02 | -5.474835e-02 | -4.175007e-03 |  0.9972 |     0.2246 |  8.61e-04
    125 | -5.895862e-02 | -5.474970e-02 | -4.208919e-03 |  0.9924 |     0.3810 |  7.07e-04
    150 | -5.899451e-02 | -5.474314e-02 | -4.251362e-03 |  0.9860 |     0.5679 |  5.25e-04
    175 | -5.902911e-02 | -5.473341e-02 | -4.295708e-03 |  0.9805 |     0.7571 |  3.43e-04
    200 | -5.905561e-02 | -5.472405e-02 | -4.331558e-03 |  0.9761 |     0.9087 |  1.89e-04
    225 | -5.907114e-02 | -5.471810e-02 | -4.353040e-03 |  0.9736 |     1.0004 |  8.62e-05
    250 | -5.907910e-02 | -5.471507e-02 | -4.364030e-03 |  0.9723 |     1.0478 |  1.00e-03
    275 | -5.789120e-02 | -5.377891e-02 | -4.112283e-03 |  1.0008 |    -0.0580 |  9.91e-04
    300 | -5.889456e-02 | -5.469202e-02 | -4.202541e-03 |  0.9871 |     0.3267 |  9.64e-04
    325 | -5.898831e-02 | -5.473788e-02 | -4.250431e-03 |  0.9853 |     0.5123 |  9.20e-04
    350 | -5.904491e-02 | -5.472466e-02 | -4.320251e-03 |  0.9782 |     0.7824 |  8.61e-04
    375 | -5.910202e-02 | -5.470968e-02 | -4.392337e-03 |  0.9703 |     1.0864 |  7.89e-04
    400 | -5.916726e-02 | -5.469040e-02 | -4.476860e-03 |  0.9633 |     1.4607 |  7.07e-04
    425 | -5.904812e-02 | -5.463008e-02 | -4.418038e-03 |  0.9691 |     1.1997 |  6.18e-04
    450 | -5.916540e-02 | -5.469348e-02 | -4.471923e-03 |  0.9660 |     1.4029 |  5.25e-04
    475 | -5.921678e-02 | -5.468176e-02 | -4.535021e-03 |  0.9605 |     1.6820 |  4.32e-04
    500 | -5.926147e-02 | -5.466273e-02 | -4.598738e-03 |  0.9577 |     1.9680 |  3.43e-04
    525 | -5.929937e-02 | -5.464579e-02 | -4.653581e-03 |  0.9554 |     2.2232 |  2.61e-04
    550 | -5.932971e-02 | -5.463127e-02 | -4.698440e-03 |  0.9541 |     2.4343 |  1.89e-04
    575 | -5.935249e-02 | -5.462015e-02 | -4.732346e-03 |  0.9533 |     2.5973 |  1.30e-04
    600 | -5.936871e-02 | -5.461220e-02 | -4.756508e-03 |  0.9528 |     2.7151 |  8.62e-05
    625 | -5.937999e-02 | -5.460667e-02 | -4.773321e-03 |  0.9525 |     2.7977 |  5.91e-05
    650 | -5.938865e-02 | -5.460246e-02 | -4.786189e-03 |  0.9523 |     2.8614 |  1.00e-03
    675 | -5.777610e-02 | -5.362391e-02 | -4.152183e-03 |  0.9992 |     0.0839 |  9.98e-04
    700 | -5.889810e-02 | -5.470740e-02 | -4.190695e-03 |  0.9966 |     0.2907 |  9.91e-04
    725 | -5.896621e-02 | -5.474062e-02 | -4.225598e-03 |  0.9885 |     0.4387 |  9.80e-04
    750 | -5.899733e-02 | -5.474615e-02 | -4.251177e-03 |  0.9869 |     0.5521 |  9.64e-04
    775 | -5.903031e-02 | -5.473934e-02 | -4.290965e-03 |  0.9833 |     0.7132 |  9.44e-04
    800 | -5.907270e-02 | -5.473035e-02 | -4.342353e-03 |  0.9789 |     0.9215 |  9.20e-04
    825 | -5.913447e-02 | -5.471409e-02 | -4.420385e-03 |  0.9731 |     1.2424 |  8.92e-04
